"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"peak104",240,171,58,16,16,10,226,127,83,20,7,15
"peak105",139,100,45,17,26,9,109,53,30,26,22,10
"peak106",150,101,40,18,43,8,119,65,52,23,24,18
"peak107",327,384,412,337,445,301,322,280,351,408,429,388
"peak108",62,51,40,36,74,162,37,26,25,34,87,242
"peak109",36,58,82,79,103,175,61,52,64,69,123,205
"peak110",81,78,53,50,15,31,64,54,44,19,39,32
"peak111",153,152,77,17,14,13,115,73,55,31,17,10
"peak112",299,303,155,55,59,25,320,242,154,64,33,42
"peak113",1457,1303,993,624,577,131,1312,1069,1010,756,582,129
"peak114",70,49,69,86,152,323,54,63,62,98,165,461
"peak115",424,330,220,108,101,28,380,284,192,168,111,44
"peak116",91,57,70,52,131,150,54,48,39,66,114,236
"peak117",119,115,60,10,17,15,102,64,46,10,12,10
"peak118",206,148,102,47,6,10,122,96,64,45,23,5
"peak119",145,108,55,48,16,38,102,65,58,35,20,39
"peak120",163,120,63,24,24,18,187,138,52,33,11,25
"peak121",138,70,52,10,12,5,109,79,33,16,10,10
"peak122",14,27,21,27,51,140,17,12,19,34,46,233
"peak123",864,781,654,530,549,456,698,622,509,455,619,522
"peak124",182,191,175,126,124,28,150,136,131,144,141,26
"peak125",1160,973,777,548,591,500,893,704,619,478,593,535
"peak126",204,91,69,28,13,4,147,61,43,30,14,5
"peak127",180,177,123,78,97,72,149,117,89,71,70,75
"peak128",306,280,214,129,79,62,232,194,159,133,111,46
"peak129",50,37,49,29,99,147,35,17,22,44,96,171
"peak130",26,27,34,52,86,124,13,10,27,40,99,182
"peak131",135,126,107,77,118,132,87,84,78,66,115,179
"peak132",75,73,84,96,157,233,49,51,100,81,150,286
"peak133",131,100,61,19,19,25,107,69,43,12,22,19
"peak134",236,117,84,46,21,12,217,135,68,40,30,14
"peak135",216,217,106,30,13,7,267,150,87,27,10,8
"peak136",111,125,58,23,17,14,120,95,50,42,12,9
"peak137",230,169,131,40,47,26,172,108,87,53,38,13
"peak138",493,478,419,380,477,247,385,370,450,362,445,314
"peak139",90,62,57,56,74,128,69,38,55,65,90,136
"peak140",129,90,61,24,16,2,112,78,66,36,15,14
"peak141",522,431,242,100,46,21,335,248,195,94,58,26
"peak142",58,51,21,21,52,89,46,24,26,24,40,134
"peak143",966,894,674,478,514,443,831,753,568,480,491,390
"peak144",163,214,257,200,384,407,158,160,207,217,417,546
"peak145",310,238,133,58,33,17,248,198,124,86,36,41
"peak146",186,147,96,27,25,19,123,115,77,32,17,28
"peak147",1731,1787,1734,1514,1963,1806,1680,1537,1463,1450,1990,1761
"peak148",62,66,80,83,132,131,51,49,59,103,96,127
"peak149",136,66,71,33,20,11,118,70,62,46,26,12
"peak150",115,107,44,31,21,23,102,68,36,28,14,21
"peak151",304,215,139,72,85,79,203,161,122,92,87,123
"peak152",126,69,27,13,12,8,103,41,24,14,14,11
"peak153",65,61,96,116,141,227,58,51,43,113,139,284
"peak154",289,224,126,37,20,7,213,178,121,55,16,7
"peak155",754,630,557,353,371,301,658,457,424,337,401,279
"peak156",167,90,72,46,33,46,106,75,80,35,34,52
"peak157",378,222,105,41,46,12,333,157,94,38,36,22
"peak158",501,480,369,200,292,218,429,403,251,233,262,236
"peak159",217,137,79,24,16,25,167,79,60,42,25,31
"peak160",68,104,96,46,19,6,74,41,39,38,24,10
"peak161",231,176,178,166,264,154,166,143,143,169,208,228
"peak162",162,87,70,15,16,19,118,53,56,25,16,16
"peak163",638,522,431,278,307,239,521,408,333,292,292,235
"peak164",236,167,123,60,41,14,195,120,104,53,39,9
"peak165",181,126,100,58,55,39,149,95,62,45,66,42
"peak166",172,94,78,34,42,26,91,69,55,38,45,38
"peak167",126,67,44,12,2,12,101,51,39,4,12,9
"peak168",160,171,266,205,312,320,140,147,187,232,253,432
"peak169",695,851,788,523,757,585,705,607,604,587,737,546
"peak170",89,76,67,30,79,127,78,65,24,48,64,194
"peak171",447,367,215,52,22,12,380,282,179,57,16,17
"peak172",257,221,122,98,203,115,239,181,115,115,149,157
"peak173",59,47,72,89,162,138,60,39,47,122,116,155
"peak174",64,62,109,109,173,131,64,47,80,118,182,166
"peak175",154,117,68,47,42,6,122,71,75,32,48,14
"peak176",1051,966,918,848,1040,916,1000,815,856,778,966,887
"peak177",393,318,137,64,37,35,294,225,171,66,34,63
"peak178",68,72,97,91,132,260,52,70,95,91,132,233
"peak179",67,54,89,142,320,421,38,48,66,99,284,467
"peak180",52,53,53,52,64,199,49,26,38,48,79,253
"peak181",75,59,69,40,30,41,62,41,48,43,45,31
"peak182",204,132,69,63,74,43,127,114,68,53,44,37
"peak183",107,80,43,21,18,37,64,46,45,24,31,30
"peak184",124,87,73,26,45,18,118,58,69,52,20,3
"peak185",71,62,64,67,57,54,66,76,67,84,50,54
"peak186",250,149,85,29,28,6,169,132,110,25,18,12
"peak187",298,168,93,31,42,11,227,138,98,49,34,22
"peak188",483,310,202,78,53,18,311,276,200,102,86,28
"peak189",13,27,62,94,173,319,13,33,50,89,195,409
"peak190",1578,1361,1050,770,874,551,1380,1107,982,776,824,443
"peak191",191,170,137,96,109,29,119,114,99,106,85,40
"peak192",206,129,60,41,27,31,169,95,67,46,25,47
"peak193",108,83,56,18,14,4,87,61,43,25,18,10
"peak194",282,220,124,75,50,21,250,174,113,41,48,8
"peak195",229,205,108,77,56,29,200,136,104,70,52,55
"peak196",264,209,92,49,37,18,228,166,110,63,36,19
"peak197",142,116,76,25,27,12,128,110,72,27,19,20
"peak198",17,28,27,30,57,123,29,13,13,31,67,124
"peak199",492,378,322,218,315,257,426,349,283,214,300,301
"peak200",137,129,62,18,13,6,100,64,44,19,10,6
"peak201",43,30,24,19,44,156,31,15,12,16,79,200
"peak202",101,95,52,48,106,97,115,63,67,44,80,134
"peak203",158,111,42,28,10,12,111,67,46,12,11,14
"peak204",10,19,14,22,26,42,16,11,22,19,30,79
"peak205",37,37,39,38,83,203,49,36,27,64,102,232
"peak206",24,44,62,74,147,151,32,45,75,69,158,215
"peak207",173,205,235,173,316,541,184,156,190,198,370,707
"peak208",49,65,39,14,19,20,66,57,27,25,17,23
"peak209",626,598,404,210,194,35,570,458,345,205,190,26
"peak210",31,37,48,43,86,238,26,20,34,65,99,327
"peak211",127,65,77,45,127,206,87,54,61,47,123,284
"peak212",196,156,101,37,14,15,161,114,97,36,22,24
"peak213",232,161,112,36,33,10,159,95,86,46,37,13
"peak214",152,105,42,15,7,10,131,65,34,21,16,7
"peak215",83,89,91,63,47,22,80,66,53,45,58,27
"peak216",438,358,216,79,69,21,374,250,142,103,63,40
"peak217",242,209,150,78,41,16,221,164,108,70,28,35
"peak218",177,230,217,102,134,60,190,149,150,123,126,66
"peak219",296,324,324,233,263,241,246,233,246,278,246,226
"peak220",301,297,202,132,264,310,257,165,189,184,225,400
"peak221",12,5,2,11,21,92,6,3,14,9,34,130
"peak222",34,44,72,102,136,218,35,26,62,100,125,201
"peak223",1006,872,840,631,808,553,820,694,653,609,742,415
"peak224",2292,2260,2149,1707,2273,1859,1908,1809,1777,1620,2097,1491
"peak225",141,88,50,15,26,17,154,73,34,23,18,20
"peak226",167,185,235,287,510,452,157,158,233,324,424,502
"peak227",711,429,172,50,33,24,607,340,180,57,45,33
"peak228",193,193,108,42,24,9,136,153,79,39,15,15
"peak229",113,98,60,44,84,151,91,67,57,73,62,204
"peak230",452,371,361,197,262,214,358,314,322,243,262,285
"peak231",170,197,189,230,344,363,151,128,212,223,337,507
"peak232",376,261,164,49,22,20,290,197,160,42,22,25
"peak233",974,765,441,106,61,29,793,611,374,157,58,42
"peak234",215,209,110,31,19,7,215,142,73,33,25,18
"peak235",132,85,61,54,29,27,108,102,52,39,29,36
"peak236",93,86,85,35,68,135,59,43,47,39,55,198
"peak237",61,77,61,86,144,176,23,36,42,97,132,176
"peak238",37,51,50,77,105,156,45,32,43,54,119,170
"peak239",23,46,95,74,164,122,25,43,62,97,136,156
"peak240",1081,1220,939,692,970,713,942,860,825,746,813,743
"peak241",54,49,65,49,81,158,74,38,53,79,74,176
"peak242",78,47,75,75,153,211,39,41,73,87,98,205
"peak243",162,93,36,14,26,21,118,79,34,22,15,20
"peak244",170,99,28,7,6,7,114,71,31,4,3,10
"peak245",52,48,58,41,128,102,41,44,49,77,113,102
"peak246",168,105,53,23,27,16,127,109,48,18,25,16
"peak247",843,850,563,198,115,63,755,690,462,225,122,47
"peak248",203,129,37,20,6,11,100,84,43,18,17,9
"peak249",280,203,114,61,69,71,200,161,101,65,57,87
"peak250",283,135,70,35,34,17,187,84,55,25,31,55
"peak251",271,120,81,28,17,22,228,112,66,32,16,27
"peak252",261,237,203,182,182,92,240,208,182,189,210,125
"peak253",758,750,602,474,521,314,690,508,530,466,512,346
"peak254",354,323,165,65,21,13,298,230,143,60,37,30
"peak255",167,110,79,28,26,5,98,98,61,36,19,24
"peak256",221,179,186,221,359,515,147,123,162,245,369,604
"peak257",57,77,56,62,91,167,45,48,41,55,60,179
"peak258",499,563,610,518,752,514,510,453,537,512,657,497
"peak259",557,479,320,208,169,116,526,379,223,189,195,103
"peak260",275,166,85,45,36,40,202,144,98,47,35,33
"peak261",202,324,332,223,244,56,218,260,290,257,237,51
"peak262",165,245,254,219,357,304,189,192,233,265,313,452
"peak263",458,394,242,115,94,55,398,340,173,106,69,50
"peak264",108,143,63,19,8,8,122,95,56,16,12,15
"peak265",1412,1822,1738,1335,1641,926,1433,1369,1400,1296,1413,770
"peak266",911,1107,1105,763,656,174,965,1002,894,754,591,112
"peak267",174,215,179,96,126,34,219,213,158,135,83,41
"peak268",309,263,129,102,68,38,271,187,139,84,60,22
"peak269",385,276,201,115,74,28,313,243,158,123,43,26
"peak270",24,41,66,99,114,50,30,30,66,68,103,55
"peak271",85,70,85,88,185,245,79,55,68,108,152,208
"peak272",796,898,797,668,903,639,745,702,735,655,713,573
"peak273",16,13,12,12,45,112,7,10,17,14,27,171
"peak274",14,24,61,46,81,103,25,20,37,58,54,135
"peak275",353,265,127,77,55,44,303,113,106,79,40,73
"peak276",103,81,71,32,50,48,110,85,49,36,34,50
"peak277",129,111,76,38,77,55,78,85,62,80,79,67
"peak278",167,131,61,27,15,4,123,95,61,29,15,7
"peak279",1885,1666,1553,1121,1436,1369,1476,1400,1334,1111,1391,1240
"peak280",28,25,30,103,153,226,29,25,44,67,115,313
"peak281",68,57,70,86,106,120,57,58,47,86,116,196
"peak282",373,423,330,209,136,50,342,299,248,215,139,46
"peak283",454,335,250,143,208,403,307,293,230,103,165,558
"peak284",30,50,43,49,157,198,30,30,42,53,166,175
"peak285",157,91,57,43,46,30,124,73,65,40,53,50
"peak286",15,18,20,51,81,102,19,9,16,43,32,124
"peak287",757,570,369,98,60,16,617,397,299,99,36,25
"peak288",66,46,42,40,47,139,48,36,19,25,61,212
"peak289",6,11,11,40,112,116,5,8,5,46,79,147
"peak290",308,240,119,53,46,18,209,165,101,40,28,15
"peak291",1059,1008,914,618,810,680,958,722,712,605,739,659
"peak292",151,102,55,23,18,9,184,118,59,23,24,15
"peak293",398,377,201,92,81,69,357,304,210,128,76,65
"peak294",290,206,137,68,37,21,187,150,126,81,52,31
"peak295",184,132,100,48,65,46,109,95,76,55,58,57
"peak296",162,117,111,42,25,9,102,104,88,48,32,11
"peak297",111,130,143,103,52,34,91,88,138,94,59,13
"peak298",190,194,127,76,26,12,144,156,117,59,33,20
"peak299",79,73,84,59,90,165,90,48,59,71,67,208
"peak300",303,247,71,51,36,42,216,150,86,60,41,37
"peak301",716,618,467,286,331,304,545,447,355,280,292,336
"peak302",1029,942,879,681,945,835,881,690,698,673,861,809
"peak303",738,841,425,155,86,62,781,724,451,170,94,54
"peak304",289,261,247,144,153,142,280,228,191,137,161,135
"peak305",69,102,101,88,89,28,73,77,67,74,63,32
"peak306",162,166,177,185,319,555,152,110,114,198,360,475
"peak307",509,363,230,114,103,28,415,301,199,131,80,48
"peak308",237,222,150,70,54,35,203,169,125,73,44,21
"peak309",578,674,580,411,438,147,598,606,560,485,430,200
"peak310",297,172,89,43,25,10,279,178,79,30,22,14
"peak311",557,476,238,97,69,56,459,344,234,95,48,45
"peak312",388,187,109,48,15,11,250,169,56,32,7,18
"peak313",245,166,106,40,12,11,178,141,86,42,16,18
"peak314",930,781,415,196,104,67,883,657,418,210,116,59
"peak315",201,133,68,20,13,14,118,87,64,38,7,3
"peak316",580,491,320,167,65,40,543,357,306,144,72,34
"peak317",22,37,50,67,113,143,21,19,59,55,114,156
"peak318",409,351,226,153,160,33,267,253,178,162,189,50
"peak319",242,191,107,44,38,19,183,127,88,51,26,14
"peak320",90,130,136,130,200,257,98,84,104,124,229,305
"peak321",717,547,370,151,85,35,602,455,339,224,104,33
"peak322",338,253,156,77,61,36,257,211,121,99,54,40
"peak323",181,132,79,46,25,23,144,111,83,56,46,17
"peak324",105,77,82,61,99,171,82,67,63,70,110,187
"peak325",353,348,350,191,282,205,343,280,243,230,236,202
"peak326",503,378,210,75,50,13,412,244,183,89,42,21
"peak327",197,152,106,35,17,5,167,99,85,43,16,12
"peak328",263,239,117,56,30,14,246,169,87,95,66,25
"peak329",124,107,73,23,29,17,118,103,54,28,33,15
"peak330",25,62,99,122,266,347,28,45,68,99,242,430
"peak331",823,720,394,149,61,22,668,565,360,146,62,36
"peak332",703,612,313,157,109,36,610,492,347,202,144,56
"peak333",7,33,74,98,168,232,14,22,45,82,176,278
"peak334",14,35,82,78,145,127,16,22,49,114,115,202
"peak335",186,119,53,14,11,7,145,71,39,18,12,12
"peak336",198,151,66,25,25,17,202,120,65,37,19,23
"peak337",999,890,666,425,392,122,893,734,592,494,407,142
"peak338",192,145,91,25,33,15,196,103,68,52,45,28
"peak339",518,393,263,81,67,31,463,280,200,102,76,38
"peak340",224,123,68,12,5,10,167,95,66,23,10,10
"peak341",183,149,110,46,17,1,180,107,93,29,6,14
"peak342",256,135,74,29,7,4,191,119,58,21,7,22
"peak343",288,241,177,68,74,22,264,199,128,87,75,24
"peak344",17,10,9,19,48,125,18,11,15,11,46,158
"peak345",390,262,137,38,16,5,269,210,128,57,21,9
"peak346",762,525,319,143,77,16,514,417,271,169,88,15
"peak347",345,258,105,39,21,39,271,179,96,43,14,28
"peak348",300,236,149,97,144,149,274,187,180,142,141,189
"peak349",1155,1449,1414,1176,1490,1132,1152,1055,1192,1078,1385,1056
"peak350",26,27,31,49,145,217,17,29,27,71,128,212
"peak351",242,191,63,29,15,11,217,130,68,22,19,16
"peak352",137,137,89,54,22,14,144,96,67,51,28,9
"peak353",146,147,126,75,82,70,151,165,105,82,109,66
"peak354",544,454,238,53,35,15,512,435,242,67,35,31
"peak355",353,336,204,64,64,16,326,255,147,87,76,13
"peak356",1041,976,819,557,593,415,983,851,675,633,632,392
"peak357",352,287,250,153,175,176,306,259,174,217,170,231
"peak358",749,908,892,669,986,901,717,775,679,613,911,742
"peak359",196,146,53,22,28,17,138,66,54,15,23,20
"peak360",612,653,368,218,273,72,627,493,374,248,231,80
"peak361",162,113,60,23,30,10,154,87,44,28,15,22
"peak362",801,902,972,763,1004,769,752,777,807,813,942,821
"peak363",116,84,69,46,42,21,108,76,56,24,31,14
"peak364",461,551,635,576,583,330,424,477,511,483,529,322
"peak365",617,560,249,96,30,7,672,434,268,109,40,25
"peak366",35,17,25,19,38,145,26,27,30,23,32,151
"peak367",147,88,33,26,7,20,122,71,32,17,9,7
"peak368",282,234,99,45,34,42,245,150,87,34,35,25
"peak369",185,125,60,51,45,60,163,105,70,47,33,53
"peak370",25,24,24,12,31,41,24,11,12,9,17,50
"peak371",934,806,370,86,33,43,799,586,322,113,48,42
"peak372",187,94,62,29,9,19,156,91,53,20,5,22
"peak373",156,93,17,7,10,5,149,72,36,15,18,5
"peak374",137,183,66,45,46,11,149,133,85,32,47,11
"peak375",446,490,451,357,478,401,401,387,341,284,411,369
"peak376",441,420,381,368,602,856,357,330,259,320,623,977
"peak377",150,96,78,59,47,59,110,73,79,70,32,68
"peak378",187,203,66,20,23,14,200,145,86,14,28,12
"peak379",337,249,171,48,34,28,288,207,153,59,34,32
"peak380",157,152,97,26,10,6,186,148,103,49,19,21
"peak381",139,110,67,33,24,5,87,91,54,45,31,17
"peak382",238,213,155,42,28,28,217,208,129,60,28,14
"peak383",118,112,88,85,84,111,98,38,89,96,76,106
"peak384",36,58,52,55,123,135,33,23,52,78,109,161
"peak385",671,898,873,832,1348,1203,690,701,702,788,1114,1012
"peak386",300,251,140,43,22,10,223,147,98,36,22,15
"peak387",163,148,121,32,36,42,226,129,92,52,27,25
"peak388",171,232,283,282,480,479,203,225,268,282,497,504
"peak389",147,147,182,178,269,295,140,106,162,183,279,390
"peak390",52,83,52,50,66,65,55,48,48,33,80,86
"peak391",548,473,277,65,15,14,473,377,233,77,29,22
"peak392",273,198,90,46,26,22,249,142,67,31,10,17
"peak393",408,315,201,62,32,10,352,222,148,83,45,16
"peak394",62,65,46,49,89,105,50,25,35,64,89,170
"peak395",149,131,90,59,117,225,97,85,57,60,131,252
"peak396",211,185,116,79,53,25,243,145,112,69,47,29
"peak397",10,25,43,57,121,201,8,15,43,75,107,227
"peak398",37,29,39,40,111,234,32,13,26,30,92,315
"peak399",40,37,37,45,62,216,25,32,38,39,93,221
"peak400",206,205,213,288,729,872,232,150,172,299,778,952
"peak401",85,79,86,64,113,193,76,44,43,86,158,283
"peak402",121,122,108,138,159,243,119,110,91,106,207,351
"peak403",42,67,68,72,110,160,45,72,57,59,100,154
"peak404",551,715,665,554,737,555,614,548,565,551,687,648
"peak405",299,397,436,284,239,39,396,362,334,288,247,55
"peak406",22,53,89,108,198,68,33,51,96,92,160,74
"peak407",433,436,444,309,289,35,428,408,372,393,356,35
"peak408",226,185,114,67,88,80,178,171,91,71,91,118
"peak409",417,407,322,171,183,90,322,353,286,201,188,94
"peak410",196,178,60,19,16,3,126,101,65,11,16,8
"peak411",447,291,125,29,8,12,392,200,111,20,22,10
"peak412",145,153,82,30,51,17,166,100,69,40,31,22
"peak413",719,886,873,728,838,418,705,719,737,722,769,339
"peak414",99,76,44,47,108,171,87,54,59,55,124,205
"peak415",134,77,25,13,7,6,114,78,27,12,15,10
"peak416",206,166,139,63,61,21,193,96,84,52,49,19
"peak417",138,126,119,129,338,394,74,93,91,119,293,495
"peak418",162,141,66,32,26,12,164,76,50,16,24,16
"peak419",195,225,141,89,124,236,202,158,112,117,120,288
"peak420",186,142,122,96,112,42,138,117,100,100,98,45
"peak421",105,96,74,77,125,203,108,68,55,72,113,245
"peak422",97,118,90,64,67,82,97,97,93,77,90,43
"peak423",610,773,843,722,892,720,604,661,697,631,907,650
"peak424",182,154,76,30,38,14,171,112,50,26,20,29
"peak425",127,107,66,39,27,10,154,88,61,35,23,11
"peak426",134,135,110,86,66,90,117,131,111,77,99,93
"peak427",24,7,34,43,126,264,14,37,51,65,96,302
"peak428",274,207,155,74,35,29,242,206,133,78,31,40
"peak429",505,565,448,301,343,261,496,449,381,292,303,333
"peak430",164,136,150,146,106,27,183,141,160,120,101,24
"peak431",1493,1949,1968,1615,2529,2279,1455,1672,1495,1482,2095,1959
"peak432",460,432,257,179,357,252,469,420,219,182,329,285
"peak433",47,84,130,153,215,263,44,60,91,164,240,293
"peak434",121,171,257,369,658,879,122,149,223,404,585,969
"peak435",16,25,19,35,60,103,16,16,20,20,66,115
"peak436",476,540,430,389,392,250,460,397,434,414,404,209
"peak437",199,150,93,40,28,23,171,108,62,70,54,40
"peak438",251,245,140,117,143,65,270,162,137,133,125,111
"peak439",92,66,29,23,26,1,80,49,40,22,14,11
"peak440",504,652,597,607,701,580,504,481,536,601,689,592
"peak441",105,50,21,16,11,12,83,38,18,9,8,11
"peak442",223,185,101,32,13,13,142,98,89,39,26,19
"peak443",221,157,79,18,18,8,155,128,72,29,13,7
"peak444",273,160,137,52,65,25,201,132,112,71,60,16
"peak445",157,177,195,230,347,433,152,132,150,194,318,515
"peak446",215,158,196,174,261,55,161,140,157,207,224,58
"peak447",859,777,788,680,870,779,765,575,615,689,846,727
"peak448",113,85,55,54,62,65,111,63,47,51,48,86
"peak449",5,11,32,31,60,81,8,22,30,33,45,108
"peak450",354,230,109,61,45,26,242,167,92,63,24,30
"peak451",267,227,95,32,11,5,221,124,115,36,16,15
"peak452",478,422,255,119,137,178,415,238,215,168,165,209
"peak453",143,91,63,9,17,22,157,92,38,40,9,13
"peak454",189,162,112,32,30,13,174,125,92,52,39,18
"peak455",256,155,85,22,18,7,202,128,72,33,25,17
"peak456",211,187,163,77,67,95,203,156,122,95,75,68
"peak457",289,322,380,325,505,674,275,292,299,292,543,768
"peak458",83,50,55,29,34,74,71,54,27,29,58,85
"peak459",99,106,113,108,202,272,100,78,76,132,164,311
"peak460",145,109,60,28,37,13,151,74,44,24,40,24
"peak461",121,126,56,12,14,6,128,89,63,22,15,6
"peak462",250,221,149,95,101,19,273,209,141,111,100,18
"peak463",61,56,56,58,142,216,48,63,42,60,126,316
"peak464",146,146,99,59,45,17,151,117,98,54,40,18
"peak465",630,602,331,80,54,34,640,523,264,94,51,45
"peak466",196,155,82,35,22,14,163,118,107,42,29,31
"peak467",636,546,273,118,109,46,589,529,253,140,108,65
"peak468",45,29,42,39,91,141,77,35,47,20,92,160
"peak469",1162,1375,1368,1118,1717,1620,1035,1063,1122,1097,1567,1594
"peak470",209,202,89,40,19,9,205,132,87,41,9,14
"peak471",371,286,189,82,56,39,405,262,180,88,54,44
"peak472",110,115,64,49,35,13,148,104,53,31,38,21
"peak473",108,113,122,116,154,263,134,86,82,110,135,384
"peak474",55,56,41,47,45,55,33,40,53,35,44,54
"peak475",1566,1616,1409,1217,1661,1450,1314,1227,1270,1266,1670,1433
