TF,TargetGene,RegulationType,Confidence,Evidence
terR,ispE,activation,0.91,comparative_genomics
terR,ispF,activation,0.91,DNase_footprint
terR,ispG,activation,0.91,comparative_genomics
terR,ispH,activation,0.91,TFBS_motif_scan
terR,idi,activation,0.91,ChIP_seq
terR,ispA,activation,0.91,DNase_footprint
terR,crtE,activation,0.87,TFBS_motif_scan
terR,gerA,activation,0.87,comparative_genomics
terR,linalS,activation,0.87,TFBS_motif_scan
terR,pinS,activation,0.87,TFBS_motif_scan
terR,limS,activation,0.87,ChIP_seq
sigB,dxs,activation,0.70,ChIP_seq
sigB,dxr,activation,0.70,TFBS_motif_scan
spo0A,gerA,activation,0.75,TFBS_motif_scan
spo0A,linalS,activation,0.75,comparative_genomics
spo0A,pinS,activation,0.75,ChIP_seq
spo0A,limS,activation,0.75,ChIP_seq
aroG,aroA,activation,0.90,DNase_footprint
aroG,aroB,activation,0.90,TFBS_motif_scan
aroG,aroC,activation,0.90,TFBS_motif_scan
aroG,pheA,activation,0.90,TFBS_motif_scan
paaX,paaF,repression,0.86,TFBS_motif_scan
paaX,paaG,repression,0.86,ChIP_seq
paaX,paaH,repression,0.86,TFBS_motif_scan
paaX,paaJ,repression,0.86,ChIP_seq
paaX,feaB,repression,0.86,TFBS_motif_scan
paaX,feaD,repression,0.86,DNase_footprint
tyrB,pal,activation,0.78,comparative_genomics
tyrB,phhA,activation,0.78,TFBS_motif_scan
hrcA,hpaB,repression,0.65,ChIP_seq
hrcA,hpaC,repression,0.65,TFBS_motif_scan
cysR,cysK,activation,0.93,TFBS_motif_scan
cysR,cysE,activation,0.93,ChIP_seq
cysR,cysD,activation,0.93,ChIP_seq
cysR,cysH,activation,0.93,ChIP_seq
cysR,cysI,activation,0.93,TFBS_motif_scan
cysR,tst,activation,0.93,ChIP_seq
metK,metA,activation,0.80,TFBS_motif_scan
metK,metB,activation,0.80,TFBS_motif_scan
metK,metC,activation,0.80,TFBS_motif_scan
codY,metA,repression,0.82,DNase_footprint
codY,metB,repression,0.82,TFBS_motif_scan
codY,metE,repression,0.82,DNase_footprint
mgl,mdeA,activation,0.88,TFBS_motif_scan
mgl,dmdA,activation,0.88,ChIP_seq
cysR,mglB,activation,0.85,TFBS_motif_scan
cysR,cysP,activation,0.85,TFBS_motif_scan
cysR,ssuA,activation,0.85,DNase_footprint
cysR,tauA,activation,0.85,TFBS_motif_scan
lldR,ldhA,activation,0.91,TFBS_motif_scan
lldR,ldhB,activation,0.91,TFBS_motif_scan
lldR,lldD,activation,0.91,DNase_footprint
lldR,dld,activation,0.91,TFBS_motif_scan
lldR,lctP,activation,0.91,ChIP_seq
ccpA,ldhA,activation,0.87,TFBS_motif_scan
ccpA,ldhB,activation,0.87,TFBS_motif_scan
ccpA,pflB,activation,0.87,ChIP_seq
ccpA,ackA,activation,0.87,TFBS_motif_scan
ccpA,pta,activation,0.87,ChIP_seq
ccpA,poxB,repression,0.80,TFBS_motif_scan
ccpA,acs,repression,0.80,comparative_genomics
pksM,pksA,activation,0.92,comparative_genomics
pksM,pksB,activation,0.92,TFBS_motif_scan
pksM,pksC,activation,0.92,ChIP_seq
pksM,pksD,activation,0.92,DNase_footprint
pksM,pksE,activation,0.92,TFBS_motif_scan
pksM,pksF,activation,0.92,comparative_genomics
pksM,pksG,activation,0.92,TFBS_motif_scan
pksM,pksH,activation,0.92,ChIP_seq
pksM,pksI,activation,0.88,DNase_footprint
pksM,pksJ,activation,0.88,comparative_genomics
pksM,pksK,activation,0.88,ChIP_seq
pksM,pksL,activation,0.88,TFBS_motif_scan
pksM,pksN,activation,0.88,comparative_genomics
pksM,pksR,activation,0.88,TFBS_motif_scan
spo0A,pksM,activation,0.83,TFBS_motif_scan
spo0A,dfnA,activation,0.83,comparative_genomics
spo0A,dfnB,activation,0.83,ChIP_seq
spo0A,macA,activation,0.83,TFBS_motif_scan
spo0A,baeA,activation,0.83,DNase_footprint
spo0A,baeB,activation,0.83,TFBS_motif_scan
spo0A,baeC,activation,0.83,comparative_genomics
sigH,pksA,activation,0.76,TFBS_motif_scan
sigH,pksB,activation,0.76,comparative_genomics
sigH,pksC,activation,0.76,ChIP_seq
nrpL,nrpA,activation,0.90,TFBS_motif_scan
nrpL,nrpB,activation,0.90,TFBS_motif_scan
nrpL,nrpC,activation,0.90,ChIP_seq
nrpL,nrpD,activation,0.90,ChIP_seq
nrpL,nrpE,activation,0.90,DNase_footprint
nrpL,nrpF,activation,0.90,TFBS_motif_scan
nrpL,nrpG,activation,0.90,DNase_footprint
nrpL,nrpH,activation,0.90,ChIP_seq
nrpL,nrpI,activation,0.86,DNase_footprint
nrpL,nrpJ,activation,0.86,TFBS_motif_scan
nrpL,nrpK,activation,0.86,TFBS_motif_scan
nrpL,nrpM,activation,0.86,DNase_footprint
nrpL,srfAA,activation,0.86,TFBS_motif_scan
nrpL,srfAB,activation,0.86,ChIP_seq
nrpL,comS,activation,0.86,TFBS_motif_scan
comA,srfAA,activation,0.82,TFBS_motif_scan
comA,srfAB,activation,0.82,TFBS_motif_scan
comA,comS,activation,0.82,TFBS_motif_scan
spo0A,nrpL,activation,0.80,TFBS_motif_scan
spo0A,bacilysinA,activation,0.80,ChIP_seq
spo0A,bacilysinB,activation,0.80,ChIP_seq
spo0A,bacilysinC,activation,0.80,DNase_footprint
nisR,nisA,activation,0.94,ChIP_seq
nisR,nisB,activation,0.94,comparative_genomics
nisR,nisC,activation,0.94,ChIP_seq
nisR,nisT,activation,0.94,comparative_genomics
nisR,nisI,activation,0.94,comparative_genomics
nisR,nisP,activation,0.94,ChIP_seq
bacR,bacA,activation,0.90,comparative_genomics
bacR,bacB,activation,0.90,TFBS_motif_scan
bacR,bacC,activation,0.90,TFBS_motif_scan
bacR,bacT,activation,0.90,TFBS_motif_scan
spaR,nisR,activation,0.78,ChIP_seq
spaR,nisK,activation,0.78,TFBS_motif_scan
luxR,bacR,activation,0.72,TFBS_motif_scan
luxR,bacK,activation,0.72,ChIP_seq
luxR,luxI,activation,0.89,TFBS_motif_scan
luxR,phrA,activation,0.89,ChIP_seq
luxR,rapA,activation,0.89,ChIP_seq
luxR,sinI,activation,0.89,ChIP_seq
comA,comP,activation,0.85,ChIP_seq
comA,spaK,activation,0.85,TFBS_motif_scan
comA,spaR,activation,0.85,DNase_footprint
sinR,sinI,repression,0.82,TFBS_motif_scan
sinR,abrB,repression,0.82,TFBS_motif_scan
spo0A,abrB,activation,0.88,comparative_genomics
spo0A,sinR,activation,0.88,DNase_footprint
spo0A,luxR,activation,0.88,ChIP_seq
codY,luxS,repression,0.80,TFBS_motif_scan
codY,comA,repression,0.80,TFBS_motif_scan
codY,comP,repression,0.80,TFBS_motif_scan
ccpA,ccpB,activation,0.92,ChIP_seq
ccpA,ccpC,activation,0.92,DNase_footprint
ccpA,sigA,activation,0.92,ChIP_seq
ccpA,pdhR,activation,0.92,ChIP_seq
sigB,sigM,activation,0.88,comparative_genomics
sigB,sigW,activation,0.88,comparative_genomics
sigB,katA,activation,0.88,TFBS_motif_scan
sigB,katE,activation,0.88,TFBS_motif_scan
sigB,ahpC,activation,0.88,TFBS_motif_scan
sigB,ahpD,activation,0.88,ChIP_seq
sigB,osrR,activation,0.88,ChIP_seq
sigB,oxyR,activation,0.88,TFBS_motif_scan
sigH,spo0A,activation,0.86,ChIP_seq
sigH,spo0B,activation,0.86,DNase_footprint
sigH,spo0F,activation,0.86,DNase_footprint
sigH,sigL,activation,0.86,TFBS_motif_scan
fur,sidA,repression,0.90,comparative_genomics
fur,sidB,repression,0.90,ChIP_seq
fur,sidC,repression,0.90,ChIP_seq
fur,sidD,repression,0.90,DNase_footprint
fur,sidE,repression,0.90,ChIP_seq
fur,sidF,repression,0.90,TFBS_motif_scan
fur,sidL,repression,0.90,TFBS_motif_scan
fur,entA,repression,0.90,TFBS_motif_scan
fur,entB,repression,0.90,TFBS_motif_scan
perR,katA,repression,0.84,ChIP_seq
perR,sodA,repression,0.84,comparative_genomics
perR,sodB,repression,0.84,TFBS_motif_scan
perR,ahpC,repression,0.84,TFBS_motif_scan
perR,trxA,repression,0.84,TFBS_motif_scan
perR,gor,repression,0.84,comparative_genomics
glnR,gshA,activation,0.80,TFBS_motif_scan
glnR,gshB,activation,0.80,DNase_footprint
glnR,metA,activation,0.80,ChIP_seq
glnR,metE,activation,0.80,TFBS_motif_scan
codY,ilvA,repression,0.87,TFBS_motif_scan
codY,ilvB,repression,0.87,comparative_genomics
codY,ilvC,repression,0.87,TFBS_motif_scan
codY,ilvD,repression,0.87,ChIP_seq
codY,thrA,repression,0.87,ChIP_seq
codY,lysC,repression,0.87,ChIP_seq
abrB,aprE,repression,0.83,comparative_genomics
abrB,nprE,repression,0.83,ChIP_seq
abrB,bpr,repression,0.83,DNase_footprint
abrB,vpr,repression,0.83,comparative_genomics
abrB,degU,repression,0.83,comparative_genomics
purR,purA,repression,0.91,TFBS_motif_scan
purR,purB,repression,0.91,TFBS_motif_scan
purR,purC,repression,0.91,ChIP_seq
purR,purD,repression,0.91,TFBS_motif_scan
purR,purF,repression,0.91,TFBS_motif_scan
purR,purH,repression,0.91,TFBS_motif_scan
pyrR,pyrA,repression,0.89,TFBS_motif_scan
pyrR,pyrB,repression,0.89,TFBS_motif_scan
pyrR,pyrC,repression,0.89,ChIP_seq
pyrR,pyrD,repression,0.89,comparative_genomics
pyrR,pyrE,repression,0.89,ChIP_seq
pyrR,pyrF,repression,0.89,DNase_footprint
sidL,sidA,activation,0.87,DNase_footprint
sidL,sidB,activation,0.87,comparative_genomics
sidL,sidC,activation,0.87,DNase_footprint
sidL,sidD,activation,0.87,TFBS_motif_scan
sidL,sidE,activation,0.87,comparative_genomics
sidL,sidF,activation,0.87,comparative_genomics
fur,sidG,repression,0.85,ChIP_seq
fur,sidH,repression,0.85,ChIP_seq
fur,sidI,repression,0.85,TFBS_motif_scan
fur,sidJ,repression,0.85,TFBS_motif_scan
fur,sidK,repression,0.85,TFBS_motif_scan
osrR,sodA,activation,0.86,TFBS_motif_scan
osrR,sodB,activation,0.86,DNase_footprint
osrR,sodC,activation,0.86,TFBS_motif_scan
osrR,ahpC,activation,0.86,TFBS_motif_scan
osrR,ahpD,activation,0.86,comparative_genomics
oxyR,katA,activation,0.88,comparative_genomics
oxyR,katE,activation,0.88,TFBS_motif_scan
oxyR,trxA,activation,0.88,TFBS_motif_scan
oxyR,trxB,activation,0.88,ChIP_seq
oxyR,gor,activation,0.88,TFBS_motif_scan
argR,argA,repression,0.92,comparative_genomics
argR,argB,repression,0.92,TFBS_motif_scan
argR,argC,repression,0.92,DNase_footprint
argR,argG,repression,0.92,TFBS_motif_scan
argR,argH,repression,0.92,ChIP_seq
codY,thrB,repression,0.85,ChIP_seq
codY,thrC,repression,0.85,ChIP_seq
rocR,argA,activation,0.78,DNase_footprint
rocR,argB,activation,0.78,TFBS_motif_scan
rocR,argC,activation,0.78,comparative_genomics
pdhR,pdhA,repression,0.88,DNase_footprint
pdhR,pdhB,repression,0.88,DNase_footprint
pdhR,pdhC,repression,0.88,TFBS_motif_scan
pdhR,pdhD,repression,0.88,TFBS_motif_scan
pdhR,aceE,repression,0.88,ChIP_seq
pdhR,aceF,repression,0.88,TFBS_motif_scan
pdhR,lpd,repression,0.88,TFBS_motif_scan
ccpA,pykA,activation,0.84,TFBS_motif_scan
ccpA,pykF,activation,0.84,ChIP_seq
ccpA,pfkA,activation,0.84,TFBS_motif_scan
ccpA,fbaA,activation,0.84,TFBS_motif_scan
sigA,ptsG,activation,0.80,TFBS_motif_scan
sigA,ptsH,activation,0.80,TFBS_motif_scan
sigA,ptsI,activation,0.80,TFBS_motif_scan
sigA,glcP,activation,0.80,ChIP_seq
alsS,alsD,activation,0.82,comparative_genomics
alsS,budA,activation,0.82,TFBS_motif_scan
alsS,budB,activation,0.82,ChIP_seq
alsS,budC,activation,0.82,TFBS_motif_scan
ribR,ribA,activation,0.86,TFBS_motif_scan
ribR,ribB,activation,0.86,ChIP_seq
ribR,ribC,activation,0.86,DNase_footprint
ribR,ribD,activation,0.86,comparative_genomics
ribR,ribE,activation,0.86,TFBS_motif_scan
lytR,cwlO,activation,0.85,TFBS_motif_scan
lytR,lytA,activation,0.85,DNase_footprint
lytR,lytB,activation,0.85,comparative_genomics
lytR,lytC,activation,0.85,TFBS_motif_scan
lytR,lytD,activation,0.85,ChIP_seq
lytR,lytE,activation,0.85,DNase_footprint
lytR,lytF,activation,0.85,TFBS_motif_scan
lytR,atlA,activation,0.85,TFBS_motif_scan
lytR,atlB,activation,0.85,comparative_genomics
walR,lytE,activation,0.82,TFBS_motif_scan
walR,lytF,activation,0.82,TFBS_motif_scan
walR,cwlO,activation,0.82,ChIP_seq
spo0A,lytR,activation,0.75,TFBS_motif_scan
spo0A,lytS,activation,0.75,ChIP_seq
degU,aprE,activation,0.90,ChIP_seq
degU,nprE,activation,0.90,TFBS_motif_scan
degU,nprB,activation,0.90,comparative_genomics
degU,bpr,activation,0.90,ChIP_seq
degU,vpr,activation,0.90,TFBS_motif_scan
degU,epr,activation,0.90,DNase_footprint
degU,mpr,activation,0.90,TFBS_motif_scan
degU,pepA,activation,0.84,DNase_footprint
degU,pepB,activation,0.84,ChIP_seq
degU,pepC,activation,0.84,TFBS_motif_scan
degU,pepF,activation,0.84,DNase_footprint
degU,pepN,activation,0.84,TFBS_motif_scan
degU,pepQ,activation,0.84,TFBS_motif_scan
degU,pepX,activation,0.84,comparative_genomics
degU,oppA,activation,0.80,DNase_footprint
degU,oppB,activation,0.80,ChIP_seq
abrB,degS,repression,0.82,TFBS_motif_scan
ccpA,aprE,activation,0.76,TFBS_motif_scan
ccpA,nprE,activation,0.76,comparative_genomics
spo0A,sigH,activation,0.92,comparative_genomics
sigB,sodA,activation,0.85,comparative_genomics
ccpA,lldR,activation,0.80,TFBS_motif_scan
ccpA,fadR,activation,0.80,TFBS_motif_scan
luxR,nisR,activation,0.73,TFBS_motif_scan
luxR,pksM,activation,0.73,ChIP_seq
codY,rocR,repression,0.78,ChIP_seq
codY,argR,repression,0.78,ChIP_seq
codY,cysR,repression,0.78,DNase_footprint
tenA,ribA,activation,0.70,ChIP_seq
tenA,ribB,activation,0.70,DNase_footprint
tenA,thiA,activation,0.70,ChIP_seq
tenA,thiC,activation,0.70,TFBS_motif_scan
yvfA,sidA,activation,0.65,ChIP_seq
yvfA,sidB,activation,0.65,DNase_footprint
yvfA,entA,activation,0.65,DNase_footprint
ytkD,lysC,activation,0.68,TFBS_motif_scan
ytkD,dapA,activation,0.68,ChIP_seq
ytkD,dapB,activation,0.68,ChIP_seq
yydA,luxS,activation,0.72,TFBS_motif_scan
yydA,luxI,activation,0.72,TFBS_motif_scan
