Gene,T0.0h_Rep1,T0.0h_Rep2,T0.0h_Rep3,T1.2h_Rep1,T1.2h_Rep2,T1.2h_Rep3,T2.4h_Rep1,T2.4h_Rep2,T2.4h_Rep3,T3.7h_Rep1,T3.7h_Rep2,T3.7h_Rep3,T4.9h_Rep1,T4.9h_Rep2,T4.9h_Rep3,T6.1h_Rep1,T6.1h_Rep2,T6.1h_Rep3,T7.3h_Rep1,T7.3h_Rep2,T7.3h_Rep3,T8.5h_Rep1,T8.5h_Rep2,T8.5h_Rep3,T9.8h_Rep1,T9.8h_Rep2,T9.8h_Rep3,T11.0h_Rep1,T11.0h_Rep2,T11.0h_Rep3,T12.2h_Rep1,T12.2h_Rep2,T12.2h_Rep3,T13.4h_Rep1,T13.4h_Rep2,T13.4h_Rep3,T14.6h_Rep1,T14.6h_Rep2,T14.6h_Rep3,T15.9h_Rep1,T15.9h_Rep2,T15.9h_Rep3,T17.1h_Rep1,T17.1h_Rep2,T17.1h_Rep3,T18.3h_Rep1,T18.3h_Rep2,T18.3h_Rep3,T19.5h_Rep1,T19.5h_Rep2,T19.5h_Rep3,T20.7h_Rep1,T20.7h_Rep2,T20.7h_Rep3,T22.0h_Rep1,T22.0h_Rep2,T22.0h_Rep3,T23.2h_Rep1,T23.2h_Rep2,T23.2h_Rep3,T24.4h_Rep1,T24.4h_Rep2,T24.4h_Rep3,T25.6h_Rep1,T25.6h_Rep2,T25.6h_Rep3,T26.8h_Rep1,T26.8h_Rep2,T26.8h_Rep3,T28.1h_Rep1,T28.1h_Rep2,T28.1h_Rep3,T29.3h_Rep1,T29.3h_Rep2,T29.3h_Rep3,T30.5h_Rep1,T30.5h_Rep2,T30.5h_Rep3,T31.7h_Rep1,T31.7h_Rep2,T31.7h_Rep3,T32.9h_Rep1,T32.9h_Rep2,T32.9h_Rep3,T34.2h_Rep1,T34.2h_Rep2,T34.2h_Rep3,T35.4h_Rep1,T35.4h_Rep2,T35.4h_Rep3,T36.6h_Rep1,T36.6h_Rep2,T36.6h_Rep3,T37.8h_Rep1,T37.8h_Rep2,T37.8h_Rep3,T39.1h_Rep1,T39.1h_Rep2,T39.1h_Rep3,T40.3h_Rep1,T40.3h_Rep2,T40.3h_Rep3,T41.5h_Rep1,T41.5h_Rep2,T41.5h_Rep3,T42.7h_Rep1,T42.7h_Rep2,T42.7h_Rep3,T43.9h_Rep1,T43.9h_Rep2,T43.9h_Rep3,T45.2h_Rep1,T45.2h_Rep2,T45.2h_Rep3,T46.4h_Rep1,T46.4h_Rep2,T46.4h_Rep3,T47.6h_Rep1,T47.6h_Rep2,T47.6h_Rep3,T48.8h_Rep1,T48.8h_Rep2,T48.8h_Rep3,T50.0h_Rep1,T50.0h_Rep2,T50.0h_Rep3,T51.3h_Rep1,T51.3h_Rep2,T51.3h_Rep3,T52.5h_Rep1,T52.5h_Rep2,T52.5h_Rep3,T53.7h_Rep1,T53.7h_Rep2,T53.7h_Rep3,T54.9h_Rep1,T54.9h_Rep2,T54.9h_Rep3,T56.1h_Rep1,T56.1h_Rep2,T56.1h_Rep3,T57.4h_Rep1,T57.4h_Rep2,T57.4h_Rep3,T58.6h_Rep1,T58.6h_Rep2,T58.6h_Rep3,T59.8h_Rep1,T59.8h_Rep2,T59.8h_Rep3,T61.0h_Rep1,T61.0h_Rep2,T61.0h_Rep3,T62.2h_Rep1,T62.2h_Rep2,T62.2h_Rep3,T63.5h_Rep1,T63.5h_Rep2,T63.5h_Rep3,T64.7h_Rep1,T64.7h_Rep2,T64.7h_Rep3,T65.9h_Rep1,T65.9h_Rep2,T65.9h_Rep3,T67.1h_Rep1,T67.1h_Rep2,T67.1h_Rep3,T68.3h_Rep1,T68.3h_Rep2,T68.3h_Rep3,T69.6h_Rep1,T69.6h_Rep2,T69.6h_Rep3,T70.8h_Rep1,T70.8h_Rep2,T70.8h_Rep3,T72.0h_Rep1,T72.0h_Rep2,T72.0h_Rep3
estC,6.2541,6.1807,5.9811,6.8645,7.2947,7.1270,6.5276,6.3252,6.6123,7.4382,7.2816,7.1530,6.5716,6.2920,6.7515,6.1916,6.3149,5.8978,6.3669,6.4646,6.2982,7.1130,6.6905,6.6812,6.6811,6.5393,6.1500,6.9814,6.7809,6.5659,6.8091,7.1252,7.3100,6.9127,7.2474,7.0676,7.6757,7.5916,7.7915,7.2871,7.2198,7.0290,7.9453,7.7802,7.7160,7.4087,7.1956,7.2085,6.4450,6.9882,6.8283,7.5328,7.8668,7.9084,8.2095,8.2824,8.1659,7.1775,7.2497,7.6467,7.4951,7.3056,7.1798,7.9133,7.9116,8.0149,8.0324,8.2897,8.0735,8.0495,8.2564,8.0996,8.3120,8.2017,8.1612,7.7464,7.6665,7.3328,7.8607,8.3880,8.1392,9.2797,9.5630,8.9418,8.6557,8.4377,8.6917,8.6641,8.4799,8.3269,8.4569,8.5226,8.7304,8.4783,8.7793,8.6171,9.0246,9.0763,8.9150,8.2690,8.5694,8.3844,8.3292,8.4934,8.6249,8.8229,9.1092,9.1628,9.1269,9.4644,9.2419,9.3140,8.4758,9.5290,9.4898,9.9789,9.4882,9.7058,9.9229,9.5124,9.3165,9.4263,9.2220,10.3393,10.1244,9.9350,9.4430,9.3381,9.8157,9.0395,9.1244,8.8438,9.4481,9.5644,9.6242,9.1233,8.9644,9.3573,8.9258,9.2763,8.7200,9.6246,10.0938,9.4484,9.3894,9.7368,9.8983,8.7985,8.5718,8.5707,8.7983,8.8293,8.5347,8.4817,8.5808,8.3748,8.2646,8.4810,8.7182,8.7712,8.7691,8.9410,7.8956,8.0617,7.9668,8.2739,8.5301,8.6579,7.6120,7.5621,7.6523,7.6181,7.2577,7.5604,8.2604,8.2495,7.6827,7.0134,6.9340,7.2092
atfA,7.3033,7.0533,7.1789,7.2150,7.3919,6.9513,6.6071,7.0153,6.4386,7.2371,7.1550,7.2961,7.0256,6.3534,7.1767,6.7619,7.1608,6.7358,6.5159,6.7768,6.6761,7.0718,7.5452,7.1096,7.1280,7.5183,7.3627,8.1404,8.2236,8.0344,7.3327,7.6574,7.2191,7.6206,6.7651,7.2049,7.5658,7.3788,7.1445,7.2936,7.3629,7.2680,6.6401,6.8430,6.7397,7.5309,7.4684,7.4087,6.9223,6.4363,6.7431,6.6264,6.8391,6.5291,6.5419,6.9072,6.7714,7.0974,7.1436,6.6978,7.1580,7.2821,7.0004,7.0268,6.6971,6.9341,7.0324,7.2200,7.0881,7.5435,7.1832,7.4035,7.0076,6.8771,7.0060,7.6560,7.4446,7.7650,7.7990,7.7598,8.0997,7.5095,7.6241,7.3921,8.2152,7.8842,8.3667,8.4163,8.4530,8.8918,8.1891,8.3926,8.3461,8.3636,8.5021,8.2197,8.7026,8.9512,8.3822,8.2719,8.1003,8.2766,8.5476,8.6539,8.3819,8.0013,8.1843,8.4247,9.0165,9.2286,9.3226,8.8919,8.6037,8.8274,8.6893,8.3271,8.1388,8.6200,8.8068,9.0829,9.0976,9.2710,9.1351,9.6835,9.3193,9.5795,10.0233,9.9842,9.8076,9.6232,10.2101,9.5445,7.8448,8.0258,8.2170,9.4999,9.6889,9.5424,9.7740,9.4730,9.5700,9.1638,8.7500,9.1512,9.3535,8.7190,9.3184,9.5193,9.7230,10.0370,9.6121,9.1807,9.7355,9.2896,9.2293,9.1980,8.7083,8.6184,8.4871,8.7490,8.4711,8.8741,8.7644,8.5552,8.8990,8.5313,8.6003,8.5768,8.1818,8.2058,8.8360,8.6635,8.6613,8.6631,8.6540,8.2526,8.4286,7.7823,8.3582,8.1654
atfB,6.8773,6.7256,7.1689,7.7615,7.5506,7.7064,6.8561,6.9907,6.8130,6.3731,6.2199,6.9752,7.6562,7.6605,7.8820,7.3366,7.0467,7.2139,7.2101,7.1703,7.0740,6.6778,6.4202,6.5381,6.6227,6.4850,6.6657,6.4607,6.4573,6.6325,6.8697,6.9368,7.3130,7.0374,7.1011,6.8973,6.7094,6.8872,6.7479,9.7020,9.5976,9.6024,6.1310,6.1070,6.4993,7.1327,6.9167,7.4659,7.3761,7.2566,7.0253,7.3610,6.9172,7.2108,7.1845,7.1590,7.0925,6.8307,6.8634,6.5964,6.4248,6.7288,6.8332,7.1751,6.9228,7.0832,7.7370,7.5532,7.6233,6.3230,6.7544,6.5666,6.9422,6.7315,7.3687,6.7376,6.8105,7.1370,7.0202,7.0285,6.9926,7.1702,7.2127,7.1455,7.1587,6.7484,7.0009,7.2464,7.0139,7.5337,7.0071,6.6604,7.0288,6.6879,6.4411,6.5954,6.9235,6.6963,7.1401,7.2582,6.8614,6.9855,8.1805,8.4194,7.7318,8.1669,7.4458,7.8328,7.8874,7.8574,7.7432,8.3084,8.2834,8.2404,8.3475,8.0570,8.0250,8.5357,8.5651,8.4550,8.7198,8.4242,8.4811,9.1022,8.8416,9.0010,8.4426,8.1561,8.3916,8.7894,8.9237,9.1560,8.5500,8.7180,8.7138,9.0521,8.8220,9.0714,9.2092,9.2343,8.9571,9.5451,9.5522,9.3207,8.9290,9.5897,9.1604,10.8895,10.7737,10.6563,9.2345,8.8968,9.1695,8.8064,8.9816,8.8999,9.2092,9.8013,9.1334,10.0570,9.8063,9.7959,9.1009,8.8452,9.0098,9.0464,9.8997,9.4101,9.8228,9.7462,9.7971,9.5127,9.1734,9.3917,8.7896,9.0974,9.4667,9.4020,9.6908,9.4070
eht1,6.9813,6.6751,6.3742,5.8657,6.1400,5.9628,7.2849,7.2261,6.6446,6.4284,6.3654,6.6827,6.4905,6.5855,6.5678,7.1978,7.0110,6.5307,6.7552,6.9139,6.4479,6.8487,7.2194,6.9166,6.1115,6.5611,6.1131,6.8995,6.5128,6.1554,6.4664,6.4651,5.7806,7.0784,7.0080,7.1685,6.5061,6.2754,6.7519,6.8257,6.6912,6.4245,6.6227,6.6308,6.5948,7.0757,6.5158,6.8657,7.0964,6.8384,6.9311,6.6831,6.2357,7.0514,6.7877,6.7247,6.8163,6.7957,6.8013,6.5634,6.9200,6.6752,6.9596,7.1390,7.2324,6.9326,6.5671,6.4805,6.8407,6.9381,7.5054,7.5427,7.0819,7.0897,7.3052,7.5279,7.5971,7.2569,6.8240,7.0403,7.2021,7.3462,7.5977,7.7995,7.7143,7.6364,7.4486,7.8717,7.6836,7.7377,8.1109,8.0097,7.7944,7.9688,7.7896,7.7973,8.1044,7.8416,7.8407,9.0704,8.9374,8.8042,9.0408,9.0280,8.8615,9.1972,9.5566,8.8779,10.0917,9.3046,9.6572,9.6234,9.7375,9.7707,9.0979,8.9740,9.0218,9.4218,9.6514,9.8159,9.1567,9.0706,9.3791,10.4539,10.4105,10.0757,9.5014,9.5711,9.5640,10.1890,10.0258,10.3804,9.6015,9.6037,9.3239,9.4977,9.4158,9.3132,9.8360,9.9935,9.9897,9.9052,9.8896,10.0259,9.7521,9.6218,9.8770,9.4220,9.2624,9.2499,9.5905,9.2510,9.3256,9.2900,8.9388,8.9794,9.7472,9.8782,9.4714,9.3500,9.3960,9.5145,8.1978,8.2687,8.4236,9.0976,8.7152,8.6582,8.3073,8.6240,8.3982,8.5798,8.5862,8.6567,8.0098,7.5077,7.9823,7.6047,8.0908,8.0423
eeb1,6.7857,6.4138,6.4201,6.6043,6.4784,6.6814,6.6776,6.7581,6.3459,6.0360,6.6670,6.6304,3.2205,3.3639,3.5318,7.1122,6.7645,7.0016,5.8767,6.3906,6.0251,7.1773,7.5973,7.3968,6.9520,7.1283,6.8785,5.7246,6.0670,6.1149,5.9714,6.2128,5.9398,6.9602,6.5342,7.0135,6.5921,6.6774,6.7427,6.7217,7.1321,6.8726,6.5719,6.4774,6.4867,6.9828,6.6841,6.9991,7.2263,7.0697,7.2903,6.7699,6.9760,7.1600,7.6225,7.8054,7.4632,5.9960,6.2516,6.3526,6.4295,6.6509,6.7024,6.6407,6.8908,6.6565,6.0478,6.3743,6.6619,7.5528,7.6641,7.7449,7.4275,7.0301,7.0377,6.8270,7.1676,6.7732,7.3432,7.4804,7.6015,7.3073,7.2426,6.9767,7.8025,7.9122,7.8790,8.1959,8.1877,8.0998,8.2321,8.0469,8.2167,8.2842,8.7451,8.4914,8.3785,8.7054,8.7094,8.9326,9.0634,8.8709,9.1781,8.7082,8.6442,9.7858,9.5577,9.6619,10.1218,9.7718,9.8740,10.1793,9.7661,10.1324,10.2531,10.2075,10.4122,10.4988,10.9888,10.7325,10.5929,10.6991,10.2707,9.8233,10.5008,10.1209,10.2805,10.1780,10.2129,10.0650,9.8176,9.9566,9.7613,10.2079,10.2184,10.1516,10.2515,10.5277,9.5758,10.0049,9.6083,10.1417,10.2043,10.3937,9.8405,9.6852,9.9486,10.1944,9.9528,10.2206,9.4319,9.0627,9.5351,10.0187,10.3466,10.3691,8.7095,8.9408,8.6794,9.4969,9.7092,9.4638,8.3459,8.4817,8.3855,8.5504,8.4925,8.4526,8.6128,8.6572,8.8733,8.2901,8.0973,8.0766,7.7498,7.8124,7.7455,7.4520,7.9244,7.5216
acsA,6.4900,6.8998,6.4181,6.2816,6.1502,5.8136,6.2148,6.6779,6.8671,5.8777,6.0238,6.2074,5.8995,6.6979,6.0806,6.3448,6.7015,6.5187,6.9494,6.5512,6.5427,6.8101,7.3402,6.8272,6.0583,6.2217,6.4085,7.0016,6.7689,6.7499,6.6829,7.2046,7.0797,6.9645,6.9086,7.1892,6.4159,6.6707,6.7772,7.0752,6.7416,6.8648,7.3563,6.7711,7.2778,7.7277,7.9062,8.5862,8.1500,7.9471,8.0339,8.0201,8.3631,8.2664,8.1969,8.0111,8.7202,9.1442,8.6933,8.9234,8.5330,8.0789,8.6529,9.2341,9.0246,9.4652,8.6890,9.0810,9.0500,10.2294,9.6991,9.8687,5.9474,6.3695,5.8981,9.5558,9.8672,9.6827,9.1215,9.5411,9.2917,9.5546,9.6423,9.7334,8.9185,9.0368,9.0411,8.7675,9.2621,9.1437,9.4880,9.6770,9.8162,10.5856,10.4441,10.7385,9.4438,9.5858,9.1477,9.0272,9.2448,9.2303,9.5675,9.9437,9.4903,9.5836,9.2467,9.6705,10.1140,10.0358,10.2368,9.8538,10.0875,9.5952,9.3936,9.3163,9.5281,9.2488,9.2642,8.8795,9.1878,9.3114,9.7024,9.3230,8.7126,9.1272,9.6836,9.1405,9.3364,8.6708,9.0485,8.5816,10.0026,10.0925,9.8249,8.9239,8.9834,9.0620,9.5684,9.4156,9.4935,8.7385,9.1471,9.0544,8.5892,8.5984,8.9543,8.6664,8.5852,8.8385,8.6749,8.9407,9.2143,9.4239,9.6369,9.6395,9.4540,9.0197,9.4498,9.1915,9.1561,9.1983,8.8847,8.7395,8.7060,8.4627,8.3943,8.6237,8.4354,8.3571,8.3755,8.4029,8.2805,8.1421,8.3406,8.7454,8.3459,8.7548,8.6155,8.2972
acsL,6.2851,6.2434,6.1471,7.5186,7.0752,7.1226,6.5665,6.4860,6.2541,6.3115,6.0971,6.2404,6.6786,6.8137,7.2430,6.6959,6.4913,6.4103,6.4169,6.7990,6.5494,6.2460,6.2896,6.2676,6.4152,7.0158,6.9312,6.5541,5.9480,6.2294,6.2174,6.4533,6.4279,6.2999,6.6954,6.2478,6.9448,7.1797,7.0268,7.4084,7.7801,7.0345,8.4063,8.2647,8.4323,8.2996,7.9961,8.2754,8.2285,8.4566,8.2356,8.8625,8.5030,8.4717,8.8436,8.9606,8.5395,8.7994,9.3657,8.6023,8.5064,8.7664,8.4507,9.3977,9.5544,8.9932,9.4415,9.4046,9.6686,9.2765,9.3323,9.1677,9.2057,9.0141,9.5072,9.6738,9.6037,9.6633,8.9127,9.3146,9.0559,9.7799,9.7772,9.8518,9.8524,9.5126,9.2040,9.9999,9.9448,10.2854,10.1018,10.1719,10.0339,9.7061,9.9137,9.6081,9.4313,9.4990,9.4358,8.9364,9.3167,9.5770,9.4210,9.3444,9.0400,9.1951,9.2860,9.0430,9.6489,9.4344,9.1945,9.6451,9.6288,9.1545,9.0647,8.7088,9.1725,8.5952,8.8402,9.0483,9.8903,10.0693,10.1393,8.9021,9.3554,8.7097,8.8627,9.2251,8.9607,8.6087,8.4996,8.5527,9.3151,9.6963,9.4138,9.4561,9.7775,9.4936,9.5510,9.6431,9.7876,9.2557,9.0765,8.9691,9.3596,9.1909,9.4878,9.6013,9.0873,9.1578,9.3793,9.2950,9.4781,8.7000,8.9536,8.8151,8.9375,9.2233,8.7834,9.1669,9.3975,9.2803,8.9732,8.8135,8.9551,9.1420,8.7793,9.1006,8.6012,8.7225,9.0979,8.9346,9.0400,8.8870,9.3556,9.3712,9.5530,8.6536,8.6844,8.7304
adhA,7.4139,7.3482,7.0266,6.5990,6.7743,6.9248,6.9549,7.3063,7.0419,7.7657,7.6718,7.7076,7.8183,7.9600,7.8836,7.5062,7.6220,7.7123,7.8380,8.2713,7.8232,7.6113,7.9509,7.8988,8.2767,8.1106,8.3307,8.1293,8.0653,7.8823,8.3903,8.3319,8.2194,8.4865,8.5220,8.6352,8.0458,7.8068,8.5924,8.5018,8.5632,8.4243,7.8051,7.8062,7.7942,9.4911,9.3796,9.5289,9.3061,9.3842,9.6978,9.5362,9.3408,9.8191,8.8460,8.8908,8.9653,9.7556,9.4111,9.4300,9.1527,9.4450,9.1316,9.0481,9.5320,9.3874,8.4529,8.0475,8.2033,9.2668,9.1783,8.9922,9.5061,9.5076,9.6822,9.0480,9.2774,8.8171,9.5536,9.5108,9.2348,8.7470,9.1531,8.6539,11.0679,10.7807,10.8153,9.2239,8.9639,9.3134,9.2620,9.2738,9.5476,8.9284,9.0045,8.9554,8.1226,8.2908,7.8355,8.7503,8.7468,9.0455,8.5103,8.4962,8.4931,8.6304,8.6758,8.6436,8.6214,8.8931,8.6422,8.3980,8.3839,8.4613,8.1390,7.9851,8.1751,7.6668,7.3785,7.7025,7.9761,7.7680,7.8306,8.0263,7.6789,7.2797,7.6144,8.2078,7.6321,6.7669,6.4666,6.6760,7.3553,7.7120,7.4870,7.7480,7.7582,7.9745,7.1986,7.3545,7.3416,7.3411,7.7896,7.3754,6.9483,7.0456,7.2100,7.4521,7.3412,7.6148,6.3430,6.8385,6.4135,6.1973,6.4211,6.5490,6.5487,5.9995,6.6066,7.3036,6.9757,6.5969,6.4678,6.4057,6.4563,6.9178,6.8491,6.4357,6.5290,7.1219,6.7357,6.1470,6.6168,6.4255,6.2089,6.4701,6.1616,6.4670,6.5323,6.9860
adhB,7.4528,7.4854,7.2404,7.4057,7.7312,7.5682,7.0761,7.2694,7.2491,6.8480,6.5272,6.9409,6.9467,7.0728,7.5111,8.1283,7.7416,7.2196,7.2841,7.8093,7.8783,8.0665,7.8888,8.0741,8.0895,7.9178,7.7120,7.7470,8.3086,8.1304,8.8137,8.5996,8.9745,8.0684,7.6496,7.9162,8.5239,9.0533,9.0936,9.4122,9.5598,9.3152,9.4621,9.3563,9.1653,9.3090,9.1198,9.2635,9.4059,9.7153,9.3666,9.1618,9.3277,9.3827,9.5785,9.9397,10.1011,9.2587,9.6206,9.4948,9.7176,9.4424,9.1303,9.3330,9.4659,9.8185,9.5914,9.9231,9.6138,8.4799,8.9663,8.7154,9.2473,9.1177,9.0703,9.1521,9.2011,8.8535,10.3340,9.7812,10.0984,9.1492,9.4549,9.6990,9.0951,9.2437,9.5704,9.4376,8.9239,8.8963,8.9509,8.5962,8.5974,9.2261,9.3102,9.8015,8.9981,9.0446,9.0674,9.3830,9.4562,9.5753,8.9499,9.1289,8.7449,8.9547,9.3498,9.1705,8.6273,9.0802,8.5872,9.1831,8.9584,8.8902,7.3080,7.7105,7.8140,7.1077,7.3163,7.3364,8.3595,8.7577,8.7696,6.9488,7.0630,7.0194,7.7385,7.5634,7.5033,6.4304,6.9021,6.3471,6.7227,7.3631,7.2567,6.9107,6.8216,7.2392,7.0955,6.8293,7.0079,6.9187,6.6197,6.6067,7.4301,7.3917,6.9718,6.7891,6.9680,7.0279,6.8977,6.7676,7.0628,6.5197,6.5352,6.2312,6.8978,6.7533,7.1937,6.5798,6.7771,7.1237,6.7146,6.8055,6.5851,6.3553,6.7407,6.6492,7.4082,6.7148,6.7621,6.9323,6.3393,6.4677,6.8207,7.2661,6.6891,6.7416,6.9367,7.0669
adhE,6.8597,7.2946,6.9470,7.3424,7.3191,7.7327,7.6887,7.4701,7.7861,8.0060,8.6216,8.5871,7.9350,8.3180,7.7608,7.5962,8.0067,7.9358,7.4178,7.1483,7.8630,7.9517,7.7343,7.8055,7.5945,7.6946,7.4574,7.8884,7.9091,7.8816,8.5654,8.5297,8.5245,8.5491,8.6560,8.6457,8.2781,7.7449,8.2690,8.7399,8.9650,8.4339,9.7388,9.6258,9.4873,8.6830,8.5789,8.1264,8.1827,8.3581,8.2156,10.6002,10.5425,10.6601,9.3787,9.4942,9.4367,9.2039,9.1554,8.9343,9.2974,9.1360,9.0970,8.9838,8.8454,8.8138,9.1661,9.5499,9.5865,9.5167,9.6277,10.1381,9.6060,9.7406,9.7169,8.7324,8.9051,8.9733,9.5691,9.2015,9.5486,9.2941,9.7587,9.2561,9.2207,8.7070,8.8921,9.4949,9.1048,9.2307,9.2450,8.9220,9.1481,8.6915,8.9102,8.7651,9.1492,8.9465,9.3802,8.7984,9.0282,8.5947,8.3317,8.3282,8.5038,8.2421,8.4499,8.0243,8.4446,8.2605,8.8922,8.1573,8.0783,7.7009,8.1313,8.2611,8.1995,7.4085,7.1705,7.5590,7.1163,7.4446,7.2364,7.4907,7.3295,7.1726,7.4916,7.5799,7.5729,8.1787,8.2176,7.9307,6.9109,6.9479,7.2821,6.8463,7.3864,7.1906,7.4238,7.0816,6.8433,6.7636,7.2673,7.1995,7.4940,7.4537,7.8850,6.9881,7.4035,6.9451,6.6720,6.9773,7.0422,7.0468,6.9078,6.8439,6.6683,6.8726,6.4612,6.2689,6.6588,6.6324,6.8640,6.9178,6.5874,8.5302,8.4139,8.4529,7.2895,6.7905,6.9421,6.5727,6.5729,6.8748,7.3133,7.1238,7.0737,6.7244,6.7417,7.0136
aldA,7.0121,6.9865,6.8089,7.2236,7.2020,6.9876,7.1214,6.7283,7.0324,8.6950,8.6151,8.3244,7.3065,7.1741,6.9381,7.9962,8.0524,7.9304,8.2737,7.7363,7.9544,7.5322,7.4428,7.5274,8.2628,8.3560,8.5791,7.5958,8.0788,7.5115,7.0964,6.7838,7.0217,7.1234,7.0264,7.6240,7.9786,7.9052,7.9108,8.4588,8.6582,8.1456,9.0412,8.8514,8.9454,7.9679,8.4560,8.2355,7.6858,8.0863,7.9576,8.8772,8.0823,8.0964,8.3487,8.2600,8.5920,9.0085,9.1850,9.5425,9.0581,8.7774,8.9201,9.1171,9.2494,9.0111,8.1174,8.5156,8.4634,8.4202,8.3866,8.3153,8.2058,8.3300,8.2555,8.7998,8.5021,8.6655,8.8470,8.9941,9.2292,8.5212,8.1635,8.8328,8.9398,8.9014,8.9226,8.2091,8.2841,8.3333,8.6075,8.4744,8.2423,8.3843,8.5995,8.5676,8.8236,8.8160,8.8270,9.1974,8.8100,8.9510,8.5805,8.5706,8.7974,8.2731,8.3883,8.4907,8.7634,8.6058,9.1150,8.9021,9.4604,9.3244,9.2354,9.0888,8.8910,8.9525,8.5679,8.8569,8.9535,8.8490,8.6449,8.9777,9.0914,9.1134,9.3707,9.2106,9.5378,9.3472,8.8915,9.2947,9.4906,9.3444,9.6623,9.4951,9.8774,10.0752,9.4884,9.4007,9.4921,9.1087,9.1108,9.2142,9.0841,9.0890,9.2586,9.0974,9.0955,9.2687,8.6279,8.7252,8.4282,9.8391,9.6460,9.6934,9.2196,9.0788,9.5292,9.7263,9.6257,9.3113,8.8391,9.1706,8.6897,8.8578,8.8455,9.4012,8.4752,8.7693,8.6350,9.3277,9.3584,9.1937,8.9464,8.8970,8.9942,9.0387,9.5843,9.0212
aldB,7.5791,7.4776,7.7026,7.8999,7.7676,8.0692,8.4268,8.0885,7.9512,7.4667,7.6654,7.7824,7.5263,7.4144,7.3520,8.0086,7.9801,7.7400,8.1044,7.7741,7.8101,7.8105,7.7079,7.3177,8.1127,8.1146,8.2593,7.1811,7.5642,7.0806,8.1640,8.6548,8.4630,8.1523,8.2863,8.0896,7.9615,7.6213,7.9498,8.7584,8.4201,8.5999,9.0561,8.8276,8.7660,7.8891,7.8829,8.1909,8.3670,8.2376,8.1338,9.2151,8.6446,8.4949,7.8989,7.8924,7.9306,7.5642,8.0171,7.6358,8.7464,8.2827,8.8558,8.0819,8.2124,8.3678,8.9024,8.9349,8.4816,8.5773,8.1489,8.3778,8.1826,8.2677,8.3296,8.9829,8.7276,8.5888,8.9587,8.3875,8.4631,9.3972,9.7242,9.4783,8.8354,8.7567,8.5414,8.8925,8.8251,8.7003,8.4062,8.8340,8.3154,7.9884,8.0685,7.9757,8.1366,8.0264,8.5271,8.5828,8.3184,8.4613,8.5625,8.4194,8.2846,9.0957,8.8220,8.9682,8.1701,8.2976,9.0370,8.9351,8.7131,8.8158,8.9418,8.7168,9.0630,8.6383,8.6815,8.3249,8.8538,8.7967,8.4472,8.7605,9.1656,8.9290,8.6361,8.9555,8.4092,9.0713,8.8067,9.0887,10.0522,9.7222,9.4306,9.4026,9.1475,9.0628,9.2675,9.5988,8.8934,9.2798,8.8524,9.4030,9.1106,9.0655,9.1151,9.0934,9.1573,9.1614,9.2961,9.0022,9.1062,8.7282,8.8461,8.3606,8.2183,8.4355,8.4664,9.3340,9.3879,8.7544,9.3950,9.4392,9.4809,9.4461,9.3218,9.2343,8.8558,9.1231,8.8838,9.0989,9.4153,9.2998,9.1359,9.1148,8.6759,8.9694,9.2690,8.8470
dxs,6.4625,6.4511,6.3783,5.5793,5.9355,5.6962,6.1238,5.7879,5.5469,5.9783,5.5681,5.8300,5.8592,5.7964,5.8906,5.6345,5.6375,5.3082,5.9553,6.0937,5.9380,6.0145,5.9320,5.8977,6.5526,6.4951,6.3683,6.4479,5.9726,6.1661,6.1666,5.9461,6.3708,5.9849,6.8327,6.3855,6.9116,6.7081,7.1276,7.1997,7.2345,6.9784,6.8764,7.0645,6.4972,7.1363,7.2746,7.1471,8.1980,8.0324,8.1482,8.0475,7.7843,7.6359,8.2903,8.6911,8.7735,8.8062,8.8701,8.7175,8.8362,8.8040,8.9435,9.1139,9.6314,8.8280,8.9385,8.9933,9.1777,9.6025,9.6633,9.6805,9.0319,9.6210,9.3927,10.1952,10.2251,10.2221,10.0582,9.7801,9.7653,10.0449,9.7117,9.6266,10.3971,10.0061,10.3299,9.5119,9.4802,9.4617,10.1396,10.2882,10.1549,9.7446,9.9220,9.5690,10.3694,10.0805,10.2982,9.8542,10.1654,9.7585,9.8817,9.5032,9.5714,9.5099,9.7849,9.5931,9.4193,9.2240,9.4530,10.5599,9.9356,9.7252,9.3407,9.9159,9.9483,10.7308,10.6407,10.3167,9.7762,9.4066,9.4704,9.1147,9.5215,9.7647,9.6816,9.2867,9.3294,9.1655,9.4671,9.7539,10.2094,9.9790,10.0276,9.9332,10.0743,9.8515,10.2452,10.2007,9.6929,9.7838,10.4324,9.8848,10.2107,10.0977,9.9928,10.1497,9.9751,9.9163,9.7049,9.5513,9.6211,10.1770,9.8866,10.3738,9.9365,9.5296,9.6346,9.3878,9.2643,9.0951,9.7169,9.7349,9.3327,9.3004,9.7183,9.3088,9.6947,9.1786,9.7378,9.8037,9.8888,10.1734,8.7485,8.7707,8.6331,8.9838,8.5915,8.8031
