,X,Y
"4,93",10.0058,1.42063
"4,95",10.2544,1.93108
"4,97",9.82421,1.47706
"4,99",10.1594,1.48288
"4,101",10.2748,-1.31642
"4,103",9.93855,1.73059
"4,105",10.321,1.59401
"4,107",10.0018,1.0664
"4,109",10.2808,1.71073
"4,111",10.1693,1.92038
"4,113",11.4437,2.1157
"4,115",11.7693,2.35349
"4,117",11.8276,2.29889
"4,119",11.8184,2.31996
"4,121",11.7491,2.39428
"4,123",11.7488,2.16142
"4,125",11.4888,2.24541
"4,127",11.5366,2.1365
"4,129",11.6648,2.2768
"4,131",9.75279,2.61964
"4,133",9.90381,2.77748
"7,1",10.3298,1.97336
"7,3",10.1937,2.29413
"7,5",9.93768,1.4974
"7,7",10.3129,1.23368
"7,9",9.82147,2.17014
"7,11",9.84818,1.87863
"7,13",10.1867,-1.72885
"7,15",10.3493,-1.72352
"7,17",10.6687,1.09847
"7,19",10.3315,1.67974
"7,21",9.76431,2.098
"7,23",10.5397,1.70863
"7,25",10.676,1.37803
"7,27",10.4721,1.91364
"7,29",10.8621,1.6355
"7,31",10.2844,1.2179
"7,33",9.85763,1.28843
"7,35",9.99512,1.86001
"7,37",10.6057,1.38559
"7,39",10.4156,1.37424
"7,41",10.5616,1.4732
"7,43",10.0133,1.72738
"7,45",10.4012,1.29961
"7,47",10.0744,1.42595
"7,49",10.3967,1.73516
"7,51",10.1961,1.19904
"7,53",10.0601,1.70728
"7,55",9.63293,1.76169
"7,57",10.0278,1.77066
"7,59",9.98185,0.453339
"7,61",10.5464,1.77378
"7,63",10.1996,1.40052
"7,65",10.0233,1.41546
"7,67",10.6936,1.64875
"7,69",10.4537,1.80386
"7,71",9.99636,2.04704
"7,73",9.61253,1.73887
"7,75",9.7893,1.60992
"7,77",10.4867,2.00791
"7,79",10.3973,1.75521
"7,81",9.8133,1.95343
"7,83",10.2155,2.00735
"7,85",9.81718,1.404
"7,87",10.5207,1.03813
"7,89",9.89526,1.60989
"7,91",9.9051,1.81953
"7,93",10.2193,-1.02597
"7,95",10.5722,2.02481
"7,97",10.2005,2.18082
"7,99",9.69371,2.26835
"7,101",10.317,2.29875
"7,103",9.77836,2.50061
"7,105",10.0113,-0.888547
"7,107",9.84823,2.23813
"7,109",11.2711,2.09155
"7,111",11.8015,2.27893
"7,113",-8.06937,1.13454
"7,115",-7.70484,1.42121
"7,117",-7.17508,0.866531
"7,119",-7.79695,-0.822675
"7,121",-8.06593,1.28997
"7,123",-8.21441,0.646748
"7,125",-8.0132,0.246416
"7,127",-7.52606,1.50572
"7,129",-7.47303,1.25446
"7,131",-7.26553,1.03982
"7,133",-4.479,-1.03994
"10,1",10.3123,1.87139
"10,3",10.3838,1.31019
"10,5",10.2963,1.83911
"10,7",10.0339,2.25616
"10,9",10.1957,2.12306
"10,11",10.047,1.83101
"10,13",10.0003,2.254
"10,15",10.3473,1.9958
"10,17",9.86287,1.63906
"10,19",10.475,1.68006
"10,21",9.6968,1.58219
"10,23",10.0566,2.11126
"10,25",10.0385,2.20836
"10,27",10.1557,1.66936
"10,29",10.3051,1.53996
"10,31",10.3924,1.77915
"10,33",9.9188,1.12843
"10,35",10.6198,1.42528
"10,37",10.1817,1.54869
"10,39",9.95582,1.70769
"10,41",10.5913,1.59562
"10,43",9.83236,2.013
"10,45",10.3959,1.45411
"10,47",10.0924,1.8827
"10,49",10.0388,2.09567
"10,51",10.3737,1.51199
"10,53",10.2811,1.912
"10,55",10.1883,1.48224
"10,57",10.4059,1.63446
"10,59",10.4615,1.33234
"10,61",10.5311,2.17892
"10,63",10.1616,1.56983
"10,65",10.0132,1.66687
"10,67",10.5956,1.54862
"10,69",10.5343,1.22541
"10,71",10.5039,1.5312
"10,73",10.2277,2.04555
"10,75",9.66448,2.33463
"10,77",10.4333,1.40797
"10,79",10.1593,1.63759
"10,81",10.0826,2.00979
"10,83",10.4513,1.96872
"10,85",10.2599,1.36833
"10,87",10.1484,-1.45232
"10,89",10.1073,0.160215
"10,91",9.82729,1.86583
"10,93",11.5968,2.121
"10,95",10.557,1.95863
"10,97",11.6961,2.33839
"10,99",11.5925,2.25466
"10,101",9.96642,2.26615
"10,103",10.1697,1.92027
"10,105",10.0212,1.71028
"10,107",-7.94654,1.33302
"10,109",-7.97501,0.997441
"10,111",-7.76927,1.3368
"10,113",-7.74164,1.55037
"10,115",-5.53578,-1.90229
"10,117",-5.1001,-1.83052
"10,119",-7.7037,-1.60906
"10,121",-7.88342,0.365143
"10,123",-7.96115,0.495773
"10,125",-7.97234,-0.0763684
"10,127",-7.79992,1.50398
"10,129",-7.32702,0.857945
"10,131",-7.20024,1.12337
"10,133",-7.4998,1.29109
"13,1",10.041,1.97277
"13,3",9.7859,1.82117
"13,5",9.9449,2.24626
"13,7",10.138,2.05898
"13,9",10.3166,1.78334
"13,11",9.78696,1.80047
"13,13",10.1833,1.64986
"13,15",10.3092,1.84995
"13,17",10.2621,2.20569
"13,19",9.85381,1.63855
"13,21",10.4616,1.7005
"13,23",9.96705,1.44521
"13,25",9.85411,1.88738
"13,27",10.0188,1.50925
"13,29",10.6274,1.996
"13,31",10.4372,1.61312
"13,33",10.5668,1.49983
"13,35",10.5922,1.38728
"13,37",9.99824,1.29221
"13,39",10.024,2.1275
"13,41",10.1597,1.76993
"13,43",9.79281,2.20254
"13,45",9.97907,2.17442
"13,47",9.86627,1.98596
"13,49",10.2952,2.0587
"13,51",9.79581,0.92046
"13,53",10.0867,2.03887
"13,55",9.92934,1.89662
"13,57",9.84521,1.91781
"13,59",9.99846,1.84157
"13,61",10.1984,1.96462
"13,63",9.70424,2.35843
"13,65",10.0078,1.97625
"13,67",10.3724,1.7576
"13,69",9.9423,1.73107
"13,71",10.4943,1.38706
"13,73",10.1188,1.7043
"13,75",9.84141,1.339
"13,77",10.2212,1.67222
"13,79",9.94657,1.87801
"13,81",9.74151,2.22051
"13,83",10.345,2.27785
"13,85",10.0209,1.65324
"13,87",10.1902,1.7199
"13,89",10.3101,2.2776
"13,91",11.7839,2.27563
"13,93",-7.89889,1.08822
"13,95",-7.53336,1.37283
"13,97",-7.69257,1.39106
"13,99",11.6388,2.37474
"13,101",-7.62654,1.31683
"13,103",-7.75107,1.32835
"13,105",-8.22655,0.954489
"13,107",-7.82818,1.15457
"13,109",-7.91792,0.23105
"13,111",-8.2938,0.960187
"13,113",-7.25812,0.92472
"13,115",-7.38878,0.933796
"13,117",-7.68806,1.13993
"13,119",-7.77346,1.19085
"13,121",-7.70655,0.813455
"13,123",-7.77961,-1.48443
"13,125",-8.27732,0.669299
"13,127",-8.13988,0.626988
"13,129",-7.72011,0.622758
"13,131",-7.60345,0.696822
"13,133",-6.96338,0.957341
"16,1",9.92201,1.85977
"16,3",9.81423,2.11804
"16,5",10.6033,1.93957
"16,7",10.4144,2.15229
"16,9",10.5228,1.8666
"16,11",9.80513,1.78889
"16,13",10.1963,2.1709
"16,15",10.3746,1.69619
"16,17",9.85262,1.73266
"16,19",10.4502,1.41174
"16,21",10.1991,1.83323
"16,23",10.1874,1.91755
"16,25",10.5179,1.44283
"16,27",10.0667,1.85834
"16,29",10.1295,-0.121948
"16,31",9.98498,2.02306
"16,33",9.80161,1.59192
"16,35",10.4238,2.00428
"16,37",10.5381,1.53054
"16,39",9.62073,2.18144
"16,41",10.2671,1.91063
"16,43",10.5456,1.32749
"16,45",10.1554,-0.528276
"16,47",10.1264,-0.358838
"16,49",9.82429,1.73751
"16,51",9.83507,1.68445
"16,53",10.0083,1.24931
"16,55",10.5905,1.48663
"16,57",10.714,1.41434
"16,59",10.031,1.5196
"16,61",9.94273,1.70878
"16,63",10.0521,2.18339
"16,65",10.173,1.66659
"16,67",9.84673,1.64265
"16,69",10.5908,1.64549
"16,71",10.3302,2.1858
"16,73",10.1115,1.69948
"16,75",10.2518,1.64994
"16,77",9.53216,1.81971
"16,79",9.60521,2.12919
"16,81",10.4178,1.77643
"16,83",10.0747,0.0966747
"16,85",10.1225,-0.348357
"16,87",9.95078,1.99759
"16,89",10.6756,2.08446
"16,91",-7.82739,1.43416
"16,93",-7.88947,1.33752
"16,95",-7.52125,1.29008
"16,97",-7.81165,1.14039
"16,99",-7.62913,0.504698
"16,101",-7.72753,1.40177
"16,103",-7.85274,0.145323
"16,105",-7.90549,0.325746
"16,107",-7.90906,0.819517
"16,109",-8.13676,0.707393
"16,111",-7.91639,1.19851
"16,113",-8.13901,0.726216
"16,115",-7.63444,0.586745
"16,117",-7.94905,1.19488
"16,119",-7.5878,1.09287
"16,121",-7.73732,0.825512
"16,123",-7.94284,0.0292927
"16,125",-7.88889,0.951711
"16,127",-8.14761,1.01714
"16,129",-7.83473,0.898039
"16,131",-7.95007,0.861788
"16,133",-7.32066,0.963832
"19,1",10.4714,2.03232
"19,3",9.62411,2.17661
"19,5",9.99954,1.70387
"19,7",10.4066,1.69385
"19,9",9.94647,1.99606
"19,11",10.6009,1.89614
"19,13",10.1392,2.08906
"19,15",10.2863,1.81037
"19,17",10.4434,2.14078
"19,19",10.3482,1.57642
"19,21",10.1064,2.2825
"19,23",10.1564,1.91527
"19,25",10.2165,2.00795
"19,27",10.1249,1.30132
"19,29",10.3827,1.51491
"19,31",9.89548,2.11527
"19,33",10.0961,1.49684
"19,35",10.3866,1.25796
"19,37",10.4764,1.7351
"19,39",10.0624,2.03344
"19,41",9.95716,1.59889
"19,43",9.68083,1.87309
"19,45",10.0685,2.02152
"19,47",9.98624,1.81544
"19,49",9.79006,1.28293
"19,51",9.92007,1.68995
"19,53",10.3994,1.25396
"19,55",9.93726,1.54702
"19,57",10.7063,1.66478
"19,59",9.9022,1.97888
"19,61",10.1838,2.1173
"19,63",10.1829,1.95181
"19,65",9.95139,1.90269
"19,67",10.1124,1.55531
"19,69",10.3745,1.58884
"19,71",10.4838,1.53324
"19,73",9.74999,1.73739
"19,75",10.4364,1.93816
"19,77",9.5722,2.0983
"19,79",9.67012,2.3593
"19,81",-7.77276,1.5783
"19,83",11.4159,2.33614
"19,85",-7.5869,1.49727
"19,87",-7.77914,1.56258
"19,89",-8.06581,1.2324
"19,91",-7.80397,1.18362
"19,93",-7.25897,0.457085
"19,95",-7.47605,0.652714
"19,97",-8.06326,0.804295
"19,99",-7.91507,0.644768
"19,101",-8.25638,0.797388
"19,103",-8.09924,0.673469
"19,105",-7.86776,0.620016
"19,107",-7.4794,0.864838
"19,109",-7.8041,1.01247
"19,111",-7.82365,0.395644
"19,113",-8.12308,1.05349
"19,115",-7.82845,1.21457
"19,117",-7.75768,1.23356
"19,119",-7.76965,0.731625
"19,121",-7.65982,0.829261
"19,123",-8.00637,-0.272852
"19,125",-8.12374,0.22045
"19,127",-7.85048,0.938854
"19,129",-8.03501,1.16888
"19,131",-7.66342,1.08726
"19,133",-7.9845,0.990047
"22,1",10.0184,2.44682
"22,3",10.3964,1.71602
"22,5",9.85137,1.94314
"22,7",9.88273,2.41783
"22,9",10.5943,1.81616
"22,11",10.1641,1.65032
"22,13",10.3991,1.7577
"22,15",10.6641,1.41478
"22,17",10.5962,1.73445
"22,19",10.651,1.35576
"22,21",10.308,1.92919
"22,23",10.2033,1.41969
"22,25",10.2129,1.38318
"22,27",10.0568,1.24694
"22,29",9.76354,1.68606
"22,31",9.75417,1.18976
"22,33",10.2229,1.26448
"22,35",10.0443,1.78056
"22,37",10.0763,2.15538
"22,39",10.3885,-1.84323
"22,41",10.24,-1.90891
"22,43",9.68991,2.41348
"22,45",10.4811,1.87469
"22,47",9.55986,2.2166
"22,49",10.2838,1.76913
"22,51",10.7823,1.97245
"22,53",9.87505,1.06628
"22,55",9.8805,1.31139
"22,57",10.479,1.69435
"22,59",10.2881,0.696365
"22,61",10.3794,2.07613
"22,63",10.6291,1.64099
"22,65",9.85835,2.13982
"22,67",10.0315,2.24787
"22,69",10.2875,-1.983
"22,71",10.1758,-1.80994
"22,73",10.1313,2.32711
"22,75",10.4412,1.55611
"22,77",10.6608,1.87746
"22,79",11.6046,2.51873
"22,81",-7.39536,1.36346
"22,83",10.5541,1.85492
"22,85",-4.59437,-0.654518
"22,87",-7.98679,1.55206
"22,89",-7.83035,0.344328
"22,91",-7.78305,0.728583
"22,93",-8.26123,0.560337
"22,95",-7.43971,1.03683
"22,97",-7.43475,0.993902
"22,99",-7.9423,0.356092
"22,101",-7.55434,0.550669
"22,103",-7.76919,-0.106479
"22,105",-7.79018,-0.109454
"22,107",-7.15959,1.27508
"22,109",-7.49267,0.89302
"22,111",-8.04895,0.859327
"22,113",-7.83282,0.848919
"22,115",-7.97867,0.920981
"22,117",-7.20154,0.708182
"22,119",-7.95557,0.525144
"22,121",-8.17815,0.996983
"22,123",-7.59578,0.815491
"22,125",-7.3998,0.292853
"22,127",-7.97658,0.0325239
"22,129",-7.95716,0.715975
"22,131",-7.55844,1.12699
"22,133",-7.30338,0.469335
"25,1",10.1157,2.16458
"25,3",10.1544,2.18877
"25,5",10.1051,0.143971
"25,7",9.63331,1.91775
"25,9",10.1391,1.91214
"25,11",9.63829,2.08073
"25,13",10.2158,1.40813
"25,15",9.7084,1.54931
"25,17",9.7061,1.4074
"25,19",9.80028,1.90201
"25,21",10.2359,2.02963
"25,23",9.74674,2.40612
"25,25",9.67194,2.36171
"25,27",10.301,1.88265
"25,29",10.4552,1.96804
"25,31",10.0595,1.71818
"25,33",10.33,1.3011
"25,35",10.4641,2.05892
"25,37",10.411,2.12352
"25,39",9.83884,2.26751
"25,41",10.507,1.19851
"25,43",10.281,2.04001
"25,45",10.0738,1.81742
"25,47",10.5587,1.48122
"25,49",10.132,1.96254
"25,51",10.1023,1.69747
"25,53",10.1065,1.47043
"25,55",9.65137,1.22735
"25,57",9.68493,1.72854
"25,59",10.0162,1.80359
"25,61",10.1894,1.34845
"25,63",10.2443,-1.13179
"25,65",9.80572,2.24388
"25,67",9.80946,2.05592
"25,69",10.3611,-2.02339
"25,71",10.3517,-2.08072
"25,73",11.4668,2.55284
"25,75",-8.03473,1.0268
"25,77",-7.47187,-2.08828
"25,79",-6.46447,0.369963
"25,81",-8.12768,0.18922
"25,83",-7.92989,-0.180437
"25,85",-8.02102,0.610276
"25,87",-7.9891,0.947061
"25,89",-8.1863,0.197048
"25,91",-7.54908,0.539962
"25,93",-7.96096,0.859747
"25,95",-7.23776,1.12093
"25,97",-7.27394,-2.12455
"25,99",-7.42807,0.876923
"25,101",-7.82099,1.22758
"25,103",-7.25214,1.00768
"25,105",-7.41179,0.752857
"25,107",-7.97692,0.986469
"25,109",-7.60912,1.2303
"25,111",-7.43751,1.02272
"25,113",-7.84195,1.34867
"25,115",-7.96449,1.22299
"25,117",-7.46201,1.17241
"25,119",-8.08036,0.958879
"25,121",-8.06525,0.18638
"25,123",-7.97632,0.561859
"25,125",-7.76741,0.2207
"25,127",-7.48493,1.08612
"25,129",-7.55585,1.02129
"25,131",-7.86117,0.882696
"25,133",-7.70919,1.19641
"28,1",10.1741,1.72955
"28,3",10.5635,1.90808
"28,5",10.2969,2.19115
"28,7",10.4742,2.03365
"28,9",9.65227,2.25007
"28,11",9.76708,1.72693
"28,13",9.85544,1.5961
"28,15",10.1281,2.10864
"28,17",10.2148,1.7381
"28,19",9.83373,1.83255
"28,21",9.74882,1.82305
"28,23",9.82784,2.58831
"28,25",9.88007,1.98822
"28,27",10.2438,1.58789
"28,29",10.4485,1.97308
"28,31",10.367,1.25259
"28,33",10.4646,1.55002
"28,35",10.5766,1.21205
"28,37",10.0616,1.70566
"28,39",10.2953,-1.31984
"28,41",10.3194,1.53765
"28,43",10.1702,2.03736
"28,45",10.5632,1.93208
"28,47",10.1179,1.82302
"28,49",10.2006,1.50289
"28,51",10.0528,1.44431
"28,53",10.4036,-1.71328
"28,55",9.82427,1.95436
"28,57",9.66031,2.11615
"28,59",9.63218,2.25784
"28,61",9.855,2.31556
"28,63",-7.66277,1.66032
"28,65",-7.80243,1.38246
"28,67",-7.61658,1.30436
"28,69",-7.80751,1.16113
"28,71",-7.71757,1.33551
"28,73",-7.89471,0.0452708
"28,75",-8.22034,0.385185
"28,77",-7.6516,-1.89862
"28,79",-7.10501,0.612628
"28,81",-4.04123,-1.66776
"28,83",-8.34878,0.953992
"28,85",-7.88627,-1.1561
"28,87",-7.58986,1.00925
"28,89",-7.53932,-2.14642
"28,91",-7.11505,-2.01884
"28,93",-7.29989,1.01258
"28,95",-7.38568,0.773996
"28,97",-7.73369,-1.4756
"28,99",-6.92251,0.947049
"28,101",-7.32839,1.18849
"28,103",-8.15178,0.986305
"28,105",-7.98178,1.06787
"28,107",-8.00423,1.02231
"28,109",-7.85906,1.16014
"28,111",-7.60496,0.441609
"28,113",-8.19732,0.455945
"28,115",-7.16851,0.974452
"28,117",-8.04466,1.09598
"28,119",-4.66099,-0.793856
"28,121",-8.27692,0.443923
"28,123",-8.16151,0.315768
"28,125",-7.54706,0.632376
"28,127",-7.78424,0.944302
"28,129",-8.01674,1.2004
"28,131",-7.56897,1.35749
"28,133",-7.57372,1.37274
"31,1",10.3584,1.96141
"31,3",10.6224,2.08693
"31,5",10.5542,1.88813
"31,7",10.0858,1.30263
"31,9",9.60137,1.82375
"31,11",10.1689,1.31517
"31,13",10.102,1.68684
"31,15",10.2293,2.13466
"31,17",10.3152,1.46711
"31,19",9.6411,1.68558
"31,21",10.2039,1.95156
"31,23",11.0753,1.59404
"31,25",9.81169,2.02054
"31,27",10.2674,1.99395
"31,29",10.4952,2.01345
"31,31",10.379,1.49836
"31,33",10.3616,1.51615
"31,35",10.4515,1.42523
"31,37",10.5605,1.35362
"31,39",10.8354,1.71001
"31,41",10.5002,1.9723
"31,43",10.444,1.4073
"31,45",10.7031,1.61119
"31,47",10.136,1.74576
"31,49",10.4684,1.69143
"31,51",11.5163,2.22574
"31,53",10.6281,-1.61252
"31,55",11.836,2.3227
"31,57",11.8018,2.31919
"31,59",11.5448,2.15411
"31,61",10.5011,2.13935
"31,63",-7.97268,1.45562
"31,65",-7.7118,0.975162
"31,67",-7.75078,1.14975
"31,69",-4.24308,-1.63834
"31,71",-4.7674,-1.0258
"31,73",-7.95007,-0.439655
"31,75",-4.64873,-1.63792
"31,77",-7.80097,-1.20546
"31,79",-7.19812,0.93888
"31,81",-4.59545,-1.16969
"31,83",-7.42194,1.22591
"31,85",-7.99454,1.09056
"31,87",-7.77106,1.11126
"31,89",-8.01355,0.554613
"31,91",-7.41521,0.467599
"31,93",-7.25887,1.24505
"31,95",-7.89973,0.0865942
"31,97",-7.93457,-0.683241
"31,99",-8.12609,0.664865
"31,101",-7.85861,-0.767828
"31,103",-7.62352,0.435516
"31,105",-7.8279,0.459828
"31,107",-8.01915,-0.405487
"31,109",-7.81517,1.33894
"31,111",-8.09378,0.522626
"31,113",-8.11063,-0.0503769
"31,115",-7.84342,1.30407
"31,117",-8.20123,0.9029
"31,119",-7.92548,1.16799
"31,121",-7.71199,0.840133
"31,123",-7.92998,1.27399
"31,125",-4.90456,-1.00127
"31,127",-7.92104,1.10338
"31,129",-7.88842,1.01122
"31,131",-7.23787,0.682624
"31,133",-7.37118,0.103342
"34,1",10.2064,1.76246
"34,3",10.1632,-0.331743
"34,5",10.1241,0.0570971
"34,7",10.6502,1.11922
"34,9",10.3615,2.00352
"34,11",10.4921,2.101
"34,13",9.98838,1.48964
"34,15",10.5171,1.56304
"34,17",11.1061,1.77567
"34,19",10.1245,0.00924624
"34,21",10.182,-1.88675
"34,23",10.6772,1.89105
"34,25",10.1866,2.17358
"34,27",9.68185,1.48641
"34,29",10.1089,1.2533
"34,31",9.92759,1.45607
"34,33",10.209,1.89486
"34,35",10.0115,1.10068
"34,37",9.73247,1.42667
"34,39",10.0128,1.38303
"34,41",10.0707,-0.357039
"34,43",11.7707,1.99003
"34,45",11.6069,2.09056
"34,47",11.5859,2.26671
"34,49",11.4679,2.21983
"34,51",11.853,2.16487
"34,53",11.9398,2.42953
"34,55",11.7537,2.35531
"34,57",-7.66518,0.854985
"34,59",-7.85405,1.44171
"34,61",-5.17005,-1.17824
"34,63",-4.34923,-1.67122
"34,65",-4.74391,-2.03726
"34,67",-4.67666,-0.75685
"34,69",-7.03309,0.693814
"34,71",-7.11922,1.06438
"34,73",-4.90944,-1.96896
"34,75",-7.54315,-2.10265
"34,77",-7.50423,-1.6974
"34,79",-4.74699,-1.72939
"34,81",-7.94892,-0.184322
"34,83",-8.32341,0.0333665
"34,85",-8.10253,-0.304202
"34,87",-4.35261,-1.06915
"34,89",-8.00741,-0.0602829
"34,91",-7.56911,1.01009
"34,93",-6.50627,0.434643
"34,95",-7.33149,0.957118
"34,97",-7.95623,1.31799
"34,99",-7.71775,0.83074
"34,101",-7.87668,-1.58932
"34,103",-8.00459,0.103528
"34,105",-7.58375,-2.16158
"34,107",-7.82818,-1.74785
"34,109",-7.5672,0.776377
"34,111",-7.44523,0.269171
"34,113",-7.97792,-0.713714
"34,115",-8.0883,-0.126733
"34,117",-7.34427,1.11453
"34,119",-7.65012,0.649433
"34,121",-7.99872,-0.266964
"34,123",-7.39365,1.1649
"34,125",-7.77708,0.084125
"34,127",-8.05479,0.224306
"34,129",-7.19555,0.417639
"34,131",-7.33191,0.602938
"34,133",-8.04246,1.27437
"37,1",9.90314,2.27868
"37,3",10.1182,2.12836
"37,5",10.1493,1.9442
"37,7",10.2443,2.01002
"37,9",10.3597,-1.43339
"37,11",10.0263,1.60139
"37,13",10.2457,2.04656
"37,15",10.272,1.53243
"37,17",10.2557,1.89133
"37,19",10.2982,1.66007
"37,21",9.85385,1.43793
"37,23",10.3426,1.31995
"37,25",10.4655,2.17871
"37,27",9.96308,1.93961
"37,29",10.3792,1.36945
"37,31",10.0769,1.87568
"37,33",9.86794,1.84384
"37,35",10.0662,1.35871
"37,37",10.3607,1.25797
"37,39",10.1674,2.07127
"37,41",10.2626,-1.05798
"37,43",10.7942,1.8355
"37,45",-4.6512,-1.96237
"37,47",-4.13507,-1.94846
"37,49",10.5847,1.77511
"37,51",-7.74468,1.56881
"37,53",-8.11274,1.11771
"37,55",-4.49045,-1.06722
"37,57",-4.71739,-0.734623
"37,59",-4.90539,-1.02478
"37,61",-4.37392,-1.82608
"37,63",-4.63326,-2.08543
"37,65",-7.78827,-1.33604
"37,67",-7.83795,-1.50876
"37,69",-7.90247,1.15854
"37,71",-7.97999,0.770262
"37,73",-4.55742,-2.03472
"37,75",-4.95651,-0.696663
"37,77",-7.04301,1.15992
"37,79",-4.6994,-1.40722
"37,81",-7.73773,0.494542
"37,83",-7.97802,0.171848
"37,85",-8.28854,0.182359
"37,87",-7.70505,-0.960441
"37,89",-7.54782,0.502704
"37,91",-7.4529,0.892021
"37,93",-7.94643,0.0969988
"37,95",-7.91791,-0.651256
"37,97",-7.98816,1.11522
"37,99",-7.81351,1.27059
"37,101",-7.84508,-1.53339
"37,103",-7.81308,-1.34148
"37,105",-8.24692,1.26738
"37,107",-7.52139,1.47227
"37,109",-7.51513,0.684051
"37,111",-8.14764,0.744428
"37,113",-7.94539,0.514767
"37,115",-8.18419,0.305063
"37,117",-7.48919,0.223144
"37,119",-4.71604,-1.24852
"37,121",-7.09535,0.647202
"37,123",-7.19196,0.93975
"37,125",-7.89898,0.876112
"37,127",-8.0401,-0.0063551
"37,129",-7.21643,0.315855
"37,131",-7.10969,0.925697
"37,133",-7.95765,0.90458
"40,1",10.3383,1.8068
"40,3",10.4689,1.74925
"40,5",10.2274,1.74432
"40,7",10.1162,1.47441
"40,9",10.6048,2.01722
"40,11",9.88802,1.6468
"40,13",9.78258,2.06484
"40,15",9.76068,1.60496
"40,17",10.2233,1.44037
"40,19",10.0268,1.55261
"40,21",10.1717,1.03163
"40,23",10.0546,1.66536
"40,25",10.0224,1.73216
"40,27",10.137,0.27736
"40,29",10.4671,-1.55274
"40,31",10.2639,1.49402
"40,33",10.1396,-1.06279
"40,35",10.1592,0.314368
"40,37",10.4469,2.17581
"40,39",9.52677,1.91034
"40,41",10.0081,1.20613
"40,43",10.0571,2.89494
"40,45",-4.46723,-1.57729
"40,47",-4.45343,-1.72028
"40,49",-4.35308,-1.96878
"40,51",-7.78799,-1.96252
"40,53",-7.4619,0.126678
"40,55",-7.86486,-0.821873
"40,57",-4.8605,-1.78954
"40,59",-7.13729,0.458149
"40,61",-3.98585,-1.70691
"40,63",-7.70556,1.04595
"40,65",-5.41229,-0.230415
"40,67",-6.83133,0.484829
"40,69",-7.11199,0.876649
