,X,Y,Z
"4,31",-2.13647,5.38775,-8.09877
"4,33",-1.88668,5.55482,-8.13038
"4,35",-2.60995,5.46939,-8.18654
"4,37",-3.18978,5.32597,-7.72462
"4,39",-1.75794,5.86343,-7.64705
"4,41",-3.82313,4.76323,-7.93444
"4,43",-2.11536,5.34593,-7.75147
"4,45",-1.99841,5.99635,-8.07103
"4,47",-3.56993,4.86627,-7.93203
"4,49",-1.91481,5.3137,-8.09564
"4,51",-2.11371,5.76017,-7.8894
"4,53",-2.00019,5.58301,-7.66104
"4,55",-1.34883,5.56558,-7.78063
"4,57",-1.70464,5.72582,-7.88212
"4,59",-2.27598,5.90521,-8.16576
"4,61",-2.16351,5.91396,-7.57855
"4,63",-1.31124,5.68819,-8.27248
"4,65",-1.96878,6.00477,-8.22066
"4,67",-1.71176,6.13641,-8.19354
"4,69",-1.95971,5.76535,-7.93107
"4,71",-2.32629,6.10223,-8.04871
"4,73",-2.17417,5.5695,-7.97171
"4,75",-2.30955,6.0638,-8.06646
"4,77",-1.86452,5.80314,-7.61611
"4,79",-1.80541,5.90375,-8.04446
"4,81",-2.20599,6.03959,-7.63014
"4,83",-4.0663,4.66555,-7.88629
"4,85",-1.90155,6.03191,-7.69181
"4,87",-4.42829,4.50133,-7.83096
"4,89",-1.4883,5.87576,-7.91404
"4,91",-1.90041,5.59818,-7.59436
"4,93",-2.25909,6.06774,-8.06121
"4,95",-1.91133,5.63917,-7.80145
"4,97",-1.73456,5.84537,-8.04108
"4,99",-2.24115,5.59839,-7.79694
"4,101",-4.76493,4.21954,-7.7236
"4,103",-1.42183,5.76825,-7.93413
"4,105",-1.77205,5.82483,-7.8012
"4,107",-2.48198,5.8795,-7.88771
"4,109",-1.85334,6.09387,-7.89344
"4,111",-2.17383,5.5275,-7.61331
"4,113",-1.37156,6.00235,-6.60384
"4,115",-1.12729,5.992,-6.3194
"4,117",-1.18676,5.96762,-6.26868
"4,119",-1.16193,5.97447,-6.28606
"4,121",-1.19504,6.00957,-6.32336
"4,123",-1.34693,5.87215,-6.22723
"4,125",-1.25444,5.89501,-6.63432
"4,127",-1.1439,5.97886,-6.37501
"4,129",-1.22213,5.9341,-6.39403
"4,131",-0.997263,5.86733,-7.97002
"4,133",-0.736421,5.91926,-7.60983
"7,1",-1.73614,5.79146,-7.86699
"7,3",-1.55395,6.07702,-7.7574
"7,5",-2.44221,5.96234,-7.81955
"7,7",-2.21284,6.0113,-7.60551
"7,9",-1.51844,6.01421,-8.08468
"7,11",-1.5226,5.41856,-7.96049
"7,13",-4.96312,4.12709,-7.76883
"7,15",-4.90191,4.31531,-7.77697
"7,17",-2.63778,5.11238,-7.93297
"7,19",-1.53486,5.88125,-7.89593
"7,21",-1.70462,5.64017,-8.00609
"7,23",-1.97425,5.80193,-8.11044
"7,25",-2.06916,5.94751,-7.79729
"7,27",-1.80066,5.53658,-7.91578
"7,29",-2.4739,6.04241,-8.03385
"7,31",-2.29141,5.74505,-7.7473
"7,33",-2.16626,5.37117,-7.98416
"7,35",-1.52444,5.87774,-7.67679
"7,37",-2.00932,6.12662,-8.08873
"7,39",-1.84104,5.6408,-7.53127
"7,41",-1.99959,6.12059,-7.83363
"7,43",-2.13123,5.73674,-8.34072
"7,45",-1.99386,5.87373,-7.6867
"7,47",-2.15352,5.93198,-7.64077
"7,49",-1.87673,6.01792,-8.17388
"7,51",-1.76232,5.32534,-8.24483
"7,53",-2.049,5.81192,-8.18342
"7,55",-2.19965,5.82269,-8.08088
"7,57",-1.9906,6.27694,-7.78638
"7,59",-1.8367,5.37278,-8.19028
"7,61",-2.42813,5.95076,-8.11791
"7,63",-1.66903,5.87645,-7.83495
"7,65",-2.38895,5.98685,-7.70834
"7,67",-2.25481,5.85424,-7.63645
"7,69",-1.69716,5.91612,-8.0907
"7,71",-1.72858,5.8402,-8.26033
"7,73",-1.98143,5.24065,-8.22103
"7,75",-2.05784,5.24622,-8.1045
"7,77",-1.98689,5.73246,-8.18191
"7,79",-1.83766,5.61933,-7.90899
"7,81",-2.14113,5.46489,-7.87252
"7,83",-2.06257,5.86509,-7.67651
"7,85",-1.80105,5.69217,-7.68654
"7,87",-1.95202,5.87797,-7.88684
"7,89",-1.93619,5.56791,-8.01853
"7,91",-1.47729,5.9809,-8.10749
"7,93",-4.14857,4.62737,-7.82926
"7,95",-1.46732,5.88006,-8.29231
"7,97",-1.75993,5.64053,-8.34397
"7,99",-1.34788,5.77009,-8.24413
"7,101",-1.41867,5.39702,-7.94725
"7,103",-1.13933,5.74669,-7.99381
"7,105",-4.24842,4.57016,-7.88015
"7,107",-1.33066,5.95145,-8.01093
"7,109",-1.43189,5.90543,-6.75383
"7,111",-1.10068,5.97694,-6.27966
"7,113",0.243721,-5.60445,3.38373
"7,115",0.128096,-5.81402,2.91771
"7,117",0.483227,-5.78255,3.07856
"7,119",1.90995,-4.74984,3.78815
"7,121",0.129558,-5.59887,3.00379
"7,123",0.909125,-5.23101,3.20595
"7,125",0.661442,-5.71185,3.35016
"7,127",-0.209375,-5.80718,3.1767
"7,129",-0.163624,-5.79781,3.58598
"7,131",-0.0684749,-5.27886,3.49455
"7,133",0.197446,-2.15488,5.48878
"10,1",-1.89421,6.0233,-7.58662
"10,3",-2.01431,5.87838,-8.25109
"10,5",-2.09581,5.81822,-7.64483
"10,7",-1.54861,5.71288,-7.66927
"10,9",-1.95738,6.1032,-7.88927
"10,11",-1.81359,6.01174,-8.03901
"10,13",-1.66195,5.93252,-7.70509
"10,15",-2.14382,5.85844,-8.02847
"10,17",-2.09223,5.92838,-7.58414
"10,19",-2.1582,5.96183,-8.18849
"10,21",-2.39873,6.13766,-7.68604
"10,23",-1.53645,6.05466,-8.01743
"10,25",-1.30877,5.9715,-7.98357
"10,27",-2.03193,5.82717,-7.56065
"10,29",-2.07585,6.01868,-8.05746
"10,31",-1.78016,5.98865,-7.96836
"10,33",-1.81811,5.67301,-7.82186
"10,35",-2.19436,5.61814,-7.77732
"10,37",-2.08812,5.58659,-8.12939
"10,39",-1.95626,5.68766,-7.70651
"10,41",-2.13519,5.6165,-7.74583
"10,43",-1.89727,5.89169,-7.71486
"10,45",-1.82015,5.95359,-8.12435
"10,47",-2.19593,5.58401,-7.87346
"10,49",-1.81244,5.94548,-8.05898
"10,51",-2.0137,5.7923,-8.24916
"10,53",-1.81472,5.98798,-8.12712
"10,55",-1.78013,5.41712,-7.88048
"10,57",-2.241,5.30801,-7.72081
"10,59",-2.07173,5.79531,-7.83106
"10,61",-1.6884,5.73332,-7.84872
"10,63",-1.77649,5.84593,-8.2643
"10,65",-2.00374,5.60753,-7.8468
"10,67",-2.09427,5.83578,-7.53378
"10,69",-1.72497,5.64469,-7.98703
"10,71",-2.41042,5.85193,-7.95896
"10,73",-1.62628,5.61871,-8.07069
"10,75",-1.18518,5.77853,-8.14994
"10,77",-1.89859,5.99566,-8.24261
"10,79",-1.88353,5.58621,-7.75518
"10,81",-1.56017,5.91999,-7.92451
"10,83",-1.81775,5.62291,-7.8817
"10,85",-2.05681,5.89102,-8.14628
"10,87",-4.86839,4.33862,-7.82704
"10,89",-3.1799,5.0825,-8.04314
"10,91",-2.18326,6.29108,-8.27115
"10,93",-1.39362,5.9022,-6.51159
"10,95",-1.72689,5.91067,-7.71948
"10,97",-1.11146,6.02998,-6.40495
"10,99",-1.11412,6.00031,-6.32664
"10,101",-1.49551,5.88023,-7.70724
"10,103",-1.81412,5.70329,-7.70028
"10,105",-1.63829,6.08464,-7.84622
"10,107",0.102345,-5.95539,3.76665
"10,109",-0.154954,-5.40094,3.0897
"10,111",-0.165029,-5.30265,3.73643
"10,113",-0.360497,-5.45784,3.59737
"10,115",1.18741,-2.40201,5.44906
"10,117",0.899416,-2.02365,5.66683
"10,119",2.53093,-4.50049,4.14169
"10,121",0.216153,-5.83031,3.14222
"10,123",0.612521,-5.33437,3.75071
"10,125",1.01775,-5.25182,3.5159
"10,127",0.135338,-5.35477,3.14401
"10,129",-0.11868,-4.94679,3.54066
"10,131",-0.0854145,-5.23641,3.48689
"10,133",0.080498,-5.31579,3.5467
"13,1",-1.96639,6.11043,-7.53564
"13,3",-1.64269,5.3879,-7.95675
"13,5",-1.65355,6.08549,-8.03223
"13,7",-1.71736,5.97878,-8.29997
"13,9",-1.5594,5.72349,-7.99816
"13,11",-1.8544,5.95783,-8.18182
"13,13",-2.17829,6.06159,-7.88171
"13,15",-1.8955,5.95279,-8.30435
"13,17",-1.73145,6.13512,-8.13871
"13,19",-1.72075,5.7786,-7.87777
"13,21",-2.10375,5.85973,-7.6709
"13,23",-1.70548,6.18218,-7.94837
"13,25",-1.77417,5.91955,-7.89236
"13,27",-2.45321,5.86587,-8.20813
"13,29",-2.36866,5.93244,-7.78661
"13,31",-2.14738,6.07907,-7.75688
"13,33",-1.84695,5.41858,-8.05515
"13,35",-2.05405,6.01956,-7.80695
"13,37",-2.03855,6.13401,-7.97973
"13,39",-1.7732,5.58472,-7.96008
"13,41",-1.82505,5.72666,-7.76684
"13,43",-1.25534,5.8759,-8.05209
"13,45",-1.45361,5.92228,-7.94588
"13,47",-1.69504,5.34911,-8.0376
"13,49",-1.47714,5.89755,-8.00449
"13,51",-2.43342,5.10809,-8.22781
"13,53",-1.67263,5.81173,-7.98863
"13,55",-1.87043,5.93226,-8.09922
"13,57",-1.7433,6.05203,-7.57785
"13,59",-2.07939,5.55396,-7.73058
"13,61",-1.95167,5.42899,-8.253
"13,63",-1.25061,5.62302,-8.29976
"13,65",-1.91084,6.01527,-8.0938
"13,67",-1.7974,6.27135,-8.21816
"13,69",-1.94591,6.18344,-8.23442
"13,71",-2.0559,5.75673,-7.70828
"13,73",-1.59379,5.68786,-7.85967
"13,75",-1.7872,5.70901,-7.71925
"13,77",-1.48809,5.96414,-7.72985
"13,79",-1.60591,5.67903,-7.86483
"13,81",-1.44715,5.573,-8.40603
"13,83",-2.17257,6.17641,-7.96445
"13,85",-1.67157,5.69779,-7.97108
"13,87",-2.20763,5.77738,-8.24515
"13,89",-1.69367,6.24827,-7.9917
"13,91",-1.19516,5.95398,-6.34741
"13,93",-0.128924,-5.79835,3.46176
"13,95",-0.248032,-5.38316,3.25771
"13,97",-0.282585,-5.71202,3.25978
"13,99",-1.13025,5.99121,-6.35782
"13,101",-0.21316,-5.69424,3.25734
"13,103",0.11146,-5.60637,3.21644
"13,105",0.507795,-5.69904,3.12162
"13,107",-0.326515,-5.54813,3.61197
"13,109",0.783376,-5.5717,3.60143
"13,111",0.152934,-5.72205,3.16195
"13,113",-0.0798894,-5.01623,3.33771
"13,115",-0.298735,-5.4657,3.25257
"13,117",0.715274,-5.56955,3.66613
"13,119",-0.0505067,-5.5132,3.43745
"13,121",0.00179016,-5.26656,3.24967
"13,123",2.25169,-4.51783,3.96816
"13,125",0.852234,-5.14622,3.30513
"13,127",0.473741,-5.43439,3.62103
"13,129",0.237486,-5.7567,3.78253
"13,131",0.587168,-5.49866,3.48573
"13,133",-0.206113,-4.88253,3.50306
"16,1",-1.90992,5.61703,-7.8387
"16,3",-1.34592,5.64478,-8.20947
"16,5",-1.8603,6.02112,-8.06095
"16,7",-1.72203,6.08801,-8.07845
"16,9",-1.93636,6.08031,-7.93012
"16,11",-1.86938,5.83597,-8.14096
"16,13",-2.04863,5.88418,-7.67524
"16,15",-1.66855,5.60982,-8.41561
"16,17",-1.90684,6.16718,-8.24538
"16,19",-1.6823,5.75838,-7.43243
"16,21",-1.94604,5.72139,-7.7674
"16,23",-2.07116,5.84657,-8.18685
"16,25",-2.31308,5.66685,-7.77424
"16,27",-2.17833,5.89672,-8.21107
"16,29",-3.44493,4.94452,-7.9603
"16,31",-1.57669,5.91695,-8.19166
"16,33",-1.69058,5.67257,-7.84912
"16,35",-1.96848,5.77221,-8.28252
"16,37",-2.23944,6.03679,-7.91519
"16,39",-1.33869,5.88242,-8.09004
"16,41",-1.78425,5.7517,-7.54427
"16,43",-2.23944,5.59499,-7.5006
"16,45",-4.02302,4.66431,-7.88947
"16,47",-4.01524,4.70904,-7.94815
"16,49",-1.64663,5.7275,-7.858
"16,51",-1.64985,5.62748,-7.86518
"16,53",-2.51813,6.00028,-8.06511
"16,55",-2.16298,6.10815,-7.84746
"16,57",-2.33653,5.61234,-7.6595
"16,59",-2.38633,6.08094,-7.77881
"16,61",-1.68942,5.89426,-7.72086
"16,63",-1.76992,5.80336,-8.16617
"16,65",-1.49636,5.99129,-8.03504
"16,67",-2.04038,5.48708,-7.73441
"16,69",-1.71299,5.99303,-7.81969
"16,71",-2.07241,6.2697,-7.98263
"16,73",-1.63343,6.1552,-7.84793
"16,75",-2.14442,5.66831,-7.88842
"16,77",-1.38977,5.57783,-8.16714
"16,79",-1.24008,5.73415,-8.17118
"16,81",-1.80929,6.06806,-8.07849
"16,83",-3.16901,5.00799,-7.79051
"16,85",-3.96276,4.70002,-7.92367
"16,87",-2.11848,5.95963,-7.69539
"16,89",-1.96764,5.48059,-7.73277
"16,91",-0.215876,-5.7908,3.18448
"16,93",-0.0796904,-5.7297,3.10216
"16,95",0.13783,-5.51335,3.88686
"16,97",0.0600094,-5.61203,3.08268
"16,99",0.665559,-5.64809,3.36865
"16,101",-0.177029,-5.80203,3.23162
"16,103",0.0770294,-5.79597,3.73318
"16,105",0.715481,-5.6514,3.35691
"16,107",0.301991,-5.31656,3.15673
"16,109",0.585379,-5.06643,3.49766
"16,111",0.219184,-5.27047,3.21146
"16,113",0.490432,-5.3968,3.20566
"16,115",0.163764,-5.42452,3.71451
"16,117",0.182485,-5.71978,3.30597
"16,119",0.121642,-5.67237,3.55492
"16,121",0.481486,-5.35818,3.24906
"16,123",1.06585,-5.20503,3.3654
"16,125",0.424861,-5.52302,3.83627
"16,127",0.111628,-5.23412,2.97702
"16,129",0.392619,-5.35831,3.48967
"16,131",0.255571,-5.82483,3.32685
"16,133",0.0941467,-5.04136,3.34232
"19,1",-1.68046,5.85711,-8.08235
"19,3",-1.26799,5.7256,-8.19289
"19,5",-1.55793,6.02354,-7.91171
"19,7",-2.00034,5.52959,-7.6129
"19,9",-1.58486,5.59282,-8.12849
"19,11",-1.69101,5.8127,-7.98366
"19,13",-1.72995,5.64122,-8.18364
"19,15",-1.89091,5.75114,-8.17998
"19,17",-1.68509,5.93965,-8.17272
"19,19",-1.74755,5.66666,-8.159
"19,21",-1.43332,5.82518,-8.0299
"19,23",-2.00457,5.8857,-8.26025
"19,25",-2.21245,6.06726,-7.92929
"19,27",-2.26549,5.43381,-8.15986
"19,29",-2.37167,6.0109,-7.90967
"19,31",-1.43229,6.1085,-8.04306
"19,33",-1.7073,5.74982,-7.59174
"19,35",-2.18513,5.64159,-7.93194
"19,37",-1.81533,5.94618,-7.97205
"19,39",-2.3749,5.66861,-8.03045
"19,41",-1.86307,5.57343,-8.23858
"19,43",-1.77559,5.84377,-8.24695
"19,45",-2.04161,5.70363,-7.7238
"19,47",-2.17525,5.81242,-8.34467
"19,49",-1.83957,5.45287,-8.11648
"19,51",-2.33601,5.69319,-7.64057
"19,53",-2.02102,5.92068,-8.1268
"19,55",-2.11318,5.88812,-7.51682
"19,57",-1.76074,5.50136,-7.66505
"19,59",-2.31904,6.07526,-7.56416
"19,61",-1.42081,5.99156,-8.04812
"19,63",-1.95261,5.86163,-7.85131
"19,65",-2.05181,5.69585,-8.17327
"19,67",-1.79351,5.95481,-8.14455
"19,69",-1.99869,5.54434,-7.6158
"19,71",-2.27475,5.5396,-7.76551
"19,73",-2.23724,5.34616,-8.21992
"19,75",-1.63614,5.88061,-8.04182
"19,77",-1.40174,5.75029,-8.13806
"19,79",-1.14302,5.70039,-8.18457
"19,81",-0.129306,-5.88409,3.38224
"19,83",-1.16138,6.00191,-6.42242
"19,85",-0.116043,-5.7643,3.34487
"19,87",-0.237563,-5.80754,3.14497
"19,89",-0.249597,-5.44435,3.58295
"19,91",-0.108437,-5.52384,3.76196
"19,93",0.176633,-5.20945,3.33939
"19,95",0.315536,-4.87922,3.61509
"19,97",-0.105947,-5.44354,3.2742
"19,99",0.481542,-5.41793,3.57607
"19,101",0.38989,-5.67853,3.48721
"19,103",0.382906,-5.76524,3.69063
"19,105",0.355183,-5.61812,3.49445
"19,107",0.103345,-5.32023,3.3722
"19,109",0.0998071,-5.29163,3.43171
"19,111",0.32527,-5.27381,3.32827
"19,113",0.458676,-5.70949,3.36871
"19,115",0.0429048,-5.6579,3.38181
"19,117",-0.159341,-5.55555,3.32232
"19,119",-0.0955016,-5.71207,3.42713
"19,121",0.199324,-5.52771,3.05288
"19,123",1.33576,-5.06624,3.73968
"19,125",0.801195,-5.26484,3.58897
"19,127",0.482717,-5.51382,3.09581
"19,129",0.0854032,-5.49094,3.12199
"19,131",-0.0419601,-5.75981,3.38149
"19,133",-0.0131859,-5.66195,3.47509
"22,1",-1.25024,5.8293,-7.74339
"22,3",-1.57659,5.79531,-8.12301
"22,5",-1.63702,5.51191,-7.88899
"22,7",-1.0891,5.8668,-8.05152
"22,9",-1.58349,5.71984,-7.9696
"22,11",-2.05416,6.13376,-8.01486
"22,13",-1.80266,5.54466,-7.6695
"22,15",-1.93286,6.20467,-8.13564
"22,17",-2.30915,5.77012,-7.67553
"22,19",-1.77569,6.07276,-8.30467
"22,21",-1.80238,5.80381,-8.00077
"22,23",-1.89803,5.70231,-8.09016
"22,25",-2.28567,5.98789,-7.6627
"22,27",-2.53381,5.66152,-7.82025
"22,29",-2.3566,6.00453,-7.56315
"22,31",-2.08096,5.07863,-8.02942
"22,33",-2.11541,5.53081,-8.14883
"22,35",-1.64059,6.11866,-7.98146
"22,37",-1.90943,5.52735,-8.12145
"22,39",-5.21818,4.1505,-7.70765
"22,41",-5.30052,4.16701,-7.71106
"22,43",-1.43577,5.65695,-8.31439
"22,45",-1.82975,5.72951,-8.18773
"22,47",-1.20104,5.62296,-8.34755
"22,49",-1.73968,6.16707,-8.43367
"22,51",-1.72977,5.97733,-7.52043
"22,53",-1.91799,5.46436,-8.21358
"22,55",-2.08308,5.44364,-7.72256
"22,57",-1.79348,5.91522,-7.99715
"22,59",-1.57897,5.98393,-7.7737
"22,61",-2.1986,5.88051,-8.34016
"22,63",-2.21714,6.18528,-8.06676
"22,65",-1.72775,6.06193,-7.89499
"22,67",-1.67753,5.73347,-7.66548
"22,69",-5.14117,4.17804,-7.7288
"22,71",-5.263,4.16285,-7.75138
"22,73",-1.16179,5.93037,-7.8927
"22,75",-1.54523,6.11178,-7.92425
"22,77",-1.95301,6.02681,-7.76168
"22,79",-0.929076,5.9854,-6.55353
"22,81",-0.135238,-5.74106,3.33041
"22,83",-1.78428,5.74268,-7.53381
"22,85",-0.207249,-2.15158,5.37324
"22,87",0.154041,-5.42269,3.17969
"22,89",0.78351,-5.36138,3.32676
"22,91",0.447807,-5.6064,3.17886
"22,93",0.708954,-5.27853,3.40214
"22,95",0.0795472,-5.56791,3.22505
"22,97",-0.119177,-5.07835,3.40672
"22,99",0.716291,-5.38564,3.44773
"22,101",0.246757,-5.31848,3.30986
"22,103",0.253142,-5.616,3.53826
"22,105",0.865865,-5.22028,3.3439
"22,107",-0.070949,-4.83898,3.31634
"22,109",-0.271685,-5.21178,3.71072
"22,111",-0.231864,-5.77259,3.44417
"22,113",0.501721,-5.25539,3.21296
"22,115",0.657872,-5.42535,3.51436
"22,117",0.00746337,-5.40955,3.53514
"22,119",0.019749,-5.76224,3.56646
"22,121",0.265697,-5.37918,3.45475
"22,123",0.551428,-5.41225,3.62414
"22,125",0.0880298,-5.53977,3.35598
"22,127",1.03614,-5.18446,3.5562
"22,129",0.273494,-5.72787,3.20291
"22,131",0.320506,-5.52346,3.47763
"22,133",0.316289,-5.2767,3.74064
"25,1",-2.14148,6.10932,-8.32408
"25,3",-1.93625,6.0754,-7.81455
"25,5",-3.17428,5.07801,-7.94886
"25,7",-1.74722,5.51558,-8.16704
"25,9",-1.74812,6.11768,-7.87625
"25,11",-1.4693,5.51503,-8.27784
"25,13",-2.24628,5.90311,-7.97265
"25,15",-1.70346,5.97337,-7.72663
"25,17",-1.81941,5.56222,-7.52016
"25,19",-2.15493,5.84375,-7.59022
"25,21",-2.01784,5.43343,-8.05378
"25,23",-1.244,5.68196,-8.16473
"25,25",-1.28202,5.88201,-7.87762
"25,27",-1.73916,5.63131,-7.95211
"25,29",-1.88956,5.96704,-8.17338
"25,31",-2.01611,5.55642,-8.00408
"25,33",-1.75857,6.01033,-8.33945
"25,35",-1.86256,5.76585,-8.23643
"25,37",-1.57856,6.08316,-7.8505
"25,39",-1.13275,5.86066,-8.16578
"25,41",-2.01878,5.98621,-7.88377
"25,43",-1.8932,6.24512,-8.14827
"25,45",-1.6623,5.72065,-8.05249
"25,47",-2.21114,6.24171,-8.0549
"25,49",-1.84266,5.77795,-8.13014
"25,51",-2.16324,6.05937,-7.81975
"25,53",-2.0595,5.42739,-8.12472
"25,55",-1.78034,5.71181,-7.64984
"25,57",-1.69417,5.75843,-8.0546
"25,59",-2.02117,5.70512,-8.12371
"25,61",-1.46313,5.56067,-7.82409
"25,63",-4.16617,4.66311,-7.89949
"25,65",-1.26746,5.66604,-8.45324
"25,67",-1.39964,5.78559,-8.08853
"25,69",-5.18474,4.20594,-7.73448
"25,71",-5.09644,4.16592,-7.53772
"25,73",-0.959629,5.97238,-6.66244
"25,75",-0.0835617,-5.86489,3.22268
"25,77",2.88049,-3.82892,4.49528
"25,79",-0.0597686,-4.14504,4.24235
"25,81",0.742678,-5.19466,3.19185
"25,83",0.990249,-5.24143,3.49931
"25,85",0.450598,-5.76668,3.67928
"25,87",0.0267071,-5.63057,3.53564
"25,89",0.782648,-5.33795,3.33745
"25,91",0.0902713,-5.3838,3.40469
"25,93",0.393659,-5.40654,3.19645
"25,95",-0.1831,-5.26681,3.41126
"25,97",2.4466,-3.85947,4.57425
"25,99",-0.105915,-5.6516,3.62377
"25,101",0.0774278,-5.58964,3.5816
"25,103",0.0191371,-5.76098,3.7798
"25,105",0.0545861,-5.76459,3.60874
"25,107",0.074682,-5.59938,3.78987
"25,109",0.442739,-5.63662,3.07752
"25,111",-0.462634,-5.62619,3.4551
"25,113",0.0904416,-5.61202,3.31048
"25,115",0.0180872,-5.0929,3.23508
"25,117",-0.138364,-5.42985,3.7469
"25,119",0.0247974,-5.62114,3.71911
"25,121",0.939135,-5.3563,3.48207
"25,123",0.693384,-5.4095,3.39764
"25,125",0.706639,-5.54904,3.33586
"25,127",0.631843,-5.24244,3.29534
"25,129",-0.0701498,-5.77848,3.21657
"25,131",0.107663,-5.72695,3.50938
"25,133",-0.147927,-5.46654,3.18922
"28,1",-1.87901,5.76058,-7.63723
"28,3",-2.1342,6.08651,-7.73766
"28,5",-1.64854,5.96768,-7.95566
"28,7",-1.71081,6.10796,-8.11127
"28,9",-1.11201,5.71696,-8.23987
"28,11",-1.90568,6.29597,-8.16772
"28,13",-1.90953,5.46246,-7.74227
"28,15",-1.79991,5.82397,-7.58382
"28,17",-1.79681,5.70728,-8.22953
"28,19",-2.13657,6.01461,-7.93581
"28,21",-1.99591,5.38594,-8.07519
"28,23",-1.29348,5.87962,-7.94149
"28,25",-1.96245,6.13715,-7.64635
"28,27",-1.64749,5.52439,-8.07924
"28,29",-1.65677,5.64555,-8.05463
"28,31",-2.06904,6.08022,-7.71607
"28,33",-1.91157,6.24195,-8.08288
"28,35",-2.3118,5.86375,-7.57008
"28,37",-1.66721,6.14235,-8.0922
"28,39",-4.67825,4.36827,-7.79354
"28,41",-1.99961,5.35426,-7.84371
"28,43",-2.07687,6.16286,-7.96782
"28,45",-1.92996,6.33737,-7.52602
"28,47",-2.03026,5.77028,-7.70415
"28,49",-1.82319,6.1042,-7.81064
"28,51",-1.65054,6.12152,-8.04367
"28,53",-5.01521,4.10145,-7.84259
"28,55",-1.73662,6.11341,-7.90442
"28,57",-1.24468,5.73841,-8.20275
"28,59",-1.30548,5.68757,-8.29257
"28,61",-1.19244,5.75984,-8.05248
"28,63",-0.155321,-5.61533,3.24486
"28,65",-0.158512,-5.86164,3.39054
"28,67",-0.0368978,-5.50753,3.28604
"28,69",-0.0395167,-5.81961,3.40482
"28,71",-0.127873,-5.72471,3.36855
