term	name	description	score	pvalue	FDR	cluster	enriched	geneIDs
GO:0003700	DNA-binding transcription factor activity	"A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."	1	0.000467538	0.003618341	3	3/126	XC_0486; XC_1311; XC_2251
GO:0006541	glutamine metabolic process	"The chemical reactions and pathways involving glutamine, 2-amino-4-carbamoylbutanoic acid."	1	0.000467538	0.003618341	3	3/126	XC_0194; XC_1768; XC_1770
GO:0016740	transferase activity	"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."	0.06175772	0.000548878	0.003757705	421	26/103	XC_3273; XC_4030; XC_1421; XC_3529; XC_0813; XC_0197; XC_1062; XC_2284; XC_2303; XC_1414; XC_2333; XC_2456; XC_2281; XC_3757; XC_1187; XC_1311; XC_2251; XC_3998; XC_2855; XC_0647; XC_2504; XC_2943; XC_0204; XC_3058; XC_2321; XC_1410
GO:0016070	RNA metabolic process	"The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."	0.071698113	0.000703556	0.004472606	265	19/110	XC_0198; XC_1061; XC_2253; XC_2333; XC_2281; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_3957; XC_0195
GO:0015079	potassium ion transmembrane transporter activity	Enables the transfer of potassium ions (K+) from one side of a membrane to the other.	0.6	0.001253454	0.007437162	5	3/126	XC_3531; XC_3530; XC_3532
GO:0003677	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	0.120689655	0.002740727	0.015245296	58	7/122	XC_0001; XC_0198; XC_1061; XC_2253; XC_0486; XC_2251; XC_2457
GO:0016788	"hydrolase activity, acting on ester bonds"	Catalysis of the hydrolysis of any ester bond.	0.089285714	0.002899879	0.01518172	112	10/119	XC_3273; XC_3757; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_1188; XC_4326; XC_1519
GO:0008144	drug binding	"Interacting selectively and non-covalently with a drug, any naturally occurring or synthetic substance, other than a nutrient, that, when administered or applied to an organism, affects the structure or functioning of the organism; in particular, any such substance used in the diagnosis, prevention, or treatment of disease."	0.06	0.003238797	0.016014052	350	21/108	XC_3273; XC_4030; XC_1421; XC_3529; XC_3531; XC_3530; XC_0813; XC_0001; XC_4059; XC_0197; XC_0198; XC_0194; XC_1062; XC_1061; XC_2284; XC_2303; XC_1414; XC_2253; XC_2333; XC_2456; XC_0486
GO:0097367	carbohydrate derivative binding	Interacting selectively and non-covalently with a carbohydrate derivative.	0.058495822	0.003878425	0.01816736	359	21/108	XC_3273; XC_4030; XC_1421; XC_3529; XC_3531; XC_3530; XC_0813; XC_0001; XC_4059; XC_0197; XC_0198; XC_0194; XC_1062; XC_1061; XC_2284; XC_2303; XC_1414; XC_2253; XC_2333; XC_2456; XC_0486
GO:0043565	sequence-specific DNA binding	"Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."	1	0.004965521	0.022096569	2	2/127	XC_0001; XC_0486
GO:0006817	phosphate ion transport	"The directed movement of phosphate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	0.666666667	0.008116593	0.034398895	3	2/127	XC_2707; XC_2708
GO:0055114	oxidation-reduction process	"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons."	0.125	0.00973545	0.03938432	40	5/124	XC_1793; XC_1885; XC_3762; XC_1454; XC_1300
GO:0046873	metal ion transmembrane transporter activity	Enables the transfer of metal ions from one side of a membrane to the other.	0.230769231	0.010547629	0.040814739	13	3/126	XC_3531; XC_3530; XC_3532
GO:0003690	double-stranded DNA binding	Interacting selectively and non-covalently with double-stranded DNA.	0.5	0.011941121	0.043377949	4	2/127	XC_0001; XC_0486
GO:0010340	carboxyl-O-methyltransferase activity	Catalysis of the transfer of a methyl group to the carboxyl group of an acceptor molecule to form a methyl ester.	0.5	0.011941121	0.043377949	4	2/127	XC_2321; XC_1410
GO:0006091	generation of precursor metabolites and energy	"The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."	0.108695652	0.0162764	0.055715368	46	5/124	XC_1793; XC_1885; XC_3762; XC_1454; XC_1300
GO:0008276	protein methyltransferase activity	Catalysis of the transfer of a methyl group (CH3-) to a protein.	0.333333333	0.021445287	0.07069002	6	2/127	XC_2321; XC_1410
GO:0000166	nucleotide binding	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."	0.05	0.024665746	0.078401835	420	21/108	XC_3273; XC_4030; XC_1421; XC_3529; XC_3531; XC_3530; XC_0813; XC_0001; XC_4059; XC_0197; XC_0198; XC_0194; XC_1062; XC_1061; XC_2284; XC_2303; XC_1414; XC_2253; XC_2333; XC_2456; XC_0486
GO:0009055	electron transfer activity	Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.	0.25	0.033165524	0.101783851	8	2/127	XC_1792; XC_1793
GO:0042626	ATPase-coupled transmembrane transporter activity	"Primary active transporter of a solute across a membrane, via the reaction: ATP + H2O = ADP + phosphate, to directly drive the transport of a substance across a membrane. The transport protein may be transiently phosphorylated (P-type transporters), or not (ABC-type transporters and other families of transporters). Primary active transport occurs up the solute's concentration gradient and is driven by a primary energy source."	0.125	0.043594532	0.129330445	24	3/126	XC_3531; XC_3530; XC_3532
GO:0008168	methyltransferase activity	Catalysis of the transfer of a methyl group to an acceptor molecule.	0.093023256	0.048297128	0.136458551	43	4/125	XC_3757; XC_3058; XC_2321; XC_1410
GO:0016779	nucleotidyltransferase activity	Catalysis of the transfer of a nucleotidyl group to a reactant.	0.093023256	0.048297128	0.136458551	43	4/125	XC_2281; XC_1311; XC_2251; XC_2855
GO:0043169	cation binding	"Interacting selectively and non-covalently with cations, charged atoms or groups of atoms with a net positive charge."	0.013812155	0.07350028	0.198228028	362	5/124	XC_3531; XC_1794; XC_2564; XC_3873; XC_3532
GO:0006811	ion transport	"The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	0.076923077	0.081517944	0.213385205	52	4/125	XC_3272; XC_0820; XC_2707; XC_2708
GO:0070069	cytochrome complex	"A protein complex in which at least one of the proteins is a cytochrome, i.e. a heme-containing protein involved in catalysis of redox reactions."	0.5	0.085779444	0.218124872	2	1/128	XC_1793
GO:0034220	ion transmembrane transport	A process in which an ion is transported across a membrane.	0.133333333	0.087742479	0.216918907	15	2/127	XC_2707; XC_2708
GO:0016879	"ligase activity, forming carbon-nitrogen bonds"	"Catalysis of the joining of two molecules, or two groups within a single molecule, via a carbon-nitrogen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate."	0.088235294	0.093928645	0.225936469	34	3/126	XC_0194; XC_1768; XC_1770
GO:0000272	polysaccharide catabolic process	"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."	0.125	0.096869686	0.226879001	16	2/127	XC_0626; XC_1005
GO:0006352	"DNA-templated transcription, initiation"	"Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription."	0.333333333	0.112717418	0.257226929	3	1/128	XC_2281
GO:0006355	"regulation of transcription, DNA-templated"	"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."	0.111111111	0.115868184	0.257806709	18	2/127	XC_0486; XC_2231
GO:0016791	phosphatase activity	"Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate."	0.1	0.135713034	0.294596586	20	2/127	XC_3273; XC_4326
GO:0008324	cation transmembrane transporter activity	Enables the transfer of cation from one side of a membrane to the other.	0.073170732	0.138559012	0.293613145	41	3/126	XC_3531; XC_3530; XC_3532
GO:0006401	RNA catabolic process	"The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."	0.25	0.138867625	0.287423689	4	1/128	XC_2506
GO:0016021	integral component of membrane	The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.	0.095238095	0.145902126	0.295120209	21	2/127	XC_3531; XC_3532
GO:0048037	cofactor binding	"Interacting selectively and non-covalently with a cofactor, a substance that is required for the activity of an enzyme or other protein. Cofactors may be inorganic, such as the metal atoms zinc, iron, and copper in certain forms, or organic, in which case they are referred to as coenzymes. Cofactors may either be bound tightly to active sites or bind loosely with the substrate."	0.013215859	0.1598502	0.316148174	227	3/126	XC_1794; XC_2564; XC_1792
GO:0019752	carboxylic acid metabolic process	"The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."	0.012820513	0.162106952	0.313641712	234	3/126	XC_0194; XC_1768; XC_1770
GO:0006783	heme biosynthetic process	"The chemical reactions and pathways resulting in the formation of heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring, from less complex precursors."	0.2	0.164252926	0.311032136	5	1/128	XC_3897
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate.	0.086956522	0.166720829	0.305941315	23	2/127	XC_2321; XC_1410
GO:0031226	intrinsic component of plasma membrane	The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane.	0.086956522	0.166720829	0.305941315	23	2/127	XC_3531; XC_3532
GO:0042168	heme metabolic process	"The chemical reactions and pathways involving heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring."	0.142857143	0.212816988	0.378814238	7	1/128	XC_3897
GO:0003676	nucleic acid binding	Interacting selectively and non-covalently with any nucleic acid.	0.040178571	0.243883748	0.425601051	448	18/111	XC_0001; XC_0198; XC_1061; XC_2253; XC_2281; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_2457
GO:0006139	nucleobase-containing compound metabolic process	"Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."	0.037950664	0.280347808	0.479826057	527	20/109	XC_0001; XC_0198; XC_1061; XC_2253; XC_2333; XC_2281; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_3957; XC_0195
GO:0042597	periplasmic space	The region between the inner (cytoplasmic) and outer membrane (Gram-negative Bacteria) or cytoplasmic membrane and cell wall (Fungi and Gram-positive Bacteria).	0.090909091	0.301701381	0.506630622	11	1/128	XC_4326
GO:0003824	catalytic activity	"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."	0.034127495	0.307941654	0.507533467	1553	53/76	XC_3273; XC_4030; XC_1421; XC_3529; XC_0813; XC_4059; XC_0197; XC_0194; XC_1062; XC_2284; XC_2303; XC_1414; XC_2333; XC_2456; XC_1794; XC_2564; XC_2281; XC_3757; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_1187; XC_1188; XC_2335; XC_1311; XC_2251; XC_3998; XC_2855; XC_3897; XC_0647; XC_1792; XC_1793; XC_1885; XC_3762; XC_1454; XC_1300; XC_2504; XC_3873; XC_4326; XC_2943; XC_0204; XC_2972; XC_0626; XC_1005; XC_3111; XC_1768; XC_1770; XC_3058; XC_2321; XC_1410; XC_1519
GO:0044262	cellular carbohydrate metabolic process	"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y, as carried out by individual cells."	0.052631579	0.330536365	0.534867936	38	2/127	XC_0626; XC_1005
GO:0006779	porphyrin-containing compound biosynthetic process	The chemical reactions and pathways resulting in the formation of any member of a large group of derivatives or analogs of porphyrin. Porphyrin consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group.	0.076923077	0.342333407	0.544065594	13	1/128	XC_3897
GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	0.018518519	0.354156563	0.5529813	270	5/124	XC_3530; XC_2333; XC_3897; XC_0820; XC_0828
GO:0005215	transporter activity	"Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells."	0.041916168	0.357474542	0.548538521	167	7/122	XC_3531; XC_3530; XC_3860; XC_3861; XC_0820; XC_3532; XC_0828
GO:0005976	polysaccharide metabolic process	"The chemical reactions and pathways involving a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."	0.048780488	0.362968986	0.547529487	41	2/127	XC_0626; XC_1005
GO:0016462	pyrophosphatase activity	"Catalysis of the hydrolysis of a pyrophosphate bond between two phosphate groups, leaving one phosphate on each of the two fragments."	0.010309278	0.370057993	0.548919356	97	1/128	XC_4059
GO:0046914	transition metal ion binding	"Interacting selectively and non-covalently with a transition metal ions; a transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver."	0.01010101	0.370456222	0.540501701	99	1/128	XC_3873
GO:0016818	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	Catalysis of the hydrolysis of any acid anhydride which contains phosphorus.	0.01	0.370878193	0.532389664	100	1/128	XC_4059
GO:0016746	"transferase activity, transferring acyl groups"	Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).	0.046511628	0.38426968	0.542857167	43	2/127	XC_2943; XC_0204
GO:0016052	carbohydrate catabolic process	"The chemical reactions and pathways resulting in the breakdown of carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."	0.045454545	0.394807463	0.549029128	44	2/127	XC_0626; XC_1005
GO:0022857	transmembrane transporter activity	"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."	0.03968254	0.438072759	0.599822701	126	5/124	XC_3531; XC_3530; XC_0820; XC_3532; XC_0828
GO:0015075	ion transmembrane transporter activity	Enables the transfer of an ion from one side of a membrane to the other.	0.047619048	0.444595383	0.599530138	63	3/126	XC_3531; XC_3530; XC_3532
GO:0009058	biosynthetic process	The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.	0.035541195	0.447190548	0.594029235	619	22/107	XC_0198; XC_0194; XC_1061; XC_2253; XC_2333; XC_2281; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_3957; XC_0195; XC_3897; XC_1768; XC_1770
GO:0044238	primary metabolic process	"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."	0.026068822	0.453746035	0.593873487	959	25/104	XC_0001; XC_0198; XC_0194; XC_1061; XC_2253; XC_2333; XC_2281; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_3957; XC_0195; XC_0626; XC_1005; XC_1768; XC_1770
GO:0097588	archaeal or bacterial-type flagellum-dependent cell motility	Cell motility due to movement of bacterial- or archaeal-type flagella.	0.05	0.466927264	0.6022685	20	1/128	XC_2245
GO:0016787	hydrolase activity	"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."	0.035634744	0.46926549	0.596637551	449	16/113	XC_3273; XC_4059; XC_3757; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_1188; XC_3873; XC_4326; XC_2972; XC_0626; XC_1005; XC_3111; XC_1519
GO:0033014	tetrapyrrole biosynthetic process	"The chemical reactions and pathways leading to the formation of tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next."	0.047619048	0.48269937	0.605073858	21	1/128	XC_3897
GO:0016874	ligase activity	"Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate."	0.040540541	0.494982109	0.611852885	74	3/126	XC_0194; XC_1768; XC_1770
GO:0017111	nucleoside-triphosphatase activity	Catalysis of the reaction: a nucleoside triphosphate + H2O = nucleoside diphosphate + phosphate.	0.012048193	0.519156552	0.632944289	83	1/128	XC_4059
GO:0019439	aromatic compound catabolic process	"The chemical reactions and pathways resulting in the breakdown of aromatic compounds, any substance containing an aromatic carbon ring."	0.041666667	0.527290442	0.63417364	24	1/128	XC_2506
GO:0006725	cellular aromatic compound metabolic process	"The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells."	0.034146341	0.527568305	0.626047722	615	21/108	XC_0001; XC_0198; XC_1061; XC_2253; XC_2333; XC_2281; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_3957; XC_0195; XC_3897
GO:0016491	oxidoreductase activity	"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."	0.035294118	0.574468463	0.672732805	255	9/120	XC_1794; XC_2564; XC_3897; XC_1792; XC_1793; XC_1885; XC_3762; XC_1454; XC_1300
GO:0008236	serine-type peptidase activity	Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).	0.033333333	0.605347403	0.699687258	30	1/128	XC_2972
GO:0055085	transmembrane transport	"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."	0.043478261	0.651977357	0.743922882	46	2/127	XC_2707; XC_2708
GO:0071705	nitrogen compound transport	"The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	0.0125	0.733126789	0.825927648	80	1/128	XC_2297
GO:0008652	cellular amino acid biosynthetic process	"The chemical reactions and pathways resulting in the formation of amino acids, organic acids containing one or more amino substituents."	0.037037037	0.737567319	0.820543643	81	3/126	XC_0194; XC_1768; XC_1770
GO:0070011	"peptidase activity, acting on L-amino acid peptides"	Catalysis of the hydrolysis of peptide bonds formed between L-amino acids.	0.019417476	0.77033702	0.846419688	103	2/127	XC_3873; XC_2972
GO:0008233	peptidase activity	Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.	0.019230769	0.770612348	0.836396328	104	2/127	XC_3873; XC_2972
GO:0006520	cellular amino acid metabolic process	"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells."	0.021126761	0.800591035	0.858465085	142	3/126	XC_0194; XC_1768; XC_1770
GO:0046872	metal ion binding	Interacting selectively and non-covalently with any metal ion.	0.020979021	0.80102399	0.84870399	143	3/126	XC_3531; XC_3873; XC_3532
GO:0006807	nitrogen compound metabolic process	The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.	0.028402367	0.822700086	0.861415385	845	24/105	XC_0001; XC_0198; XC_0194; XC_1061; XC_2253; XC_2333; XC_2281; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_3957; XC_0195; XC_3897; XC_1768; XC_1770
GO:0005975	carbohydrate metabolic process	"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule."	0.020408163	1	1.017142857	98	2/127	XC_0626; XC_1005
GO:0008152	metabolic process	"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."	0.030482642	1	1.017142857	1181	36/93	XC_0001; XC_0198; XC_0194; XC_1061; XC_2253; XC_2333; XC_2281; XC_2506; XC_0486; XC_3272; XC_4031; XC_1419; XC_3528; XC_0812; XC_0648; XC_1295; XC_3997; XC_1311; XC_2251; XC_3957; XC_0195; XC_2855; XC_3897; XC_1793; XC_1885; XC_3762; XC_1454; XC_1300; XC_1884; XC_3763; XC_1455; XC_1301; XC_0626; XC_1005; XC_1768; XC_1770
GO:0051536	iron-sulfur cluster binding	"Interacting selectively and non-covalently with an iron-sulfur cluster, a combination of iron and sulfur atoms."	0.019607843	1	1.017142857	51	1/128	XC_1792
GO:0016798	"hydrolase activity, acting on glycosyl bonds"	Catalysis of the hydrolysis of any glycosyl bond.	0.028571429	1	1.017142857	70	2/127	XC_0626; XC_1005
