EntryId,br.Class,br.Category,BriteId,Description,PathwayGenes
xor00010,Metabolism,"Carbohydrate metabolism",00010,"Glycolysis is the process of converting glucose into pyruvate and generating small amounts of ATP (energy) and NADH (reducing power). It is a central pathway that produces important precursor metabolites: six-carbon compounds of glucose-6P and fructose-6P and three-carbon compounds of glycerone-P, glyceraldehyde-3P, glycerate-3P, phosphoenolpyruvate, and pyruvate [MD:M00001]. Acetyl-CoA, another important precursor metabolite, is produced by oxidative decarboxylation of pyruvate [MD:M00307]. When the enzyme genes of this pathway are examined in completely sequenced genomes, the reaction steps of three-carbon compounds from glycerone-P to pyruvate form a conserved core module [MD:M00002], which is found in almost all organisms and which sometimes contains operon structures in bacterial genomes. Gluconeogenesis is a synthesis pathway of glucose from noncarbohydrate precursors. It is essentially a reversal of glycolysis with minor variations of alternative paths [MD:M00003].<br>","xor:XOC_0154; xor:XOC_0225; xor:XOC_0366; xor:XOC_0489; xor:XOC_0491; xor:XOC_0492; xor:XOC_0794; xor:XOC_0933; xor:XOC_1100; xor:XOC_1554; xor:XOC_1619; xor:XOC_1751; xor:XOC_2172; xor:XOC_2193; xor:XOC_2608; xor:XOC_2794; xor:XOC_2940; xor:XOC_3255; xor:XOC_3327; xor:XOC_3425; xor:XOC_3585; xor:XOC_3587; xor:XOC_3589; xor:XOC_3592; xor:XOC_3700; xor:XOC_3841; xor:XOC_3925; xor:XOC_3927; xor:XOC_4044; xor:XOC_4230"
xor00020,Metabolism,"Carbohydrate metabolism",00020,"The citrate cycle (TCA cycle, Krebs cycle) is an important aerobic pathway for the final steps of the oxidation of carbohydrates and fatty acids. The cycle starts with acetyl-CoA, the activated form of acetate, derived from glycolysis and pyruvate oxidation for carbohydrates and from beta oxidation of fatty acids. The two-carbon acetyl group in acetyl-CoA is transferred to the four-carbon compound of oxaloacetate to form the six-carbon compound of citrate. In a series of reactions two carbons in citrate are oxidized to CO2 and the reaction pathway supplies NADH for use in the oxidative phosphorylation and other metabolic processes. The pathway also supplies important precursor metabolites including 2-oxoglutarate. At the end of the cycle the remaining four-carbon part is transformed back to oxaloacetate. According to the genome sequence data, many organisms seem to lack genes for the full cycle [MD:M00009], but contain genes for specific segments [MD:M00010 M00011].<br>","xor:XOC_0489; xor:XOC_0491; xor:XOC_0492; xor:XOC_0592; xor:XOC_1069; xor:XOC_1121; xor:XOC_1188; xor:XOC_1751; xor:XOC_1752; xor:XOC_1753; xor:XOC_1763; xor:XOC_2270; xor:XOC_2273; xor:XOC_2600; xor:XOC_2602; xor:XOC_2603; xor:XOC_2604; xor:XOC_3019; xor:XOC_3503; xor:XOC_3504; xor:XOC_3645; xor:XOC_3925; xor:XOC_3927; xor:XOC_4044"
xor00030,Metabolism,"Carbohydrate metabolism",00030,"The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equivalents and pentoses as essential parts of nucleotides. There are two different phases in the pathway. One is irreversible oxidative phase in which glucose-6P is converted to ribulose-5P by oxidative decarboxylation, and NADPH is generated [MD:M00006]. The other is reversible non-oxidative phase in which phosphorylated sugars are interconverted to generate xylulose-5P, ribulose-5P, and ribose-5P [MD:M00007]. Phosphoribosyl pyrophosphate (PRPP) formed from ribose-5P [MD:M00005] is an activated compound used in the biosynthesis of histidine and purine/pyrimidine nucleotides. This pathway map also shows the Entner-Doudoroff pathway where 6-P-gluconate is dehydrated and then cleaved into pyruvate and glyceraldehyde-3P [MD:M00008].<br>","xor:XOC_0154; xor:XOC_0170; xor:XOC_0354; xor:XOC_0442; xor:XOC_0624; xor:XOC_0738; xor:XOC_0884; xor:XOC_0954; xor:XOC_1005; xor:XOC_2172; xor:XOC_2607; xor:XOC_2609; xor:XOC_2610; xor:XOC_2611; xor:XOC_2960; xor:XOC_3491; xor:XOC_3585; xor:XOC_3624; xor:XOC_3668; xor:XOC_3700; xor:XOC_3841; xor:XOC_4214; xor:XOC_4230"
xor00040,Metabolism,"Carbohydrate metabolism",00040,,"xor:XOC_0256; xor:XOC_0257; xor:XOC_0933; xor:XOC_1774; xor:XOC_2128; xor:XOC_2160; xor:XOC_2161; xor:XOC_2193; xor:XOC_2506; xor:XOC_2687; xor:XOC_3823; xor:XOC_4214; xor:XOC_4465; xor:XOC_4468; xor:XOC_4474; xor:XOC_4583"
xor00051,Metabolism,"Carbohydrate metabolism",00051,,"xor:XOC_0154; xor:XOC_1780; xor:XOC_1973; xor:XOC_1974; xor:XOC_1975; xor:XOC_2161; xor:XOC_2180; xor:XOC_2940; xor:XOC_3585; xor:XOC_3700; xor:XOC_3841; xor:XOC_3842; xor:XOC_4230; xor:XOC_4474"
xor00052,Metabolism,"Carbohydrate metabolism",00052,,"xor:XOC_0755; xor:XOC_0862; xor:XOC_2150; xor:XOC_2152; xor:XOC_2153; xor:XOC_2608; xor:XOC_2687; xor:XOC_3201; xor:XOC_3255; xor:XOC_3273; xor:XOC_3327; xor:XOC_3425; xor:XOC_3700; xor:XOC_3841; xor:XOC_4230"
xor00053,Metabolism,"Carbohydrate metabolism",00053,,"xor:XOC_0624; xor:XOC_0933; xor:XOC_1433; xor:XOC_1774; xor:XOC_2193"
xor00500,Metabolism,"Carbohydrate metabolism",00500,,"xor:XOC_0050; xor:XOC_0051; xor:XOC_0053; xor:XOC_0249; xor:XOC_0250; xor:XOC_0251; xor:XOC_0552; xor:XOC_0644; xor:XOC_0659; xor:XOC_0671; xor:XOC_1774; xor:XOC_1780; xor:XOC_2128; xor:XOC_2172; xor:XOC_2177; xor:XOC_2608; xor:XOC_2687; xor:XOC_3039; xor:XOC_3255; xor:XOC_3261; xor:XOC_3327; xor:XOC_3429; xor:XOC_3487; xor:XOC_3489; xor:XOC_3526; xor:XOC_3758; xor:XOC_3841; xor:XOC_4226; xor:XOC_4230; xor:XOC_4411; xor:XOC_4413; xor:XOC_4414; xor:XOC_4415; xor:XOC_4416; xor:XOC_4417; xor:XOC_4466; xor:XOC_4467"
xor00520,Metabolism,"Carbohydrate metabolism",00520,,"xor:XOC_0762; xor:XOC_0763; xor:XOC_1447; xor:XOC_1458; xor:XOC_1459; xor:XOC_1774; xor:XOC_1780; xor:XOC_2172; xor:XOC_2189; xor:XOC_2570; xor:XOC_2608; xor:XOC_2687; xor:XOC_2948; xor:XOC_3172; xor:XOC_3255; xor:XOC_3259; xor:XOC_3327; xor:XOC_3426; xor:XOC_3429; xor:XOC_3841; xor:XOC_3842; xor:XOC_3901; xor:XOC_3910; xor:XOC_4226; xor:XOC_4230; xor:XOC_4467"
xor00562,Metabolism,"Carbohydrate metabolism",00562,,"xor:XOC_0877; xor:XOC_1097; xor:XOC_1947; xor:XOC_2117; xor:XOC_2940; xor:XOC_3196; xor:XOC_3369"
xor00620,Metabolism,"Carbohydrate metabolism",00620,,"xor:XOC_0160; xor:XOC_0306; xor:XOC_0320; xor:XOC_0366; xor:XOC_0489; xor:XOC_0491; xor:XOC_0492; xor:XOC_0827; xor:XOC_0872; xor:XOC_0933; xor:XOC_0992; xor:XOC_1069; xor:XOC_1142; xor:XOC_1751; xor:XOC_1763; xor:XOC_2193; xor:XOC_2661; xor:XOC_2949; xor:XOC_3019; xor:XOC_3086; xor:XOC_3155; xor:XOC_3587; xor:XOC_3717; xor:XOC_3735; xor:XOC_3896; xor:XOC_3925; xor:XOC_3927; xor:XOC_4044; xor:XOC_4157; xor:XOC_4159"
xor00630,Metabolism,"Carbohydrate metabolism",00630,,"xor:XOC_0293; xor:XOC_0306; xor:XOC_0806; xor:XOC_1069; xor:XOC_1188; xor:XOC_1265; xor:XOC_1274; xor:XOC_1751; xor:XOC_1996; xor:XOC_1999; xor:XOC_2099; xor:XOC_2126; xor:XOC_2270; xor:XOC_2273; xor:XOC_2611; xor:XOC_3155; xor:XOC_3245; xor:XOC_3246; xor:XOC_3588; xor:XOC_3645; xor:XOC_3753; xor:XOC_3887; xor:XOC_3925; xor:XOC_4290; xor:XOC_4325; xor:XOC_4360; xor:XOC_4672"
xor00640,Metabolism,"Carbohydrate metabolism",00640,,"xor:XOC_0306; xor:XOC_0366; xor:XOC_1186; xor:XOC_1187; xor:XOC_1751; xor:XOC_1989; xor:XOC_2273; xor:XOC_2949; xor:XOC_3086; xor:XOC_3155; xor:XOC_3189; xor:XOC_3196; xor:XOC_3503; xor:XOC_3504; xor:XOC_3925; xor:XOC_4157; xor:XOC_4159"
xor00650,Metabolism,"Carbohydrate metabolism",00650,,"xor:XOC_0167; xor:XOC_0306; xor:XOC_1811; xor:XOC_2024; xor:XOC_2099; xor:XOC_2239; xor:XOC_2424; xor:XOC_2600; xor:XOC_2602; xor:XOC_2603; xor:XOC_2604; xor:XOC_2654; xor:XOC_2657; xor:XOC_3092; xor:XOC_3155; xor:XOC_3189; xor:XOC_3714; xor:XOC_3715; xor:XOC_3753; xor:XOC_3839; xor:XOC_3840; xor:XOC_4547; xor:XOC_4548"
xor00660,Metabolism,"Carbohydrate metabolism",00660,,"xor:XOC_0386; xor:XOC_3503; xor:XOC_3504; xor:XOC_3714; xor:XOC_3715; xor:XOC_3718; xor:XOC_3720; xor:XOC_3721"
xor00190,Metabolism,"Energy metabolism",00190,,"xor:XOC_0533; xor:XOC_0534; xor:XOC_0536; xor:XOC_0537; xor:XOC_0541; xor:XOC_0542; xor:XOC_0607; xor:XOC_1114; xor:XOC_1426; xor:XOC_1427; xor:XOC_2037; xor:XOC_2038; xor:XOC_2039; xor:XOC_2600; xor:XOC_2602; xor:XOC_2603; xor:XOC_2604; xor:XOC_2677; xor:XOC_2733; xor:XOC_2735; xor:XOC_2924; xor:XOC_2925; xor:XOC_2926; xor:XOC_2927; xor:XOC_2928; xor:XOC_2929; xor:XOC_2930; xor:XOC_2931; xor:XOC_2932; xor:XOC_2933; xor:XOC_2934; xor:XOC_2935; xor:XOC_2936; xor:XOC_2937; xor:XOC_3454; xor:XOC_3455; xor:XOC_3456; xor:XOC_3457; xor:XOC_3705; xor:XOC_3707; xor:XOC_3914; xor:XOC_3915; xor:XOC_3916; xor:XOC_3917; xor:XOC_3918; xor:XOC_3919; xor:XOC_3920; xor:XOC_3921; xor:XOC_4006; xor:XOC_4007"
xor00680,Metabolism,"Energy metabolism",00680,"Methane is metabolized principally by methanotrophs and methanogens in the global carbon cycle. Methanotrophs consume methane as the only source of carbon, while methanogens produce methane as a metabolic byproduct. Methylotrophs, which are microorganisms that can obtain energy for growth by oxidizing one-carbon compounds, such as methanol and methane, are situated between methanotrophs and methanogens. Methanogens can obtain energy for growth by converting a limited number of substrates to methane under anaerobic conditions. Three types of methanogenic pathways are known: CO2 to methane [MD:M00567], methanol to methane [MD:M00356], and acetate to methane [MD:M00357]. Methanogens use 2-mercaptoethanesulfonate (CoM; coenzyme M) as the terminal methyl carrier in methanogenesis and have four enzymes for CoM biosynthesis [MD:M00358]. Coenzyme B-Coenzyme M heterodisulfide reductase (Hdr), requiring for the final reaction steps of methanogenic pathway, is divided into two types: cytoplasmic HdrABC in most methanogens and membrane-bound HdrED in Methanosarcina species. In methanotrophs and methyltrophs methane is oxidized to form formaldehyde, which is at the diverging point for further oxidation to CO2 for energy source and assimilation for biosynthesis. There are three pathways that convert formaldehyde to C2 or C3 compounds: serine pathway [MD:M00346], ribulose monophosphate pathway [MD:M00345], and xylulose monophosphate pathway [MD:M00344]. The first two pathways are found in prokaryotes and the third is found in yeast. As a special case of methylotrophs, various amines can be used as carbon sources in trimethylamine metabolism [MD:M00563].<br>","xor:XOC_0060; xor:XOC_0154; xor:XOC_0366; xor:XOC_0794; xor:XOC_0797; xor:XOC_0806; xor:XOC_0872; xor:XOC_1069; xor:XOC_1100; xor:XOC_1554; xor:XOC_2232; xor:XOC_2661; xor:XOC_2794; xor:XOC_2878; xor:XOC_3585; xor:XOC_3700"
xor00910,Metabolism,"Energy metabolism",00910,"The biological process of the nitrogen cycle is a complex interplay among many microorganisms catalyzing different reactions, where nitrogen is found in various oxidation states ranging from +5 in nitrate to -3 in ammonia. The core nitrogen cycle involves four reduction pathways and two oxidation pathways. Nitrogen fixation [MD:M00175] is the process of reducing atmospheric molecular nitrogen to ammonia, a biologically useful reduced form incorporated into amino acids and other vital compounds. The ability of fixing atmospheric nitrogen by the nitrogenase enzyme complex is present in restricted prokaryotes (diazotrophs). The other reduction pathways are assimilatory nitrate reduction [MD:M00531] and dissimilatory nitrate reduction [MD:M00530] both for conversion to ammonia, and denitrification [MD:M00529]. Denitrification is a respiration in which nitrate or nitrite is reduced as a terminal electron acceptor under low oxygen or anoxic conditions, producing gaseous nitrogen compounds (N2, NO and N2O) to the atmosphere. The two oxidation pathways are nitrification [MD:M00528] and anaerobic ammonium oxidation (anammox). Nitrification is the oxidation of ammonia (NH3) with oxygen into nitrite followed by the oxidation of nitrite into nitrate. The first step is performed by ammonia-oxidizing microorganisms (e.g., Nitrosomonas and Nitrosococcus) and the second step by nitrite-oxidizing microorganisms (e.g., Nitrobacter). Anammox is a biochemical process of oxidizing ammonium (NH4+) into dinitrogen gas (N2) using nitrite as an electron acceptor. It occurs in the anammoxosome, a membrane bound compartment inside the cytoplasm, of anammox bacteria (e.g., Planctomycetes).<br>","xor:XOC_0134; xor:XOC_0135; xor:XOC_0293; xor:XOC_1807; xor:XOC_1834; xor:XOC_1981; xor:XOC_1996; xor:XOC_1999; xor:XOC_3420"
xor00920,Metabolism,"Energy metabolism",00920,"Sulfur is an essential element for life and the metabolism of organic sulfur compounds plays an important role in the global sulfur cycle. Sulfur occurs in various oxidation states ranging from +6 in sulfate to -2 in sulfide (H2S). Sulfate reduction can occur in both an energy consuming assimilatory pathway and an energy producing dissimilatory pathway. The assimilatory pathway, which is found in a wide range of organisms, produces reduced sulfur compounds for the biosynthesis of S-containing amino acids and does not lead to direct excretion of sulfide. In the dissimilatory pathway, which is restricted to obligatory anaerobic bacterial and archaeal lineages, sulfate (or sulfur) is the terminal electron acceptor of the respiratory chain producing large quantities of inorganic sulfide. Both pathways start from the activation of sulfate by reaction with ATP to form adenylyl sulfate (APS). In the assimilatory pathway [MD:M00176] APS is converted to 3'-phosphoadenylyl sulfate (PAPS) and then reduced to sulfite, and sulfite is further reduced to sulfide by the assimilatory sulfite reductase. In the dissimilatory pathway [MD:M00596] APS is directly reduced to sulfite, and sulfite is further reduced to sulfide by the dissimilatory sulfite reductase. The capacity for oxidation of sulfur is quite widespread among bacteria and archaea, comprising phototrophs and chemolithoautotrophs. The SOX (sulfur-oxidation) system [MD:M00595] is a well-known sulfur oxidation pathway and is found in both photosynthetic and non-photosynthetic sulfur-oxidizing bacteria. Green sulfur bacteria and purple sulfur bacteria carry out anoxygenic photosynthesis with reduced sulfur compounds such as sulfide and elemental sulfur, as well as thiosulfate (in some species with the SOX system), as the electron donor for photoautotrophic growth. In some chemolithoautotrophic sulfur oxidizers (such as Thiobacillus denitrificans), it has been suggested that dissimilatory sulfur reduction enzymes operate in the reverse direction, forming a sulfur oxidation pathway from sulfite to APS and then to sulfate.<br>","xor:XOC_0897; xor:XOC_1090; xor:XOC_1091; xor:XOC_1092; xor:XOC_1093; xor:XOC_1815; xor:XOC_2071; xor:XOC_2832; xor:XOC_3218; xor:XOC_3251; xor:XOC_3568; xor:XOC_3569; xor:XOC_3570; xor:XOC_3571; xor:XOC_3572; xor:XOC_3581; xor:XOC_3893; xor:XOC_4335; xor:XOC_4353"
xor00780,Metabolism,"Metabolism of cofactors and vitamins",00780,"Biotin (vitamin H or vitamin B7) is the essential cofactor of biotin-dependent carboxylases, such as pyruvate carboxylase and acetyl-CoA carboxylase. Mammals cannot synthesize biotin, while in bacteria, fungi, and plants it is synthesized from pimelate thioester through different pathways. In E. coli and many organisms, pimelate thioester is derived from malonyl-ACP. The pathway starts with the methylation to malonyl-ACP methyl ester, followed by the fatty acid chain elongation cycle to form pimeloyl-ACP methyl ester, which is then demethylated to form pimeloyl-ACP [MD:M00572]. Pimeloyl-ACP is converted to biotin through the final four steps in the biotin bicyclic ring assembly, which are conserved among biotin-producing organisms [MD:M00123]. In B. subtilis, biotin is derived from pimeloyl-ACP formed by oxidative cleavage of long-chain acyl-ACPs [MD:M00573]. Some bacteria synthesize biotin from pimeloyl-CoA derived from pimelate [MD:M00577]. Biotin is covalently attached to biotin-dependent carboxylase by biotin protein ligase, also known as holocarboxylase synthase in mammals, to form an active holocarboxylase. After degradation of the biotinylated carboxylase into biocytin, it is further degraded by biotinidase to release free biotin, which is recycled in holocarboxylase synthesis. Biotin is catabolized by beta-oxidation of the valeric acid side chain or oxidation of sulfur in the heterocyclic ring.<br>","xor:XOC_0409; xor:XOC_0437; xor:XOC_0479; xor:XOC_1175; xor:XOC_1177; xor:XOC_2818; xor:XOC_3081; xor:XOC_3253; xor:XOC_3884; xor:XOC_3890; xor:XOC_4313; xor:XOC_4511; xor:XOC_4512; xor:XOC_4515; xor:XOC_4516; xor:XOC_4517"
