ID,a,b,c,d
563,100,1,800,1000
564,100,1,800,1000
565,100,1,800,1000
566,100,1,800,1000
567,100,1,800,1000
568,100,1,800,1000
569,100,1,800,1000
570,100,1,800,1000
571,100,1,800,1000
572,100,1,800,1000
573,100,1,800,1000
574,100,1,800,1000
575,100,1,800,1000
576,100,1,800,1000
577,100,1,800,1000
578,100,1,800,1000
579,100,1,800,1000
580,100,1,800,1000
581,100,1,800,1000
582,100,1,800,1000
583,100,1,800,1000
584,100,1,800,1000
585,100,1,800,1000
586,100,1,800,1000
587,100,1,800,1000
588,100,1,800,1000
589,100,1,800,1000
590,100,1,800,1000
591,100,1,800,1000
592,100,1,800,1000
593,100,1,800,1000
594,100,1,800,1000
595,100,1,800,1000
596,100,1,800,1000
597,100,1,800,1000
598,100,1,800,1000
599,100,1,800,1000
600,100,1,800,1000
601,100,1,800,1000
602,100,1,800,1000
603,100,1,800,1000
604,100,1,800,1000
605,100,1,800,1000
606,100,1,800,1000
607,100,1,800,1000
608,100,1,800,1000
609,100,1,800,1000
610,100,1,800,1000
611,100,1,800,1000
612,100,1,800,1000
613,100,1,800,1000
614,100,1,800,1000
615,100,1,800,1000
616,100,1,800,1000
617,100,1,800,1000
618,100,1,800,1000
619,100,1,800,1000
620,100,1,800,1000
621,100,1,800,1000
622,100,1,800,1000
623,100,1,800,1000
624,100,1,800,1000
625,100,1,800,1000
626,100,1,800,1000
627,100,1,800,1000
628,100,1,800,1000
629,100,1,800,1000
630,100,1,800,1000
631,100,1,800,1000
632,100,1,800,1000
633,100,1,800,1000
634,100,1,800,1000
635,100,1,800,1000
636,100,1,800,1000
637,100,1,800,1000
638,100,1,800,1000
639,100,1,800,1000
640,100,1,800,1000
641,100,1,800,1000
642,100,1,800,1000
643,100,1,800,1000
644,100,1,800,1000
645,100,1,800,1000
646,100,1,800,1000
647,100,1,800,1000
648,100,1,800,1000
649,100,1,800,1000
650,100,1,800,1000
651,100,1,800,1000
652,100,1,800,1000
653,100,1,800,1000
654,100,1,800,1000
655,100,1,800,1000
656,100,1,800,1000
657,100,1,800,1000
658,100,1,800,1000
659,100,1,800,1000
660,100,1,800,1000
661,100,1,800,1000
662,100,1,800,1000
663,100,1,800,1000
664,100,1,800,1000
665,100,1,800,1000
666,100,1,800,1000
667,100,1,800,1000
668,100,1,800,1000
669,100,1,800,1000
670,100,1,800,1000
671,100,1,800,1000
672,100,1,800,1000
673,100,1,800,1000
674,100,1,800,1000
675,100,1,800,1000
676,100,1,800,1000
677,100,1,800,1000
678,100,1,800,1000
679,100,1,800,1000
680,100,1,800,1000
681,100,1,800,1000
682,100,1,800,1000
683,100,1,800,1000
684,100,1,800,1000
685,100,1,800,1000
686,100,1,800,1000
687,100,1,800,1000
688,100,1,800,1000
689,100,1,800,1000
690,100,1,800,1000
691,100,1,800,1000
692,100,1,800,1000
693,100,1,800,1000
694,100,1,800,1000
695,100,1,800,1000
696,100,1,800,1000
697,100,1,800,1000
698,100,1,800,1000
699,100,1,800,1000
700,100,1,800,1000
701,100,1,800,1000
702,100,1,800,1000
703,100,1,800,1000
704,100,1,800,1000
705,100,1,800,1000
706,100,1,800,1000
707,100,1,800,1000
708,100,1,800,1000
709,100,1,800,1000
710,100,1,800,1000
711,100,1,800,1000
712,100,1,800,1000
713,100,1,800,1000
714,100,1,800,1000
715,100,1,800,1000
716,100,1,800,1000
717,100,1,800,1000
718,100,1,800,1000
719,100,1,800,1000
720,100,1,800,1000
721,100,1,800,1000
722,100,1,800,1000
723,100,1,800,1000
724,100,1,800,1000
725,100,1,800,1000
726,100,1,800,1000
727,100,1,800,1000
728,100,1,800,1000
729,100,1,800,1000
730,100,1,800,1000
731,100,1,800,1000
732,100,1,800,1000
733,100,1,800,1000
734,100,1,800,1000
735,100,1,800,1000
736,100,1,800,1000
737,100,1,800,1000
738,100,1,800,1000
739,100,1,800,1000
740,100,1,800,1000
741,100,1,800,1000
742,100,1,800,1000
743,100,1,800,1000
744,100,1,800,1000
745,100,1,800,1000
746,100,1,800,1000
747,100,1,800,1000
748,100,1,800,1000
749,100,1,800,1000
750,100,1,800,1000
751,100,1,800,1000
752,100,1,800,1000
753,100,1,800,1000
754,100,1,800,1000
755,100,1,800,1000
756,100,1,800,1000
757,100,1,800,1000
758,100,1,800,1000
759,100,1,800,1000
760,100,1,800,1000
761,100,1,800,1000
762,100,1,800,1000
763,100,1,800,1000
764,100,1,800,1000
765,100,1,800,1000
766,100,1,800,1000
767,100,1,800,1000
768,100,1,800,1000
769,100,1,800,1000
770,100,1,800,1000
771,100,1,800,1000
772,100,1,800,1000
773,100,1,800,1000
774,100,1,800,1000
775,100,1,800,1000
776,100,1,800,1000
777,100,1,800,1000
778,100,1,800,1000
779,100,1,800,1000
780,100,1,800,1000
781,100,1,800,1000
782,100,1,800,1000
783,100,1,800,1000
784,100,1,800,1000
785,100,1,800,1000
786,100,1,800,1000
787,100,1,800,1000
788,100,1,800,1000
789,100,1,800,1000
790,100,1,800,1000
791,100,1,800,1000
792,100,1,800,1000
793,100,1,800,1000
794,100,1,800,1000
795,100,1,800,1000
796,100,1,800,1000
797,100,1,800,1000
798,100,1,800,1000
799,100,1,800,1000
800,100,1,800,1000
801,100,1,800,1000
802,100,1,800,1000
803,100,1,800,1000
804,100,1,800,1000
805,100,1,800,1000
806,100,1,800,1000
807,100,1,800,1000
808,100,1,800,1000
809,100,1,800,1000
810,100,1,800,1000
811,100,1,800,1000
812,100,1,800,1000
813,100,1,800,1000
814,100,1,800,1000
815,100,1,800,1000
816,100,1,800,1000
817,100,1,800,1000
818,100,1,800,1000
819,100,1,800,1000
820,100,1,800,1000
821,100,1,800,1000
822,100,1,800,1000
823,100,1,800,1000
824,100,1,800,1000
825,100,1,800,1000
826,100,1,800,1000
827,100,1,800,1000
828,100,1,800,1000
829,100,1,800,1000
830,100,1,800,1000
831,100,1,800,1000
832,100,1,800,1000
833,100,1,800,1000
834,100,1,800,1000
835,100,1,800,1000
836,100,1,800,1000
837,100,1,800,1000
838,100,1,800,1000
839,100,1,800,1000
840,100,1,800,1000
841,100,1,800,1000
842,100,1,800,1000
843,100,1,800,1000
844,100,1,800,1000
845,100,1,800,1000
846,100,1,800,1000
847,100,1,800,1000
848,100,1,800,1000
849,100,1,800,1000
850,100,1,800,1000
851,100,1,800,1000
852,100,1,800,1000
853,100,1,800,1000
854,100,1,800,1000
855,100,1,800,1000
856,100,1,800,1000
857,100,1,800,1000
858,100,1,800,1000
859,100,1,800,1000
860,100,1,800,1000
861,100,1,800,1000
862,100,1,800,1000
863,100,1,800,1000
864,100,1,800,1000
865,100,1,800,1000
866,100,1,800,1000
867,100,1,800,1000
868,100,1,800,1000
869,100,1,800,1000
870,100,1,800,1000
871,100,1,800,1000
872,100,1,800,1000
873,100,1,800,1000
874,100,1,800,1000
875,100,1,800,1000
876,100,1,800,1000
877,100,1,800,1000
878,100,1,800,1000
879,100,1,800,1000
880,100,1,800,1000
881,100,1,800,1000
882,100,1,800,1000
883,100,1,800,1000
884,100,1,800,1000
885,100,1,800,1000
886,100,1,800,1000
887,100,1,800,1000
888,100,1,800,1000
889,100,1,800,1000
890,100,1,800,1000
891,100,1,800,1000
892,100,1,800,1000
893,100,1,800,1000
894,100,1,800,1000
895,100,1,800,1000
896,100,1,800,1000
897,100,1,800,1000
898,100,1,800,1000
899,100,1,800,1000
900,100,1,800,1000
901,100,1,800,1000
902,100,1,800,1000
903,100,1,800,1000
904,100,1,800,1000
905,100,1,800,1000
906,100,1,800,1000
907,100,1,800,1000
908,100,1,800,1000
909,100,1,800,1000
910,100,1,800,1000
911,100,1,800,1000
912,100,1,800,1000
913,100,1,800,1000
914,100,1,800,1000
915,100,1,800,1000
916,100,1,800,1000
917,100,1,800,1000
918,100,1,800,1000
919,100,1,800,1000
920,100,1,800,1000
921,100,1,800,1000
922,100,1,800,1000
923,100,1,800,1000
924,100,1,800,1000
925,100,1,800,1000
926,100,1,800,1000
927,100,1,800,1000
928,100,1,800,1000
929,100,1,800,1000
930,100,1,800,1000
931,100,1,800,1000
932,100,1,800,1000
933,100,1,800,1000
934,100,1,800,1000
935,100,1,800,1000
936,100,1,800,1000
937,100,1,800,1000
938,100,1,800,1000
939,100,1,800,1000
940,100,1,800,1000
941,100,1,800,1000
942,100,1,800,1000
943,100,1,800,1000
944,100,1,800,1000
945,100,1,800,1000
946,100,1,800,1000
947,100,1,800,1000
948,100,1,800,1000
949,100,1,800,1000
950,100,1,800,1000
951,100,1,800,1000
952,100,1,800,1000
953,100,1,800,1000
954,100,1,800,1000
955,100,1,800,1000
956,100,1,800,1000
957,100,1,800,1000
958,100,1,800,1000
959,100,1,800,1000
960,100,1,800,1000
961,100,1,800,1000
962,100,1,800,1000
963,100,1,800,1000
964,100,1,800,1000
965,100,1,800,1000
966,100,1,800,1000
967,100,1,800,1000
968,100,1,800,1000
969,100,1,800,1000
970,100,1,800,1000
971,100,1,800,1000
972,100,1,800,1000
973,100,1,800,1000
974,100,1,800,1000
975,100,1,800,1000
976,100,1,800,1000
977,100,1,800,1000
978,100,1,800,1000
979,100,1,800,1000
980,100,1,800,1000
981,100,1,800,1000
982,100,1,800,1000
983,100,1,800,1000
984,100,1,800,1000
985,100,1,800,1000
986,100,1,800,1000
987,100,1,800,1000
988,100,1,800,1000
989,100,1,800,1000
990,100,1,800,1000
991,100,1,800,1000
992,100,1,800,1000
993,100,1,800,1000
994,100,1,800,1000
995,100,1,800,1000
996,100,1,800,1000
997,100,1,800,1000
998,100,1,800,1000
999,100,1,800,1000
1000,100,1,800,1000
1001,100,1,800,1000
1002,100,1,800,1000
1003,100,1,800,1000
1004,100,1,800,1000
1005,100,1,800,1000
1006,100,1,800,1000
1007,100,1,800,1000
1008,100,1,800,1000
1009,100,1,800,1000
1010,100,1,800,1000
1011,100,1,800,1000
1012,100,1,800,1000
1013,100,1,800,1000
1014,100,1,800,1000
1015,100,1,800,1000
1016,100,1,800,1000
1017,100,1,800,1000
1018,100,1,800,1000
1019,100,1,800,1000
1020,100,1,800,1000
1021,100,1,800,1000
1022,100,1,800,1000
1023,100,1,800,1000
1024,100,1,800,1000
1025,100,1,800,1000
1026,100,1,800,1000
1027,100,1,800,1000
1028,100,1,800,1000
1029,100,1,800,1000
1030,100,1,800,1000
1031,100,1,800,1000
1032,100,1,800,1000
1033,100,1,800,1000
1034,100,1,800,1000
1035,100,1,800,1000
1036,100,1,800,1000
1037,100,1,800,1000
1038,100,1,800,1000
1039,100,1,800,1000
1040,100,1,800,1000
1041,100,1,800,1000
1042,100,1,800,1000
1043,100,1,800,1000
1044,100,1,800,1000
1045,100,1,800,1000
1046,100,1,800,1000
1047,100,1,800,1000
1048,100,1,800,1000
1049,100,1,800,1000
1050,100,1,800,1000
1051,100,1,800,1000
1052,100,1,800,1000
1053,100,1,800,1000
1054,100,1,800,1000
1055,100,1,800,1000
1056,100,1,800,1000
1057,100,1,800,1000
1058,100,1,800,1000
1059,100,1,800,1000
1060,100,1,800,1000
1061,100,1,800,1000
1062,100,1,800,1000
1063,100,1,800,1000
1064,100,1,800,1000
1065,100,1,800,1000
1066,100,1,800,1000
1067,100,1,800,1000
1068,100,1,800,1000
1069,100,1,800,1000
1070,100,1,800,1000
1071,100,1,800,1000
1072,100,1,800,1000
1073,100,1,800,1000
1074,100,1,800,1000
1075,100,1,800,1000
1076,100,1,800,1000
1077,100,1,800,1000
1078,100,1,800,1000
1079,100,1,800,1000
1080,100,1,800,1000
1081,100,1,800,1000
1082,100,1,800,1000
1083,100,1,800,1000
1084,100,1,800,1000
1085,100,1,800,1000
1086,100,1,800,1000
1087,100,1,800,1000
1088,100,1,800,1000
1089,100,1,800,1000
1090,100,1,800,1000
1091,100,1,800,1000
1092,100,1,800,1000
1093,100,1,800,1000
1094,100,1,800,1000
1095,100,1,800,1000
1096,100,1,800,1000
1097,100,1,800,1000
1098,100,1,800,1000
1099,100,1,800,1000
1100,100,1,800,1000
1101,100,1,800,1000
1102,100,1,800,1000
1103,100,1,800,1000
1104,100,1,800,1000
1105,100,1,800,1000
1106,100,1,800,1000
1107,100,1,800,1000
1108,100,1,800,1000
1109,100,1,800,1000
1110,100,1,800,1000
1111,100,1,800,1000
1112,100,1,800,1000
1113,100,1,800,1000
1114,100,1,800,1000
1115,100,1,800,1000
1116,100,1,800,1000
1117,100,1,800,1000
1118,100,1,800,1000
1119,100,1,800,1000
1120,100,1,800,1000
1121,100,1,800,1000
1122,100,1,800,1000
1123,100,1,800,1000
1124,100,1,800,1000
1125,100,1,800,1000
1126,100,1,800,1000
1127,100,1,800,1000
1128,100,1,800,1000
1129,100,1,800,1000
1130,100,1,800,1000
1131,100,1,800,1000
1132,100,1,800,1000
1133,100,1,800,1000
1134,100,1,800,1000
1135,100,1,800,1000
1136,100,1,800,1000
1137,100,1,800,1000
1138,100,1,800,1000
1139,100,1,800,1000
1140,100,1,800,1000
1141,100,1,800,1000
1142,100,1,800,1000
1143,100,1,800,1000
1144,100,1,800,1000
1145,100,1,800,1000
1146,100,1,800,1000
1147,100,1,800,1000
1148,100,1,800,1000
1149,100,1,800,1000
1150,100,1,800,1000
1151,100,1,800,1000
1152,100,1,800,1000
1153,100,1,800,1000
1154,100,1,800,1000
1155,100,1,800,1000
1156,100,1,800,1000
1157,100,1,800,1000
1158,100,1,800,1000
1159,100,1,800,1000
1160,100,1,800,1000
1161,100,1,800,1000
1162,100,1,800,1000
1163,100,1,800,1000
1164,100,1,800,1000
1165,100,1,800,1000
1166,100,1,800,1000
1167,100,1,800,1000
1168,100,1,800,1000
1169,100,1,800,1000
1170,100,1,800,1000
1171,100,1,800,1000
1172,100,1,800,1000
1173,100,1,800,1000
1174,100,1,800,1000
1175,100,1,800,1000
1176,100,1,800,1000
1177,100,1,800,1000
1178,100,1,800,1000
1179,100,1,800,1000
1180,100,1,800,1000
1181,100,1,800,1000
1182,100,1,800,1000
1183,100,1,800,1000
1184,100,1,800,1000
1185,100,1,800,1000
1186,100,1,800,1000
1187,100,1,800,1000
1188,100,1,800,1000
1189,100,1,800,1000
1190,100,1,800,1000
1191,100,1,800,1000
1192,100,1,800,1000
1193,100,1,800,1000
1194,100,1,800,1000
1195,100,1,800,1000
1196,100,1,800,1000
1197,100,1,800,1000
1198,100,1,800,1000
1199,100,1,800,1000
1200,100,1,800,1000
1201,100,1,800,1000
1202,100,1,800,1000
1203,100,1,800,1000
1204,100,1,800,1000
1205,100,1,800,1000
1206,100,1,800,1000
1207,100,1,800,1000
1208,100,1,800,1000
1209,100,1,800,1000
1210,100,1,800,1000
1211,100,1,800,1000
1212,100,1,800,1000
1213,100,1,800,1000
1214,100,1,800,1000
1215,100,1,800,1000
1216,100,1,800,1000
1217,100,1,800,1000
1218,100,1,800,1000
1219,100,1,800,1000
1220,100,1,800,1000
1221,100,1,800,1000
1222,100,1,800,1000
1223,100,1,800,1000
1224,100,1,800,1000
1225,100,1,800,1000
1226,100,1,800,1000
1227,100,1,800,1000
1228,100,1,800,1000
1229,100,1,800,1000
1230,100,1,800,1000
1231,100,1,800,1000
1232,100,1,800,1000
1233,100,1,800,1000
1234,100,1,800,1000
1235,100,1,800,1000
1236,100,1,800,1000
1237,100,1,800,1000
1238,100,1,800,1000
1239,100,1,800,1000
1240,100,1,800,1000
1241,100,1,800,1000
1242,100,1,800,1000
1243,100,1,800,1000
1244,100,1,800,1000
1245,100,1,800,1000
1246,100,1,800,1000
1247,100,1,800,1000
