A0CIB0	1.A.17.1.13
A8DZR8	1.A.6.5.1
A8F6Z4	3.A.1.128.4
A8GDS6	3.A.1.14.16
A8GDS7	3.A.1.14.16
A8GDS8	3.A.1.14.16
A8H019	2.A.21.3.9
A8H4W5	3.A.1.2.15
A8H4W6	3.A.1.2.15
A8H4W7	3.A.1.2.15
A8I268	3.A.1.208.19
A8IBA8	1.B.12.5.2
A8M8Z1	3.A.1.122.9
A8TDW7	3.A.1.122.7
A8TDX0	3.A.1.122.7
A8ULG6	1.C.3.2.4
A8V922	3.A.11.2.1
A8VTI4	2.A.119.1.2
A8WEV1	3.A.1.204.7
A8YQR4	3.A.23.2.1
A8YQR5	3.A.23.2.1
A8YQR6	3.A.23.2.1
A8YQR7	3.A.23.2.1
A8YQR8	3.A.23.2.1
A8YQR9	3.A.23.2.1
A8YQS0	3.A.23.2.1
A8YQS1	3.A.23.2.1
A8YZ14	2.A.1.62.1
A9AQJ0	1.B.11.7.1
A9BJX0	3.A.3.2.21
A9LE42	1.A.5.4.1
A9Q0M7	1.C.24.1.11
A9QDR6	3.A.1.1.29
A9QDR7	3.A.1.1.29
A9QDR8	3.A.1.1.29
A9S8W4	1.C.38.1.7
A9T501	2.A.7.26.4
A9WGA9	3.A.1.26.1
A9WGB0	3.A.1.26.1
A9XED4	1.B.12.11.1
A9XIK8	1.A.56.1.10
B0K2P2	3.A.1.128.2
B0K2P3	3.A.1.128.2
B0R6K7	2.A.7.1.7
B0R9X2	2.A.35.1.4
B0RZB7	2.A.12.1.14
B0SLF7	3.A.3.30.3
B0SMV3	3.A.3.1.5
B0STR2	3.A.3.27.2
B0W435	2.A.1.65.2
B0WNM6	2.A.94.1.2
B1B1G5	9.B.38.1.2
B1B1Y5	9.B.91.1.1
B1JAG2	2.A.39.1.2
B1L0U0	3.A.1.128.3
B1L0U1	3.A.1.128.3
B1L487	3.A.3.5.27
B1LPP9	8.A.1.1.3
B1NRV2	1.C.24.1.12
B1PLM1	2.A.1.1.71
B1PM37	2.A.1.1.64
B1PVV5	1.A.70.1.1
B1PXD0	2.A.39.2.4
B2D7K2	3.A.23.1.1
B2JQU6	9.B.75.3.1
B2MVM5	1.C.90.1.1
B2TCH9	2.A.89.3.1
B2UR24	3.A.3.32.7
B2YGG2	2.A.1.2.41
B2ZXD5	1.A.38.1.1
B3A000	1.B.6.1.5
B3DPC5	3.A.1.106.3
B3F051	1.C.45.1.4
B3FNS7	1.B.40.1.5
B3L7M4	9.A.54.2.1
B3PY75	1.B.17.3.8
B4F2I9	1.B.12.5.3
B5AJT1	2.A.7.9.5
B5B9V9	3.A.3.9.5
B5LUQ8	1.C.52.1.11
B5LWZ8	2.A.119.1.1
B5MEV1	2.A.125.1.1
B5RK71	1.C.27.1.2
B5RLX6	1.B.56.1.1
B6K9W1	1.C.16.2.1
B6ZCF4	2.A.19.2.6
B7SFC4	1.G.3.1.2
B7U3X1	1.B.2.1.2
B7ZGM0	2.A.66.1.19
B8BVH9	3.A.3.10.17
B8N1Q6	1.A.55.4.1
B9SQ26	9.A.54.1.4
C0C4M2	2.A.119.2.1
C0LZR7	3.A.1.17.5
C0LZR8	3.A.1.17.5
C0LZR9	3.A.1.17.5
C0LZS0	1.B.1.4.2
C0SP99	9.B.10.1.1
C2ITH3	9.B.97.1.4
C3FAQ6	1.C.94.1.2
C4IX13	3.A.3.1.6
C4LT38	3.A.1.207.4
C6L855	1.A.98.1.1
C7G3I9	2.A.63.2.1
C7G3J0	2.A.63.2.1
C7G3J1	2.A.63.2.1
C7G3J2	2.A.63.2.1
C7G3J3	2.A.63.2.1
C7G3J4	2.A.63.2.1
C7G3J5	2.A.63.2.1
C7G3J6	2.A.63.2.1
C8P3X6	4.B.1.2.1
C9VRY8	2.A.86.1.5
D0NGF4	1.A.17.1.14
D0NKP9	1.A.52.3.1
D1QCY9	4.H.1.1.1
D2KXB3	9.B.39.1.2
D4I357	9.B.97.4.1
O00161	1.F.1.1.1
O00299	1.A.12.1.2
O00337	2.A.41.2.3
O00400	2.A.1.25.1
O00422	3.A.18.1.1
O00623	3.A.20.1.1
O00628	3.A.20.1.1
O00631	1.A.50.2.1
O01811	1.A.6.2.2
O02038	1.A.1.11.14
O02345	2.A.7.12.10
O02713	2.A.1.19.5
O03978	1.E.24.1.1
O04619	2.A.29.23.4
O05123	1.B.16.1.1
O05176	3.A.1.2.5
O05177	3.A.1.2.5
O05215	2.A.51.1.5
O05216	2.A.51.1.5
O05227	2.A.63.1.4
O05228	2.A.63.1.4
O05229	2.A.63.1.4
O05256	2.A.24.2.3
O05259	2.A.63.1.4
O05260	2.A.63.1.4
O05307	4.C.1.1.3
O05347	3.A.1.16.2
O05387	1.C.3.2.1
O05469	2.A.77.1.1
O05522	2.A.64.3.2
O05523	2.A.64.3.2
O05693	3.A.1.110.3
O05694	3.A.1.110.3
O05703	3.A.1.15.3
O05962	2.A.12.1.5
O06269	3.A.24.1.1
O06356	3.A.1.27.5
O06742	2.A.1.32.1
O06873	1.A.30.1.2
O06874	1.A.30.1.2
O06900	4.A.1.1.4
O06923	3.B.1.1.4
O06924	3.B.1.1.4
O06925	3.B.1.1.4
O06926	3.B.1.1.4
O06927	3.B.1.1.4
O06930	3.B.1.1.4
O06931	2.A.70.1.1
O06932	2.A.70.1.1
O06933	2.A.7.3.1
O06989	3.A.1.1.26
O06990	3.A.1.1.26
O06991	3.A.1.1.26
O07002	2.A.3.11.1
O07032	2.A.24.2.2
O07084	2.A.4.1.3
O07221	9.B.20.1.2
O07330	3.A.1.132.2
O07334	3.A.1.16.2
O07422	3.A.1.27.5
O07488	2.A.53.3.1
O07515	2.A.88.4.1
O07535	2.A.37.5.2
O07536	2.A.37.5.2
O07549	3.A.1.106.8
O07550	3.A.1.106.8
O07563	2.A.1.7.3
O07620	2.A.88.1.9
O07623	1.C.84.1.1
O07800	2.A.6.5.4
O07837	2.A.56.1.1
O07838	2.A.56.1.1
O07881	2.A.7.5.1
O07923	2.A.78.1.1
O07942	2.A.78.1.1
O08581	1.A.1.8.1
O09012	3.A.20.1.1
O13020	2.A.3.8.2
O13398	3.A.3.9.3
O13777	1.A.47.2.1
O13880	2.A.1.14.19
O14022	3.A.3.10.13
O14031	2.A.67.1.5
O14091	2.A.2.6.1
O14411	2.A.67.1.1
O14649	1.A.1.9.2
O14745	8.A.24.1.1
O14975	4.C.1.1.5
O15118	2.A.6.6.1
O15162	9.A.36.1.1
O15234	3.A.18.1.1
O15247	1.A.12.1.5
O15258	9.B.82.1.2
O15263	1.C.85.1.2
O15374	2.A.1.13.7
O15427	2.A.1.13.6
O15431	1.A.56.1.2
O15432	1.A.56.1.9
O15438	3.A.1.208.9
O15439	3.A.1.208.7
O15440	3.A.1.208.15
O15554	1.A.1.16.2
O16658	2.A.7.12.9
O17469	1.A.4.3.1
O17793	1.A.9.4.2
O18367	2.A.19.3.2
O18423	1.C.43.1.1
O18495	1.C.17.2.1
O22252	2.A.19.6.1
O22261	2.A.29.10.11
O22265	3.A.5.1.2
O22397	2.A.72.3.1
O22454	9.A.20.1.1
O22526	2.A.30.1.20
O22769	3.D.1.6.3
O22920	2.A.37.4.3
O23492	2.A.1.1.62
O24091	2.A.7.4.1
O24303	1.A.18.1.1
O24662	1.A.8.11.2
O24723	2.A.1.15.8
O24779	1.B.25.1.3
O24790	1.C.83.1.1
O24842	2.A.1.15.6
O25257	3.A.7.12.1
O25258	3.A.7.12.1
O25259	3.A.7.12.1
O25260	3.A.7.12.1
O25261	3.A.7.12.1
O25262	3.A.7.12.1
O25263	3.A.7.12.1
O25264	3.A.7.12.1
O25265	3.A.7.12.1
O25266	3.A.7.12.1
O25268	3.A.7.12.1
O25269	3.A.7.12.1
O25270	3.A.7.12.1
O25271	3.A.7.12.1
O25272	3.A.7.12.1
O25273	3.A.7.12.1
O25274	3.A.7.12.1
O25275	3.A.7.12.1
O25276	3.A.7.12.1
O25277	3.A.7.12.1
O25278	3.A.7.12.1
O25396	9.A.8.1.2
O25788	2.A.1.7.7
O25915	3.A.11.3.1
O26442	2.A.66.12.7
O26447	2.A.66.2.10
O27564	1.A.1.13.2
O27598	3.D.8.1.1
O27599	3.D.8.1.1
O27600	3.D.8.1.1
O27601	3.D.8.1.1
O27840	2.A.107.1.2
O27990	2.A.1.29.1
O28528	1.A.11.2.7
O28652	2.A.98.2.1
O28661	2.A.3.6.1
O28739	2.A.7.3.5
O28846	1.A.8.13.1
O29039	2.A.6.7.1
O29285	1.A.11.1.6
O29412	2.A.36.6.1
O29777	3.A.3.5.7
O29993	9.A.8.1.8
O30085	3.A.3.5.10
O30417	2.A.3.7.1
O30434	1.C.24.1.10
O30489	3.A.1.132.1
O30506	3.A.1.3.11
O30510	2.A.1.23.1
O30513	2.A.1.15.5
O30529	1.C.36.2.2
O30541	3.A.1.5.4
O30542	3.A.1.5.4
O30543	3.A.1.5.4
O30544	3.A.1.5.4
O30554	3.A.7.11.1
O30831	3.A.1.1.5
O30832	3.A.1.1.5
O30833	3.A.1.1.5
O31068	9.A.21.1.1
O31137	2.A.1.21.3
O31199	2.A.3.1.9
O31241	1.C.12.1.9
O31307	3.A.1.5.18
O31309	3.A.1.5.18
O31310	3.A.1.5.18
O31315	3.A.1.5.18
O31427	3.A.1.128.1
O31428	3.A.1.128.1
O31467	2.A.64.3.1
O31580	9.A.32.2.1
O31645	4.A.2.1.6
O31658	2.A.38.4.4
O31688	3.A.3.6.9
O31762	2.A.1.32.2
O31791	2.A.7.1.6
O31792	2.A.7.1.6
O32074	2.A.88.3.1
O32080	2.A.38.4.3
O32081	2.A.38.4.3
O32105	2.A.8.1.12
O32139	2.A.40.3.2
O32142	9.B.35.2.1
O32167	3.A.1.24.2
O32168	3.A.1.24.2
O32169	3.A.1.24.2
O32182	2.A.1.3.33
O32204	2.A.3.2.6
O32212	2.A.36.3.2
O32219	3.A.3.6.10
O32220	3.A.3.5.18
O32241	9.A.32.1.1
O32243	3.A.1.12.4
O32244	2.A.95.1.3
O32273	2.A.66.2.6
O32715	2.A.69.3.3
O32748	3.A.1.117.2
O32830	1.C.30.1.2
O32831	1.C.30.1.2
O32859	2.A.1.21.4
O33407	1.B.12.5.9
O33704	3.A.1.15.3
O33918	5.A.1.5.1
O33967	1.C.65.1.1
O34017	1.C.22.1.4
O34095	1.C.67.1.1
O34315	3.A.1.3.13
O34362	3.A.1.30.1
O34406	3.A.1.3.13
O34521	4.A.1.1.7
O34572	3.A.1.30.1
O34610	3.A.1.15.11
O34616	9.A.31.1.1
O34691	2.A.1.82.4
O34697	3.A.1.134.3
O34718	2.A.1.1.26
O34734	2.A.20.4.1
O34738	3.A.1.30.1
O34739	2.A.3.8.12
O34741	3.A.1.134.3
O34742	3.A.1.12.4
O34840	2.A.19.2.7
O34852	3.A.1.3.13
O34878	3.A.1.12.4
O34889	9.A.31.1.1
O34897	1.A.23.3.1
O34900	3.A.1.3.13
O34931	3.A.1.3.13
O34946	3.A.1.15.11
O34966	3.A.1.15.11
O34987	2.A.40.7.2
O34992	3.A.1.12.4
O35018	2.A.1.3.30
O35055	2.A.47.1.3
O35149	2.A.4.3.3
O35240	1.A.6.1.2
O35433	1.A.4.2.1
O35454	2.A.49.3.4
O35633	2.A.18.5.3
O35956	2.A.1.19.4
O42668	8.A.13.1.1
O42701	2.A.36.4.2
O43000	2.A.1.14.17
O43525	1.A.1.15.3
O43526	1.A.1.15.2
O43681	3.A.19.1.1
O43772	2.A.29.8.3
O43808	2.A.29.20.1
O43826	2.A.1.4.5
O43868	2.A.41.2.4
O43933	3.A.20.1.1
O44397	1.C.15.1.1
O45215	3.A.3.2.15
O45283	9.B.97.2.1
O46342	1.A.6.4.1
O47950	3.D.1.6.2
O48430	1.E.1.1.3
O48670	9.B.82.1.3
O48941	2.A.72.3.3
O49696	2.A.85.2.1
O49929	1.B.28.1.1
O49931	3.A.9.1.1
O50181	3.A.1.3.11
O50182	3.A.1.3.11
O50183	3.A.1.3.11
O50295	3.A.1.114.1
O50296	3.A.1.114.1
O50328	3.A.7.2.1
O50329	3.A.7.2.1
O50330	3.A.7.2.1
O50331	3.A.7.2.1
O50333	3.A.7.2.1
O50334	3.A.7.2.1
O50335	3.A.7.2.1
O50336	3.A.7.2.1
O50337	3.A.7.2.1
O50338	3.A.7.2.1
O50471	2.A.21.7.1
O50559	3.A.1.11.4
O50575	2.A.37.5.1
O50576	2.A.37.5.1
O50649	2.A.22.4.1
O50896	1.B.36.1.2
O50927	3.A.1.5.18
O50963	1.B.52.1.1
O50980	4.A.3.2.3
O50981	4.A.3.2.3
O50982	4.A.3.2.3
O51307	3.A.1.5.18
O51308	3.A.1.5.18
O51310	3.A.1.5.18
O51798	2.A.1.15.9
O51918	2.A.1.3.24
O51919	2.A.1.3.24
O51923	3.A.1.1.7
O51924	3.A.1.1.7
O51925	3.A.1.1.7
O52005	2.A.81.2.1
O52158	1.B.14.2.4
O52248	2.A.6.2.9
O52557	2.A.1.3.15
O52717	2.A.1.18.2
O52718	2.A.1.18.1
O52733	2.A.1.1.41
O52853	3.A.1.124.2
O53545	3.A.1.27.5
O53546	3.A.1.27.5
O53645	3.A.1.106.6
O53899	3.A.1.125.2
O53933	3.A.24.4.1
O53934	3.A.24.4.1
O53935	3.A.24.4.1
O53943	3.A.24.4.1
O53944	3.A.24.4.1
O53945	3.A.24.4.1
O53946	3.A.24.4.1
O54368	3.A.1.20.1
O54369	3.A.1.20.1
O54370	3.A.1.20.1
O54371	3.A.1.20.1
O54372	3.A.1.20.1
O54396	3.A.1.121.2
O54454	1.C.30.1.3
O54455	1.C.30.1.3
O54507	1.B.14.1.3
O54584	3.A.1.5.18
O54596	3.D.4.3.1
O54698	2.A.57.1.3
O54699	2.A.57.1.4
O54701	2.A.19.4.2
O54852	1.A.1.20.3
O54853	1.A.1.20.2
O54902	2.A.55.2.2
O55017	1.A.1.11.9
O57609	1.A.28.1.2
O57953	2.A.95.1.2
O58099	2.A.67.4.2
O59010	2.A.23.1.5
O59179	8.A.21.2.1
O59180	8.A.21.2.1
O59652	3.D.1.4.2
O59653	3.D.1.4.2
O59654	3.D.1.4.2
O59655	3.D.1.4.2
O59656	3.D.1.4.2
O59657	3.D.1.4.2
O59726	2.A.1.48.4
O60238	1.A.20.1.2
O60313	1.N.6.1.2
O60359	8.A.16.2.2
O60669	2.A.1.13.5
O60683	3.A.20.1.1
O60779	2.A.48.1.2
O60840	1.A.1.11.11
O60928	1.A.2.1.8
O60931	2.A.43.1.1
O60939	8.A.17.2.1
O61668	8.B.1.1.5
O61715	1.A.25.1.5
O62840	1.C.33.1.5
O64503	2.A.7.11.4
O65623	2.A.29.3.3
O65717	1.A.1.5.5
O65718	1.A.1.5.6
O65943	1.B.9.2.1
O66150	3.A.7.15.1
O66163	2.A.62.1.1
O66938	3.A.3.2.24
O67092	3.D.7.2.1
O67095	3.D.7.2.1
O67203	3.A.3.5.22
O67278	5.A.3.11.2
O67279	5.A.3.11.2
O67280	5.A.3.11.2
O67432	3.A.3.5.21
O67854	2.A.22.4.2
O67997	1.A.11.1.4
O67998	1.B.45.1.1
O68433	3.A.15.3.1
O68441	2.A.6.2.3
O68460	3.A.10.2.1
O68586	1.C.20.1.8
O68827	2.A.7.7.1
O68867	2.A.71.2.1
O69070	2.A.1.3.29
O69194	1.C.61.1.1
O69413	1.C.36.1.1
O69733	3.A.24.1.1
O69735	3.A.24.1.1
O69736	3.A.24.1.1
O69740	3.A.24.1.1
O69741	3.A.24.1.1
O70031	3.A.12.3.1
O70071	3.A.1.11.4
O70073	3.A.1.11.4
O70110	3.A.1.11.4
O70247	2.A.21.5.2
O70260	8.A.15.1.1
O70324	2.A.1.13.3
O70491	2.A.90.1.2
O70596	1.A.2.1.5
O74631	3.E.1.4.9
O74700	3.A.8.1.1
O74723	2.A.38.2.2
O74724	2.A.72.3.2
O74849	2.A.1.1.22
O74869	2.A.52.1.3
O74969	2.A.1.1.21
O75027	3.A.1.210.4
O75185	3.A.3.2.9
O75311	1.A.9.3.1
O75348	3.A.2.2.4
O75381	3.A.20.1.1
O75387	2.A.1.44.1
O75746	2.A.29.14.1
O75762	1.A.4.6.3
O76082	2.A.1.19.3
O76090	1.A.46.1.1
O76094	3.A.5.9.1
O76188	2.A.22.2.5
O76199	8.B.12.1.1
O76343	2.A.57.2.1
O76689	2.A.22.2.7
O76729	2.A.71.1.2
O77463	8.B.1.1.3
O80592	2.A.18.2.5
O80605	2.A.2.4.3
O80725	3.A.1.201.7
O80800	3.D.1.6.3
O80905	2.A.100.1.3
O81108	3.A.3.2.12
O81123	2.A.5.1.3
O81209	5.B.1.1.8
O81775	9.B.60.1.1
O81850	2.A.5.1.4
O82390	2.A.1.14.22
O82598	1.A.8.10.6
O82811	2.A.1.8.12
O82855	2.A.66.1.1
O82916	1.C.57.2.1
O83340	3.A.1.2.10
O83341	3.A.1.2.10
O83342	3.A.1.2.10
O83343	3.A.1.2.10
O84063	3.A.6.3.1
O84092	3.A.6.3.1
O84093	3.A.6.3.1
O84558	2.A.26.1.4
O84563	3.A.6.3.1
O84565	3.A.6.3.1
O84566	3.A.6.3.1
O84567	3.A.6.3.1
O84568	3.A.6.3.1
O84671	3.A.6.3.1
O84676	3.A.6.3.1
O84679	3.A.6.3.1
O84681	3.A.6.3.1
O84722	3.A.6.3.1
O84724	3.A.6.3.1
O84947	1.C.36.5.1
O84986	1.B.25.1.4
O85018	3.A.1.119.3
O85102	1.C.12.1.8
O85143	2.A.4.1.2
O85350	3.A.1.110.5
O85759	8.A.12.1.1
O85763	3.A.1.17.2
O85765	3.A.1.17.2
O86021	1.B.1.8.1
O86171	1.C.42.1.2
O86994	1.B.23.1.1
O87343	1.B.14.2.4
O87561	9.A.22.1.1
O87880	3.A.2.2.1
O87918	2.A.58.1.2
O87935	2.A.6.2.24
O87936	2.A.6.2.24
O87952	2.A.38.4.2
O87953	2.A.38.4.2
O88269	3.A.1.208.1
O88397	2.A.60.1.3
O88446	2.A.1.19.6
O88454	1.A.1.9.3
O88552	1.H.1.1.11
O88704	1.A.1.5.2
O88750	2.A.65.1.1
O88909	2.A.1.19.9
O89035	2.A.29.2.2
O94528	2.A.1.2.35
O94722	1.A.56.1.5
O94759	1.A.4.5.5
O94778	1.A.8.10.15
O94911	3.A.1.211.6
O95140	1.N.6.1.2
O95166	1.A.9.5.2
O95180	1.A.1.11.5
O95202	2.A.97.1.1
O95255	3.A.1.208.10
O95258	2.A.29.24.1
O95279	1.A.1.8.2
O95292	9.B.17.1.1
O95295	1.F.1.1.1
O95342	3.A.1.201.2
O95528	2.A.1.1.59
O97467	2.A.1.1.24
O97725	3.D.1.6.1
P00096	3.D.4.6.1
P00157	3.D.3.2.1
P00163	3.D.3.3.1
P00395	3.D.4.11.1
P00396	3.D.4.7.1
P00403	3.D.4.11.1
P00414	3.D.4.11.1
P00415	3.D.4.7.1
P00550	4.A.2.1.2
P00587	1.C.7.1.1
P00830	3.A.2.1.3
P00854	3.A.2.1.3
P00856	3.A.2.1.3
P01210	1.C.89.1.2
P01213	1.C.89.1.1
P01376	1.C.19.1.2
P01501	1.C.18.1.1
P01507	1.C.17.1.1
P01514	1.C.32.1.6
P01515	1.C.32.1.2
P01516	1.C.32.1.5
P01517	1.C.32.2.1
P01518	1.C.32.3.1
P01530	8.B.17.1.3
P01543	1.C.44.1.1
P01546	1.C.6.1.1
P01558	1.C.59.1.1
P02730	2.A.31.1.1
P02743	1.C.92.1.2
P02767	9.B.35.1.1
P02808	1.C.79.1.2
P02915	3.A.1.3.1
P02916	3.A.1.1.1
P02920	2.A.1.5.1
P02924	3.A.1.2.2
P02925	3.A.1.2.1
P02929	2.C.1.1.1
P02930	1.B.17.1.1
P02931	1.B.1.1.1
P02932	1.B.1.1.2
P02943	1.B.3.1.1
P02945	3.E.1.1.1
P02978	1.C.1.2.2
P02982	2.A.1.2.4
P02983	2.A.1.3.6
P03315	1.G.4.1.1
P03493	1.A.58.1.1
P03657	3.A.13.1.1
P03666	1.B.22.5.1
P03686	9.B.80.1.1
P03705	1.E.2.1.1
P03724	3.A.17.1.1
P03725	3.A.17.1.1
P03726	3.A.17.1.1
P03802	1.E.6.1.1
P03819	2.A.37.1.1
P03887	3.D.1.6.1
P03892	3.D.1.6.1
P03898	3.D.1.6.1
P03902	3.D.1.6.1
P03910	3.D.1.6.1
P03920	3.D.1.6.1
P03924	3.D.1.6.1
P03959	3.A.3.7.1
P03960	3.A.3.7.1
P03961	3.A.3.7.1
P04035	2.A.6.6.5
P04080	1.C.91.1.1
P04083	1.A.31.1.3
P04205	1.C.32.1.4
P04285	3.A.1.5.1
P04394	3.D.1.6.1
P04419	1.C.1.4.1
P04479	1.C.1.1.2
P04480	1.C.1.3.1
P04710	2.A.29.1.3
P04739	3.A.15.2.1
P04816	3.A.1.4.1
P04817	2.A.3.10.4
P04839	5.B.1.1.1
P04840	1.B.8.1.1
P04852	1.A.68.1.1
P04855	1.G.2.1.2
P04920	2.A.31.1.2
P04958	1.C.8.1.2
P04977	1.C.72.1.1
P04978	1.C.72.1.1
P04979	1.C.72.1.1
P04981	1.C.72.1.1
P04983	3.A.1.2.1
P04997	3.E.2.2.1
P05023	3.A.3.1.1
P05026	3.A.3.1.1
P05030	3.A.3.3.6
P05067	1.C.50.1.2
P05141	2.A.29.1.1
P05223	1.C.16.1.2
P05306	4.A.1.2.9
P05316	2.A.39.3.2
P05351	3.A.7.1.1
P05356	3.A.7.1.1
P05357	3.A.7.1.1
P05359	3.A.7.1.1
P05417	3.D.3.1.1
P05418	3.D.3.1.1
P05425	3.A.3.5.2
P05430	1.B.1.5.1
P05509	3.D.1.6.2
P05510	3.D.1.6.2
P05519	1.C.2.1.2
P05528	3.A.1.116.1
P05529	3.A.1.116.1
P05626	3.A.2.1.3
P05706	4.A.4.1.1
P05819	1.C.1.3.2
P05919	1.A.40.1.1
P06129	1.B.14.3.1
P06202	3.A.1.5.1
P06205	1.C.92.1.1
P06550	1.A.1.29.1
P06609	3.A.1.13.1
P06611	3.A.1.13.1
P06624	1.A.8.8.2
P06716	1.C.1.1.1
P06739	8.A.1.3.1
P06775	2.A.3.10.1
P06808	1.E.8.1.1
P06881	1.C.49.1.2
P06970	1.B.11.1.1
P06971	1.B.14.1.2
P06972	3.A.1.14.3
P06996	1.B.1.1.3
P07001	3.D.2.1.1
P07038	3.A.3.3.1
P07110	1.B.11.2.1
P07117	2.A.21.2.1
P07143	3.D.3.3.1
P07198	1.C.16.1.3
P07213	3.A.8.1.1
P07238	1.B.1.1.5
P07251	3.A.2.1.3
P07293	1.A.1.11.2
P07356	9.A.48.1.1
P07357	1.C.39.3.1
P07602	1.C.35.2.1
P07654	3.A.1.7.1
P07775	2.A.46.1.1
P07821	3.A.1.14.3
P07822	3.A.1.14.3
P07869	2.A.3.9.1
P07921	2.A.1.1.9
P08005	3.A.1.5.1
P08006	3.A.1.5.1
P08007	3.A.1.5.1
P08033	1.A.24.1.2
P08034	1.A.24.1.3
P08050	1.A.24.1.1
P08083	1.C.1.3.3
P08104	1.A.1.10.1
