siRNA,TargetGene,effector,RegulationType,Confidence,Evidence
sRNA_Vvi007,GENE_AAT1,,激活,0.72,文献支持
sRNA_Vvi007,GENE_AMY027,MET_G6P,激活,0.73,预测
sRNA_Vvi008,GENE_TF014,MET_BPG,激活,0.75,预测
sRNA_Vvi008,GENE_LIP030,MET_GAP,抑制,0.43,预测
sRNA_Vvi008,GENE_TF008,MET_pyruvate,抑制,0.56,文献支持
sRNA_Vvi008,GENE_FAS2,MET_trehalose,抑制,0.45,预测
sRNA_Vvi009,GENE_MISC025,MET_citrate,抑制,0.79,预测
sRNA_Vvi010,GENE_HXK4,MET_malate,激活,0.68,文献支持
sRNA_Vvi010,GENE_SL3,MET_trehalose,抑制,0.55,文献支持
sRNA_Vvi011,GENE_SL3,MET_G6P,激活,0.43,预测
sRNA_Vvi011,GENE_LIP017,MET_lactose,激活,0.54,文献支持
sRNA_Vvi011,GENE_TF027,MET_oxaloacetate,激活,0.55,预测
sRNA_Vvi012,GENE_TF030,MET_mannose,抑制,0.73,预测
sRNA_Vvi012,GENE_AMY026,MET_PEP,抑制,0.69,预测
sRNA_Vvi012,GENE_PROT042,MET_PEP,抑制,0.8,预测
sRNA_Vvi012,GENE_TF003,MET_fructose,激活,0.61,预测
sRNA_Vvi013,GENE_KGD1,MET_BPG,激活,0.45,预测
sRNA_Vvi014,GENE_TF033,MET_lactose,抑制,0.72,预测
sRNA_Vvi015,GENE_AT2,MET_pyruvate,抑制,0.74,文献支持
sRNA_Vvi015,GENE_PROT050,MET_pyruvate,激活,0.65,文献支持
sRNA_Vvi015,GENE_CRP1,MET_fructose,激活,0.75,预测
sRNA_Vvi015,GENE_TF048,MET_CoA,抑制,0.62,文献支持
sRNA_Bac001,GENE_LysR1,MET_lactate,抑制,0.64,文献支持
sRNA_Bac001,GENE_PROT042,MET_NADH,抑制,0.59,文献支持
sRNA_Bac002,GENE_PROT028,MET_BPG,抑制,0.41,预测
sRNA_Bac002,GENE_HXK2,MET_F6P,抑制,0.45,预测
sRNA_Bac003,GENE_ALDC3,,抑制,0.41,预测
sRNA_Bac003,GENE_TF003,MET_oxaloacetate,激活,0.69,文献支持
sRNA_Bac003,GENE_ACS3,MET_oxaloacetate,抑制,0.54,文献支持
sRNA_Bac003,GENE_TF017,MET_fructose,激活,0.63,预测
sRNA_Bac004,GENE_IDH3,MET_galactose,抑制,0.81,文献支持
sRNA_Bac004,GENE_LIP014,MET_aKG,抑制,0.51,预测
sRNA_Bac005,GENE_PROT040,,激活,0.58,文献支持
sRNA_Bac005,GENE_ALD1,MET_isocitrate,激活,0.74,文献支持
sRNA_Bac006,GENE_PROT048,MET_fumarate,激活,0.5,预测
sRNA_Bac007,GENE_TF039,MET_trehalose,抑制,0.43,预测
sRNA_Bac007,GENE_TF010,MET_maltose,激活,0.53,预测
sRNA_Bac007,GENE_FAS3,MET_F6P,抑制,0.47,预测
sRNA_Bac008,GENE_HXK5,MET_pyruvate,激活,0.82,预测
sRNA_Bac009,GENE_SD1,MET_citrate,抑制,0.76,预测
sRNA_Bac010,GENE_AAT3,MET_NAD,抑制,0.69,预测
sRNA_Bac010,GENE_PROT012,MET_F6P,抑制,0.79,预测
sRNA_Bac010,GENE_SL2,MET_CoA,激活,0.76,预测
sRNA_Bac011,GENE_MISC037,MET_fumarate,激活,0.48,预测
sRNA_Bac011,GENE_LIP024,MET_ATP,激活,0.8,文献支持
sRNA_Bac011,GENE_HXK5,,抑制,0.64,预测
sRNA_Bac012,GENE_PDC4,MET_oxaloacetate,激活,0.76,文献支持
sRNA_Bac013,GENE_TF050,MET_malate,抑制,0.8,文献支持
sRNA_Bac013,GENE_MISC033,MET_fumarate,激活,0.54,预测
sRNA_Bac013,GENE_TF013,MET_acetate,抑制,0.45,预测
sRNA_Bac014,GENE_MDH4,MET_succinate,抑制,0.5,预测
sRNA_Bac015,GENE_HXK2,MET_F16BP,抑制,0.59,预测
