reaction_id,reaction_name,enzyme,substrates,products
RXN_0031,Fatty_acid_synthesis,PRO_FAS1,MET_acetyl_CoA;MET_NADPH,MET_palmitic_acid
RXN_0032,Hexanoic_acid_formation,PRO_FAD1,MET_palmitic_acid,MET_hexanoic_acid
RXN_0033,TTMP_synthesis,,MET_acetoin,MET_TTMP
RXN_0034,Methylpyrazine_formation,,MET_ammonia;MET_acetaldehyde,MET_2_methylpyrazine
RXN_0035,Metabolic_reaction_35,PRO_AMY028,MET_other158,MET_other127
RXN_0036,Metabolic_reaction_36,PRO_BCAT1,MET_other309,MET_NADP
RXN_0037,Metabolic_reaction_37,PRO_AMY009,MET_other080,MET_other307
RXN_0038,Metabolic_reaction_38,PRO_BCAT1,MET_other040;MET_other309,MET_other226
RXN_0039,Metabolic_reaction_39,PRO_AAT5,MET_decanoic_acid;MET_other266,MET_formaldehyde
RXN_0040,Metabolic_reaction_40,PRO_ADH3,MET_threonine;MET_other347;MET_other426,MET_other005;MET_other265
RXN_0041,Metabolic_reaction_41,,MET_other073;MET_linalyl_acetate;MET_arginine,MET_other113;MET_other176
RXN_0042,Metabolic_reaction_42,PRO_LIP010,MET_other266,MET_other161
RXN_0043,Metabolic_reaction_43,PRO_AMY023,MET_other256;MET_other240,MET_other091
RXN_0044,Metabolic_reaction_44,PRO_LDH4,MET_other423,MET_other127
RXN_0045,Metabolic_reaction_45,,MET_other209;MET_2_methylbutanol,MET_other112
RXN_0046,Metabolic_reaction_46,PRO_FAD3,MET_other151;MET_ethyl_butyrate,MET_other094;MET_other201
RXN_0047,Metabolic_reaction_47,PRO_AMY002,MET_other023;MET_other148,MET_other019;MET_other130
RXN_0048,Metabolic_reaction_48,PRO_PGK3,MET_other285;MET_other247,MET_other101;MET_other018
RXN_0049,Metabolic_reaction_49,PRO_PTA3,MET_other033,MET_other041
RXN_0050,Metabolic_reaction_50,PRO_AMY004,MET_other271;MET_other267;MET_other356,MET_other421
RXN_0051,Metabolic_reaction_51,PRO_AAT4,MET_other426,MET_other150
RXN_0052,Metabolic_reaction_52,PRO_AMY026,MET_other322,MET_other038;MET_other342
RXN_0053,Metabolic_reaction_53,,MET_other396;MET_TTMP,MET_other183
RXN_0054,Metabolic_reaction_54,,MET_other033;MET_other259;MET_other042,MET_other423
RXN_0055,Metabolic_reaction_55,PRO_PDC1,MET_other377;MET_aKG;MET_ammonia,MET_other250;MET_other193
RXN_0056,Metabolic_reaction_56,PRO_PYK4,MET_palmitic_acid;MET_other374;MET_geranyl_acetate,MET_other425
RXN_0057,Metabolic_reaction_57,,MET_other148;MET_other417,MET_other311
RXN_0058,Metabolic_reaction_58,,MET_other196;MET_other285;MET_other259,MET_other328
RXN_0059,Metabolic_reaction_59,PRO_AMY009,MET_other130;MET_other107,MET_phenylethyl_acetate
RXN_0060,Metabolic_reaction_60,PRO_LIP019,MET_other102;MET_trehalose;MET_isobutyl_acetate,MET_phenylethanol
RXN_0061,Metabolic_reaction_61,PRO_FAD2,MET_isobutyl_acetate,MET_other404;MET_other121
RXN_0062,Metabolic_reaction_62,PRO_LIP007,MET_other361,MET_other125
RXN_0063,Metabolic_reaction_63,PRO_PTA1,MET_heptanal;MET_acetaldehyde,MET_other320
RXN_0064,Metabolic_reaction_64,PRO_LIP006,MET_formaldehyde;MET_phenylacetic_acid,MET_other291
RXN_0065,Metabolic_reaction_65,PRO_CS1,MET_other073,MET_other071
RXN_0066,Metabolic_reaction_66,,MET_other162;MET_other350,MET_other132
RXN_0067,Metabolic_reaction_67,,MET_formaldehyde,MET_a_ketomethylvalerate;MET_lactate
RXN_0068,Metabolic_reaction_68,PRO_LIP014,MET_other293,MET_other375
RXN_0069,Metabolic_reaction_69,,MET_other045;MET_other265,MET_galactose
RXN_0070,Metabolic_reaction_70,PRO_BCAT1,MET_other169;MET_other310,MET_other377;MET_other035
RXN_0071,Metabolic_reaction_71,PRO_FAD1,MET_other198,MET_3_methylbutanoic_acid
RXN_0072,Metabolic_reaction_72,PRO_PFK4,MET_3_methylbutanoic_acid;MET_other397;MET_n_propanol,MET_other069
RXN_0073,Metabolic_reaction_73,PRO_PTA2,MET_acetone,MET_other130;MET_glutamate
RXN_0074,Metabolic_reaction_74,PRO_AMY019,MET_other144;MET_other086;MET_other198,MET_other122;MET_other150
RXN_0075,Metabolic_reaction_75,PRO_AMY006,MET_other200;MET_propyl_acetate,MET_F6P;MET_other348
RXN_0076,Metabolic_reaction_76,PRO_LIP023,MET_other095,MET_other396
RXN_0077,Metabolic_reaction_77,PRO_LIP010,MET_other127;MET_other255,MET_other169
RXN_0078,Metabolic_reaction_78,PRO_LIP017,MET_other418;MET_G6P;MET_other183,MET_2_3_dimethylpyrazine;MET_other015
RXN_0079,Metabolic_reaction_79,PRO_AMY025,MET_other155,MET_other166
RXN_0080,Metabolic_reaction_80,PRO_LIP020,MET_other147;MET_other394,MET_other378
RXN_0081,Metabolic_reaction_81,PRO_AAT3,MET_other310,MET_other160
RXN_0082,Metabolic_reaction_82,PRO_PYK2,MET_other042,MET_other330;MET_other315
RXN_0083,Metabolic_reaction_83,PRO_CS2,MET_phenylalanine,MET_other256
RXN_0084,Metabolic_reaction_84,,MET_serine;MET_other192,MET_other252
RXN_0085,Metabolic_reaction_85,PRO_AMY005,MET_other092,MET_other133;MET_2_methylpyrazine
RXN_0086,Metabolic_reaction_86,,MET_other119;MET_other043,MET_other059
RXN_0087,Metabolic_reaction_87,,MET_other217,MET_other299
RXN_0088,Metabolic_reaction_88,,MET_other040,MET_4_ethylguaiacol;MET_other269
RXN_0089,Metabolic_reaction_89,PRO_LIP005,MET_other081;MET_other348,MET_other236
RXN_0090,Metabolic_reaction_90,PRO_ADH1,MET_succinyl_CoA,MET_other075
RXN_0091,Metabolic_reaction_91,PRO_LIP011,MET_other236,MET_other399;MET_other287
RXN_0092,Metabolic_reaction_92,PRO_AMY010,MET_NAD;MET_sulfate;MET_other144,MET_other061;MET_other151
RXN_0093,Metabolic_reaction_93,PRO_AMY007,MET_other198;MET_other323,MET_other402;MET_sulfate
RXN_0094,Metabolic_reaction_94,PRO_LIP007,MET_lysine,MET_other324;MET_fructose
RXN_0095,Metabolic_reaction_95,PRO_AMY018,MET_other249;MET_other318;MET_linalyl_acetate,MET_other216
RXN_0096,Metabolic_reaction_96,PRO_AMY023,MET_other396,MET_other193;MET_other295
RXN_0097,Metabolic_reaction_97,PRO_LIP019,MET_other073;MET_other307,MET_other266
RXN_0098,Metabolic_reaction_98,PRO_ACK1,MET_other292,MET_glucose;MET_other188
RXN_0099,Metabolic_reaction_99,PRO_LIP026,MET_other353;MET_other329;MET_other095,MET_other403;MET_other364
RXN_0100,Metabolic_reaction_100,PRO_AMY013,MET_other167,MET_other405
RXN_0101,Metabolic_reaction_101,,MET_other117;MET_other194,MET_other107
RXN_0102,Metabolic_reaction_102,,MET_histidine,MET_other128
RXN_0103,Metabolic_reaction_103,PRO_PDC2,MET_other343;MET_other301;MET_other076,MET_other271
RXN_0104,Metabolic_reaction_104,PRO_LIP006,MET_2_furanthiol,MET_other313
RXN_0105,Metabolic_reaction_105,,MET_a_ketomethylvalerate;MET_other132;MET_other001,MET_other347;MET_other015
RXN_0106,Metabolic_reaction_106,PRO_FAS3,MET_other330;MET_other393;MET_other313,MET_other335;MET_other039
RXN_0107,Metabolic_reaction_107,PRO_ADH1,MET_other130;MET_other160,MET_other412;MET_other375
RXN_0108,Metabolic_reaction_108,PRO_LIP018,MET_other169;MET_other117,MET_other156
RXN_0109,Metabolic_reaction_109,PRO_AMY024,MET_other018;MET_other031;MET_other113,MET_other272
RXN_0110,Metabolic_reaction_110,PRO_FAS2,MET_other301,MET_other294
RXN_0111,Metabolic_reaction_111,,MET_other088;MET_other307,MET_other276
RXN_0112,Metabolic_reaction_112,PRO_ACS1,MET_other266;MET_other365;MET_lactose,MET_other238
RXN_0113,Metabolic_reaction_113,PRO_HXK4,MET_other376;MET_other101,MET_other157
RXN_0114,Metabolic_reaction_114,,MET_other291;MET_other046,MET_other357;MET_other007
RXN_0115,Metabolic_reaction_115,PRO_FAS2,MET_other280;MET_NADH;MET_linalool,MET_other318
RXN_0116,Metabolic_reaction_116,PRO_FAS1,MET_other143,MET_other266
RXN_0117,Metabolic_reaction_117,,MET_other265;MET_other161,MET_other310;MET_other135
RXN_0118,Metabolic_reaction_118,PRO_LIP003,MET_2_methylpropanal;MET_other235,MET_other107
RXN_0119,Metabolic_reaction_119,,MET_other130,MET_other081
RXN_0120,Metabolic_reaction_120,PRO_BCAT1,MET_other121;MET_other006;MET_other361,MET_phosphate
RXN_0121,Metabolic_reaction_121,,MET_other254;MET_other048,MET_phosphate;MET_other044
RXN_0122,Metabolic_reaction_122,PRO_AMY025,MET_other196,MET_other262
RXN_0123,Metabolic_reaction_123,PRO_ADH4,MET_other125,MET_METHANETHIOL
RXN_0124,Metabolic_reaction_124,PRO_PFK4,MET_serine;MET_other232;MET_other422,MET_other317
RXN_0125,Metabolic_reaction_125,,MET_BPG;MET_other307;MET_other378,MET_2_furanthiol;MET_other322
RXN_0126,Metabolic_reaction_126,,MET_other322;MET_other057,MET_other413
RXN_0127,Metabolic_reaction_127,,MET_other353;MET_other323,MET_other151;MET_other207
RXN_0128,Metabolic_reaction_128,PRO_AMY019,MET_other338,MET_other126;MET_other353
RXN_0129,Metabolic_reaction_129,PRO_LDH1,MET_ATP;MET_other383,MET_other210;MET_other064
RXN_0130,Metabolic_reaction_130,,MET_other163;MET_other159,MET_F16BP;MET_other408
RXN_0131,Metabolic_reaction_131,PRO_PDC1,MET_other293,MET_other378
RXN_0132,Metabolic_reaction_132,PRO_AMY022,MET_other335;MET_citrate,MET_heptanal;MET_other179
RXN_0133,Metabolic_reaction_133,PRO_AMY029,MET_other254,MET_other362;MET_other421
RXN_0134,Metabolic_reaction_134,PRO_AMY026,MET_other237;MET_other341;MET_other154,MET_other191;MET_other134
RXN_0135,Metabolic_reaction_135,PRO_AMY028,MET_acetone,MET_other426;MET_other067
RXN_0136,Metabolic_reaction_136,PRO_LDH2,MET_other414;MET_other166,MET_DIMETHYL_SULFIDE;MET_other075
RXN_0137,Metabolic_reaction_137,PRO_LIP028,MET_pyruvate,MET_other424;MET_other007
RXN_0138,Metabolic_reaction_138,,MET_other006,MET_other380;MET_2_methylpyrazine
RXN_0139,Metabolic_reaction_139,,MET_other357;MET_other367;MET_other328,MET_other225;MET_other065
RXN_0140,Metabolic_reaction_140,PRO_AMY014,MET_nitrate;MET_ethyl_hexanoate,MET_other289;MET_other382
RXN_0141,Metabolic_reaction_141,PRO_PDC2,MET_other029,MET_other189
RXN_0142,Metabolic_reaction_142,PRO_ACK2,MET_other108,MET_other413;MET_other267
RXN_0143,Metabolic_reaction_143,PRO_PDC4,MET_other189;MET_phenylethanol,MET_DIMETHYL_SULFIDE;MET_other090
RXN_0144,Metabolic_reaction_144,PRO_ACO1,MET_other122,MET_other054
RXN_0145,Metabolic_reaction_145,PRO_ADH2,MET_other338,MET_other359;MET_other175
RXN_0146,Metabolic_reaction_146,PRO_AMY003,MET_isobutyl_acetate;MET_other116,MET_other149;MET_other080
RXN_0147,Metabolic_reaction_147,PRO_ACO2,MET_other149,MET_other022
RXN_0148,Metabolic_reaction_148,PRO_LIP024,MET_other326;MET_other004,MET_other358;MET_other189
RXN_0149,Metabolic_reaction_149,PRO_AMY011,MET_other325;MET_n_propanol,MET_glutamate;MET_other320
RXN_0150,Metabolic_reaction_150,,MET_octanoic_acid;MET_other111,MET_fumarate
RXN_0151,Metabolic_reaction_151,PRO_LIP021,MET_other056;MET_other358,MET_other410
RXN_0152,Metabolic_reaction_152,PRO_PTA1,MET_other323;MET_other380,MET_octanoic_acid
RXN_0153,Metabolic_reaction_153,PRO_ADH2,MET_2_3_dimethylpyrazine;MET_other041,MET_other216;MET_other300
RXN_0154,Metabolic_reaction_154,PRO_PYK2,MET_other342;MET_linoleic_acid,MET_other200
RXN_0155,Metabolic_reaction_155,PRO_LDH2,MET_other350;MET_other300,MET_3_methylbutanol
RXN_0156,Metabolic_reaction_156,,MET_other329;MET_3_methylbutanal;MET_other085,MET_other152;MET_other012
RXN_0157,Metabolic_reaction_157,PRO_HXK2,MET_other001;MET_ATP,MET_other124;MET_other041
RXN_0158,Metabolic_reaction_158,PRO_CS3,MET_hexanal;MET_other107;MET_nitrate,MET_other352;MET_acetone
RXN_0159,Metabolic_reaction_159,,MET_other398;MET_other156,MET_other303;MET_other372
RXN_0160,Metabolic_reaction_160,,MET_other025,MET_other270;MET_other073
RXN_0161,Metabolic_reaction_161,,MET_linalyl_acetate;MET_other159;MET_other301,MET_other227
RXN_0162,Metabolic_reaction_162,PRO_FAD1,MET_galactose;MET_other166;MET_other182,MET_other381;MET_other030
RXN_0163,Metabolic_reaction_163,,MET_other263;MET_other343,MET_other206;MET_other070
RXN_0164,Metabolic_reaction_164,PRO_FAS3,MET_other116,MET_other298;MET_threonine
RXN_0165,Metabolic_reaction_165,PRO_AMY009,MET_other032;MET_other384,MET_tyrosine;MET_other006
RXN_0166,Metabolic_reaction_166,,MET_other327;MET_DIMETHYL_SULFIDE,MET_other417
RXN_0167,Metabolic_reaction_167,PRO_LIP004,MET_other296,MET_other035
RXN_0168,Metabolic_reaction_168,PRO_AAT1,MET_other284;MET_n_propanol,MET_other214;MET_other425
RXN_0169,Metabolic_reaction_169,,MET_geranyl_acetate;MET_other117,MET_other173
RXN_0170,Metabolic_reaction_170,PRO_ADH4,MET_formaldehyde,MET_DIMETHYL_DISULFIDE;MET_other332
RXN_0171,Metabolic_reaction_171,PRO_LDH3,MET_other209,MET_2_methylbutanol
RXN_0172,Metabolic_reaction_172,PRO_LIP005,MET_other127;MET_other420,MET_other299
RXN_0173,Metabolic_reaction_173,PRO_LDH4,MET_other056,MET_n_butanol
RXN_0174,Metabolic_reaction_174,PRO_FAS1,MET_other386;MET_other023;MET_other114,MET_other351
RXN_0175,Metabolic_reaction_175,PRO_LIP024,MET_other353;MET_other171,MET_other038
RXN_0176,Metabolic_reaction_176,PRO_ACS1,MET_other311;MET_other133,MET_other346;MET_other187
RXN_0177,Metabolic_reaction_177,PRO_AMY023,MET_other119;MET_other267,MET_other245
RXN_0178,Metabolic_reaction_178,PRO_AMY021,MET_other282;MET_other158,MET_G6P
RXN_0179,Metabolic_reaction_179,PRO_IDH2,MET_other170,MET_other112;MET_other238
RXN_0180,Metabolic_reaction_180,PRO_LDH2,MET_other017;MET_acetaldehyde;MET_glutamate,MET_other196;MET_other331
RXN_0181,Metabolic_reaction_181,PRO_ACO3,MET_other179,MET_other212
RXN_0182,Metabolic_reaction_182,PRO_PDC5,MET_other251,MET_other421
RXN_0183,Metabolic_reaction_183,,MET_other370,MET_other179;MET_other223
RXN_0184,Metabolic_reaction_184,,MET_other021;MET_other108,MET_other285
RXN_0185,Metabolic_reaction_185,PRO_AMY020,MET_butanoic_acid;MET_other281;MET_pyruvate,MET_other149;MET_other005
RXN_0186,Metabolic_reaction_186,PRO_LIP017,MET_other257;MET_4_ethylguaiacol,MET_other117;MET_other361
RXN_0187,Metabolic_reaction_187,PRO_PFK1,MET_other103;MET_isoamyl_acetate;MET_other352,MET_other188;MET_other297
RXN_0188,Metabolic_reaction_188,PRO_AMY002,MET_other381,MET_sulfate;MET_acetaldehyde
RXN_0189,Metabolic_reaction_189,PRO_AMY027,MET_other341,MET_other256;MET_other306
RXN_0190,Metabolic_reaction_190,,MET_acrolein,MET_other379;MET_other295
RXN_0191,Metabolic_reaction_191,PRO_PDC1,MET_other256;MET_other099,MET_other333
RXN_0192,Metabolic_reaction_192,PRO_IDH2,MET_other253;MET_other244,MET_phenylacetic_acid
RXN_0193,Metabolic_reaction_193,PRO_AAT3,MET_octanoic_acid,MET_other095;MET_fumarate
RXN_0194,Metabolic_reaction_194,,MET_other087,MET_geranyl_acetate
RXN_0195,Metabolic_reaction_195,PRO_AMY010,MET_other098;MET_other115;MET_other213,MET_other028
RXN_0196,Metabolic_reaction_196,PRO_PYK2,MET_other025,MET_other010;MET_other134
RXN_0197,Metabolic_reaction_197,PRO_PDC1,MET_lactate,MET_other244
RXN_0198,Metabolic_reaction_198,PRO_AMY001,MET_acetate;MET_other055;MET_other148,MET_2_methylbutanal;MET_other007
RXN_0199,Metabolic_reaction_199,PRO_LOX2,MET_other364,MET_other336
RXN_0200,Metabolic_reaction_200,PRO_LIP020,MET_other339;MET_other392;MET_other103,MET_threonine
RXN_0201,Metabolic_reaction_201,PRO_PYK1,MET_other346;MET_NADPH;MET_phenylacetic_acid,MET_other370;MET_other290
RXN_0202,Metabolic_reaction_202,PRO_ADH1,MET_acetolactate;MET_n_propanol,MET_other208;MET_other030
RXN_0203,Metabolic_reaction_203,PRO_PGK4,MET_other267;MET_other420;MET_other178,MET_other343;MET_other396
RXN_0204,Metabolic_reaction_204,,MET_other317,MET_other340
RXN_0205,Metabolic_reaction_205,PRO_AAT1,MET_other341;MET_other285,MET_other303;MET_octanal
RXN_0206,Metabolic_reaction_206,,MET_other033;MET_other362,MET_ethyl_lactate;MET_octanoic_acid
RXN_0207,Metabolic_reaction_207,PRO_AMY009,MET_nonanal,MET_other259;MET_other011
RXN_0208,Metabolic_reaction_208,,MET_other002;MET_other297;MET_other239,MET_other313;MET_3_methylbutanal
RXN_0209,Metabolic_reaction_209,PRO_BCAT2,MET_other237;MET_2_5_dimethylpyrazine;MET_other396,MET_other095;MET_other036
RXN_0210,Metabolic_reaction_210,PRO_LIP007,MET_other253,MET_phosphate;MET_other162
RXN_0211,Metabolic_reaction_211,PRO_LIP001,MET_other150;MET_ATP,MET_other062
RXN_0212,Metabolic_reaction_212,PRO_ACS3,MET_other236;MET_lactose,MET_other063;MET_other024
RXN_0213,Metabolic_reaction_213,PRO_BCAT1,MET_NADPH,MET_decanoic_acid
RXN_0214,Metabolic_reaction_214,PRO_AAT2,MET_other341;MET_other226,MET_other038;MET_other256
RXN_0215,Metabolic_reaction_215,PRO_PDC5,MET_2_methylpropanal;MET_other036;MET_other038,MET_a_ketoisovalerate
RXN_0216,Metabolic_reaction_216,PRO_LOX2,MET_other374;MET_other329,MET_other301;MET_other156
RXN_0217,Metabolic_reaction_217,PRO_AMY009,MET_other317,MET_syringaldehyde;MET_other167
RXN_0218,Metabolic_reaction_218,PRO_ADH4,MET_arginine;MET_other102,MET_other283;MET_2_methylbutanol
RXN_0219,Metabolic_reaction_219,PRO_HXK1,MET_other138,MET_other174
RXN_0220,Metabolic_reaction_220,PRO_LOX1,MET_other056;MET_other009,MET_other268;MET_other424
RXN_0221,Metabolic_reaction_221,PRO_PGK1,MET_amyl_acetate;MET_other283;MET_glycine,MET_other326;MET_aKG
RXN_0222,Metabolic_reaction_222,PRO_LIP027,MET_other291;MET_other304,MET_other173;MET_phosphate
RXN_0223,Metabolic_reaction_223,PRO_PYK1,MET_other348;MET_other247,MET_linoleic_acid
RXN_0224,Metabolic_reaction_224,PRO_ADH5,MET_other287,MET_other414;MET_n_butanol
RXN_0225,Metabolic_reaction_225,PRO_PYK2,MET_other218;MET_other049,MET_2_3_butanediol
RXN_0226,Metabolic_reaction_226,PRO_PDC3,MET_other234;MET_other236;MET_other028,MET_other119
RXN_0227,Metabolic_reaction_227,PRO_LIP002,MET_other033,MET_acetoin
RXN_0228,Metabolic_reaction_228,PRO_FAS3,MET_other336;MET_other207,MET_other200;MET_other031
RXN_0229,Metabolic_reaction_229,PRO_FAS2,MET_other158;MET_2_methylbutanol,MET_other239;MET_other398
RXN_0230,Metabolic_reaction_230,PRO_LIP014,MET_3_methylbutanoic_acid;MET_other254,MET_other171
RXN_0231,Metabolic_reaction_231,,MET_other350,MET_serine;MET_other337
RXN_0232,Metabolic_reaction_232,,MET_other206;MET_other364;MET_other390,MET_other031
RXN_0233,Metabolic_reaction_233,PRO_PFK1,MET_other228;MET_citronellol,MET_other395
RXN_0234,Metabolic_reaction_234,PRO_LDH2,MET_other326,MET_other414;MET_other413
RXN_0235,Metabolic_reaction_235,PRO_AMY016,MET_other273;MET_other295,MET_other223;MET_2_methylpropanal
RXN_0236,Metabolic_reaction_236,PRO_AMY026,MET_other214;MET_heptanal,MET_other274
RXN_0237,Metabolic_reaction_237,PRO_AMY017,MET_other218;MET_n_hexanol;MET_other021,MET_other238
RXN_0238,Metabolic_reaction_238,PRO_AAT3,MET_citronellol;MET_other194,MET_other264
RXN_0239,Metabolic_reaction_239,PRO_LDH2,MET_other310,MET_other398
RXN_0240,Metabolic_reaction_240,PRO_CS1,MET_other096;MET_other226,MET_other376
RXN_0241,Metabolic_reaction_241,PRO_AMY003,MET_other179,MET_DIMETHYL_DISULFIDE
RXN_0242,Metabolic_reaction_242,PRO_LIP010,MET_other221;MET_other011;MET_other262,MET_other035
RXN_0243,Metabolic_reaction_243,PRO_PDC1,MET_other325;MET_threonine;MET_other297,MET_other251
RXN_0244,Metabolic_reaction_244,PRO_LIP007,MET_other336;MET_other116,MET_other425;MET_other122
RXN_0245,Metabolic_reaction_245,PRO_LIP003,MET_other253;MET_other328,MET_other351
RXN_0246,Metabolic_reaction_246,PRO_FAD1,MET_other042;MET_other081,MET_other018;MET_other135
RXN_0247,Metabolic_reaction_247,PRO_ACO1,MET_other405;MET_other004,MET_other169
RXN_0248,Metabolic_reaction_248,,MET_other402;MET_other027,MET_other325;MET_octanoic_acid
RXN_0249,Metabolic_reaction_249,PRO_LOX1,MET_other234,MET_NADH;MET_other302
RXN_0250,Metabolic_reaction_250,PRO_AAT1,MET_other272;MET_n_hexanol,MET_other261
RXN_0251,Metabolic_reaction_251,PRO_LIP010,MET_other026,MET_other017;MET_alanine
RXN_0252,Metabolic_reaction_252,,MET_other357;MET_other336,MET_sucrose
RXN_0253,Metabolic_reaction_253,PRO_LIP003,MET_other097,MET_other030;MET_other418
RXN_0254,Metabolic_reaction_254,PRO_AMY015,MET_other185;MET_other001,MET_methionine
RXN_0255,Metabolic_reaction_255,PRO_AMY025,MET_isoamyl_acetate;MET_syringaldehyde;MET_other388,MET_acetate;MET_other407
RXN_0256,Metabolic_reaction_256,PRO_PTA2,MET_other316,MET_fructose;MET_other238
RXN_0257,Metabolic_reaction_257,PRO_AMY001,MET_other413,MET_other246
RXN_0258,Metabolic_reaction_258,,MET_other276;MET_other358;MET_threonine,MET_other274
RXN_0259,Metabolic_reaction_259,PRO_AMY018,MET_other242;MET_hexyl_acetate,MET_other231
RXN_0260,Metabolic_reaction_260,PRO_LIP008,MET_other013,MET_lysine;MET_other238
RXN_0261,Metabolic_reaction_261,PRO_LIP003,MET_other367,MET_other063;MET_other015
RXN_0262,Metabolic_reaction_262,PRO_LIP017,MET_other177;MET_other083,MET_threonine
RXN_0263,Metabolic_reaction_263,,MET_other194,MET_other405;MET_other285
RXN_0264,Metabolic_reaction_264,,MET_other136;MET_tyrosine;MET_other072,MET_other172;MET_other245
RXN_0265,Metabolic_reaction_265,PRO_ACS3,MET_other156,MET_other004;MET_other254
RXN_0266,Metabolic_reaction_266,PRO_LIP006,MET_other224;MET_other068,MET_other387;MET_other388
RXN_0267,Metabolic_reaction_267,PRO_AAT2,MET_geraniol;MET_other311;MET_n_butanol,MET_other320;MET_other063
RXN_0268,Metabolic_reaction_268,PRO_AMY011,MET_other212,MET_other179
RXN_0269,Metabolic_reaction_269,PRO_LIP015,MET_other331;MET_other236,MET_other336
RXN_0270,Metabolic_reaction_270,PRO_LIP006,MET_other158;MET_3_methylbutanoic_acid,MET_acetoin;MET_other294
RXN_0271,Metabolic_reaction_271,PRO_PFK4,MET_other023,MET_other326
RXN_0272,Metabolic_reaction_272,PRO_AMY020,MET_other247,MET_other270;MET_leucine
RXN_0273,Metabolic_reaction_273,PRO_ACS2,MET_other257;MET_other331,MET_2_3_butanediol;MET_other017
RXN_0274,Metabolic_reaction_274,PRO_ACS1,MET_other132;MET_nitrate,MET_CoA;MET_other068
RXN_0275,Metabolic_reaction_275,,MET_other145;MET_other143;MET_other333,MET_other096
RXN_0276,Metabolic_reaction_276,PRO_LIP019,MET_other081;MET_other002,MET_other016;MET_acetolactate
RXN_0277,Metabolic_reaction_277,PRO_ADH3,MET_other204;MET_other232,MET_ethyl_hexanoate
RXN_0278,Metabolic_reaction_278,PRO_LIP030,MET_other055;MET_other247,MET_other399
RXN_0279,Metabolic_reaction_279,PRO_AMY004,MET_other119,MET_other383
RXN_0280,Metabolic_reaction_280,PRO_AMY025,MET_other355;MET_other009;MET_stearic_acid,MET_ethyl_butyrate;MET_other195
RXN_0281,Metabolic_reaction_281,PRO_ACK3,MET_other296;MET_acetolactate,MET_other006;MET_other202
RXN_0282,Metabolic_reaction_282,PRO_LIP015,MET_other008;MET_other063,MET_other010;MET_other322
