TF,TargetGene,effector,RegulationType,Confidence,Evidence
GENE_TF002,GENE_PROT030,MET_NADPH,激活,0.54,文献支持
GENE_TF002,GENE_MISC005,MET_trehalose,激活,0.81,预测
GENE_TF003,GENE_MISC002,MET_succinyl_CoA,抑制,0.58,预测
GENE_TF003,GENE_KGD2,MET_acetate,激活,0.54,预测
GENE_TF003,GENE_LIP013,MET_arginine,激活,0.67,预测
GENE_TF004,GENE_PROT032,MET_ATP,激活,0.47,预测
GENE_TF004,GENE_AMY020,MET_arginine,抑制,0.8,预测
GENE_TF004,GENE_ADH2,MET_methionine,激活,0.44,预测
GENE_TF004,GENE_PROT046,MET_lactose,抑制,0.89,预测
GENE_TF004,GENE_MISC008,MET_NADP,激活,0.79,文献支持
GENE_TF004,GENE_BDA1,MET_oxaloacetate,激活,0.5,预测
GENE_TF005,GENE_HXK1,MET_mannose,激活,0.4,预测
GENE_TF005,GENE_AMY011,MET_sucrose,激活,0.81,预测
GENE_TF005,GENE_MISC036,MET_NADPH,激活,0.75,预测
GENE_TF005,GENE_PGK1,MET_a_ketoisocaproate,激活,0.76,文献支持
GENE_TF005,GENE_ADH2,MET_serine,抑制,0.79,预测
GENE_TF005,GENE_LIP001,MET_F16BP,抑制,0.44,预测
GENE_TF005,GENE_AMY003,MET_tryptophan,抑制,0.58,文献支持
GENE_TF005,GENE_PROT018,MET_isoleucine,激活,0.46,预测
GENE_TF006,GENE_LIP020,MET_NAD,激活,0.83,文献支持
GENE_TF006,GENE_LIP007,MET_pyruvate,激活,0.71,预测
GENE_TF006,GENE_MISC010,MET_fructose,激活,0.57,预测
GENE_TF006,GENE_MISC050,MET_pyruvate,激活,0.43,文献支持
GENE_TF007,GENE_IDH4,MET_lactate,抑制,0.56,预测
GENE_TF007,GENE_PROT013,MET_NADPH,激活,0.56,预测
GENE_TF007,GENE_SL1,MET_G6P,抑制,0.76,文献支持
GENE_TF007,GENE_ENO4,,抑制,0.72,预测
GENE_TF007,GENE_AMY015,MET_BPG,激活,0.84,文献支持
GENE_TF007,GENE_SL3,MET_serine,抑制,0.64,预测
GENE_TF007,GENE_MISC049,MET_NADH,抑制,0.46,预测
GENE_TF008,GENE_IDH1,MET_BPG,抑制,0.76,文献支持
GENE_TF008,GENE_BCAT3,MET_NADH,激活,0.78,预测
GENE_TF008,GENE_KGD1,MET_ATP,激活,0.68,文献支持
GENE_TF008,GENE_LIP022,MET_NAD,激活,0.79,文献支持
GENE_TF008,GENE_AMY019,MET_aspartate,激活,0.65,文献支持
GENE_TF008,GENE_PDC5,MET_methionine,激活,0.66,文献支持
GENE_TF008,GENE_PROT023,MET_CoA,抑制,0.61,预测
GENE_TF008,GENE_FAS3,MET_PEP,抑制,0.41,文献支持
GENE_TF009,GENE_LIP010,MET_acetate,抑制,0.45,预测
GENE_TF009,GENE_HXK2,MET_NADH,抑制,0.42,文献支持
GENE_TF009,GENE_LIP015,MET_BPG,抑制,0.72,文献支持
GENE_TF010,GENE_KGD1,MET_mannose,激活,0.56,预测
GENE_TF010,GENE_AMY006,MET_ADP,激活,0.65,文献支持
GENE_TF011,GENE_FH1,MET_trehalose,激活,0.85,预测
GENE_TF011,GENE_ACK3,MET_tryptophan,激活,0.52,预测
GENE_TF011,GENE_SL2,MET_sucrose,抑制,0.61,预测
GENE_TF011,GENE_SL1,MET_tyrosine,抑制,0.78,预测
GENE_TF011,GENE_PROT016,MET_PEP,抑制,0.51,文献支持
GENE_TF011,GENE_LIP022,MET_acetate,抑制,0.44,文献支持
GENE_TF012,GENE_PROT049,MET_NADP,抑制,0.54,文献支持
GENE_TF012,GENE_MISC020,MET_malate,激活,0.48,文献支持
GENE_TF012,GENE_AMY007,MET_oxaloacetate,抑制,0.86,文献支持
GENE_TF012,GENE_SD1,MET_NAD,抑制,0.8,预测
GENE_TF012,GENE_HXK5,MET_aspartate,激活,0.72,预测
GENE_TF012,GENE_PDC1,MET_valine,抑制,0.84,预测
GENE_TF012,GENE_PROT005,MET_lactose,激活,0.8,预测
GENE_TF013,GENE_PDC4,MET_citrate,抑制,0.49,预测
GENE_TF013,GENE_ALDC3,MET_PEP,抑制,0.85,文献支持
GENE_TF014,GENE_PROT031,MET_citrate,激活,0.67,文献支持
GENE_TF014,GENE_MISC044,MET_fumarate,激活,0.8,预测
GENE_TF014,GENE_MISC036,MET_acetate,激活,0.85,预测
GENE_TF014,GENE_PROT024,MET_NAD,抑制,0.56,预测
GENE_TF014,GENE_ACO3,MET_glucose,激活,0.46,文献支持
GENE_TF014,GENE_MDH4,MET_threonine,激活,0.51,预测
GENE_TF014,GENE_MISC002,MET_galactose,抑制,0.61,预测
GENE_TF015,GENE_ALS2,,激活,0.81,预测
GENE_TF015,GENE_MISC006,MET_PEP,激活,0.83,预测
GENE_TF015,GENE_AAT1,MET_lactose,抑制,0.4,预测
GENE_TF015,GENE_CS1,MET_CoA,激活,0.66,文献支持
GENE_TF015,GENE_AMY003,MET_F16BP,激活,0.61,预测
GENE_TF015,GENE_LIP002,MET_fructose,激活,0.51,预测
GENE_TF016,GENE_LIP026,,激活,0.46,预测
GENE_TF016,GENE_PROT023,MET_galactose,抑制,0.57,文献支持
GENE_TF016,GENE_PROT032,MET_BPG,抑制,0.87,预测
GENE_TF016,GENE_BDA2,MET_aKG,激活,0.56,文献支持
GENE_TF017,GENE_FAS3,MET_fumarate,抑制,0.66,文献支持
GENE_TF017,GENE_LIP020,MET_a_ketoisocaproate,抑制,0.75,预测
GENE_TF018,GENE_MISC046,MET_tyrosine,抑制,0.58,文献支持
GENE_TF018,GENE_LIP020,MET_lactose,抑制,0.89,预测
GENE_TF018,GENE_AMY015,MET_arginine,抑制,0.88,预测
GENE_TF018,GENE_ENO2,MET_tryptophan,激活,0.53,预测
GENE_TF018,GENE_ADH4,MET_phenylalanine,激活,0.65,预测
GENE_TF018,GENE_PROT029,MET_galactose,抑制,0.55,文献支持
GENE_TF018,GENE_PTA2,MET_leucine,激活,0.54,预测
GENE_TF019,GENE_SL2,MET_NADP,抑制,0.42,预测
GENE_TF019,GENE_AMY015,MET_CoA,抑制,0.7,预测
GENE_TF019,GENE_AMY006,MET_threonine,抑制,0.65,预测
GENE_TF019,GENE_ALD3,MET_G6P,激活,0.43,预测
GENE_TF019,GENE_PROT049,MET_serine,抑制,0.54,预测
GENE_TF020,GENE_ACS3,MET_NADH,抑制,0.85,预测
GENE_TF020,GENE_PROT050,MET_NAD,抑制,0.52,预测
GENE_TF020,GENE_LIP023,MET_PEP,抑制,0.47,预测
GENE_TF020,GENE_HXK1,MET_F16BP,激活,0.64,预测
GENE_TF020,GENE_AMY001,MET_NADP,抑制,0.89,文献支持
GENE_TF020,GENE_PROT042,MET_methionine,激活,0.52,预测
GENE_TF020,GENE_PROT003,MET_aKG,激活,0.74,文献支持
GENE_TF021,GENE_PGK4,MET_ADP,激活,0.78,预测
GENE_TF021,GENE_CS3,MET_CoA,激活,0.52,预测
GENE_TF021,GENE_PROT021,MET_threonine,抑制,0.76,预测
GENE_TF022,GENE_PROT020,MET_pyruvate,激活,0.58,预测
GENE_TF022,GENE_ALS2,MET_leucine,抑制,0.72,文献支持
GENE_TF022,GENE_HXK3,MET_valine,激活,0.72,文献支持
GENE_TF022,GENE_PDC4,MET_ATP,激活,0.67,预测
GENE_TF022,GENE_MISC003,MET_serine,抑制,0.45,预测
GENE_TF023,GENE_MISC044,MET_acetate,激活,0.82,预测
GENE_TF023,GENE_MISC004,MET_citrate,抑制,0.56,预测
GENE_TF023,GENE_MISC014,MET_lactate,抑制,0.49,预测
GENE_TF023,GENE_BDA2,MET_maltose,抑制,0.42,文献支持
GENE_TF023,GENE_MISC029,MET_citrate,抑制,0.7,预测
GENE_TF023,GENE_MISC016,MET_isoleucine,激活,0.74,文献支持
GENE_TF024,GENE_PROT014,MET_lysine,激活,0.41,文献支持
GENE_TF024,GENE_LIP012,MET_CoA,抑制,0.66,预测
GENE_TF024,GENE_ALDC2,MET_isoleucine,抑制,0.51,预测
GENE_TF025,GENE_PROT001,MET_succinyl_CoA,激活,0.72,预测
GENE_TF025,GENE_MISC001,MET_succinyl_CoA,抑制,0.49,文献支持
GENE_TF026,GENE_PROT048,MET_NADPH,激活,0.75,预测
GENE_TF026,GENE_LIP015,MET_NADH,抑制,0.59,文献支持
GENE_TF026,GENE_LIP030,MET_succinyl_CoA,抑制,0.87,预测
GENE_TF026,GENE_PROT008,MET_glycine,抑制,0.47,预测
GENE_TF027,GENE_MISC025,MET_acetyl_CoA,激活,0.57,文献支持
GENE_TF027,GENE_AAT1,MET_aspartate,抑制,0.46,文献支持
GENE_TF027,GENE_ENO1,MET_ATP,激活,0.86,文献支持
GENE_TF028,GENE_LIP010,MET_succinate,抑制,0.84,预测
GENE_TF028,GENE_AMY013,MET_citrate,抑制,0.53,预测
GENE_TF028,GENE_PROT004,MET_sucrose,抑制,0.73,文献支持
GENE_TF028,GENE_MISC018,MET_histidine,激活,0.81,预测
GENE_TF029,GENE_SL2,MET_lactate,激活,0.68,文献支持
GENE_TF029,GENE_PYK4,MET_alanine,激活,0.66,文献支持
GENE_TF029,GENE_ENO3,MET_G6P,抑制,0.52,预测
GENE_TF030,GENE_PROT007,MET_threonine,抑制,0.45,预测
GENE_TF030,GENE_MISC024,MET_F16BP,激活,0.85,文献支持
GENE_TF031,GENE_PDC5,MET_acetyl_CoA,激活,0.85,文献支持
GENE_TF031,GENE_ENO1,MET_tyrosine,激活,0.72,文献支持
GENE_TF031,GENE_AMY005,MET_threonine,抑制,0.57,预测
GENE_TF031,GENE_LIP008,MET_tryptophan,激活,0.57,预测
GENE_TF032,GENE_CS1,MET_CoA,抑制,0.76,文献支持
GENE_TF032,GENE_AMY023,MET_NADH,抑制,0.85,预测
GENE_TF032,GENE_MISC005,MET_ATP,激活,0.84,预测
GENE_TF032,GENE_LIP005,MET_GAP,抑制,0.79,预测
GENE_TF032,GENE_SL2,MET_isoleucine,抑制,0.72,预测
GENE_TF032,GENE_MISC045,MET_NADH,抑制,0.44,预测
GENE_TF032,GENE_AMY020,MET_lactate,激活,0.48,预测
GENE_TF032,GENE_PFK2,MET_NAD,激活,0.85,预测
GENE_TF033,GENE_LIP010,MET_NADPH,激活,0.7,预测
GENE_TF033,GENE_AMY018,MET_acetate,抑制,0.4,预测
GENE_TF033,GENE_ENO2,MET_tryptophan,抑制,0.45,预测
GENE_TF033,GENE_MISC039,MET_glucose,激活,0.73,文献支持
GENE_TF033,GENE_AMY012,MET_lactate,抑制,0.4,预测
GENE_TF033,GENE_ACK1,MET_valine,激活,0.48,预测
GENE_TF034,GENE_MISC037,MET_pyruvate,抑制,0.67,预测
GENE_TF034,GENE_MISC015,MET_lactate,抑制,0.75,预测
GENE_TF034,GENE_PFK4,MET_tyrosine,抑制,0.73,预测
GENE_TF034,GENE_MDH4,MET_valine,抑制,0.51,预测
GENE_TF034,GENE_PROT046,MET_histidine,抑制,0.76,预测
GENE_TF035,GENE_MISC018,MET_succinate,激活,0.52,预测
GENE_TF035,GENE_PROT034,MET_isoleucine,激活,0.56,文献支持
GENE_TF035,GENE_AMY002,MET_PEP,抑制,0.77,预测
GENE_TF035,GENE_PROT024,MET_arginine,抑制,0.72,文献支持
GENE_TF035,GENE_PROT014,MET_BPG,抑制,0.82,文献支持
GENE_TF035,GENE_ALD1,MET_oxaloacetate,激活,0.73,预测
GENE_TF035,GENE_FAS3,MET_glucose,激活,0.68,预测
GENE_TF036,GENE_IDH1,MET_threonine,激活,0.45,预测
GENE_TF036,GENE_PROT045,MET_methionine,抑制,0.58,文献支持
GENE_TF037,GENE_PFK2,MET_acetate,抑制,0.53,文献支持
GENE_TF037,GENE_PROT041,MET_maltose,抑制,0.52,预测
GENE_TF037,GENE_MISC026,MET_maltose,激活,0.89,文献支持
GENE_TF037,GENE_MISC031,MET_F6P,抑制,0.6,文献支持
GENE_TF037,GENE_MISC011,MET_lactate,激活,0.85,预测
GENE_TF037,GENE_AMY020,MET_methionine,抑制,0.72,预测
GENE_TF037,GENE_ACK2,MET_tryptophan,激活,0.8,预测
GENE_TF037,GENE_ACO3,MET_succinyl_CoA,抑制,0.65,预测
GENE_TF038,GENE_MISC005,MET_methionine,激活,0.69,预测
GENE_TF038,GENE_AMY002,MET_PEP,抑制,0.65,预测
GENE_TF038,GENE_IDH4,MET_sucrose,激活,0.5,文献支持
GENE_TF038,GENE_BCAT3,MET_GAP,激活,0.76,文献支持
GENE_TF039,GENE_LIP025,MET_threonine,抑制,0.54,预测
GENE_TF039,GENE_MISC016,MET_galactose,激活,0.41,预测
GENE_TF040,GENE_PROT040,MET_trehalose,激活,0.72,预测
GENE_TF040,GENE_MISC018,MET_F6P,抑制,0.49,文献支持
GENE_TF040,GENE_SL3,MET_maltose,激活,0.87,文献支持
GENE_TF040,GENE_PROT015,,抑制,0.88,预测
GENE_TF040,GENE_PROT031,MET_histidine,抑制,0.86,预测
GENE_TF040,GENE_FAD3,MET_trehalose,抑制,0.59,预测
GENE_TF040,GENE_MISC003,MET_aKG,抑制,0.41,预测
GENE_TF041,GENE_MISC038,MET_tryptophan,抑制,0.86,文献支持
GENE_TF041,GENE_MISC010,MET_sucrose,激活,0.61,预测
GENE_TF041,GENE_FH1,MET_phenylalanine,激活,0.88,预测
GENE_TF041,GENE_PYK4,MET_citrate,激活,0.88,文献支持
GENE_TF041,GENE_MISC007,MET_ADP,抑制,0.83,预测
GENE_TF041,GENE_AMY011,MET_GAP,抑制,0.55,预测
GENE_TF042,GENE_MISC037,MET_F16BP,抑制,0.59,预测
GENE_TF042,GENE_MDH3,MET_threonine,抑制,0.83,预测
GENE_TF042,GENE_MISC026,MET_serine,抑制,0.56,预测
GENE_TF042,GENE_AMY024,MET_galactose,抑制,0.48,文献支持
GENE_TF042,GENE_LIP025,MET_succinate,抑制,0.68,预测
GENE_TF042,GENE_AMY016,MET_trehalose,抑制,0.87,预测
GENE_TF042,GENE_AMY010,MET_glucose,抑制,0.75,预测
GENE_TF042,GENE_PDC3,MET_mannose,激活,0.69,预测
GENE_TF043,GENE_MISC041,MET_citrate,激活,0.45,预测
GENE_TF043,GENE_MISC012,MET_NAD,抑制,0.71,文献支持
GENE_TF043,GENE_ACO3,MET_fructose,激活,0.9,预测
GENE_TF043,GENE_LOX3,MET_F16BP,抑制,0.47,预测
GENE_TF044,GENE_LIP024,MET_pyruvate,激活,0.66,预测
GENE_TF044,GENE_MDH4,MET_trehalose,激活,0.84,预测
GENE_TF045,GENE_PROT045,MET_ATP,激活,0.77,预测
GENE_TF045,GENE_MISC046,MET_BPG,激活,0.75,文献支持
GENE_TF045,GENE_PROT035,MET_citrate,抑制,0.75,预测
GENE_TF045,GENE_LIP028,,抑制,0.58,文献支持
GENE_TF045,GENE_MISC033,MET_isocitrate,抑制,0.55,预测
GENE_TF045,GENE_MISC027,MET_tyrosine,抑制,0.8,文献支持
GENE_TF045,GENE_PROT020,MET_NAD,抑制,0.81,预测
GENE_TF046,GENE_LIP009,MET_threonine,激活,0.83,预测
GENE_TF046,GENE_MISC019,MET_succinyl_CoA,激活,0.86,预测
GENE_TF046,GENE_AMY010,MET_galactose,抑制,0.66,预测
GENE_TF046,GENE_FAS1,MET_ADP,抑制,0.65,预测
GENE_TF047,GENE_ALDC1,MET_NAD,激活,0.8,预测
GENE_TF047,GENE_MISC039,MET_ATP,激活,0.72,预测
GENE_TF047,GENE_PYK2,MET_F6P,抑制,0.75,预测
GENE_TF047,GENE_ALD4,MET_F6P,激活,0.8,预测
GENE_TF047,GENE_MISC043,,抑制,0.85,预测
GENE_TF047,GENE_AMY015,MET_alanine,抑制,0.57,预测
GENE_TF047,GENE_PDC1,MET_sucrose,抑制,0.59,预测
GENE_TF048,GENE_LIP010,MET_histidine,激活,0.45,预测
GENE_TF048,GENE_AMY008,MET_lactose,激活,0.69,预测
GENE_TF048,GENE_MISC035,MET_F16BP,抑制,0.42,文献支持
GENE_TF048,GENE_PYK2,MET_galactose,抑制,0.63,文献支持
GENE_TF048,GENE_SL2,MET_isocitrate,抑制,0.67,预测
GENE_TF048,GENE_PROT016,MET_NADH,激活,0.54,文献支持
GENE_TF048,GENE_PROT043,MET_leucine,抑制,0.7,预测
GENE_TF048,GENE_PROT012,MET_glycine,激活,0.42,文献支持
GENE_TF049,GENE_SD4,MET_NADPH,激活,0.42,文献支持
GENE_TF049,GENE_LIP011,MET_ATP,抑制,0.81,预测
GENE_TF049,GENE_PROT019,MET_acetate,激活,0.58,预测
GENE_TF050,GENE_BDA1,MET_tyrosine,抑制,0.46,预测
GENE_TF050,GENE_SD1,MET_NADH,抑制,0.66,预测
GENE_TF050,GENE_MISC012,MET_aKG,激活,0.78,预测
GENE_TF050,GENE_AMY022,MET_ADP,激活,0.51,文献支持
