Year,Kingdom,Phylum,Class,Species,Tcode,KEGGId,RefSeq
2016,Bacteria,Actinobacteria,Acidipropionibacterium,Acidipropionibacterium acidipropionici CGMCC 1.2230,T04523,aaci,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/441/165/GCA_001441165.1_ASM144116v1
2018,Bacteria,Actinobacteria,Acidipropionibacterium,Acidipropionibacterium virtanenii,T05538,acij,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/455/GCA_003325455.1_ASM332545v1
2019,Bacteria,Actinobacteria,Acidipropionibacterium,Acidipropionibacterium jensenii,T05836,aji,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/011/055/GCA_004011055.1_ASM401105v1
2012,Bacteria,Actinobacteria,Acidipropionibacterium,Acidipropionibacterium acidipropionici ATCC 4875,T02345,pbo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/310/065/GCA_000310065.1_ASM31006v1
2006,Bacteria,Actinobacteria,Acidothermus,Acidothermus cellulolyticus,T00426,ace,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/025/GCA_000015025.1_ASM1502v1
2017,Bacteria,Actinobacteria,Actinoalloteichus,Actinoalloteichus sp. ADI127-7,T04639,acad,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/625/GCA_001941625.1_ASM194162v1
2018,Bacteria,Actinobacteria,Actinoalloteichus,Actinoalloteichus sp. AHMU CJ021,T05306,acta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/895/405/GCA_002895405.1_ASM289540v1
2017,Bacteria,Actinobacteria,Actinoalloteichus,Actinoalloteichus sp. GBA129-24,T04619,acti,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/645/GCA_001941645.1_ASM194164v1
2017,Bacteria,Actinobacteria,Actinoalloteichus,Actinoalloteichus hoggarensis,T04975,ahg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/535/GCA_002234535.1_ASM223453v1
2016,Bacteria,Actinobacteria,Actinoalloteichus,Actinoalloteichus hymeniacidonis,T04472,ahm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/747/425/GCA_001747425.1_ASM174742v1
2016,Bacteria,Actinobacteria,Actinomyces,Actinomyces sp. oral taxon 414,T04083,acq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/845/GCA_001278845.1_ASM127884v1
2018,Bacteria,Actinobacteria,Actinomyces,Actinomyces sp. Chiba101,T05279,actc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/195/GCA_002356195.1_ASM235619v1
2018,Bacteria,Actinobacteria,Actinomyces,Actinomyces sp. oral taxon 897,T05399,acto,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/999/235/GCA_002999235.1_ASM299923v1
2017,Bacteria,Actinobacteria,Actinomyces,Actinomyces gaoshouyii,T04911,actp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/076/915/GCA_002076915.1_ASM207691v1
2019,Bacteria,Actinobacteria,Actinomyces,Actinomyces howellii,T06068,ahw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/165/GCA_900637165.1_49699_G02
2018,Bacteria,Actinobacteria,Actinomyces,Actinomyces naeslundii,T05566,ane,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/915/GCA_002355915.1_ASM235591v1
2016,Bacteria,Actinobacteria,Actinomyces,Actinomyces oris,T04280,aos,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/935/GCA_001553935.1_ASM155393v1
2016,Bacteria,Actinobacteria,Actinomyces,Actinomyces radicidentis,T04288,ard,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/565/GCA_001553565.1_ASM155356v1
2016,Bacteria,Actinobacteria,Actinomyces,Actinomyces tangfeifanii,T04541,avu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/685/GCA_001856685.1_ASM185668v1
2013,Bacteria,Actinobacteria,Actinoplanes,Actinoplanes sp. N902-109,T02655,actn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/965/GCA_000389965.1_ASM38996v1
2018,Bacteria,Actinobacteria,Actinoplanes,Actinoplanes sp. SE50,T05392,acts,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/717/025/GCA_002717025.1_ASM271702v1
2013,Bacteria,Actinobacteria,Actinoplanes,Actinoplanes friuliensis,T02892,afs,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/755/GCA_000494755.1_ASM49475v1
2012,Bacteria,Actinobacteria,Actinoplanes,Actinoplanes missouriensis,T01795,ams,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/295/GCA_000284295.1_ASM28429v1
2012,Bacteria,Actinobacteria,Actinoplanes,Actinoplanes sp. SE50/110,T02044,ase,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/145/GCA_000237145.1_ASM23714v1
2017,Bacteria,Actinobacteria,Actinopolyspora,Actinopolyspora erythraea,T05020,aey,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/515/GCA_002263515.1_ASM226351v1
2009,Bacteria,Actinobacteria,Actinosynnema,Actinosynnema mirum,T00957,ami,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/245/GCA_000023245.1_ASM2324v1
2017,Bacteria,Actinobacteria,Actinosynnema,Actinosynnema pretiosum,T05092,apre,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/354/875/GCA_002354875.1_ASM235487v1
2018,Bacteria,Actinobacteria,Actinotignum,Actinobaculum sp. 313,T05430,actt,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/475/GCA_003073475.1_ASM307347v1
2014,Bacteria,Actinobacteria,Actinotignum,Actinotignum schaalii,T03214,asg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/605/GCA_000724605.1_ASM72460v1
2013,Bacteria,Actinobacteria,Adlercreutzia,Adlercreutzia equolifaciens,T02875,aeq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/885/GCA_000478885.1_ASM47888v1
2018,Bacteria,Actinobacteria,Aeromicrobium,Aeromicrobium sp. A1-2,T05642,aeb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/875/GCA_003443875.1_ASM344387v1
2016,Bacteria,Actinobacteria,Aeromicrobium,Aeromicrobium erythreum,T04236,aer,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/405/GCA_001509405.1_ASM150940v1
2018,Bacteria,Actinobacteria,Aeromicrobium,Aeromicrobium sp. 592,T05410,aez,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/065/605/GCA_003065605.1_ASM306560v1
2019,Bacteria,Actinobacteria,Agrococcus,Agrococcus sp. SGAir0287,T05973,agg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/484/985/GCA_005484985.1_ASM548498v1
2019,Bacteria,Actinobacteria,Agromyces,Agromyces sp. FW100M-8,T05835,agf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/135/405/GCA_004135405.1_ASM413540v1
2018,Bacteria,Actinobacteria,Agromyces,Agromyces sp. MF30-A,T05411,agm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/070/885/GCA_003070885.1_ASM307088v1
2016,Bacteria,Actinobacteria,Agromyces,Agromyces aureus,T04413,agy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/485/GCA_001660485.1_ASM166048v1
2016,Bacteria,Actinobacteria,Alloactinosynnema,Alloactinosynnema sp. L-07,T04489,alo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/070/365/GCA_900070365.1_Alloactinosynnema_sp._L-07
2018,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis albispora,T05547,aab,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/312/875/GCA_003312875.1_ASM331287v1
2014,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis japonica,T03225,aja,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/925/GCA_000732925.1_ASM73292v1
2010,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis mediterranei U32,T01269,amd,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/835/GCF_000196835.1_ASM19683v1
2012,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis mediterranei S699,T02190,amm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/715/GCA_000282715.1_ASM28271v1
2012,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis mediterranei S699,T01822,amn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/945/GCA_000220945.1_ASM22094v1
2014,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis methanolica,T03230,amq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/085/GCA_000739085.1_ASM73908v1
2018,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis sp. BJA-103,T05296,amyb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/735/GCA_002849735.1_ASM284973v1
2018,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis sp. AA4,T05278,amyc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/545/GCA_002796545.1_ASM279654v1
2013,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis mediterranei RB,T02804,amz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/454/025/GCA_000454025.1_ASM45402v1
2013,Bacteria,Actinobacteria,Amycolatopsis,Amycolatopsis orientalis,T02678,aoi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/635/GCA_000400635.2_ASM40063v2
2010,Bacteria,Actinobacteria,Arcanobacterium,Arcanobacterium haemolyticum,T01242,ahe,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/365/GCA_000092365.1_ASM9236v1
2015,Bacteria,Actinobacteria,Arsenicicoccus,Arsenicicoccus sp. oral taxon 190,T04014,ars,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/535/GCA_001189535.1_ASM118953v1
2016,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter alpinus R3.8,T04095,aaq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/625/GCA_001294625.1_ASM129462v1
2018,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter crystallopoietes,T05322,acry,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/715/GCA_002849715.1_ASM284971v1
2016,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. ERGS1:01,T04085,are,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/315/GCA_001281315.1_ASM128131v1
2016,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. Hiyo8,T04181,arh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/895/GCA_001549895.1_ASM154989v1
2016,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. LS16,T04078,arl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/115/GCA_001281115.1_ASM128111v1
2014,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. PAMC 25486,T03487,arm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/535/GCA_000785535.1_ASM78553v1
2017,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. YN,T05171,arn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/224/285/GCA_002224285.1_ASM222428v1
2017,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. QXT-31,T05056,arq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/969/265/GCA_001969265.1_ASM196926v1
2012,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. Rue61a,T02215,arr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/695/GCA_000294695.2_ASM29469v2
2006,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. FB24,T00421,art,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/235/GCA_000196235.1_ASM19623v1
2018,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. PGP41,T05450,arth,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/935/GCA_002953935.1_ASM295393v1
2019,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. PAMC25564,T06052,artp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/798/705/GCA_004798705.1_ASM479870v1
2017,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. U41,T05053,aru,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/145/GCA_001750145.1_ASM175014v1
2016,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter alpinus A3,T04228,arw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/585/GCA_000755585.2_ASM75558v2
2017,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. ZXY-2,T05201,arx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/854/365/GCA_001854365.1_ASM185436v1
2016,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. YC-RL1,T04187,ary,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/454/985/GCA_001454985.1_ASM145498v1
2016,Bacteria,Actinobacteria,Arthrobacter,Arthrobacter sp. ATCC 21022,T04477,arz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/565/GCA_001542565.1_ASM154256v1
2009,Bacteria,Actinobacteria,Atopobium,Atopobium parvulum,T00983,apv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/225/GCA_000024225.1_ASM2422v1
2017,Bacteria,Actinobacteria,Aurantimicrobium,Aurantimicrobium minutum,T05175,amin,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/535/GCA_002355535.1_ASM235553v1
2018,Bacteria,Actinobacteria,Aurantimicrobium,Aurantimicrobium sp. MWH-Mo1,T05480,aum,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/194/085/GCA_003194085.1_ASM319408v1
2018,Bacteria,Actinobacteria,Aurantimicrobium,Aurantimicrobium sp. MWH-Uga1,T05539,auw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/955/GCA_003325955.1_ASM332595v1
2018,Bacteria,Actinobacteria,Auritidibacter,Auritidibacter sp. NML130574,T05590,aul,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/185/725/GCA_003185725.2_ASM318572v2
2019,Bacteria,Actinobacteria,Baekduia,Baekduia soli,T06127,bsol,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/970/665/GCA_007970665.1_ASM797066v1
2009,Bacteria,Actinobacteria,Beutenbergia,Beutenbergia cavernae,T00893,bcv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/105/GCA_000023105.1_ASM2310v1
2015,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium actinocoloniiforme,T04036,bact,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/263/395/GCA_001263395.1_ASM126339v1
2006,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium adolescentis ATCC 15703,T00437,bad,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/425/GCA_000010425.1_ASM1042v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium adolescentis 22L,T03260,badl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/885/GCA_000737885.1_ASM73788v1
2015,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium adolescentis BBMN23,T03774,bado,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/995/GCA_000817995.1_ASM81799v1
2015,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium angulatum,T03930,bang,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/025/155/GCA_001025155.1_ASM102515v1
2013,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis Bl12,T02712,bani,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/414/215/GCA_000414215.1_ASM41421v1
2013,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis ATCC 27673,T02862,banl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/471/945/GCA_000471945.1_ASM47194v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis RH,T03481,banm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/895/GCA_000695895.1_ASM69589v1
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium asteroides,T02271,bast,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/215/GCA_000304215.1_ASM30421v1
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis BB-12,T01840,bbb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/245/GCA_000025245.1_ASM2524v1
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis BLC1,T01841,bbc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/965/GCA_000224965.2_ASM22496v2
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium bifidum BGN4,T02135,bbf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/095/GCA_000265095.1_ASM26509v1
2010,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium bifidum S17,T01328,bbi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/965/GCA_000164965.1_ASM16496v1
2010,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium bifidum PRL2010,T01340,bbp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/905/GCF_000165905.1_ASM16590v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve JCM 7019,T03121,bbrc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/569/015/GCA_000569015.1_ASM56901v1
2016,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve DSM 20213 = JCM 1192,T04525,bbrd,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/025/175/GCA_001025175.1_ASM102517v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve 12L,T03118,bbre,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/955/GCA_000568955.1_ASM56895v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve JCM 7017,T03120,bbrj,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/975/GCA_000568975.1_ASM56897v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve NCFB 2258,T03122,bbrn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/569/035/GCA_000569035.1_ASM56903v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve S27,T03123,bbrs,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/569/075/GCA_000569075.1_ASM56907v1
2013,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve UCC2003,T02534,bbru,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/135/GCA_000220135.1_ASM22013v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve 689b,T03119,bbrv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/569/055/GCA_000569055.1_ASM56905v1
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium breve ACS-071-V-Sch8b,T01844,bbv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/865/GCA_000213865.1_ASM21386v1
2015,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium catenulatum,T03931,bcat,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/025/195/GCA_001025195.1_ASM102519v1
2018,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium choerinum,T05748,bcho,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/235/GCA_002761235.1_ASM276123v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium coryneforme,T03236,bcor,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/865/GCA_000737865.1_ASM73786v1
2010,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium dentium Bd1,T01143,bde,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/445/GCA_000024445.1_ASM2444v1
2016,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium dentium JCM 1195 = DSM 20436,T04222,bdn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/595/GCA_001042595.1_ASM104259v1
2015,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium indicum,T03564,bii,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/706/765/GCA_000706765.1_ASM70676v1
2014,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium kashiwanohense PV20-2,T03496,bka,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/455/GCA_000800455.1_ASM80045v1
2016,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium kashiwanohense JCM 15439 = DSM 21854,T04223,bks,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/615/GCA_001042615.1_ASM104261v1
2009,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis AD011,T00819,bla,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/425/GCA_000021425.1_ASM2142v1
2010,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. longum BBMN68,T01345,blb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/315/GCA_000166315.1_ASM16631v1
2009,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis Bl-04,T00923,blc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/705/GCA_000022705.1_ASM2270v1
2011,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. infantis 157F,T01420,blf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/575/GCA_000196575.1_ASM19657v1
2013,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. longum F8,T02580,blg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/755/GCA_000210755.1_ASM21075v1
2008,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum DJO10A,T00707,blj,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/945/GCA_000008945.1_ASM894v1
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. longum KACC 91563,T01845,blk,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/455/GCA_000219455.1_ASM21945v1
2010,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. longum JDM301,T01240,bll,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/325/GCA_000092325.1_ASM9232v1
2011,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. longum JCM 1217,T01419,blm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/555/GCA_000196555.1_ASM19655v1
2008,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. infantis ATCC 15697 (JGI),T00794,bln,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/425/GCA_000020425.1_ASM2042v1
2002,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum NCC2705,T00094,blo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/525/GCF_000007525.1_ASM752v1
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo),T02092,blon,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/965/GCA_000269965.1_ASM26996v1
2012,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis Bi-07,T02080,bls,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/345/GCA_000277345.1_ASM27734v1
2009,Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium animalis subsp. lactis DSM 10140,T00924,blt,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/965/GCA_000022965.1_ASM2296v1
