KEGG_Entry,Definition,KO,Length,Sw-Score,Margin,bits,identity,overlap,best(all)
dja:HY57_07885,"chemotaxis protein CheY",K02658,123,473,58,114,0.571,119,"<-> 40"
dji:CH75_02165,"chemotaxis protein CheY",K02658,124,466,57,112,0.563,119,"<-> 48"
psw:LK03_03645,"chemotaxis protein CheY",K02658,121,452,153,109,0.500,120,"-> 55"
hch:HCH_00545,"CheY-like receiver protein",K02658,120,447,140,108,0.542,120,"-> 85"
psec:CCOS191_0498,"Protein PilH",K02658,121,446,139,108,0.500,120,"<-> 54"
app:CAP2UW1_3587,"response regulator receiver protein",K02658,120,442,168,107,0.517,118,"<-> 46"
apac:S7S_02120,"PilH family regulatory protein",K02658,121,441,22,106,0.529,119,"-> 44"
pmos:O165_020700,"chemotaxis protein CheY",K02658,121,441,134,106,0.492,120,"-> 64"
psv:PVLB_02225,"response regulator receiver protein",K02658,121,441,134,106,0.496,119,"-> 63"
azo:azo3454,"pilus protein",K02658,121,440,98,106,0.475,118,"<-> 62"
pmon:X969_23880,"chemotaxis protein CheY",K02658,121,440,133,106,0.496,119,"-> 73"
pmot:X970_23515,"chemotaxis protein CheY",K02658,121,440,133,106,0.496,119,"-> 73"
ppj:RK21_05530,"response regulator receiver protein",K02658,121,440,133,106,0.496,119,"-> 71"
ppud:DW66_5226,"response regulator receiver protein",K02658,121,440,133,106,0.496,119,"-> 78"
ppuh:B479_24420,"response regulator receiver protein",K02658,121,440,133,106,0.496,119,"-> 70"
dsu:Dsui_0659,"response regulator with CheY-like receive",K02658,120,439,101,106,0.526,116,"<-> 64"
ppg:PputGB1_5041,"response regulator receiver protein",K02658,121,437,130,105,0.496,119,"-> 72"
adi:B5T_00502,"CheY-like receiver protein",K02658,120,436,30,105,0.533,120,"-> 35"
sdr:SCD_n02925,"pilus protein",K02658,121,436,100,105,0.492,118,"<-> 36"
tgr:Tgr7_2903,"response regulator receiver protein",K02658,120,436,123,105,0.529,119,"<-> 29"
azi:AzCIB_3884,"type IV pilus response regulator",K02658,121,434,89,105,0.492,118,"<-> 60"
aza:AZKH_3835,"type IV pilus response regulator",K02658,121,433,94,105,0.475,118,"<-> 93"
cfu:CFU_0794,"twitching motility protein",K02658,123,432,167,104,0.500,118,"<-> 44"
msx:AU14_15755,"chemotaxis protein CheY",K02658,120,432,158,104,0.538,119,"-> 29"
mad:HP15_3514,"response regulator receiver domain protei",K02658,120,431,152,104,0.538,119,"-> 39"
maq:Maqu_3768,"response regulator receiver protein",K02658,120,431,149,104,0.538,119,"-> 41"
mari:ACP86_08100,"chemotaxis protein CheY",K02658,120,431,148,104,0.538,119,"-> 37"
mhc:MARHY3672,"pilus response regulator Pilh",K02658,120,431,149,104,0.538,119,"-> 45"
ppb:PPUBIRD1_4778,"Response regulator receiver protein",K02658,121,431,124,104,0.487,119,"-> 69"
ppi:YSA_04085,"Response regulator receiver protein",K02658,121,431,124,104,0.487,119,"-> 73"
shd:SUTH_03421,"response regulator receiver protein",K02658,121,431,128,104,0.530,115,"<-> 57"
tmz:Tmz1t_3689,"response regulator receiver protein",K02658,121,431,95,104,0.483,116,"<-> 57"
abo:ABO_0265,"PilH family regulatory protein",K02658,120,430,29,104,0.504,117,"-> 31"
aln:AS19_02740,"PilH family regulatory protein",K02658,120,430,29,104,0.504,117,"-> 30"
ppf:Pput_4865,"response regulator receiver protein",K02658,121,430,123,104,0.487,119,"-> 76"
ppu:PP_4991,"response regulator receiver protein",K02658,121,430,123,104,0.487,119,"-> 69"
ppx:T1E_1115,"response regulator receiver protein",K02658,121,430,123,104,0.487,119,"-> 74"
pses:PSCI_2016,"type IV pilus response regulator PilH",K02658,149,430,124,104,0.496,119,"-> 74"
hna:Hneap_0515,"response regulator receiver protein",K02658,120,429,109,104,0.545,112,"-> 18"
msr:AU15_05845,"chemotaxis protein CheY",K02658,120,429,143,104,0.538,119,"-> 32"
acc:BDGL_002266,"twitching motility protein",K02658,120,428,169,103,0.521,119,"-> 20"
ppun:PP4_50580,"type 4 pili response regulator PilH",K02658,121,427,120,103,0.496,119,"-> 71"
pput:L483_30110,"chemotaxis protein CheY",K02658,121,427,120,103,0.496,119,"-> 74"
mej:Q7A_37,"twitching motility protein PilH",K02658,123,426,139,103,0.513,119,"-> 29"
abaa:IX88_17255,"chemotaxis protein CheY",K02658,120,425,166,103,0.521,119,"-> 19"
abab:BJAB0715_03213,"CheY-like receiver protein",K02658,120,425,166,103,0.521,119,"-> 19"
abad:ABD1_27590,"twitching motility protein",K02658,120,425,166,103,0.521,119,"-> 17"
abaj:BJAB0868_03104,"CheY-like receiver protein",K02658,120,425,166,103,0.521,119,"-> 17"
abal:ABLAC_06690,"twitching motility protein",K02658,120,425,166,103,0.521,119,"-> 18"
abau:IX87_10950,"chemotaxis protein CheY",K02658,120,425,166,103,0.521,119,"-> 17"
abaz:P795_3085,"type IV pilus response regulator protein",K02658,120,425,166,103,0.521,119,"-> 17"
abb:ABBFA_000648,"Protein pilH",K02658,120,425,166,103,0.521,119,"-> 19"
abc:ACICU_03062,"CheY-like receiver protein",K02658,120,425,166,103,0.521,119,"-> 17"
abd:ABTW07_3282,"CheY-like receiver protein",K02658,120,425,166,103,0.521,119,"-> 16"
abh:M3Q_3291,"twitching motility protein",K02658,120,425,180,103,0.521,119,"-> 17"
abj:BJAB07104_03146,"CheY-like receiver protein",K02658,120,425,166,103,0.521,119,"-> 17"
abk:LX00_15390,"chemotaxis protein CheY",K02658,120,425,166,103,0.521,119,"-> 17"
abm:ABSDF0639,"twitching motility protein",K02658,120,425,163,103,0.521,119,"-> 11"
abn:AB57_3314,"type IV pilus response regulator protein",K02658,120,425,166,103,0.521,119,"-> 19"
abr:ABTJ_00646,"response regulator containing a CheY-lik",K02658,120,425,166,103,0.521,119,"-> 17"
abw:BL01_14080,"chemotaxis protein CheY",K02658,120,425,166,103,0.521,119,"-> 17"
abx:ABK1_3114,pilH,K02658,120,425,166,103,0.521,119,"-> 17"
aby:ABAYE0668,"twitching motility protein",K02658,120,425,166,103,0.521,119,"-> 20"
abz:ABZJ_03245,"twitching motility protein",K02658,120,425,166,103,0.521,119,"-> 17"
acd:AOLE_03150,"Protein pilH",K02658,120,425,166,103,0.521,119,"-> 20"
pen:PSEEN5054,"type IV pili response regulator PilH",K02658,121,425,118,103,0.496,119,"-> 57"
care:LT85_0875,"twitching motility protein PilH",K02658,121,424,159,102,0.492,118,"<-> 39"
pch:EY04_31490,"chemotaxis protein CheY",K02658,121,424,117,102,0.496,119,"-> 72"
pcp:JM49_02200,"chemotaxis protein CheY",K02658,121,424,117,102,0.496,119,"-> 66"
tol:TOL_0272,"Response regulator receiver domain protein",K02658,123,424,132,102,0.517,116,"-> 37"
tor:R615_01250,"chemotaxis protein CheY",K02658,123,424,132,102,0.517,116,"-> 32"
mbs:MRBBS_3680,"Protein pilH",K02658,120,423,145,102,0.521,119,"-> 28"
pcz:PCL1606_03850,"chemotaxis protein CheY",K02658,121,423,116,102,0.496,119,"-> 72"
pfo:Pfl01_5307,"response regulator receiver domain-conta",K02658,121,423,116,102,0.496,119,"-> 67"
ppz:H045_19180,"type IV pilus response regulator PilH",K02658,121,423,116,102,0.479,119,"-> 64"
pre:PCA10_03430,"type 4 pili response regulator PilH",K02658,121,423,117,102,0.496,119,"-> 58"
psem:TO66_29465,"chemotaxis protein CheY",K02658,121,423,116,102,0.496,119,"-> 73"
aeh:Mlg_0356,"response regulator receiver protein",K02658,121,422,130,102,0.504,119,"-> 21"
mpq:ABA45_17250,"chemotaxis protein CheY",K02658,120,422,142,102,0.521,119,"-> 27"
pbc:CD58_27885,"chemotaxis protein CheY",K02658,121,422,115,102,0.496,119,"-> 68"
ppw:PputW619_0473,"response regulator receiver protein",K02658,121,422,115,102,0.479,119,"-> 65"
tvr:TVD_12630,"chemotaxis protein CheY",K02658,121,422,137,102,0.530,115,"-> 21"
gsn:YC6258_01426,"response regulator consisting of a Che",K02658,126,420,8,102,0.487,119,"-> 42"
pmk:MDS_0463,"response regulator receiver protein",K02658,121,420,113,102,0.496,119,"-> 60"
pmy:Pmen_0404,"response regulator receiver protein",K02658,121,420,113,102,0.496,119,"-> 57"
ppse:BN5_0310,"response regulator receiver protein",K02658,121,420,116,102,0.496,119,"-> 42"
tbd:Tbd_2551,"response regulator receiver domain-contain",K02658,121,420,99,102,0.483,118,"<-> 30"
tkm:TK90_2399,"response regulator receiver protein",K02658,121,419,139,101,0.522,115,"-> 19"
mec:Q7C_1765,"twitching motility protein PilH",K02658,121,418,122,101,0.525,118,"-> 27"
pba:PSEBR_a5309,"putative response regulator, CheY famil",K02658,121,418,111,101,0.479,119,"-> 79"
pfe:PSF113_5528,PilH,K02658,121,418,111,101,0.479,119,"-> 76"
rbu:PG1C_13005,"chemotaxis protein CheY",K02658,127,418,96,101,0.483,118,"<-> 18"
hhc:M911_14990,"chemotaxis protein CheY",K02658,120,417,137,101,0.504,119,"-> 26"
kko:Kkor_0226,"response regulator receiver protein",K02658,121,417,126,101,0.462,119,"-> 16"
pfb:VO64_2637,"twitching motility protein PilH",K02658,121,417,110,101,0.471,119,"-> 63"
pfc:PflA506_5049,"type IV pilus response regulator PilH",K02658,121,417,110,101,0.471,119,"-> 61"
pfl:PFL_5826,"type IV pilus response regulator PilH",K02658,121,417,110,101,0.487,119,"-> 72"
pfs:PFLU_5751,"type IV pilus response regulator/twitchin",K02658,121,417,110,101,0.471,119,"-> 72"
pkc:PKB_0428,"Protein pilH",K02658,121,417,121,101,0.496,119,"-> 65"
pprc:PFLCHA0_c57810,"protein PilH",K02658,121,417,110,101,0.487,119,"-> 74"
ppro:PPC_5773,"type IV pilus response regulator PilH",K02658,121,417,110,101,0.487,119,"-> 72"
psk:U771_29785,"chemotaxis protein CheY",K02658,121,417,110,101,0.471,119,"-> 76"
ptv:AA957_16305,"chemotaxis protein CheY",K02658,121,417,110,101,0.471,119,"-> 72"
mnr:ACZ75_23080,"chemotaxis protein CheY",K02658,121,416,133,101,0.475,118,"<-> 86"
mpur:MARPU_15850,"response regulator receiver",K02658,142,416,117,101,0.504,115,"<-> 48"
pae:PA0409,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 61"
paeb:NCGM1900_0416,"twitching motility protein",K02658,121,416,112,101,0.496,119,"-> 61"
paec:M802_419,"response regulator",K02658,121,416,112,101,0.496,119,"-> 61"
paeg:AI22_01825,"chemotaxis protein CheY",K02658,121,416,112,101,0.496,119,"-> 60"
paei:N296_420,"response regulator",K02658,121,416,112,101,0.496,119,"-> 61"
pael:T223_02070,"chemotaxis protein CheY",K02658,121,416,112,101,0.496,119,"-> 57"
paem:U769_02110,"chemotaxis protein CheY",K02658,121,416,112,101,0.496,119,"-> 61"
paeo:M801_420,"response regulator",K02658,121,416,112,101,0.496,119,"-> 60"
paep:PA1S_gp3920,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 60"
paer:PA1R_gp3920,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 60"
paes:SCV20265_0426,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 61"
paeu:BN889_00477,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 62"
paev:N297_420,"response regulator",K02658,121,416,112,101,0.496,119,"-> 61"
paf:PAM18_0409,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 61"
pag:PLES_04071,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 59"
palk:PSAKL28_48840,"type IV pilus response regulator Pil",K02658,121,416,108,101,0.492,120,"-> 62"
pap:PSPA7_0509,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 64"
pau:PA14_05330,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 61"
pdk:PADK2_02060,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 62"
pman:OU5_3863,"hypothetical protein",K02658,121,416,109,101,0.487,119,"-> 74"
pnc:NCGM2_5789,"twitching motility protein",K02658,121,416,112,101,0.496,119,"-> 62"
prp:M062_02055,"chemotaxis protein CheY",K02658,121,416,112,101,0.496,119,"-> 61"
psg:G655_02085,"twitching motility protein PilH",K02658,121,416,112,101,0.496,119,"-> 62"
acx:Achr_38320,"type 4 pili response regulator PilH",K02658,125,415,121,100,0.479,119,"-> 36"
gpb:HDN1F_36840,"type IV pilus response regulator, CheY",K02658,126,415,144,100,0.508,120,"-> 46"
jag:GJA_769,"response regulator",K02658,121,415,152,100,0.483,116,"<-> 69"
pst:PSPTO_5033,"type IV pilus response regulator PilH",K02658,121,414,104,100,0.479,119,"-> 58"
sde:Sde_3633,"response regulator receiver",K02658,120,414,101,100,0.475,118,"-> 43"
tbn:TBH_C2589,"twitching motility two-component system r",K02658,120,414,130,100,0.445,119,"-> 36"
net:Neut_2386,"response regulator receiver protein",K02658,121,413,125,100,0.522,115,"<-> 15"
pff:PFLUOLIPICF710115,"chemotaxis protein CheY",K02658,121,413,106,100,0.471,119,"-> 68"
pfv:Psefu_0321,"response regulator receiver protein",K02658,121,413,119,100,0.487,119,"-> 63"
pfw:PF1751_v1c51700,"type IV pilus response regulator Pi",K02658,121,413,106,100,0.471,119,"-> 64"
slt:Slit_2939,"response regulator receiver protein",K02658,121,413,140,100,0.500,118,"-> 24"
ppuu:PputUW4_05104,"type IV pilus response regulator Pil",K02658,121,412,105,100,0.479,119,"-> 61"
psc:A458_01545,"type IV pilus response regulator PilH",K02658,121,412,112,100,0.479,119,"-> 55"
pdr:H681_01865,"twitching motility protein PilH",K02658,121,411,110,100,0.487,119,"-> 60"
psa:PST_3952,"type IV pilus response regulator PilH",K02658,121,411,111,100,0.479,119,"-> 52"
psh:Psest_0298,"response regulator with CheY-like receiv",K02658,121,411,111,100,0.479,119,"-> 55"
psr:PSTAA_4102,"type IV pilus response regulator PilH",K02658,121,411,111,100,0.479,119,"-> 53"
pstu:UIB01_01480,"chemotaxis protein CheY",K02658,121,411,111,100,0.479,119,"-> 56"
psz:PSTAB_3911,"type IV pilus response regulator PilH",K02658,121,411,111,100,0.479,119,"-> 48"
dar:Daro_3898,"Response regulator receiver",K02658,121,410,115,99,0.504,115,"<-> 109"
pstt:CH92_19735,"chemotaxis protein CheY",K02658,121,410,122,99,0.479,119,"-> 56"
eba:ebB50,"type IV pilus response regulator PilH",K02658,121,409,86,99,0.449,118,"<-> 37"
pbm:CL52_18985,"chemotaxis protein CheY",K02658,121,409,123,99,0.479,119,"-> 49"
psb:Psyr_0489,"response regulator receiver",K02658,121,409,99,99,0.471,119,"-> 64"
saga:M5M_11255,"twitching motility protein PilH",K02658,120,409,95,99,0.470,117,"-> 44"
cja:CJA_0078,"twitching motility protein PilH",K02658,120,408,109,99,0.467,120,"-> 36"
dno:DNO_1096,"twitching motility regulator PilH",K02658,120,408,189,99,0.462,119,"<-> 8"
har:HEAR2746,"twitching motility protein. pilH ortholog",K02658,121,408,145,99,0.466,118,"<-> 33"
oai:OLEAN_C00900,"Type IV pilus response regulator",K02658,121,408,104,99,0.471,119,"-> 44"
pci:PCH70_47990,"type IV pilus response regulator PilH",K02658,121,408,101,99,0.479,119,"-> 57"
psp:PSPPH_0480,"type IV pilus response regulator PilH",K02658,121,408,98,99,0.479,119,"-> 56"
psyr:N018_23670,"chemotaxis protein CheY",K02658,121,408,98,99,0.479,119,"-> 58"
bbag:E1O_22120,"twitching motility two-component respons",K02658,121,407,137,99,0.449,118,"<-> 26"
caa:Caka_0182,"response regulator receiver protein",K02658,120,407,134,99,0.513,115,"<-> 20"
psj:PSJM300_01665,"type IV pilus response regulator PilH",K02658,121,407,108,99,0.471,119,"-> 42"
tvi:Thivi_3306,"response regulator with CheY-like receiv",K02658,144,403,94,98,0.492,118,"<-> 92"
alv:Alvin_0195,"response regulator receiver protein",K02658,149,402,93,97,0.474,116,"<-> 77"
mms:mma_2955,"twitching motility two-component response",K02658,121,402,134,97,0.458,118,"<-> 39"
prh:LT40_14800,"chemotaxis protein CheY",K02658,121,402,94,97,0.479,119,"-> 48"
pfn:HZ99_15855,"chemotaxis protein CheY",K02658,121,401,94,97,0.458,120,"-> 62"
ttu:TERTU_0232,"response regulator receiver domain-conta",K02658,120,401,115,97,0.441,118,"-> 45"
neu:NE1007,"response regulator receiver domain-containin",K02658,121,400,88,97,0.530,115,"-> 15"
rsm:CMR15_30251,"Type IV pilus response regulator PilH,",K02658,122,400,118,97,0.466,118,"<-> 37"
rsn:RSPO_c02701,"twitching motility two-component respon",K02658,122,400,108,97,0.466,118,"<-> 38"
mpt:Mpe_A3189,"twitching motility protein",K02658,121,399,129,97,0.483,116,"<-> 37"
aci:ACIAD0787,"twitching motility protein",K02658,123,398,135,97,0.487,119,"-> 17"
rme:Rmet_0670,"type IV pilus response regulator PilH",K02658,122,397,101,96,0.458,118,"<-> 66"
seds:AAY24_09730,"chemotaxis protein CheY",K02658,118,396,85,96,0.482,112,"-> 54"
wma:WM2015_1527,"Chemotaxis protein CheY",K02658,121,396,94,96,0.495,105,"-> 23"
cti:RALTA_A0723,"TWITCHING MOTILITY TWO-COMPONENT RESPON",K02658,123,395,94,96,0.474,116,"<-> 44"
rmn:TK49_07400,"chemotaxis protein CheY",K02658,122,394,99,96,0.433,120,"<-> 43"
rsc:RCFBP_20746,"Type IV pilus response regulator PilH,",K02658,122,394,102,96,0.458,118,"<-> 20"
rse:F504_682,"twitching motility protein PilH",K02658,122,394,100,96,0.458,118,"<-> 40"
rsl:RPSI07_2681,"Type IV pilus response regulator PilH,",K02658,122,394,100,96,0.458,118,"<-> 42"
rso:RSc0669,"putative twitching motility two-component r",K02658,122,394,100,96,0.458,118,"<-> 37"
ppv:NJ69_20890,"chemotaxis protein CheY",K02658,121,391,84,95,0.437,119,"-> 62"
psd:DSC_07935,"PilH family regulatory protein",K02658,130,388,102,94,0.445,119,"-> 30"
reu:Reut_A2622,"response regulator receiver",K02658,123,388,93,94,0.458,118,"<-> 54"
nhl:Nhal_3345,"response regulator receiver",K02658,121,387,113,94,0.458,120,"-> 22"
tig:THII_1287,"chemotaxis protein CheY",K02658,121,387,84,94,0.449,118,"-> 92"
cnc:CNE_1c07430,"type IV pilus response regulator PilH",K02658,123,386,87,94,0.449,118,"<-> 49"
reh:H16_A0737,"Type IV pilus response regulator PilH",K02658,123,386,85,94,0.449,118,"<-> 63"
rpf:Rpic12D_0561,"response regulator receiver protein",K02658,122,386,91,94,0.425,120,"<-> 40"
rpi:Rpic_0613,"response regulator receiver protein",K02658,122,386,91,94,0.425,120,"<-> 46"
nwa:Nwat_0118,"response regulator receiver protein",K02658,121,385,111,94,0.471,119,"-> 16"
ppt:PPS_4835,"response regulator receiver protein",K02658,108,384,77,93,0.505,103,"<-> 70"
rge:RGE_42100,"twitching motility protein PilH",K02658,121,384,99,93,0.478,113,"<-> 74"
rpj:N234_03730,"chemotaxis protein CheY",K02658,123,384,83,93,0.449,118,"<-> 52"
xfa:XF0450,"two-component system, regulatory protein",K02658,132,384,122,93,0.449,118,"-> 15"
xff:XFLM_02430,"PilH family regulatory protein",K02658,128,384,122,93,0.458,118,"-> 14"
xfl:P303_08240,"chemotaxis protein CheY",K02658,128,384,122,93,0.458,118,"-> 15"
xfm:Xfasm12_1789,"response regulator receiver protein",K02658,128,384,122,93,0.458,118,"-> 13"
xfn:XfasM23_1724,"response regulator receiver protein",K02658,128,384,122,93,0.458,118,"-> 14"
xfs:D934_08210,"chemotaxis protein CheY",K02658,128,384,122,93,0.458,118,"-> 13"
xft:PD1632,"PilH family regulatory protein",K02658,132,384,122,93,0.458,118,"-> 14"
cbw:RR42_m0879,"twitching motility protein PilH",K02658,122,383,88,93,0.441,118,"<-> 55"
mei:Msip34_1753,"response regulator receiver protein",K02658,125,382,62,93,0.475,118,"<-> 29"
mep:MPQ_1754,"response regulator receiver protein",K02658,125,382,62,93,0.475,118,"<-> 28"
pcr:Pcryo_2100,"response regulator receiver domain prote",K02658,120,382,126,93,0.437,119,"-> 15"
pol:Bpro_1137,"response regulator receiver domain-contai",K02658,121,382,117,93,0.449,118,"<-> 44"
pso:PSYCG_11365,"chemotaxis protein CheY",K02658,120,382,122,93,0.437,119,"-> 17"
spoi:IMCC21906_00235,"Response regulator receiver domain",K02658,120,381,97,93,0.445,119,"-> 27"
lch:Lcho_3970,"response regulator receiver protein",K02658,121,379,95,92,0.460,113,"<-> 71"
noc:Noc_0130,"response regulator receiver",K02658,121,379,97,92,0.471,119,"-> 15"
cbx:Cenrod_1121,"twitching motility two-component system",K02658,126,377,117,92,0.465,114,"<-> 80"
rta:Rta_34160,"candidate response regulator, CheY",K02658,121,377,38,92,0.424,118,"<-> 59"
vap:Vapar_4625,"response regulator receiver protein",K02658,121,377,107,92,0.457,116,"<-> 41"
vpd:VAPA_1c47650,"putative type IV pilus response regula",K02658,121,377,108,92,0.457,116,"<-> 51"
oto:ADJ79_03150,"chemotaxis protein CheY",K02658,121,376,99,92,0.443,115,"-> 8"
pna:Pnap_3353,"response regulator receiver protein",K02658,121,376,109,92,0.432,118,"<-> 34"
vpe:Varpa_5226,"response regulator receiver protein",K02658,121,376,105,92,0.448,116,"<-> 43"
cyc:PCC7424_2789,"response regulator receiver protein",K11523,121,373,29,91,0.458,120,"<-> 68"
cni:Calni_0653,"response regulator receiver protein",K02658,120,371,69,90,0.417,120,"<-> 19"
cyj:Cyan7822_1131,"response regulator receiver protein",K11523,121,370,33,90,0.479,119,"<-> 97"
hht:F506_02250,"chemotaxis protein CheY",K02658,121,370,98,90,0.441,118,"<-> 49"
ddf:DEFDS_0161,"twitching motility two-component system",K02658,119,369,120,90,0.429,119,"<-> 24"
par:Psyc_1817,"two-component response regulator",K02658,120,368,111,90,0.429,119,"-> 12"
dac:Daci_1573,"response regulator receiver protein",K02658,121,365,86,89,0.440,116,"-> 61"
prw:PsycPRwf_2158,"response regulator receiver protein",K02658,120,364,101,89,0.412,119,"-> 13"
cthe:Chro_0122,"response regulator receiver protein",K02658,141,363,18,89,0.421,121,"<-> 120"
del:DelCs14_4961,"response regulator receiver protein",K02658,121,363,84,89,0.440,116,"-> 57"
mic:Mic7113_4007,"response regulator with CheY-like rece",,121,362,15,88,0.408,120,"<-> 148"
thi:THI_2940,"Protein pilH",K02658,121,362,41,88,0.435,115,"<-> 21"
tin:Tint_2540,"response regulator receiver protein",K02658,121,362,41,88,0.435,115,"<-> 22"
mfa:Mfla_1243,"response regulator receiver domain protei",K02658,121,361,37,88,0.432,118,"-> 27"
pseu:Pse7367_1164,"response regulator receiver protein",K02658,122,361,16,88,0.417,120,"-> 66"
rfr:Rfer_1372,"response regulator receiver domain protei",K02658,121,361,99,88,0.414,116,"<-> 50"
ajs:Ajs_3577,"response regulator receiver protein",K02658,121,359,90,88,0.415,118,"-> 26"
can:Cyan10605_2953,"response regulator receiver protein",K02658,121,359,9,88,0.438,121,"<-> 54"
csg:Cylst_5571,"response regulator with CheY-like receiv",K02658,121,359,25,88,0.408,120,"-> 68"
dia:Dtpsy_2900,"response regulator receiver protein",K02658,121,359,90,88,0.415,118,"-> 27"
scs:Sta7437_2774,"response regulator receiver protein",,121,359,9,88,0.437,119,"<-> 94"
ack:C380_19665,"response regulator receiver protein",K02658,121,358,93,87,0.415,118,"-> 54"
ctt:CtCNB1_3988,"response regulator receiver protein",K02658,121,358,87,87,0.415,118,"-> 34"
synp:Syn7502_01831,"response regulator with CheY-like re",K02658,123,358,53,87,0.400,120,"-> 61"
plp:Ple7327_0652,"response regulator with CheY-like rece",K02658,121,357,11,87,0.417,120,"<-> 81"
aaa:Acav_0851,"response regulator receiver protein",K02658,121,356,80,87,0.407,118,"-> 56"
aav:Aave_0902,"response regulator receiver protein",K02658,121,356,79,87,0.407,118,"-> 45"
ctes:O987_24200,"chemotaxis protein CheY",K02658,120,356,83,87,0.415,118,"-> 37"
cyb:CYB_1937,"response regulator",K02658,121,356,27,87,0.383,120,"-> 31"
cyt:cce_4195,"CheY-like two-component hybrid sensor and",K11523,120,356,14,87,0.445,119,"<-> 53"
vei:Veis_3020,"response regulator receiver protein",K02658,121,356,95,87,0.415,118,"-> 17"
cep:Cri9333_1470,"response regulator receiver protein",K02658,121,355,9,87,0.408,120,"-> 81"
hao:PCC7418_0226,"response regulator receiver protein",K02658,123,355,39,87,0.410,122,"<-> 54"
tel:tlr0346,"two-component response regulator",K02658,121,355,8,87,0.421,121,"-> 24"
thn:NK55_00330,"pilin-mediated motility/competence modul",K02658,121,355,17,87,0.392,120,"-> 27"
cya:CYA_2739,"response regulator",K02658,121,354,25,87,0.383,120,"-> 27"
