"","genes","counts.sample1","counts.sample2","counts.sample3","counts.treat1","counts.treat2","counts.treat3","logFC","logCPM","F","PValue"
"12","gene_0012",5.268753e+06,2.292357e+06,4.238816e+06,1.906189e+06,3.354811e+06,4.474546e+06,-2.355962e-01, 6.156030,2.571260e-01,6.427299e-01
"13","gene_0013",1.964145e+06,5.340895e+06,2.094247e+06,3.566704e+06,2.818195e+06,2.933192e+06, 5.799426e-02, 5.965937,1.510934e-02,9.050585e-01
"14","gene_0014",3.313030e+06,2.428611e+06,6.756431e+06,3.357416e+06,7.840586e+06,2.953471e+06, 2.159160e-01, 6.482811,1.431887e-01,7.145089e-01
"15","gene_0015",4.135184e+06,2.069685e+06,3.351929e+06,1.625712e+06,7.632848e+06,3.156381e+06, 4.207459e-01, 6.190214,5.235193e-01,4.889856e-01
"16","gene_0016",2.712497e+06,2.377180e+06,3.307890e+06,6.027089e+06,2.929677e+06,4.427436e+06, 7.389652e-01, 6.200587,3.035455e+00,1.521934e-01
"17","gene_0017",2.469419e+06,2.430042e+06,1.408394e+06,3.233511e+06,2.411367e+06,3.704815e+06, 6.364085e-01, 5.709363,3.020406e+00,1.608039e-01
"18","gene_0018",3.818885e+06,1.660539e+06,2.458301e+06,4.577917e+06,1.205107e+06,3.102845e+06, 2.458822e-01, 5.820426,1.998838e-01,6.661096e-01
"19","gene_0019",4.275287e+06,3.738246e+06,5.344153e+06,1.888763e+06,1.630587e+06,7.866552e+06,-2.070166e-01, 6.354685,1.120205e-01,7.460537e-01
"20","gene_0020",3.934530e+06,1.136251e+06,1.841666e+06,3.596869e+06,6.336655e+06,4.106734e+06, 1.087173e+00, 6.130615,4.424501e+00,6.690519e-02
"21","gene_0021",1.708845e+06,3.386374e+06,2.646034e+06,2.860231e+06,3.644097e+06,4.234998e+06, 5.190662e-01, 5.948354,1.761433e+00,2.822387e-01
"22","gene_0022",8.804685e+06,6.629185e+06,2.748532e+06,6.894813e+06,6.664984e+06,1.104898e+07, 5.048015e-01, 7.149856,1.015005e+00,4.365139e-01
"23","gene_0023",3.558185e+06,3.325662e+06,3.810873e+06,4.419372e+06,3.263096e+06,2.778086e+06, 3.733761e-02, 6.148770,9.774552e-03,9.412556e-01
"24","gene_0024",4.947986e+06,2.940908e+06,3.496524e+06,1.455698e+06,2.628977e+06,3.298709e+06,-5.786224e-01, 5.953201,1.977912e+00,2.315370e-01
"25","gene_0025",4.050616e+06,6.701534e+06,9.136246e+06,4.249201e+06,3.234116e+06,4.573224e+06,-6.755471e-01, 6.737840,2.242983e+00,2.520606e-01
"26","gene_0026",5.008128e+06,2.537313e+06,2.386211e+06,2.766729e+06,4.632951e+06,3.323933e+06, 1.753753e-01, 6.099855,1.699847e-01,7.260866e-01
"27","gene_0027",2.857496e+06,2.971377e+06,3.397613e+06,4.161638e+06,1.700467e+06,3.019776e+06, 1.468215e-02, 5.925837,1.181540e-03,9.755283e-01
"28","gene_0028",3.135252e+06,3.210152e+06,2.514082e+06,2.217419e+06,1.492604e+06,2.632204e+06,-4.196554e-01, 5.657541,1.463095e+00,3.472076e-01
"29","gene_0029",1.623394e+07,1.875693e+07,2.031497e+07,1.920702e+07,1.970297e+07,2.002307e+07, 1.465198e-01, 8.577537,2.714515e-01,8.089584e-01
"30","gene_0030",3.270637e+06,6.251972e+06,4.043071e+06,2.501340e+06,5.703081e+06,5.604872e+06, 6.728729e-02, 6.505014,2.118867e-02,9.033148e-01
"31","gene_0031",1.206913e+06,3.459255e+06,4.130858e+06,2.771105e+06,2.195138e+06,5.726134e+06, 3.101464e-01, 6.025537,2.992614e-01,5.985637e-01
"32","gene_0032",2.232564e+06,3.337670e+06,1.821872e+06,1.438947e+07,4.331004e+06,2.373394e+06, 1.621166e+00, 6.616652,5.368668e+00,4.764275e-02
"33","gene_0033",2.396604e+06,1.016423e+06,2.345087e+06,1.950537e+06,3.957286e+06,1.817029e+06, 4.754554e-01, 5.495686,1.032756e+00,3.378648e-01
"34","gene_0034",6.930317e+06,2.372226e+06,3.841771e+06,1.614225e+06,1.405128e+06,3.991833e+06,-8.580888e-01, 6.051120,2.432510e+00,1.556412e-01
"35","gene_0035",1.784935e+06,4.220522e+06,1.524030e+06,2.147103e+06,3.174945e+06,4.800489e+06, 4.764852e-01, 5.872123,9.306339e-01,3.616253e-01
"36","gene_0036",1.102100e+08,1.023503e+08,7.942721e+07,9.398323e+07,9.068119e+07,8.910790e+07,-2.609258e-02,10.880162,2.602950e-02,9.465781e-01
"37","gene_0037",4.792975e+06,2.140550e+06,5.817186e+06,2.030045e+06,1.654691e+06,4.449371e+06,-6.138885e-01, 6.115703,1.314153e+00,2.832240e-01
"38","gene_0038",6.213523e+06,1.996525e+06,5.692772e+06,3.837459e+06,2.306734e+06,5.109639e+06,-2.519897e-01, 6.389015,2.228658e-01,6.488770e-01
"39","gene_0039",3.782136e+06,8.443794e+06,2.322971e+06,3.322735e+06,1.619672e+06,2.145422e+06,-9.515768e-01, 6.161905,2.947048e+00,1.225396e-01
"40","gene_0040",2.410732e+06,2.316315e+06,8.231364e+06,1.769745e+06,5.064892e+06,7.375707e+06, 1.371142e-01, 6.502520,4.041432e-02,8.454518e-01
"41","gene_0041",3.102780e+06,3.414848e+06,4.647102e+06,1.582539e+06,1.916922e+06,2.007711e+06,-9.737343e-01, 5.791911,7.785619e+00,3.682792e-02
"42","gene_0042",3.906215e+06,3.246221e+06,2.580537e+06,5.235769e+06,4.267087e+06,4.377270e+06, 5.838912e-01, 6.306370,2.500998e+00,2.696019e-01
"43","gene_0043",1.046514e+06,3.516869e+06,1.728980e+06,3.015112e+06,2.870021e+06,6.762803e+06, 1.049622e+00, 5.981127,3.606573e+00,9.232165e-02
"44","gene_0044",3.788145e+06,1.297731e+06,1.951416e+06,3.582239e+06,2.805818e+06,2.854744e+06, 4.691740e-01, 5.768045,1.103774e+00,3.226999e-01
"45","gene_0045",3.471554e+06,5.012573e+06,6.194258e+06,2.370270e+06,2.320686e+06,1.992710e+06,-1.081406e+00, 6.152771,7.488086e+00,3.503041e-02
"46","gene_0046",1.369948e+06,2.907283e+06,2.928479e+06,4.495468e+06,5.996420e+06,2.695236e+06, 9.275661e-01, 6.105072,3.671351e+00,8.989895e-02
"47","gene_0047",1.945501e+06,3.374074e+06,4.240932e+06,3.443418e+06,3.020927e+06,3.061188e+06, 4.556731e-02, 6.001413,1.225711e-02,9.256129e-01
"48","gene_0048",1.753237e+06,2.843744e+06,2.351598e+06,2.559322e+06,4.299061e+06,4.464292e+06, 7.482299e-01, 5.930730,3.791595e+00,1.204986e-01
"49","gene_0049",3.514212e+06,4.973776e+06,2.040753e+06,1.426957e+06,3.205993e+06,5.920182e+06, 4.496319e-02, 6.117374,6.630256e-03,9.370083e-01
"50","gene_0050",3.623343e+06,2.686507e+06,2.575891e+06,4.109866e+06,1.748056e+06,5.441413e+06, 4.091663e-01, 6.074495,7.585676e-01,4.113485e-01
"51","gene_0051",2.872549e+06,3.952763e+06,4.147211e+06,1.543881e+06,2.390664e+06,5.938676e+06,-1.263172e-01, 6.108781,5.923472e-02,8.135438e-01
"52","gene_0052",4.588878e+06,2.950749e+06,2.814193e+06,2.526940e+06,3.185724e+06,2.902370e+06,-2.020909e-01, 5.976174,3.197565e-01,6.769649e-01
"53","gene_0053",2.226521e+06,4.183648e+06,2.083229e+06,1.166399e+06,3.907028e+06,4.305442e+06, 1.815045e-01, 5.884361,1.180825e-01,7.395604e-01
"54","gene_0054",2.338529e+06,3.801902e+06,1.631955e+06,5.105002e+06,1.165292e+06,3.631741e+06, 4.347658e-01, 5.892667,5.599719e-01,4.746840e-01
"55","gene_0055",3.455828e+06,2.339761e+06,3.726785e+06,1.612257e+06,3.115236e+06,2.596290e+06,-3.351653e-01, 5.806511,7.550692e-01,4.704876e-01
"56","gene_0056",2.218418e+06,2.684347e+06,2.661688e+06,4.428694e+06,3.036483e+06,2.405441e+06, 4.559054e-01, 5.876990,1.385489e+00,3.356891e-01
"57","gene_0057",1.567441e+06,4.779738e+06,2.566214e+06,1.611542e+06,3.846674e+06,4.882877e+06, 2.498719e-01, 5.996370,2.120922e-01,6.568120e-01
"58","gene_0058",3.359046e+06,3.453050e+06,1.654519e+06,4.203181e+06,4.116966e+06,4.064876e+06, 6.215933e-01, 6.122676,2.448580e+00,2.186156e-01
"59","gene_0059",4.833477e+06,2.926734e+06,2.564329e+06,2.773392e+06,2.232734e+06,2.194499e+06,-4.437461e-01, 5.862212,1.374510e+00,3.468204e-01
"60","gene_0060",2.547393e+06,3.808549e+06,1.994050e+06,4.464168e+06,3.328198e+06,2.210467e+06, 3.422818e-01, 5.945793,6.253863e-01,4.773213e-01
"61","gene_0061",3.382246e+06,4.612924e+06,4.132805e+06,1.560644e+06,2.241713e+06,3.879072e+06,-6.210820e-01, 6.034285,2.188696e+00,2.087085e-01
"62","gene_0062",3.515382e+06,3.812379e+06,4.684456e+06,2.098024e+06,3.942447e+06,3.311768e+06,-3.188851e-01, 6.150618,6.784072e-01,5.297105e-01
"63","gene_0063",2.055688e+06,5.815815e+06,8.114608e+06,3.027195e+06,2.019533e+06,3.262011e+06,-9.025509e-01, 6.345207,2.664188e+00,1.394440e-01
"64","gene_0064",4.578838e+06,4.079865e+06,2.413257e+06,2.111710e+06,2.245461e+06,1.713863e+06,-7.927847e-01, 5.824414,4.548187e+00,9.095810e-02
"65","gene_0065",2.678437e+06,9.640590e+06,3.202973e+06,1.871184e+06,3.919641e+06,2.357032e+06,-8.735643e-01, 6.288390,2.299028e+00,1.661158e-01
"66","gene_0066",1.075370e+07,2.638506e+06,3.852784e+06,1.742032e+06,4.084590e+06,1.518157e+06,-1.160371e+00, 6.334474,3.379244e+00,1.015189e-01
"67","gene_0067",2.063225e+06,3.121656e+06,2.142405e+06,3.569969e+06,3.965881e+06,5.077792e+06, 8.372992e-01, 6.059398,5.226919e+00,9.319666e-02
"68","gene_0068",4.132347e+06,2.976386e+06,2.670022e+06,3.014735e+06,3.195588e+06,2.753967e+06,-5.750735e-02, 5.963431,2.729224e-02,9.052872e-01
"69","gene_0069",1.026635e+07,2.703375e+06,2.440474e+06,2.720594e+06,2.420829e+06,2.980267e+06,-8.428206e-01, 6.271715,2.099264e+00,1.836217e-01
"70","gene_0070",2.560120e+06,3.391237e+06,2.416873e+06,2.953799e+06,2.866224e+06,2.197040e+06, 6.207110e-03, 5.774655,3.244705e-04,9.892337e-01
"71","gene_0071",2.492082e+06,1.963628e+06,2.992397e+06,5.648123e+06,2.864774e+06,6.979876e+06, 1.109726e+00, 6.270532,6.003516e+00,3.853164e-02
"72","gene_0072",2.477253e+06,3.154938e+06,1.044152e+06,5.723991e+06,1.962390e+06,6.279725e+06, 1.142604e+00, 6.115147,3.958582e+00,8.008849e-02
"73","gene_0073",1.605065e+06,1.659837e+06,3.488390e+06,3.281627e+06,1.725221e+06,2.607779e+06, 2.255455e-01, 5.598833,2.445903e-01,6.335751e-01
"74","gene_0074",1.926579e+06,3.952489e+06,4.227285e+06,3.106072e+06,3.607030e+06,3.551064e+06, 6.793907e-02, 6.091314,2.640948e-02,8.917839e-01
"75","gene_0075",2.850849e+06,6.190609e+06,4.082071e+06,4.349084e+06,7.893042e+06,3.725080e+06, 3.387095e-01, 6.604098,4.993666e-01,5.512597e-01
"76","gene_0076",6.863153e+06,4.119421e+06,4.666825e+06,2.289625e+06,2.011081e+06,4.331544e+06,-8.064028e-01, 6.324238,3.397883e+00,1.302027e-01
"77","gene_0077",1.687060e+06,1.913178e+06,1.981209e+06,4.628586e+06,4.431089e+06,2.533675e+06, 1.122564e+00, 5.860323,8.349061e+00,1.919447e-02
"78","gene_0078",3.760857e+06,7.800905e+06,8.161710e+06,6.326692e+06,7.292995e+06,8.091580e+06, 1.823215e-01, 7.115288,1.680275e-01,7.766493e-01
"79","gene_0079",5.650316e+06,4.280447e+06,2.254178e+06,2.263055e+06,2.740979e+06,5.146428e+06,-2.066371e-01, 6.201642,1.900356e-01,6.874838e-01
"80","gene_0080",1.209702e+06,2.360826e+06,3.564900e+06,3.403034e+06,2.718765e+06,1.406190e+06, 1.369978e-01, 5.631701,6.949078e-02,7.984266e-01
"81","gene_0081",7.175709e+06,8.627374e+06,1.280301e+07,1.196901e+07,9.144672e+06,6.370301e+06, 4.851394e-03, 7.561083,1.130538e-04,9.943724e-01
"82","gene_0082",5.637289e+06,2.477425e+06,6.900933e+06,2.838466e+06,1.450250e+06,2.780128e+06,-1.031349e+00, 6.200988,4.080623e+00,7.633628e-02
"83","gene_0083",2.389024e+06,2.736158e+06,2.905832e+06,2.459630e+06,2.092738e+06,3.416766e+06, 3.916001e-02, 5.737822,1.304314e-02,9.314861e-01
"84","gene_0084",3.914428e+06,2.471097e+06,4.920829e+06,3.509733e+06,1.926726e+06,2.451002e+06,-4.553909e-01, 6.006164,1.085339e+00,3.523497e-01
"85","gene_0085",3.669418e+06,4.193810e+06,5.027849e+06,2.267954e+06,1.958870e+06,2.008170e+06,-9.905504e-01, 5.991476,7.783495e+00,4.386732e-02
"86","gene_0086",4.643367e+06,1.239288e+06,6.278071e+06,6.834385e+06,6.366990e+06,2.443555e+06, 4.271804e-01, 6.555706,4.109123e-01,5.385858e-01
"87","gene_0087",2.620193e+07,2.935209e+07,3.385792e+07,2.940300e+07,3.317493e+07,2.529993e+07, 3.182991e-02, 9.212349,1.694917e-02,9.500051e-01
"88","gene_0088",5.973189e+06,3.853105e+06,3.311286e+06,3.908517e+06,4.149080e+06,4.235909e+06,-2.859602e-02, 6.401138,5.605060e-03,9.577464e-01
"89","gene_0089",3.028265e+06,3.801718e+06,2.528412e+06,1.762742e+06,2.438124e+06,3.082822e+06,-3.100219e-01, 5.784259,7.679086e-01,5.018314e-01
"90","gene_0090",3.636754e+06,1.825841e+06,1.890531e+06,1.571096e+06,3.127677e+06,2.703806e+06, 6.603349e-02, 5.610805,2.628223e-02,8.806923e-01
"91","gene_0091",2.435472e+06,2.058711e+06,3.714071e+06,2.839804e+06,2.778048e+06,2.549336e+06, 4.437340e-02, 5.778993,1.423738e-02,9.232402e-01
"92","gene_0092",1.991895e+06,5.307202e+06,4.349807e+06,3.739697e+06,4.351707e+06,3.750990e+06, 7.472219e-02, 6.296780,2.725717e-02,8.870081e-01
"93","gene_0093",4.459288e+07,4.493070e+06,3.981393e+07,3.946389e+07,4.370485e+07,5.290204e+07, 6.628409e-01, 9.556984,1.010816e+00,3.427658e-01
"94","gene_0094",4.408969e+06,4.035847e+06,2.620644e+06,1.860901e+06,3.684251e+06,2.433110e+06,-4.121569e-01, 5.976652,1.074364e+00,3.961810e-01
"95","gene_0095",5.669900e+07,5.198601e+07,6.853606e+07,6.339607e+07,6.189502e+07,5.616897e+07, 9.168172e-02,10.229829,2.267505e-01,8.246340e-01
"96","gene_0096",4.600343e+06,3.480734e+06,2.155693e+06,1.739969e+06,2.557991e+06,2.242956e+06,-5.810919e-01, 5.790837,2.346252e+00,2.099755e-01
"97","gene_0097",3.799347e+06,2.029004e+06,2.471885e+06,2.221896e+06,1.657170e+06,3.149213e+06,-1.803299e-01, 5.669034,2.130649e-01,6.867704e-01
"98","gene_0098",2.008100e+06,2.077619e+06,1.988846e+06,1.791070e+06,4.132404e+06,3.697888e+06, 7.065229e-01, 5.707832,3.439069e+00,1.196885e-01
"99","gene_0099",6.144320e+07,6.163216e+07,1.202799e+08,1.300400e+08,1.590505e+08,7.582394e+07, 6.364672e-01,11.003929,3.048985e+00,1.171069e-01
"100","gene_0100",3.211331e+06,2.100498e+06,2.274314e+06,6.291794e+06,2.469504e+06,1.932665e+06, 5.911354e-01, 5.953317,1.255895e+00,2.934204e-01
"101","gene_0101",2.584801e+07,2.174198e+07,1.559800e+06,2.180900e+07,2.016905e+07,1.459297e+07, 2.994337e-01, 8.457028,1.460823e-01,7.117894e-01
"102","gene_0102",2.182273e+06,5.501334e+06,4.585317e+06,2.368266e+06,1.389765e+06,3.031478e+06,-8.040270e-01, 5.986879,2.761088e+00,1.333276e-01
"103","gene_0103",2.133691e+06,1.082248e+06,1.962920e+06,1.150668e+06,6.089321e+06,1.360834e+06, 7.762727e-01, 5.523150,1.429141e+00,2.645354e-01
"104","gene_0104",3.698785e+06,4.344173e+06,2.640116e+06,9.052207e+05,3.105470e+06,3.553847e+06,-4.583375e-01, 5.908499,8.149168e-01,3.918014e-01
"105","gene_0105",9.985257e+05,2.115123e+06,6.241537e+06,3.174659e+06,1.798522e+06,2.924422e+06,-2.109164e-01, 5.865201,1.030895e-01,7.559906e-01
"106","gene_0106",1.936070e+06,5.237076e+06,3.341837e+06,2.498152e+06,5.789832e+06,4.251557e+06, 2.969571e-01, 6.262636,3.586536e-01,5.693108e-01
"107","gene_0107",3.237368e+06,2.885440e+06,3.844168e+06,2.309854e+06,2.221896e+06,2.467605e+06,-4.557078e-01, 5.820864,1.891632e+00,3.287688e-01
"108","gene_0108",4.900685e+07,4.174905e+07,3.803199e+07,4.044506e+07,4.350687e+07,4.236090e+07, 3.440283e-02, 9.731276,3.565181e-02,9.390970e-01
"109","gene_0109",5.817388e+06,2.584511e+06,4.335689e+06,2.967137e+06,2.960091e+06,8.368630e+06, 2.065295e-01, 6.484555,1.486093e-01,7.094399e-01
"110","gene_0110",4.344383e+06,1.055979e+06,3.419064e+06,1.985760e+06,2.576034e+06,5.788748e+06, 2.676398e-01, 5.989992,1.996138e-01,6.663191e-01
"111","gene_0111",2.016022e+06,3.694327e+06,3.244624e+06,3.508687e+06,2.289736e+06,4.029222e+06, 1.881056e-01, 5.974311,2.100314e-01,6.980273e-01
"112","gene_0112",1.579066e+06,2.389604e+06,9.422889e+05,3.652290e+06,2.057142e+06,2.019687e+06, 7.412688e-01, 5.412368,2.830193e+00,1.291790e-01
"113","gene_0113",3.816159e+06,3.996900e+06,2.000404e+06,3.728412e+06,1.739836e+06,6.418078e+06, 3.378983e-01, 6.171328,4.108188e-01,5.386310e-01
"114","gene_0114",2.486991e+06,2.458250e+06,1.980482e+06,3.175759e+06,2.472844e+06,1.557661e+06, 1.364053e-01, 5.566749,1.321692e-01,7.536407e-01
"115","gene_0115",1.694185e+06,4.014698e+06,5.940694e+06,2.704049e+06,2.776893e+06,3.753799e+06,-3.010719e-01, 6.127520,3.557128e-01,5.666071e-01
"116","gene_0116",3.310895e+06,4.649422e+06,1.453883e+06,1.227660e+06,5.654273e+06,2.546722e+06, 5.795312e-02, 5.958988,8.944512e-03,9.268676e-01
"117","gene_0117",2.149724e+06,3.235690e+07,2.564901e+07,3.541090e+07,1.173194e+06,1.771267e+06,-5.361000e-01, 8.391845,1.638099e-01,6.957762e-01
"118","gene_0118",3.090224e+06,4.294087e+06,1.501018e+06,6.567396e+06,4.714751e+06,2.989867e+06, 7.738485e-01, 6.285750,2.290959e+00,1.667787e-01
"119","gene_0119",1.872715e+06,3.432766e+06,3.388088e+06,2.608592e+06,5.118785e+06,3.468980e+06, 4.077432e-01, 6.055063,9.048809e-01,4.106606e-01
"120","gene_0120",2.370405e+07,1.842102e+07,1.991607e+07,2.171397e+07,2.147404e+07,3.222507e+07, 3.353025e-01, 8.839604,1.486806e+00,5.515227e-01
"121","gene_0121",2.087262e+06,2.951711e+06,4.399109e+06,3.003618e+06,9.652559e+06,4.358288e+06, 8.834571e-01, 6.469442,2.648820e+00,1.404476e-01
"122","gene_0122",1.083023e+07,2.911134e+06,4.669122e+06,2.638799e+06,1.526652e+06,2.452599e+06,-1.398149e+00, 6.362751,6.468828e+00,3.321588e-02
"123","gene_0123",4.233766e+06,2.531533e+06,1.678208e+06,3.131560e+06,1.024814e+06,2.634121e+06,-2.288414e-01, 5.662247,1.982400e-01,6.673878e-01
"124","gene_0124",3.463238e+06,3.040590e+06,3.128457e+06,3.876975e+06,2.304944e+06,4.849115e+06, 2.544205e-01, 6.108671,4.136462e-01,6.122012e-01
"125","gene_0125",3.912556e+06,1.629299e+06,2.281609e+06,2.279585e+06,4.150345e+06,3.168833e+06, 3.527525e-01, 5.856542,6.757089e-01,4.535476e-01
"126","gene_0126",3.304476e+06,3.527562e+06,3.297200e+06,1.362089e+06,1.796827e+06,7.034907e+06, 3.521696e-02, 6.067104,3.455401e-03,9.544986e-01
"127","gene_0127",4.654110e+08,5.871810e+08,7.632286e+08,7.136987e+08,7.232504e+08,6.005087e+08, 2.200714e-01,13.658790,9.421650e-01,6.074569e-01
"128","gene_0128",1.702649e+06,4.418760e+06,3.634461e+06,5.858988e+06,5.788106e+06,6.261514e+06, 9.273485e-01, 6.539859,4.123751e+00,9.981065e-02
"129","gene_0129",3.282405e+07,3.964100e+07,2.239697e+07,8.853902e+07,6.782905e+07,6.542506e+07, 1.300880e+00,10.061541,2.624960e+01,2.550887e-03
"130","gene_0130",2.275008e+06,4.438651e+06,5.115983e+06,2.199311e+06,2.535397e+06,3.337948e+06,-5.123580e-01, 6.051586,1.429216e+00,3.012534e-01
"131","gene_0131",2.773591e+08,3.736598e+08,3.724186e+08,4.353800e+08,3.549892e+08,5.349986e+08, 4.253751e-01,12.940912,4.269041e+00,3.022327e-01
"132","gene_0132",5.964129e+06,2.025013e+06,1.797848e+06,4.716025e+06,1.385966e+06,2.880125e+06,-2.531889e-02, 5.968430,1.694061e-03,9.681300e-01
"133","gene_0133",3.530277e+06,3.673949e+06,2.069614e+06,2.967466e+06,3.396341e+06,5.531388e+06, 4.151110e-01, 6.135083,1.039233e+00,4.118034e-01
"134","gene_0134",3.233197e+06,2.196751e+06,8.137476e+06,2.279032e+06,2.036034e+06,5.416277e+06,-4.614371e-01, 6.282156,5.620912e-01,4.738754e-01
"135","gene_0135",5.345858e+06,4.421762e+06,1.799532e+06,1.875521e+06,3.167405e+06,3.926629e+06,-3.065364e-01, 6.078786,4.065516e-01,5.406988e-01
"136","gene_0136",7.820774e+06,5.060505e+06,7.232686e+06,7.336904e+06,8.623189e+06,6.196706e+06, 2.003606e-01, 7.143679,2.493032e-01,7.566472e-01
"137","gene_0137",6.446256e+06,1.172048e+06,7.627876e+06,3.057731e+06,3.695300e+06,2.252163e+06,-7.068404e-01, 6.339701,1.174683e+00,3.085437e-01
"138","gene_0138",6.082783e+06,2.717578e+06,3.277354e+06,2.751868e+06,5.329283e+06,1.717633e+06,-2.320728e-01, 6.182823,1.942477e-01,6.705191e-01
"139","gene_0139",2.735437e+06,2.203843e+06,2.370254e+06,1.726920e+06,1.088803e+07,5.069001e+06, 1.313698e+00, 6.378806,4.628518e+00,6.200614e-02
"140","gene_0140",4.309598e+07,7.052786e+07,7.963228e+07,7.154115e+07,7.524279e+07,8.471593e+07, 3.073301e-01,10.474612,1.544485e+00,4.446721e-01
"141","gene_0141",7.138255e+06,4.089350e+06,6.330465e+06,2.163971e+06,2.242832e+06,2.687699e+06,-1.252506e+00, 6.349163,1.026983e+01,2.058611e-02
"142","gene_0142",5.171495e+06,4.610718e+06,4.992358e+06,2.956584e+06,2.929230e+06,5.360700e+06,-3.465116e-01, 6.431424,7.667483e-01,5.245047e-01
"143","gene_0143",1.969134e+06,1.767465e+06,2.820599e+06,5.704188e+06,2.080516e+06,3.636124e+06, 8.689634e-01, 5.929759,3.330160e+00,1.036581e-01
"144","gene_0144",2.223437e+06,2.506669e+06,3.528809e+06,4.161984e+06,2.287056e+06,3.742420e+06, 3.602246e-01, 5.955627,7.746688e-01,4.557407e-01
"145","gene_0145",3.322712e+06,4.953202e+06,9.223022e+05,3.243275e+06,4.608961e+06,2.849110e+06, 2.963743e-01, 6.047502,2.668095e-01,6.187905e-01
"146","gene_0146",1.305590e+06,2.750514e+06,3.113725e+06,4.173771e+06,2.738397e+06,5.340599e+06, 8.177070e-01, 6.029183,3.044375e+00,1.173457e-01
"147","gene_0147",2.981486e+06,3.503924e+06,3.981774e+06,4.950833e+06,1.653349e+06,2.358519e+06,-1.446727e-01, 6.031583,8.628513e-02,7.760761e-01
"148","gene_0148",4.632501e+06,4.551813e+06,4.300998e+06,2.862710e+06,3.871631e+06,2.016763e+06,-5.596706e-01, 6.208410,2.051710e+00,2.780225e-01
"149","gene_0149",2.185391e+06,1.027538e+06,1.810504e+06,3.083099e+06,1.657963e+06,1.912264e+06, 4.804065e-01, 5.297501,1.375103e+00,2.730921e-01
"150","gene_0150",6.072091e+07,5.651890e+07,3.499899e+07,6.014577e+07,5.280093e+07,6.929606e+07, 3.268441e-01,10.122366,2.083923e+00,4.371271e-01
"151","gene_0151",8.871263e+05,3.399050e+06,1.395615e+06,6.736324e+06,1.022515e+06,2.553687e+06, 9.567413e-01, 5.769914,1.623198e+00,2.367373e-01
"152","gene_0152",4.165447e+06,2.365723e+06,4.485975e+06,4.184199e+06,2.362626e+06,2.539565e+06,-2.081240e-01, 6.075246,2.222412e-01,6.757219e-01
"153","gene_0153",2.389554e+06,2.068810e+06,5.200396e+06,5.311324e+06,2.675728e+06,4.443669e+06, 4.140140e-01, 6.221132,6.579590e-01,4.396407e-01
"154","gene_0154",3.060572e+06,5.186249e+06,5.718162e+06,3.006388e+06,2.183044e+06,1.977217e+06,-9.010052e-01, 6.140774,4.496066e+00,7.710672e-02
"155","gene_0155",3.169975e+06,4.070713e+06,2.070833e+06,3.633882e+06,2.666046e+06,4.857559e+06, 3.247408e-01, 6.091016,6.249740e-01,5.158957e-01
"156","gene_0156",2.562535e+06,2.437313e+06,5.956775e+06,6.524609e+06,3.298915e+06,2.296651e+06, 2.121678e-01, 6.291961,1.350806e-01,7.223027e-01
"157","gene_0157",4.505388e+06,5.216859e+06,4.215084e+06,2.242490e+06,4.058317e+06,2.694638e+06,-5.772407e-01, 6.248160,2.274914e+00,2.680751e-01
