TF_name	fam_symbol	fam_description	numSequences	aln_len	aln_percent_identity	hgnc	pfam	numSpecies
TF354288	NaN	NaN	322 	2967	44.9884143166957	GRAP->NaN GRAPL->NaN SLA->NaN SLA2->NaN GRAP2->NaN GRB2->NaN	SH3_2->PF07653.12->11 SH3_9->PF14604.1->17 SH2->PF00017.19->97 SH3_1->PF00018.23->83 SHD1->PF03983.7->1 Pkinase_Tyr->PF07714.12->1 C1_1->PF00130.17->1	100
TF352575	NaN	NaN	12 	1665	60.866960246847	NaN		12
TF315957	NaN	NaN	152 	5714	51.7268299288382	TJP2->NaN TJP1->NaN	ZU5->PF00791.15->53 PDZ->PF00595.19->98 Guanylate_kin->PF00625.16->94 SH3_2->PF07653.12->88	86
TF323700	NaN	NaN	93 	623	57.1450120715704	YOD1->NaN	OTU->PF02338.14->97 ubiquitin->PF00240.18->3 Ubiquitin_2->PF14560.1->3 UN_NPL4->PF11543.3->1	90
TF351519	NaN	NaN	361 	2408	60.4651343496478	TPM3->NaN TPM1->NaN TPM4->NaN TPM2->NaN	Tropomyosin->PF00261.15->100 Tropomyosin_1->PF12718.2->11 Laminin_II->PF06009.7->1	103
TF332850	NaN	NaN	71 	1184	55.0571952306982	CAAP1->NaN	CAAP1->PF15335.1->97	67
TF105187	GSS	glutathione synthetase	113 	1582	47.3278084262945	GSS->NaN	GSH_synth_ATP->PF03917.12->100 GVQW->PF13900.1->1 GSH_synthase->PF03199.10->100 CARD->PF00619.16->1 Peptidase_C14->PF00656.17->1	106
TF327323	NaN	NaN	13 	2241	49.2764382358477	NaN	Sulfatase->PF00884.18->7	12
TF300009	NaN	NaN	570 	791	57.9536040862226	HPCA->NaN NCALD->NaN HPCAL4->NaN RCVRN->NaN NCS1->NaN HPCAL1->NaN VSNL1->NaN	EF-hand_6->PF13405.1->5 EF-hand_8->PF13833.1->17 EF-hand_5->PF13202.1->4 EF-hand_7->PF13499.1->92 EF-hand_1->PF00036.27->62 UQ_con->PF00179.21->1	108
TF343541	NaN	NaN	4 	254	63.8225255972696	NaN	Kdo->PF06293.9->25	4
TF352589	NaN	NaN	97 	934	47.1850809289233	ATOX1->NaN	HMA->PF00403.21->100	76
TF324911	NaN	NaN	137 	542	56.9767183572987	NDFIP2->NaN NDFIP1->NaN	DUF2370->PF10176.4->100	82
TF327359	NaN	NaN	56 	592	44.5409669599516	NaN	Cystatin->PF00031.16->92 MULE->PF10551.4->1 FLYWCH->PF04500.11->1	15
TF353091	NaN	NaN	5 	690	48.5632183908046	NaN	Cytochrom_B_N_2->PF13631.1->100 Cytochrom_B_C->PF00032.12->40 LAGLIDADG_1->PF00961.14->40 LAGLIDADG_2->PF03161.8->20	2
TF354305	NaN	NaN	6 	499	64.997062279671	NaN	zf-C2H2->PF00096.21->33	6
TF105202	ABCC4/5/11/12	ATP-binding cassette, sub-family C (CFTR/MRP), member 4/5/11/12	755 	12189	37.0861482130013	ABCC4->NaN ABCC12->NaN ABCC5->NaN	ABC_membrane->PF00664.18->92 ABC_tran->PF00005.22->97 SH3_2->PF07653.12->1 Rad1->PF02144.11->1 Pkinase->PF00069.20->1 cNMP_binding->PF00027.24->1 PigN->PF04987.9->1 HTH_28->PF13518.1->1 Transposase_21->PF02992.9->1 Transposase_1->PF01359.13->1 HTH_24->PF13412.1->1	109
TF314605	NaN	NaN	158 	3139	57.3451562187065	AP3B1->NaN AP3B2->NaN	SEEEED->PF14797.1->25 AP3B1_C->PF14796.1->89 DUF1308->PF07000.6->1 Adaptin_N->PF01602.15->100 TBCA->PF02970.11->1	104
TF327375	NaN	NaN	14 	1654	64.7277177651009	NaN		12
TF314555	NaN	NaN	100 	425	69.2844688506294	NAA38->NaN	LSM->PF01423.17->100 RRM_1->PF00076.17->1 Thiolase_N->PF00108.18->1	93
TF318770	NaN	NaN	389 	8091	39.4272753751042	RP1L1->NaN RP1->NaN DCLK3->NaN DCX->NaN DCLK2->NaN DCLK1->NaN	Pkinase->PF00069.20->57 DCX->PF03607.12->84 FHA->PF00498.21->1 FGF->PF00167.13->1 PLAT->PF01477.18->1	100
TF319631	NaN	NaN	8 	299	70.0755748512623	NaN		6
TF342682	NaN	NaN	14 	3245	68.3852521194035	NaN	Pkinase->PF00069.20->14	14
TF313713	NaN	NaN	97 	682	50.7373539583678	NGDN->NaN	Sas10_Utp3->PF04000.10->98	95
TF354336	NaN	NaN	2 	1298	22.64631043257	NaN	RWD->PF05773.17->50 Pkinase->PF00069.20->100 tRNA-synt_His->PF13393.1->50 HGTP_anticodon2->PF12745.2->50	2
TF353541	NaN	NaN	5 	518	76.3782959250381	NaN	Glypican->PF01153.14->20	5
TF316345	NaN	NaN	693 	1620	24.4170019700621	TSPAN3->NaN CD63->NaN TSPAN19->NaN TSPAN12->NaN TSPAN16->NaN	Tetraspannin->PF00335.15->100 Gla->PF00594.15->1	103
TF332387	NaN	NaN	96 	516	53.7467225816876	FAM101B->NaN FAM101A->NaN	FAM101->PF15068.1->98	56
TF340807	NaN	NaN	3 	123	38.0597014925373	NaN		3
TF300170	NaN	NaN	84 	425	44.4540698508787	MRPL9->NaN	Ribosomal_L9_N->PF01281.14->97	77
TF352983	NaN	NaN	3 	520	52.0286396181384	NaN	ERAP1_C->PF11838.3->33	3
TF106276	USP4/11/15/19	ubiquitin specific peptidase 4/11/15/19	253 	5334	45.1316092205961	USP15->NaN USP11->NaN USP19->NaN USP4->NaN	CS->PF04969.11->21 UCH->PF00443.24->100 zf-MYND->PF01753.13->24 USP7_C2->PF14533.1->9 DUSP->PF06337.7->66 Ubiquitin_3->PF14836.1->60 Rif1_N->PF12231.3->1	83
TF313261	NaN	NaN	238 	4656	50.6260002311767	PRKG2->NaN PRKG1->NaN	Pkinase->PF00069.20->98 cNMP_binding->PF00027.24->97 ABC_tran->PF00005.22->1 ABC_membrane->PF00664.18->1	102
TF315258	NaN	NaN	25 	844	43.3723649768443	NaN	Glutaredoxin->PF00462.19->88 DEP->PF00610.16->76 DUF547->PF04784.9->100	23
TF318944	NaN	NaN	157 	852	53.0958216582042	NXT2->NaN NXT1->NaN	NTF2->PF02136.15->96 EMP24_GP25L->PF01105.19->1	91
TF319027	NaN	NaN	8 	159	72.8372655777374	NaN		7
TF342917	NaN	NaN	82 	2244	60.2433483242372	PANK4->NaN	Pkinase->PF00069.20->1 Fumble->PF03630.9->80 DUF89->PF01937.14->100 ABC_membrane_2->PF06472.10->1	82
TF332521	NaN	NaN	31 	472	44.2615048021656	NaN	MaoC_dehydratas->PF01575.14->100 MaoC_dehydrat_N->PF13452.1->38 RNase_P_Rpp14->PF01900.14->6 SCP2->PF02036.12->3	26
TF343437	NaN	NaN	15 	1840	72.0398287400158	NaN	zf-H2C2_5->PF13909.1->26 zf-C2H2_4->PF13894.1->80 zf-C2H2->PF00096.21->6	14
TF300400	NaN	NaN	103 	1069	63.636149305234	MCM7->NaN	MCM_N->PF14551.1->96 MCM->PF00493.18->99	102
TF334519	NaN	NaN	27 	482	51.1472645206091	NaN	MHC_I->PF00129.13->100 C1-set->PF07654.10->92	8
TF312892	NaN	NaN	88 	1183	44.7415862916385	BBS1->NaN	BBS1->PF14779.1->98 ACBP->PF00887.14->1	85
TF351052	NaN	NaN	10 	513	47.9298513152878	NaN		10
TF300223	NaN	NaN	127 	242	83.6983682231383	RPL39L->NaN RPL39->NaN	Ribosomal_L39->PF00832.15->100 CHCH->PF06747.8->1	80
TF324661	NaN	NaN	151 	241	54.0361551426818	CISD1->NaN CISD2->NaN	MitoNEET_N->PF10660.4->86 zf-CDGSH->PF09360.5->96	100
TF325745	NaN	NaN	20 	441	56.8792893431177	NaN		20
TF353457	NaN	NaN	22 	883	37.6510107552797	NaN	Cellulase->PF00150.13->95	7
TF300747	NaN	NaN	141 	1950	52.5020266223202	NIT2->NaN	CN_hydrolase->PF00795.17->100 GST_N_3->PF13417.1->1	93
TF105781	USP30	ubiquitin specific protease 30	86 	1310	50.2825407587596	USP30->NaN	UCH->PF00443.24->100	85
TF336009	NaN	NaN	40 	2216	47.6308922611086	KNDC1->NaN	RasGEF_N->PF00618.15->77 RasGEF->PF00617.14->77	40
TF318793	NaN	NaN	5 	946	82.1000704721635	NaN		5
TF350882	NaN	NaN	5 	581	71.4223385689354	NaN	zf-H2C2_2->PF13465.1->100 KRAB->PF01352.22->80 zf-C2H2_4->PF13894.1->40 zf-C2H2->PF00096.21->60	5
TF106406	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	88 	4761	49.9553569986334	ARID2->NaN	RFX_DNA_binding->PF02257.10->48 ARID->PF01388.16->69	88
TF313878	NaN	NaN	182 	2564	57.5638497660971	GIPC2->NaN GIPC1->NaN GIPC3->NaN	PDZ->PF00595.19->90 Y_phosphatase->PF00102.22->1	98
TF331359	NaN	NaN	36 	371	77.5939056478246	THAP11->NaN	THAP->PF05485.7->91	36
TF339653	NaN	NaN	5 	189	74.7651006711409	TEX22->NaN		5
TF340395	NaN	NaN	48 	254	56.3636136791805	NaN	GVQW->PF13900.1->100	7
TF328520	NaN	NaN	94 	704	42.9623879384607	SPATA6->NaN SPATA6L->NaN	SPATA6->PF14909.1->98	58
TF343725	NaN	NaN	91 	562	39.8038790481681	C8orf74->NaN C16orf93->NaN	CLAMP->PF14769.1->98	55
TF336293	NaN	NaN	33 	796	47.6990201850929	HJURP->NaN	HJURP_C->PF12347.3->93 HJURP_mid->PF12346.3->93 Scm3->PF10384.4->66	33
TF324345	NaN	NaN	174 	1220	27.1329790881853	NaN	2OG-FeII_Oxy->PF03171.15->98 DIOX_N->PF14226.1->97 ATP-synt_Eps->PF04627.8->1 Tetraspannin->PF00335.15->1	40
TF341410	NaN	NaN	13 	919	56.1051004636785	NaN	RFPL3_antisense->PF10489.4->84	5
TF350166	NaN	NaN	12 	2674	63.6394015731839	NaN		12
TF101168	TD-60	TD-60	92 	737	59.8951739167904	RCC2->NaN	RCC1_2->PF13540.1->11 RCC1->PF00415.13->98	86
TF103040	POLR2E	polymerase (RNA) II (DNA directed) polypeptide E	111 	376	72.1734336434805	POLR2E->NaN	RNA_pol_Rpb5_N->PF03871.9->97 RNA_pol_Rpb5_C->PF01191.14->96	94
TF342480	NaN	NaN	2 	128	95.2755905511811	NaN		2
TF323957	NaN	NaN	89 	1089	40.8524375965112	UTP6->NaN	U3_assoc_6->PF08640.6->89	88
TF337528	NaN	NaN	34 	1508	68.7350733081298	ZNF428->NaN	Cadherin-like->PF12733.2->8	34
TF332375	NaN	NaN	38 	3422	54.0187946673189	TEX15->NaN	TEX15->PF15326.1->97 DUF3715->PF12509.3->5	38
TF319992	NaN	NaN	89 	427	41.6502979573383	HSCB->NaN	DnaJ->PF00226.26->93 HSCB_C->PF07743.8->98 Med10->PF09748.4->1	88
TF350664	NaN	NaN	10 	290	70.4239725391966	NaN		10
TF314479	NaN	NaN	100 	865	43.0122277048819	ASCC1->NaN	KH_3->PF13014.1->4 KH_1->PF00013.24->88 AKAP7_NLS->PF10469.4->98	94
TF320219	NaN	NaN	8 	1034	64.8754432011788	NaN		5
TF354346	NaN	NaN	35 	3394	37.3962248493294	NaN	Kinesin->PF00225.18->100 DUF3490->PF11995.3->22 zf-C3HC4_3->PF13920.1->5	15
TF313615	NaN	NaN	77 	1397	41.5183762678776	GDPGP1->NaN	MADF_DNA_bdg->PF10545.4->1 zf-C2H2->PF00096.21->1 zf-C2H2_4->PF13894.1->1 zf-H2C2_2->PF13465.1->1 zf-AD->PF07776.10->1	76
TF321339	NaN	NaN	16 	505	48.1132396474872	NaN		16
TF331037	NaN	NaN	67 	3024	55.0725880425534	ABI3BP->NaN	fn3->PF00041.16->89	55
TF331273	NaN	NaN	49 	738	70.5820126139682	NaN	Rieske->PF00355.21->55 Lactamase_B_3->PF13483.1->89 HTH_Tnp_Tc3_2->PF01498.13->2 Lactamase_B_2->PF12706.2->2	46
TF317562	NaN	NaN	231 	877	48.5482612770173	TPD52L3->NaN TPD52L2->NaN TPD52->NaN TPD52L1->NaN	MRP-S35->PF10246.4->2 TPD52->PF04201.10->100	96
TF354068	NaN	NaN	8 	107	67.9007483261126	NaN		8
TF343236	NaN	NaN	7 	233	45.5691888207226	NaN		6
TF101217	RAD50	DNA repair protein RAD50	103 	3853	41.4804706387662	RAD50->NaN	AAA_23->PF13476.1->77 Rad50_zn_hook->PF04423.9->82 AAA_15->PF13175.1->1 SbcCD_C->PF13558.1->94 SRCR->PF00530.13->1	98
TF323969	NaN	NaN	188 	3663	43.2090058642038	CSRNP2->NaN CSRNP1->NaN CSRNP3->NaN	HLH->PF00010.21->1	86
TF105539	PPP1R8	protein phosphatase 1, regulatory (inhibitor) subunit 8	103 	1855	61.8416973138904	PPP1R8->NaN	FHA->PF00498.21->95 TH1->PF04858.8->1 RVT_1->PF00078.22->1	98
TF106119	NP_057136.1	hypothetical protein LOC51018	90 	596	45.9888247687093	RRP15->NaN	Rrp15p->PF07890.7->98 DUF3186->PF11382.3->1	87
TF327215	NaN	NaN	13 	294	58.1213307240705	NaN		13
TF343510	NaN	NaN	11 	1121	40.7503933910307	NaN	GF_recep_IV->PF14843.1->36	11
TF314160	NaN	NaN	159 	1479	61.3087375008159	TMEM184B->NaN TMEM184A->NaN	Solute_trans_a->PF03619.11->100	103
TF106161	C6orf75	chromosome 6 open reading frame 75	105 	1511	50.8437053079271	TRMT11->NaN	Ribosomal_S8e->PF01201.17->1 UPF0020->PF01170.13->85 CENP-W->PF15510.1->1 Methyltransf_26->PF13659.1->6 FSH1->PF03959.8->1	100
TF331836	NaN	NaN	52 	557	72.2147924836231	ASB4->NaN	SOCS_box->PF07525.11->90 Ank_2->PF12796.2->100 Ank_3->PF13606.1->9 Ank->PF00023.25->13 Ank_4->PF13637.1->3	52
TF328447	NaN	NaN	195 	2994	47.7534570912456	TSHZ3->NaN TSHZ1->NaN TSHZ2->NaN	zf-C2H2_4->PF13894.1->23 zf-C2H2->PF00096.21->10 zf-C2H2_2->PF12756.2->97 zf-C2H2_6->PF13912.1->11	79
TF101039	CDK9	Cyclin-dependent kinase 9	135 	3098	59.4982325097344	CDK9->NaN	Pkinase->PF00069.20->100 Prenyltrans->PF00432.16->1 Prenyltrans_2->PF13249.1->1 DUF2352->PF09817.4->1	99
TF101508	EIF2B4	Eukaryotic translation initiation factor 2B, subunit 4 delta	95 	1552	54.1407281548167	EIF2B4->NaN	IF-2B->PF01008.12->100	91
TF335595	NaN	NaN	36 	900	44.4801174150346	AMH->NaN	TGF_beta->PF00019.15->94 AMH_N->PF04709.7->100	36
TF353937	NaN	NaN	5 	113	64.1169853768279	NaN		5
TF338664	NaN	NaN	6 	423	60	NaN	zf-H2C2_2->PF13465.1->100	6
TF300655	NaN	NaN	124 	1777	55.5788778556736	PREP->NaN	Peptidase_S9_N->PF02897.10->99 Peptidase_S9->PF00326.16->97 FAM195->PF14799.1->1	98
TF327266	NaN	NaN	38 	564	35.6844081249554	NaN	MADF_DNA_bdg->PF10545.4->97 BESS->PF02944.15->100	12
