ID,geneName,ORF,Entrez,fullName,uniprot,GO,EC,KO,pfam,organism
Q9Z2Z8,Dhcr7,,64191,7-dehydrocholesterol reductase,Q9Z2Z8,GO:0005829; GO:0030176; GO:0043231; GO:0005640; GO:0047598; GO:0050661; GO:0009918; GO:0001568; GO:0016132; GO:0030154; GO:0006695; GO:0030324; GO:0035264; GO:0009791; GO:0042127; GO:0045540; GO:0016126,1.3.1.21,K00213,,Rattus norvegicus
Q920L2,Sdha,,157074,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Q920L2,GO:0005743; GO:0005749; GO:0045282; GO:0009055; GO:0050660; GO:0008177; GO:0000104; GO:0006121; GO:0022904; GO:0006105; GO:0006099,1.3.5.1,K00234,,Rattus norvegicus
B0BMZ2,Sdhb,,298596,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",B0BMZ2,GO:0005743; GO:0031966; GO:0005749; GO:0005654; GO:0005886; GO:0051537; GO:0051538; GO:0051539; GO:0009055; GO:0046872; GO:0008177; GO:0048039; GO:0009060; GO:0022904; GO:0006105; GO:0006099,1.3.5.1,K00235,P21913|B0BMZ2|Q0QEZ3:2Fe-2S ferredoxin-type(56|135)+4Fe-4S ferredoxin-type(178|208),Rattus norvegicus
P21913,Sdhb,,298596,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",P21913,GO:0005743; GO:0031966; GO:0005749; GO:0005654; GO:0005886; GO:0051537; GO:0051538; GO:0051539; GO:0009055; GO:0046872; GO:0008177; GO:0048039; GO:0009060; GO:0022904; GO:0006105; GO:0006099,1.3.5.1,K00235,P21913|B0BMZ2|Q0QEZ3:2Fe-2S ferredoxin-type(56|135)+4Fe-4S ferredoxin-type(178|208),Rattus norvegicus
Q0QEZ3,Sdhb,,298596,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",Q0QEZ3,GO:0005743; GO:0031966; GO:0005749; GO:0005654; GO:0005886; GO:0051537; GO:0051538; GO:0051539; GO:0009055; GO:0046872; GO:0008177; GO:0048039; GO:0009060; GO:0022904; GO:0006105; GO:0006099,1.3.5.1,K00235,P21913|B0BMZ2|Q0QEZ3:2Fe-2S ferredoxin-type(56|135)+4Fe-4S ferredoxin-type(178|208),Rattus norvegicus
P28037,Aldh1l1,,64392,Cytosolic 10-formyltetrahydrofolate dehydrogenase,P28037,GO:0005829; GO:0032991; GO:0004029; GO:0033721; GO:0004030; GO:0016155; GO:0016742; GO:0044877; GO:0009258; GO:0006730; GO:0046654,1.5.1.6,K00289,P28037|Q5HZB2:Carrier(318|395),Rattus norvegicus
Q5HZB2,Aldh1l1,,64392,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Q5HZB2,GO:0005829; GO:0032991; GO:0004029; GO:0033721; GO:0004030; GO:0016155; GO:0016742; GO:0044877; GO:0009258; GO:0006730; GO:0046654,1.5.1.6,K00289,P28037|Q5HZB2:Carrier(318|395),Rattus norvegicus
Q5BJZ3,Nnt,,310378,Nicotinamide nucleotide transhydrogenase,Q5BJZ3,GO:0016021; GO:0005739; GO:0051287; GO:0008746; GO:0050661; GO:0045454; GO:0098869; GO:0006740; GO:0043066; GO:0001933; GO:0032364; GO:1903285; GO:0010918; GO:1902600; GO:0072593; GO:0033273,,K00323,Q5BJZ3:AlaDh_PNT_N(60|199)+AlaDh_PNT_C(208|372),Rattus norvegicus
Q6AYT0,Cryz,,362061,Quinone oxidoreductase,Q6AYT0,GO:0005829; GO:0003730; GO:0070402; GO:0003960; GO:0008270; GO:0051289; GO:0042178,1.6.5.5,K00344,,Rattus norvegicus
G3V6R5,Suox,rCG_42455,81805,Sulfite oxidase,G3V6R5,GO:0020037; GO:0030151; GO:0043546; GO:0016491; GO:0042128,,K00387,G3V6R5:Cytochrome b5 heme-binding(83|162),Rattus norvegicus
P14925,Pam,,25508,Peptidylglycine alpha-amidating monooxygenase,P14925,GO:0009986; GO:0005576; GO:0005615; GO:0016021; GO:0043005; GO:0043025; GO:0043204; GO:0048471; GO:0005886; GO:0030141; GO:0030667; GO:0005802; GO:0030658; GO:0005509; GO:0005507; GO:0031418; GO:0004598; GO:0004504; GO:0019901; GO:0008270; GO:0007417; GO:0062112; GO:0007507; GO:0007595; GO:0060173; GO:0001676; GO:0060135; GO:0042476; GO:0022602; GO:0001519; GO:0006518; GO:0018032; GO:0051260; GO:0019538; GO:0032956; GO:0050708; GO:0006357; GO:0046688; GO:0042493; GO:0032355; GO:0051384; GO:0001666; GO:0009268; GO:0009404,1.14.17.3; 4.3.2.5,K00504; K18200,,Rattus norvegicus
P70710,Pam,,25508,Peptidylglycine alpha-amidating monooxygenase,P70710,GO:0009986; GO:0005576; GO:0005615; GO:0016021; GO:0043005; GO:0043025; GO:0043204; GO:0048471; GO:0005886; GO:0030141; GO:0030667; GO:0005802; GO:0030658; GO:0005509; GO:0005507; GO:0031418; GO:0004598; GO:0004504; GO:0019901; GO:0008270; GO:0007417; GO:0062112; GO:0007507; GO:0007595; GO:0060173; GO:0001676; GO:0060135; GO:0042476; GO:0022602; GO:0001519; GO:0006518; GO:0018032; GO:0051260; GO:0019538; GO:0032956; GO:0050708; GO:0006357; GO:0046688; GO:0042493; GO:0032355; GO:0051384; GO:0001666; GO:0009268; GO:0009404,1.14.17.3; 4.3.2.5,K00504; K18200,,Rattus norvegicus
Q64616,Pam,,25508,Peptidylglycine alpha-amidating monooxygenase,Q64616,GO:0009986; GO:0005576; GO:0005615; GO:0016021; GO:0043005; GO:0043025; GO:0043204; GO:0048471; GO:0005886; GO:0030141; GO:0030667; GO:0005802; GO:0030658; GO:0005509; GO:0005507; GO:0031418; GO:0004598; GO:0004504; GO:0019901; GO:0008270; GO:0007417; GO:0062112; GO:0007507; GO:0007595; GO:0060173; GO:0001676; GO:0060135; GO:0042476; GO:0022602; GO:0001519; GO:0006518; GO:0018032; GO:0051260; GO:0019538; GO:0032956; GO:0050708; GO:0006357; GO:0046688; GO:0042493; GO:0032355; GO:0051384; GO:0001666; GO:0009268; GO:0009404,1.14.17.3; 4.3.2.5,K00504; K18200,,Rattus norvegicus
Q64668,Pam,,25508,Peptidylglycine alpha-amidating monooxygenase,Q64668,GO:0009986; GO:0005576; GO:0005615; GO:0016021; GO:0043005; GO:0043025; GO:0043204; GO:0048471; GO:0005886; GO:0030141; GO:0030667; GO:0005802; GO:0030658; GO:0005509; GO:0005507; GO:0031418; GO:0004598; GO:0004504; GO:0019901; GO:0008270; GO:0007417; GO:0062112; GO:0007507; GO:0007595; GO:0060173; GO:0001676; GO:0060135; GO:0042476; GO:0022602; GO:0001519; GO:0006518; GO:0018032; GO:0051260; GO:0019538; GO:0032956; GO:0050708; GO:0006357; GO:0046688; GO:0042493; GO:0032355; GO:0051384; GO:0001666; GO:0009268; GO:0009404,1.14.17.3; 4.3.2.5,K00504; K18200,,Rattus norvegicus
F2W8B0,Comt,rCG_36721,24267,Catechol-O-methyltransferase,F2W8B0,GO:0043231; GO:0016206; GO:0000287; GO:0016036; GO:0042420; GO:0042135,,K00545,,Rattus norvegicus
Q5XI85,Amt,rCG_25792,306586,Aminomethyltransferase,Q5XI85,GO:0005739; GO:0004047; GO:0008483; GO:0019464,2.1.2.10,K00605,Q5XI85:GCV_T(38|290)+GCV_T_C(318|395),Rattus norvegicus
D3Z9J8,Sat2,rCG_35524,360547,"Spermidine/spermine N1-acetyl transferase 2 (Predicted), isoform CRA_a",D3Z9J8,GO:0004145; GO:0042802; GO:0008080; GO:0019809; GO:0046204; GO:0032920; GO:0032918; GO:0032919,,K00657,D3Z9J8:N-acetyltransferase(4|166),Rattus norvegicus
D4A8N1,Dpm1,rCG_32280,296394,Dolichol-phosphate mannosyltransferase subunit 1,D4A8N1,GO:0005789; GO:0043231; GO:0043178; GO:0004582; GO:0005537; GO:0019348; GO:0019673; GO:0006506; GO:0035269,2.4.1.83,K00721,D4A8N1:Glyco_trans_2-like(28|198),Rattus norvegicus
Q99MI5,LOC100912604,,100912604; 84596,Spermidine synthase,Q99MI5,GO:0004766; GO:0006596; GO:0008295,,K00797,Q99MI5:PABS(18|253),Rattus norvegicus
M0R959,Mmab,,687861,Corrinoid adenosyltransferase,M0R959,GO:0008817; GO:0031419,2.5.1.17,K00798,M0R959:Cob_adeno_trans(52|220),Rattus norvegicus
B6DYQ4,Mgst1,rCG_29562,171341,Microsomal glutathione S-transferase,B6DYQ4,GO:0016021; GO:0005739; GO:0004602; GO:0004364; GO:0071449,,K00799,,Rattus norvegicus
Q5RKH2,Galk1,rCG_35086,287835,Galactokinase 1,Q5RKH2,GO:0005737; GO:0005829; GO:0005524; GO:0004335; GO:0005534; GO:0046835; GO:0019402; GO:0033499; GO:0006012; GO:0061623,,K00849,Q5RKH2:GalKase_gal_bdg(19|67)+GHMP_kinases_N(128|193)+GHMP_kinases_C(293|362),Rattus norvegicus
P49620,Dgkg,,25666,Diacylglycerol kinase gamma,P49620,GO:0005886; GO:0005524; GO:0005509; GO:0004143; GO:0003951; GO:0046339; GO:0046486; GO:0035556; GO:0046834; GO:0048666; GO:0007205,2.7.1.107,K00901,P49620:EF-hand 1(172|207)+EF-hand 2(217|252)+DAGKc(427|561),Rattus norvegicus
Q5XIV1,Pgk2,rCG_43578,316265,Phosphoglycerate kinase,Q5XIV1,GO:0005829; GO:0035686; GO:0043531; GO:0005524; GO:0004618; GO:0030317; GO:0006094; GO:0006096; GO:1903862,2.7.2.3,K00927,,Rattus norvegicus
P19804,Nme2,,83782,Nucleoside diphosphate kinase B,P19804,GO:0071944; GO:0005737; GO:0030027; GO:0031966; GO:0005634; GO:0048471; GO:0001726; GO:0005524; GO:0003677; GO:0008144; GO:0019899; GO:0005504; GO:0051880; GO:0019003; GO:0019215; GO:0046872; GO:0004550; GO:0004673; GO:0004674; GO:0003713; GO:0007189; GO:0071398; GO:0071333; GO:0034599; GO:0006241; GO:0006183; GO:0007229; GO:0043066; GO:0002762; GO:0006165; GO:0050679; GO:0045618; GO:0010976; GO:0045944; GO:0045893; GO:0046777; GO:0051259; GO:0045682; GO:0060416; GO:0006228,2.7.4.6; 2.7.13.3,K00940,,Rattus norvegicus
D4A746,Gmppb,rCG_25921,363145,GDP-mannose pyrophosphorylase B,D4A746,GO:0005737; GO:0016779; GO:0009298,,K00966,D4A746:NTP_transferase(2|228),Rattus norvegicus
Q5XIC1,Gmppa,,501167,Mannose-1-phosphate guanyltransferase alpha,Q5XIC1,GO:0005829; GO:0004475; GO:0009058,,K00966,,Rattus norvegicus
P19836,Pcyt1a,,140544,Choline-phosphate cytidylyltransferase A,P19836,GO:0005737; GO:0005829; GO:0005783; GO:0005789; GO:0019898; GO:0042587; GO:0005635; GO:0005886; GO:0005516; GO:0004105; GO:0008289; GO:0031210; GO:0042803; GO:0006657; GO:0006656,2.7.7.15,K00968,,Rattus norvegicus
F7EZK1,Trnt1,,312616,tRNA nucleotidyl transferase 1,F7EZK1,GO:0005739; GO:0052929; GO:0000049; GO:1990180; GO:0001680,,K00974,Q4VBH2|F7EZK1:PolyA_pol(59|182)+PolyA_pol_RNAbd(216|267),Rattus norvegicus
Q4VBH2,Trnt1,,312616,tRNA nucleotidyl transferase 1,Q4VBH2,GO:0005739; GO:0052929; GO:0000049; GO:1990180; GO:0001680,,K00974,Q4VBH2|F7EZK1:PolyA_pol(59|182)+PolyA_pol_RNAbd(216|267),Rattus norvegicus
A0JPL6,Cds1,,81925,Phosphatidate cytidylyltransferase 1,A0JPL6,GO:0005789; GO:0016021; GO:0004605; GO:0016024; GO:0006661,2.7.7.41,K00981,,Rattus norvegicus
O35052,Cds1,,81925,Phosphatidate cytidylyltransferase 1,O35052,GO:0005789; GO:0016021; GO:0004605; GO:0016024; GO:0006661,2.7.7.41,K00981,,Rattus norvegicus
O88208,Cds1,,81925,Phosphatidate cytidylyltransferase 1,O88208,GO:0005789; GO:0016021; GO:0004605; GO:0016024; GO:0006661,2.7.7.41,K00981,,Rattus norvegicus
P97532,Mpst,,192172,3-mercaptopyruvate sulfurtransferase,P97532,GO:0030054; GO:0005737; GO:0005829; GO:0005739; GO:0043005; GO:0045202; GO:0016784; GO:0042802; GO:0004792; GO:0070814; GO:0001822; GO:0001889; GO:0021510; GO:0019346,2.8.1.2,K01011,P97532:Rhodanese 1(25|144)+Rhodanese 2(174|288),Rattus norvegicus
B5DFK7,Abhd17c,,361601,Alpha/beta hydrolase domain-containing protein 17C,B5DFK7,GO:0030054; GO:0043197; GO:0098978; GO:0014069; GO:0045211; GO:0055038; GO:0008474; GO:1902817; GO:1905668; GO:0002084; GO:0018345; GO:0099175,3.1.2.22,K01076,,Rattus norvegicus
Q3B7U5,Abhd17c,,361601,Alpha/beta hydrolase domain-containing protein 17C,Q3B7U5,GO:0030054; GO:0043197; GO:0098978; GO:0014069; GO:0045211; GO:0055038; GO:0008474; GO:1902817; GO:1905668; GO:0002084; GO:0018345; GO:0099175,3.1.2.22,K01076,,Rattus norvegicus
Q5M819,Psph,,304429,Phosphoserine phosphatase,Q5M819,GO:0005737; GO:0043005; GO:0005509; GO:0000287; GO:0016791; GO:0004647; GO:0042803; GO:0016311; GO:0006564; GO:0006563; GO:0009612; GO:0031667; GO:0033574,3.1.3.3,K01079,,Rattus norvegicus
F8WG43,Nt5c3b,,360629,7-methylguanosine phosphate-specific 5'-nucleotidase,F8WG43,GO:0005737; GO:0016787; GO:0000287; GO:0000166; GO:0016311; GO:0009117,3.1.3.91; 3.1.3.5,K01081,,Rattus norvegicus
Q6AYP7,Nt5c3b,,360629,7-methylguanosine phosphate-specific 5'-nucleotidase,Q6AYP7,GO:0005737; GO:0016787; GO:0000287; GO:0000166; GO:0016311; GO:0009117,3.1.3.91; 3.1.3.5,K01081,,Rattus norvegicus
D3ZZX1,Inpp5a,rCG_48189,365382,Inositol polyphosphate-5-phosphatase A,D3ZZX1,GO:0004445; GO:0042731; GO:0046855; GO:0048016; GO:0046856,,K01106,D3ZZX1:IPPc(8|400),Rattus norvegicus
O54857,Pten,rCG_47874,50557,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",O54857,GO:0016324; GO:0005737; GO:0009898; GO:0005829; GO:0043197; GO:0005739; GO:0035749; GO:0043005; GO:0005634; GO:0016605; GO:0099524; GO:0045211; GO:0043220; GO:0010997; GO:0042802; GO:0051717; GO:0035255; GO:0030165; GO:0016314; GO:0051800; GO:0004438; GO:0005161; GO:0004722; GO:1990782; GO:0004725; GO:0008138; GO:1990381; GO:0030534; GO:0007568; GO:0001525; GO:0060070; GO:0048738; GO:0071257; GO:0071361; GO:0071456; GO:0032869; GO:1990314; GO:0044320; GO:1990090; GO:0032286; GO:0021955; GO:0060997; GO:0021542; GO:0043542; GO:0048853; GO:0046855; GO:0045475; GO:0060292; GO:0060291; GO:0060179; GO:0042711; GO:0007613; GO:0033555; GO:0043066; GO:0048681; GO:0050771; GO:0060044; GO:0090344; GO:0008285; GO:0045792; GO:0045736; GO:0061002; GO:0050680; GO:0010719; GO:0070373; GO:0090394; GO:0051895; GO:2000134; GO:0051548; GO:0031642; GO:0010977; GO:0050765; GO:1901017; GO:0051898; GO:0090071; GO:2000272; GO:2000808; GO:1904706; GO:1903690; GO:0031175; GO:0007270; GO:0046856; GO:0048008; GO:0043065; GO:0010666; GO:0008284; GO:0051091; GO:0070374; GO:2000463; GO:0010628; GO:0045666; GO:1903984; GO:1904668; GO:2000060; GO:0097107; GO:0060134; GO:0097105; GO:0060736; GO:0006470; GO:0043491; GO:0050821; GO:0002902; GO:0033032; GO:0032228; GO:0014823; GO:0046685; GO:0033198; GO:0042493; GO:0032355; GO:0045471; GO:0009749; GO:0010035; GO:0007584; GO:0014070; GO:0010033; GO:0010043; GO:0060024; GO:0035176; GO:0060074,3.1.3.16; 3.1.3.48; 3.1.3.67,K01110,O54857:Phosphatase tensin-type(14|185)+C2 tensin-type(190|350),Rattus norvegicus
B4F7E2,Arsb,,25227,Arylsulfatase B,B4F7E2,GO:0003943; GO:0061580; GO:0010632,,K01135,B4F7E2:Sulfatase(40|357),Rattus norvegicus
D3ZCH6,Rnaset2,rCG_44970,292306,RCG44970,D3ZCH6,GO:0005576; GO:0004521; GO:0033897; GO:0003723; GO:0006401,,K01166,,Rattus norvegicus
P07687,Ephx1,,25315,Epoxide hydrolase 1,P07687,GO:0005789; GO:0016021; GO:0043231; GO:0016020; GO:0005886; GO:0033961; GO:0019899; GO:0004301; GO:0019439; GO:0071385; GO:0071310; GO:0034312; GO:0097176; GO:0001889; GO:0009636,3.3.2.9,K01253,,Rattus norvegicus
D3ZE72,Metap1,rCG_29038,295500,Methionine aminopeptidase,D3ZE72,GO:0046872; GO:0070006; GO:0070084,3.4.11.18,K01265,D3ZE72:zf-C6H2(9|54)+Peptidase_M24(137|365),Rattus norvegicus
D4A9Q5,Cpm,rCG_48751,314855,Carboxypeptidase M,D4A9Q5,GO:0005615; GO:0004181; GO:0008270; GO:0006518; GO:0016485,,K01296,D4A9Q5:Peptidase_M14(74|96)+Peptidase_M14(190|200),Rattus norvegicus
D3ZWA1,Mindy2,,363089,MINDY lysine 48 deubiquitinase 2,D3ZWA1,GO:0005829; GO:0005654; GO:0016807; GO:0071795; GO:0036435; GO:0071796; GO:0070530; GO:1990380; GO:0004843; GO:0071108,,K01309,D3ZWA1:MINDY_DUB(249|371),Rattus norvegicus
P28841,Pcsk2,,25121,Neuroendocrine convertase 2,P28841,GO:0030425; GO:0005615; GO:0016020; GO:0043005; GO:0043025; GO:0005634; GO:0043204; GO:0034774; GO:0030133; GO:0044877; GO:0004252; GO:0034230; GO:0030070; GO:0034231; GO:0007399; GO:0016486; GO:0016540; GO:0016485; GO:0006508,3.4.21.94,K01360,P28841:Peptidase S8(128|452)+P/Homo B(460|596),Rattus norvegicus
Q6AZ03,Aspa,,79251,Aspartoacylase,Q6AZ03,GO:0005737; GO:0005829; GO:0005634; GO:0019807; GO:0016811; GO:0016788; GO:0042802; GO:0046872; GO:0022010; GO:0048714,3.5.1.15,K01437,,Rattus norvegicus
Q9R1T5,Aspa,,79251,Aspartoacylase,Q9R1T5,GO:0005737; GO:0005829; GO:0005634; GO:0019807; GO:0016811; GO:0016788; GO:0042802; GO:0046872; GO:0022010; GO:0048714,3.5.1.15,K01437,,Rattus norvegicus
P97608,Oplah,,116684,5-oxoprolinase,P97608,GO:0005829; GO:0017168; GO:0005524; GO:0006749,3.5.2.9,K01469,,Rattus norvegicus
Q5U3Z8,Oplah,,116684,5-oxoprolinase,Q5U3Z8,GO:0005829; GO:0017168; GO:0005524; GO:0006749,3.5.2.9,K01469,,Rattus norvegicus
Q6MG60,Ddah2,,294239,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",Q6MG60,GO:0005829; GO:0005815; GO:0005739; GO:0016597; GO:0016403; GO:0006527; GO:0006525; GO:0000052; GO:0045429,3.5.3.18,K01482,,Rattus norvegicus
Q80Z26,Entpd3,rCG_25968,316077,Ectonucleoside triphosphate diphosphohydrolase 3,Q80Z26,GO:0016021; GO:0016787,,K01510,,Rattus norvegicus
Q6AYG3,Prune1,,310664,Exopolyphosphatase PRUNE1,Q6AYG3,GO:0005737; GO:0005829; GO:0005925; GO:0005634; GO:0004309; GO:0004427; GO:0046872; GO:0016791; GO:0015631; GO:0006798; GO:0031113; GO:0050767,3.6.1.1,K01514,,Rattus norvegicus
D3ZW55,Itpa,,311422,Inosine triphosphate pyrophosphatase,D3ZW55,GO:0005829; GO:0035870; GO:0042802; GO:0046872; GO:0035529; GO:0047429; GO:0000166; GO:0051276; GO:0009204; GO:0006193; GO:0009143,3.6.1.9,K01519,,Rattus norvegicus
P51583,Paics,,140946,Multifunctional protein ADE2,P51583,GO:0005829; GO:0043727; GO:0005524; GO:0004638; GO:0004639; GO:0006189; GO:0000082,6.3.2.6; 4.1.1.21,K01587,,Rattus norvegicus
B2RYG2,Pck2,,361042,Pck2 protein,B2RYG2,GO:0005829; GO:0005739; GO:0005525; GO:0030145; GO:0004613; GO:0004611; GO:0071549; GO:0071333; GO:0032869; GO:0071356; GO:0006094; GO:0046327; GO:0070365; GO:0006116; GO:0006107; GO:0032024; GO:0019543; GO:0006090; GO:0071548; GO:0033993; GO:0032496; GO:0042594,,K01596,B2RYG2:PEPCK_N(69|297)+PEPCK_GTP(301|660),Rattus norvegicus
P09117,Aldoc,,24191,Fructose-bisphosphate aldolase C,P09117,GO:0030424; GO:0005737; GO:0005829; GO:0099524; GO:0004332; GO:0007568; GO:0031100; GO:0006915; GO:0030388; GO:0006096; GO:0051290; GO:0051289; GO:0001666; GO:0014070; GO:0010243,4.1.2.13,K01623,,Rattus norvegicus
Q54AI4,Aldoc,,24191,Fructose-bisphosphate aldolase C,Q54AI4,GO:0030424; GO:0005737; GO:0005829; GO:0099524; GO:0004332; GO:0007568; GO:0031100; GO:0006915; GO:0030388; GO:0006096; GO:0051290; GO:0051289; GO:0001666; GO:0014070; GO:0010243,4.1.2.13,K01623,,Rattus norvegicus
Q63037,Aldoc,,24191,Fructose-bisphosphate aldolase C,Q63037,GO:0030424; GO:0005737; GO:0005829; GO:0099524; GO:0004332; GO:0007568; GO:0031100; GO:0006915; GO:0030388; GO:0006096; GO:0051290; GO:0051289; GO:0001666; GO:0014070; GO:0010243,4.1.2.13,K01623,,Rattus norvegicus
P51607,Renbp,,81759,N-acylglucosamine 2-epimerase,P51607,GO:0005524; GO:0004857; GO:0050121; GO:0030414; GO:0042803; GO:0017076; GO:0006044; GO:0006051; GO:0019262; GO:0043086; GO:0010951,5.1.3.8,K01787,,Rattus norvegicus
P22057,Ptgds,,25526,Prostaglandin-H2 D-isomerase,P22057,GO:0005576; GO:0005615; GO:0005794; GO:0005635; GO:0031965; GO:0048471; GO:0005791; GO:0004667; GO:0005501; GO:0036094; GO:2000255; GO:0001516; GO:0045187; GO:0051384,5.3.99.2,K01830,,Rattus norvegicus
Q5I0L3,Yars2,,287924,"Tyrosine--tRNA ligase, mitochondrial",Q5I0L3,GO:0005829; GO:0005759; GO:0005739; GO:0016604; GO:0005524; GO:0042803; GO:0000049; GO:0072545; GO:0004831; GO:0070184; GO:0043039,6.1.1.1,K01866,,Rattus norvegicus
F1LQC0,Lars,,291624,Leucyl-tRNA synthetase,F1LQC0,GO:0017101; GO:0005829; GO:0005783; GO:0005764; GO:0016604; GO:0002161; GO:0005524; GO:0004819; GO:0005096; GO:0004823; GO:0071233; GO:1990253; GO:0006425; GO:0006429; GO:0010507; GO:1904263; GO:0006622; GO:0008361,,K01869,Q5PPJ6|F1LQC0:tRNA-synt_1(20|105)+tRNA-synt_1(181|757)+Anticodon_1(796|912),Rattus norvegicus
Q5PPJ6,Lars,,291624,Leucyl-tRNA synthetase,Q5PPJ6,GO:0017101; GO:0005829; GO:0005783; GO:0005764; GO:0016604; GO:0002161; GO:0005524; GO:0004819; GO:0005096; GO:0004823; GO:0071233; GO:1990253; GO:0006425; GO:0006429; GO:0010507; GO:1904263; GO:0006622; GO:0008361,,K01869,Q5PPJ6|F1LQC0:tRNA-synt_1(20|105)+tRNA-synt_1(181|757)+Anticodon_1(796|912),Rattus norvegicus
G3V7G8,Gars,rCG_52516,297113,Glycine--tRNA ligase,G3V7G8,GO:0030424; GO:0005829; GO:0070062; GO:0030141; GO:0005524; GO:0004081; GO:0004820; GO:0042802; GO:0046983; GO:0015966; GO:0006426,,K01880,G3V7G8:WHEP-TRS(52|108)+AA_TRNA_LIGASE_II(251|597),Rattus norvegicus
G3V9U0,Acss2,rCG_37495,311569,Acyl-CoA synthetase short-chain family member 2,G3V9U0,GO:0005737; GO:0005829; GO:0016021; GO:0005654; GO:0003987; GO:0016208; GO:0019413; GO:0019427; GO:0019542,,K01895,G3V9U0:ACAS_N(47|107)+AMP-binding(115|574)+AMP-binding_C(583|661),Rattus norvegicus
O35547,Acsl4,,113976,Long-chain-fatty-acid--CoA ligase 4,O35547,GO:0005811; GO:0044233; GO:0031966; GO:0043025; GO:0005777; GO:0003996; GO:0047676; GO:0005524; GO:0102391; GO:0004467; GO:0031957; GO:0060996; GO:0060136; GO:0006631; GO:0015908; GO:0035338; GO:0070672; GO:0007584; GO:0019432,6.2.1.3,K01897,,Rattus norvegicus
Q9JMI1,Aacs,,65984,Acetoacetyl-CoA synthetase,Q9JMI1,GO:0005829; GO:0030729; GO:0005524; GO:0047760; GO:0060612; GO:0071397; GO:0071333; GO:0071394; GO:0006631; GO:0001889; GO:0032024; GO:0042493; GO:0045471; GO:0007584; GO:0034201; GO:0014070; GO:0010243; GO:0014074; GO:0042594; GO:0050872,6.2.1.16,K01907,,Rattus norvegicus
