A,catalog,counts
Metabolism,"K11263  bccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",1
Metabolism,K00645  fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],3
Metabolism,K00648  fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],1
Metabolism,K00647  fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],1
Metabolism,K09458  fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179],1
Metabolism,K00059  fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],3
Metabolism,K02372  fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],2
Metabolism,K00208  fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],1
Metabolism,"K00209  fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]",2
Metabolism,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",1
Metabolism,"K00632  fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]",1
Metabolism,K01825  fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],1
Metabolism,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],2
Metabolism,"K01692  paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]",1
Metabolism,K06445  fadE; acyl-CoA dehydrogenase [EC:1.3.99.-],1
Metabolism,"K01897  ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",1
Metabolism,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]",2
Metabolism,"K01803  TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]",2
Metabolism,"K00134  GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]",2
Metabolism,"K00927  PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",2
Metabolism,"K15633  gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",2
Metabolism,"K01689  ENO, eno; enolase [EC:4.2.1.11]",2
Metabolism,"K00873  PK, pyk; pyruvate kinase [EC:2.7.1.40]",2
Metabolism,"K01624  FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",2
Metabolism,"K00615  E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",3
Metabolism,"K00616  E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]",1
Metabolism,"K01783  rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]",3
Metabolism,K01807  rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6],2
Metabolism,"K00948  PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",2
Metabolism,K01703  leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35],1
Metabolism,K01704  leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35],1
Metabolism,K00052  leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85],1
Metabolism,"K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",2
Metabolism,"K01653  E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]",1
Metabolism,K00053  ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],1
Metabolism,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]",2
Metabolism,K01649  leuA; 2-isopropylmalate synthase [EC:2.3.3.13],1
Metabolism,"K01754  E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]",1
Metabolism,"K01752  E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]",4
Metabolism,"K00600  glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]",2
Metabolism,"K00058  serA, PHGDH; D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]",1
Metabolism,"K00831  serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]",2
Metabolism,"K01079  serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]",1
Metabolism,K02203  thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39],1
Metabolism,K00640  cysE; serine O-acetyltransferase [EC:2.3.1.30],1
Metabolism,K01738  cysK; cysteine synthase A [EC:2.5.1.47],1
Metabolism,K12339  cysM; cysteine synthase B [EC:2.5.1.47],1
Metabolism,K00928  lysC; aspartate kinase [EC:2.7.2.4],2
Metabolism,K00133  asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],2
Metabolism,K00003  E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3],1
Metabolism,K02204  thrB2; homoserine kinase type II [EC:2.7.1.39],1
Metabolism,K01733  thrC; threonine synthase [EC:4.2.3.1],1
Metabolism,K14260  alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],1
Metabolism,K00812  aspB; aspartate aminotransferase [EC:2.6.1.1],2
Metabolism,"K01915  glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",1
Metabolism,K00264  GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14],1
Metabolism,K00265  gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14],2
Metabolism,K00266  gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14],1
Metabolism,"K00836  ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]",1
Metabolism,K01760  metC; cystathionine beta-lyase [EC:4.4.1.8],1
Metabolism,"K00548  metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]",1
Metabolism,K00549  metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],1
Metabolism,K00789  metK; S-adenosylmethionine synthetase [EC:2.5.1.6],2
Metabolism,"K01243  mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]",2
Metabolism,"K01647  CS, gltA; citrate synthase [EC:2.3.3.1]",1
Metabolism,"K01681  ACO, acnA; aconitate hydratase [EC:4.2.1.3]",2
Metabolism,K01682  acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],1
Metabolism,"K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",2
Metabolism,K00620  argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],1
Metabolism,K14682  argAB; amino-acid N-acetyltransferase [EC:2.3.1.1],1
Metabolism,K00930  argB; acetylglutamate kinase [EC:2.7.2.8],1
Metabolism,K00145  argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],1
Metabolism,K00821  argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17],1
Metabolism,"K01940  argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]",1
Metabolism,"K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",1
Metabolism,K00931  proB; glutamate 5-kinase [EC:2.7.2.11],1
Metabolism,K00147  proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],1
Metabolism,K00286  proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2],2
Metabolism,"K01750  E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]",1
Metabolism,K01714  dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],4
Metabolism,K00215  dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],2
Metabolism,"K00674  dapD; 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117]",2
Metabolism,K14267  dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17],1
Metabolism,K01439  dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18],2
Metabolism,K01778  dapF; diaminopimelate epimerase [EC:5.1.1.7],2
Metabolism,K01586  lysA; diaminopimelate decarboxylase [EC:4.1.1.20],1
Metabolism,K00765  hisG; ATP phosphoribosyltransferase [EC:2.4.2.17],1
Metabolism,K02502  hisZ; ATP phosphoribosyltransferase regulatory subunit,1
Metabolism,K11755  hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19],1
Metabolism,K01814  hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16],1
Metabolism,K02500  hisF; cyclase [EC:4.1.3.-],1
Metabolism,K02501  hisH; glutamine amidotransferase [EC:2.4.2.-],1
Metabolism,K01693  hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19],1
Metabolism,K00817  hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9],1
Metabolism,K00013  hisD; histidinol dehydrogenase [EC:1.1.1.23],1
Metabolism,"K01626  E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]",3
Metabolism,K01735  aroB; 3-dehydroquinate synthase [EC:4.2.3.4],3
Metabolism,K03785  aroD; 3-dehydroquinate dehydratase I [EC:4.2.1.10],2
Metabolism,"K03786  aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]",1
Metabolism,K00014  aroE; shikimate dehydrogenase [EC:1.1.1.25],2
Metabolism,"K00891  E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]",3
Metabolism,K00800  aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],2
Metabolism,K01736  aroC; chorismate synthase [EC:4.2.3.5],2
Metabolism,K01657  trpE; anthranilate synthase component I [EC:4.1.3.27],1
Metabolism,K01658  trpG; anthranilate synthase component II [EC:4.1.3.27],1
Metabolism,K00766  trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18],1
Metabolism,K01817  trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24],1
Metabolism,K01609  trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48],1
Metabolism,K01695  trpA; tryptophan synthase alpha chain [EC:4.2.1.20],1
Metabolism,K01696  trpB; tryptophan synthase beta chain [EC:4.2.1.20],1
Metabolism,K06001  trpB; tryptophan synthase beta chain [EC:4.2.1.20],1
Metabolism,K04093  pheA1; chorismate mutase [EC:5.4.99.5],1
Metabolism,K14170  pheA; chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51],1
Metabolism,K00832  tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57],1
Metabolism,K00220  tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12],1
Metabolism,"K05549  benA-xylX; benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]",1
Metabolism,"K05550  benB-xylY; benzoate/toluate 1,2-dioxygenase subunit beta [EC:1.14.12.10 1.14.12.-]",1
Metabolism,"K05784  benC-xylZ; benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]",1
Metabolism,K05783  benD-xylL; dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-],1
Metabolism,"K03381  catA; catechol 1,2-dioxygenase [EC:1.13.11.1]",1
Metabolism,K01856  catB; muconate cycloisomerase [EC:5.5.1.1],1
Metabolism,K03464  catC; muconolactone D-isomerase [EC:5.3.3.4],1
Metabolism,K01055  pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24],2
Metabolism,"K00448  pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]",1
Metabolism,"K00449  pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]",1
Metabolism,"K01857  pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]",1
Metabolism,K01607  pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44],2
Metabolism,K00529  hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],1
Metabolism,K00481  pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2],2
Metabolism,"K01826  hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]",1
Metabolism,K13954  yiaY; alcohol dehydrogenase [EC:1.1.1.1],1
Metabolism,"K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",2
Metabolism,"K01810  GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]",1
Metabolism,"K21071  pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]",1
Metabolism,"K03841  FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",1
Metabolism,"K01624  FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",2
Metabolism,"K01803  TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]",2
Metabolism,"K00134  GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]",2
Metabolism,"K00927  PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",2
Metabolism,"K15633  gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",2
Metabolism,"K01689  ENO, eno; enolase [EC:4.2.1.11]",2
Metabolism,"K00873  PK, pyk; pyruvate kinase [EC:2.7.1.40]",2
Metabolism,K00163  aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],2
Metabolism,"K00161  PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]",3
Metabolism,"K00162  PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]",2
Metabolism,"K00627  DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]",4
Metabolism,"K00382  DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",3
Metabolism,"K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",2
Metabolism,K13954  yiaY; alcohol dehydrogenase [EC:1.1.1.1],1
Metabolism,K00128  ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],1
Metabolism,K00138  aldB; aldehyde dehydrogenase [EC:1.2.1.-],1
Metabolism,"K01785  galM, GALM; aldose 1-epimerase [EC:5.1.3.3]",1
Metabolism,K01835  pgm; phosphoglucomutase [EC:5.4.2.2],1
Metabolism,K15778  pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2],2
Metabolism,K00131  gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],1
Metabolism,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]",1
Metabolism,"K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]",1
Metabolism,"K01647  CS, gltA; citrate synthase [EC:2.3.3.1]",1
Metabolism,"K01681  ACO, acnA; aconitate hydratase [EC:4.2.1.3]",2
Metabolism,K01682  acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],1
Metabolism,"K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",2
Metabolism,"K00164  OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]",3
Metabolism,"K00658  DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",2
