,x1,x2,x3,x4
0.0730000000000001,1.8597953,0.2875896,0.5245,1.049
0.0735000000000001,1.8589477,0.2887825,0.5246667,1.0493333
0.0740000000000001,1.8581014,0.2899743,0.5248333,1.0496667
0.0745000000000001,1.8572565,0.291165,0.525,1.05
0.0750000000000001,1.856413,0.2923546,0.5251667,1.0503333
0.0755000000000001,1.8555708,0.2935432,0.5253333,1.0506667
0.0760000000000001,1.85473,0.2947307,0.5255,1.051
0.0765000000000001,1.8538905,0.2959171,0.5256667,1.0513333
0.0770000000000001,1.8530524,0.2971025,0.5258333,1.0516667
0.0775000000000001,1.8522156,0.2982867,0.526,1.052
0.0780000000000001,1.8513802,0.2994699,0.5261667,1.0523333
0.0785000000000001,1.8505461,0.3006521,0.5263333,1.0526667
0.0790000000000001,1.8497134,0.3018331,0.5265,1.053
0.0795000000000001,1.848882,0.3030131,0.5266667,1.0533333
0.0800000000000001,1.848052,0.304192,0.5268333,1.0536667
0.0805000000000001,1.8472233,0.3053699,0.527,1.054
0.0810000000000001,1.846396,0.3065467,0.5271667,1.0543333
0.0815000000000001,1.84557,0.3077224,0.5273333,1.0546667
0.0820000000000001,1.8447453,0.3088971,0.5275,1.055
0.0825000000000001,1.843922,0.3100707,0.5276667,1.0553333
0.0830000000000001,1.8431,0.3112433,0.5278333,1.0556667
0.0835000000000001,1.8422793,0.3124148,0.528,1.056
0.0840000000000001,1.84146,0.3135852,0.5281667,1.0563333
0.0845000000000001,1.840642,0.3147545,0.5283333,1.0566667
0.0850000000000001,1.8398254,0.3159229,0.5285,1.057
0.0855000000000001,1.8390101,0.3170901,0.5286667,1.0573333
0.0860000000000001,1.8381961,0.3182563,0.5288333,1.0576667
0.0865000000000001,1.8373834,0.3194214,0.529,1.058
0.0870000000000001,1.836572,0.3205855,0.5291667,1.0583333
0.0875000000000001,1.835762,0.3217486,0.5293333,1.0586667
0.0880000000000001,1.8349533,0.3229106,0.5295,1.059
0.0885000000000001,1.834146,0.3240715,0.5296667,1.0593333
0.0890000000000001,1.8333399,0.3252314,0.5298333,1.0596667
0.0895000000000001,1.8325352,0.3263902,0.53,1.06
0.0900000000000001,1.8317318,0.327548,0.5301667,1.0603333
0.0905000000000001,1.8309297,0.3287047,0.5303333,1.0606667
0.0910000000000001,1.8301289,0.3298604,0.5305,1.061
0.0915000000000001,1.8293294,0.331015,0.5306667,1.0613333
0.0920000000000001,1.8285312,0.3321686,0.5308333,1.0616667
0.0925000000000001,1.8277344,0.3333212,0.531,1.062
0.0930000000000001,1.8269388,0.3344727,0.5311667,1.0623333
0.0935000000000001,1.8261446,0.3356231,0.5313333,1.0626667
0.0940000000000001,1.8253517,0.3367726,0.5315,1.063
0.0945000000000001,1.8245601,0.3379209,0.5316667,1.0633333
0.0950000000000001,1.8237698,0.3390683,0.5318333,1.0636667
0.0955000000000001,1.8229807,0.3402146,0.532,1.064
0.0960000000000001,1.822193,0.3413598,0.5321667,1.0643333
0.0965000000000001,1.8214066,0.3425041,0.5323333,1.0646667
0.0970000000000001,1.8206215,0.3436473,0.5325,1.065
0.0975000000000001,1.8198377,0.3447894,0.5326667,1.0653333
0.0980000000000001,1.8190552,0.3459305,0.5328333,1.0656667
0.0985000000000001,1.8182739,0.3470706,0.533,1.066
0.0990000000000001,1.817494,0.3482097,0.5331667,1.0663333
0.0995000000000001,1.8167154,0.3493477,0.5333333,1.0666667
0.1,1.815938,0.3504847,0.5335,1.067
0.1005,1.815162,0.3516206,0.5336667,1.0673333
0.101,1.8143872,0.3527556,0.5338333,1.0676667
0.1015,1.8136137,0.3538895,0.534,1.068
0.102,1.8128415,0.3550223,0.5341667,1.0683333
0.1025,1.8120706,0.3561542,0.5343333,1.0686667
0.103,1.811301,0.357285,0.5345,1.069
0.1035,1.8105326,0.3584148,0.5346667,1.0693333
0.104,1.8097655,0.3595436,0.5348333,1.0696667
0.1045,1.8089998,0.3606713,0.535,1.07
0.105,1.8082352,0.3617981,0.5351667,1.0703333
0.1055,1.807472,0.3629238,0.5353333,1.0706667
0.106,1.80671,0.3640484,0.5355,1.071
0.1065,1.8059494,0.3651721,0.5356667,1.0713333
0.107,1.8051899,0.3662948,0.5358333,1.0716667
0.1075,1.8044318,0.3674164,0.536,1.072
0.108,1.8036749,0.368537,0.5361667,1.0723333
0.1085,1.8029193,0.3696566,0.5363333,1.0726667
0.109,1.802165,0.3707752,0.5365,1.073
0.1095,1.8014119,0.3718927,0.5366667,1.0733333
0.11,1.8006601,0.3730093,0.5368333,1.0736667
0.1105,1.7999095,0.3741248,0.537,1.074
0.111,1.7991602,0.3752393,0.5371667,1.0743333
0.1115,1.7984122,0.3763529,0.5373333,1.0746667
0.112,1.7976654,0.3774654,0.5375,1.075
0.1125,1.7969199,0.3785769,0.5376667,1.0753333
0.113,1.7961757,0.3796873,0.5378333,1.0756667
0.1135,1.7954327,0.3807968,0.538,1.076
0.114,1.7946909,0.3819053,0.5381667,1.0763333
0.1145,1.7939504,0.3830128,0.5383333,1.0766667
0.115,1.7932112,0.3841192,0.5385,1.077
0.1155,1.7924732,0.3852247,0.5386667,1.0773333
0.116,1.7917365,0.3863291,0.5388333,1.0776667
0.1165,1.791001,0.3874326,0.539,1.078
0.117,1.7902667,0.388535,0.5391667,1.0783333
0.1175,1.7895337,0.3896365,0.5393333,1.0786667
0.118,1.788802,0.3907369,0.5395,1.079
0.1185,1.7880714,0.3918364,0.5396667,1.0793333
0.119,1.7873422,0.3929348,0.5398333,1.0796667
0.1195,1.7866141,0.3940323,0.54,1.08
0.12,1.7858873,0.3951288,0.5401667,1.0803333
0.1205,1.7851618,0.3962242,0.5403333,1.0806667
0.121,1.7844374,0.3973187,0.5405,1.081
0.1215,1.7837143,0.3984122,0.5406667,1.0813333
0.122,1.7829925,0.3995046,0.5408333,1.0816667
0.1225,1.7822719,0.4005961,0.541,1.082
0.123,1.7815525,0.4016866,0.5411667,1.0823333
0.1235,1.7808343,0.4027761,0.5413333,1.0826667
0.124,1.7801174,0.4038647,0.5415,1.083
0.1245,1.7794017,0.4049522,0.5416667,1.0833333
0.125,1.7786872,0.4060387,0.5418333,1.0836667
0.1255,1.7779739,0.4071243,0.542,1.084
0.126,1.7772619,0.4082088,0.5421667,1.0843333
0.1265,1.7765511,0.4092924,0.5423333,1.0846667
0.127,1.7758415,0.410375,0.5425,1.085
0.1275,1.7751331,0.4114566,0.5426667,1.0853333
0.128,1.7744259,0.4125373,0.5428333,1.0856667
0.1285,1.77372,0.4136169,0.543,1.086
0.129,1.7730153,0.4146956,0.5431667,1.0863333
0.1295,1.7723118,0.4157733,0.5433333,1.0866667
0.13,1.7716095,0.41685,0.5435,1.087
0.1305,1.7709084,0.4179257,0.5436667,1.0873333
0.131,1.7702085,0.4190005,0.5438333,1.0876667
0.1315,1.7695098,0.4200742,0.544,1.088
0.132,1.7688124,0.421147,0.5441667,1.0883333
0.1325,1.7681161,0.4222189,0.5443333,1.0886667
0.133,1.7674211,0.4232897,0.5445,1.089
0.1335,1.7667273,0.4243596,0.5446667,1.0893333
0.134,1.7660346,0.4254285,0.5448333,1.0896667
0.1345,1.7653432,0.4264964,0.545,1.09
0.135,1.764653,0.4275634,0.5451667,1.0903333
0.1355,1.7639639,0.4286294,0.5453333,1.0906667
0.136,1.7632761,0.4296944,0.5455,1.091
0.1365,1.7625894,0.4307584,0.5456667,1.0913333
0.137,1.761904,0.4318215,0.5458333,1.0916667
0.1375,1.7612197,0.4328836,0.546,1.092
0.138,1.7605367,0.4339448,0.5461667,1.0923333
0.1385,1.7598548,0.4350049,0.5463333,1.0926667
0.139,1.7591742,0.4360642,0.5465,1.093
0.1395,1.7584947,0.4371224,0.5466667,1.0933333
0.14,1.7578164,0.4381797,0.5468333,1.0936667
0.1405,1.7571393,0.439236,0.547,1.094
0.141,1.7564633,0.4402914,0.5471667,1.0943333
0.1415,1.7557886,0.4413458,0.5473333,1.0946667
0.142,1.7551151,0.4423993,0.5475,1.095
0.1425,1.7544427,0.4434517,0.5476667,1.0953333
0.143,1.7537715,0.4445033,0.5478333,1.0956667
0.1435,1.7531015,0.4455539,0.548,1.096
0.144,1.7524326,0.4466035,0.5481667,1.0963333
0.1445,1.751765,0.4476521,0.5483333,1.0966667
0.145,1.7510985,0.4486998,0.5485,1.097
0.1455,1.7504332,0.4497466,0.5486667,1.0973333
0.146,1.7497691,0.4507924,0.5488333,1.0976667
0.1465,1.7491061,0.4518372,0.549,1.098
0.147,1.7484443,0.4528811,0.5491667,1.0983333
0.1475,1.7477837,0.4539241,0.5493333,1.0986667
0.148,1.7471243,0.4549661,0.5495,1.099
0.1485,1.746466,0.4560071,0.5496667,1.0993333
0.149,1.7458089,0.4570472,0.5498333,1.0996667
0.1495,1.7451529,0.4580864,0.55,1.1
0.15,1.7444981,0.4591246,0.5501667,1.1003333
0.1505,1.7438445,0.4601618,0.5503333,1.1006667
0.151,1.7431921,0.4611982,0.5505,1.101
0.1515,1.7425408,0.4622335,0.5506667,1.1013333
0.152,1.7418906,0.463268,0.5508333,1.1016667
0.1525,1.7412416,0.4643014,0.551,1.102
0.153,1.7405938,0.465334,0.5511667,1.1023333
0.1535,1.7399471,0.4663656,0.5513333,1.1026667
0.154,1.7393016,0.4673962,0.5515,1.103
0.1545,1.7386572,0.468426,0.5516667,1.1033333
0.155,1.738014,0.4694548,0.5518333,1.1036667
0.1555,1.737372,0.4704826,0.552,1.104
0.156,1.7367311,0.4715095,0.5521667,1.1043333
0.1565,1.7360913,0.4725355,0.5523333,1.1046667
0.157,1.7354527,0.4735605,0.5525,1.105
0.1575,1.7348152,0.4745846,0.5526667,1.1053333
0.158,1.7341789,0.4756078,0.5528333,1.1056667
0.1585,1.7335437,0.47663,0.553,1.106
0.159,1.7329097,0.4776513,0.5531667,1.1063333
0.1595,1.7322768,0.4786717,0.5533333,1.1066667
0.16,1.731645,0.4796912,0.5535,1.107
0.1605,1.7310144,0.4807097,0.5536667,1.1073333
0.161,1.7303849,0.4817273,0.5538333,1.1076667
0.1615,1.7297566,0.4827439,0.554,1.108
0.162,1.7291294,0.4837596,0.5541667,1.1083333
0.1625,1.7285033,0.4847744,0.5543333,1.1086667
0.163,1.7278784,0.4857883,0.5545,1.109
0.1635,1.7272546,0.4868013,0.5546667,1.1093333
0.164,1.7266319,0.4878133,0.5548333,1.1096667
0.1645,1.7260103,0.4888244,0.555,1.11
0.165,1.7253899,0.4898346,0.5551667,1.1103333
0.1655,1.7247706,0.4908439,0.5553333,1.1106667
0.166,1.7241525,0.4918522,0.5555,1.111
0.1665,1.7235354,0.4928596,0.5556667,1.1113333
0.167,1.7229195,0.4938661,0.5558333,1.1116667
0.1675,1.7223047,0.4948717,0.556,1.112
0.168,1.721691,0.4958764,0.5561667,1.1123333
0.1685,1.7210785,0.4968801,0.5563333,1.1126667
0.169,1.720467,0.4978829,0.5565,1.113
0.1695,1.7198567,0.4988849,0.5566667,1.1133333
0.17,1.7192475,0.4998859,0.5568333,1.1136667
0.1705,1.7186394,0.5008859,0.557,1.114
0.171,1.7180325,0.5018851,0.5571667,1.1143333
0.1715,1.7174266,0.5028834,0.5573333,1.1146667
0.172,1.7168219,0.5038807,0.5575,1.115
0.1725,1.7162182,0.5048772,0.5576667,1.1153333
0.173,1.7156157,0.5058727,0.5578333,1.1156667
0.1735,1.7150143,0.5068673,0.558,1.116
0.174,1.714414,0.507861,0.5581667,1.1163333
0.1745,1.7138148,0.5088538,0.5583333,1.1166667
0.175,1.7132167,0.5098457,0.5585,1.117
0.1755,1.7126197,0.5108367,0.5586667,1.1173333
0.176,1.7120238,0.5118268,0.5588333,1.1176667
0.1765,1.711429,0.512816,0.559,1.118
0.177,1.7108354,0.5138043,0.5591667,1.1183333
0.1775,1.7102428,0.5147916,0.5593333,1.1186667
0.178,1.7096513,0.5157781,0.5595,1.119
0.1785,1.7090609,0.5167637,0.5596667,1.1193333
0.179,1.7084716,0.5177484,0.5598333,1.1196667
0.1795,1.7078834,0.5187321,0.56,1.12
0.18,1.7072963,0.519715,0.5601667,1.1203333
0.1805,1.7067103,0.520697,0.5603333,1.1206667
0.181,1.7061254,0.5216781,0.5605,1.121
0.1815,1.7055416,0.5226582,0.5606667,1.1213333
0.182,1.7049588,0.5236375,0.5608333,1.1216667
0.1825,1.7043772,0.5246159,0.561,1.122
0.183,1.7037966,0.5255934,0.5611667,1.1223333
0.1835,1.7032171,0.52657,0.5613333,1.1226667
0.184,1.7026387,0.5275457,0.5615,1.123
0.1845,1.7020614,0.5285205,0.5616667,1.1233333
0.185,1.7014852,0.5294945,0.5618333,1.1236667
0.1855,1.7009101,0.5304675,0.562,1.124
0.186,1.700336,0.5314396,0.5621667,1.1243333
0.1865,1.699763,0.5324109,0.5623333,1.1246667
0.187,1.6991911,0.5333813,0.5625,1.125
0.1875,1.6986203,0.5343507,0.5626667,1.1253333
0.188,1.6980505,0.5353193,0.5628333,1.1256667
0.1885,1.6974818,0.536287,0.563,1.126
0.189,1.6969142,0.5372539,0.5631667,1.1263333
0.1895,1.6963477,0.5382198,0.5633333,1.1266667
0.19,1.6957822,0.5391848,0.5635,1.127
0.1905,1.6952179,0.540149,0.5636667,1.1273333
0.191,1.6946545,0.5411123,0.5638333,1.1276667
0.1915,1.6940923,0.5420747,0.564,1.128
0.192,1.6935311,0.5430362,0.5641667,1.1283333
0.1925,1.692971,0.5439969,0.5643333,1.1286667
0.193,1.6924119,0.5449566,0.5645,1.129
0.1935,1.6918539,0.5459155,0.5646667,1.1293333
0.194,1.691297,0.5468735,0.5648333,1.1296667
0.1945,1.6907411,0.5478307,0.565,1.13
0.195,1.6901863,0.5487869,0.5651667,1.1303333
0.1955,1.6896326,0.5497423,0.5653333,1.1306667
0.196,1.6890799,0.5506968,0.5655,1.131
0.1965,1.6885283,0.5516505,0.5656667,1.1313333
0.197,1.6879777,0.5526032,0.5658333,1.1316667
0.1975,1.6874282,0.5535551,0.566,1.132
0.198,1.6868797,0.5545061,0.5661667,1.1323333
0.1985,1.6863323,0.5554563,0.5663333,1.1326667
0.199,1.6857859,0.5564055,0.5665,1.133
0.1995,1.6852406,0.5573539,0.5666667,1.1333333
0.2,1.6846964,0.5583015,0.5668333,1.1336667
0.2005,1.6841532,0.5592481,0.567,1.134
0.201,1.683611,0.5601939,0.5671667,1.1343333
0.2015,1.6830699,0.5611389,0.5673333,1.1346667
0.202,1.6825298,0.562083,0.5675,1.135
0.2025,1.6819908,0.5630262,0.5676667,1.1353333
0.203,1.6814528,0.5639685,0.5678333,1.1356667
0.2035,1.6809158,0.56491,0.568,1.136
0.204,1.6803799,0.5658506,0.5681667,1.1363333
0.2045,1.6798451,0.5667903,0.5683333,1.1366667
0.205,1.6793113,0.5677292,0.5685,1.137
0.2055,1.6787785,0.5686673,0.5686667,1.1373333
0.206,1.6782467,0.5696044,0.5688333,1.1376667
0.2065,1.677716,0.5705407,0.569,1.138
0.207,1.6771863,0.5714762,0.5691667,1.1383333
0.2075,1.6766577,0.5724108,0.5693333,1.1386667
0.208,1.6761301,0.5733445,0.5695,1.139
0.2085,1.6756035,0.5742774,0.5696667,1.1393333
0.209,1.6750779,0.5752094,0.5698333,1.1396667
0.2095,1.6745534,0.5761406,0.57,1.14
0.21,1.6740299,0.5770709,0.5701667,1.1403333
0.2105,1.6735075,0.5780004,0.5703333,1.1406667
0.211,1.672986,0.578929,0.5705,1.141
0.2115,1.6724656,0.5798568,0.5706667,1.1413333
0.212,1.6719462,0.5807837,0.5708333,1.1416667
0.2125,1.6714278,0.5817097,0.571,1.142
0.213,1.6709105,0.582635,0.5711667,1.1423333
0.2135,1.6703942,0.5835593,0.5713333,1.1426667
0.214,1.6698789,0.5844828,0.5715,1.143
0.2145,1.6693646,0.5854055,0.5716667,1.1433333
0.215,1.6688513,0.5863273,0.5718333,1.1436667
0.2155,1.668339,0.5872483,0.572,1.144
0.216,1.6678278,0.5881684,0.5721667,1.1443333
0.2165,1.6673176,0.5890877,0.5723333,1.1446667
0.217,1.6668084,0.5900062,0.5725,1.145
0.2175,1.6663002,0.5909238,0.5726667,1.1453333
0.218,1.665793,0.5918405,0.5728333,1.1456667
0.2185,1.6652868,0.5927564,0.573,1.146
0.219,1.6647816,0.5936715,0.5731667,1.1463333
0.2195,1.6642775,0.5945857,0.5733333,1.1466667
0.22,1.6637743,0.5954991,0.5735,1.147
0.2205,1.6632722,0.5964117,0.5736667,1.1473333
0.221,1.662771,0.5973234,0.5738333,1.1476667
0.2215,1.6622709,0.5982343,0.574,1.148
0.222,1.6617717,0.5991443,0.5741667,1.1483333
0.2225,1.6612736,0.6000535,0.5743333,1.1486667
0.223,1.6607765,0.6009619,0.5745,1.149
0.2235,1.6602803,0.6018695,0.5746667,1.1493333
0.224,1.6597852,0.6027762,0.5748333,1.1496667
0.2245,1.6592911,0.603682,0.575,1.15
0.225,1.6587979,0.6045871,0.5751667,1.1503333
0.2255,1.6583058,0.6054913,0.5753333,1.1506667
0.226,1.6578146,0.6063947,0.5755,1.151
0.2265,1.6573245,0.6072972,0.5756667,1.1513333
0.227,1.6568353,0.6081989,0.5758333,1.1516667
0.2275,1.6563471,0.6090998,0.576,1.152
0.228,1.65586,0.6099999,0.5761667,1.1523333
0.2285,1.6553738,0.6108991,0.5763333,1.1526667
0.229,1.6548886,0.6117976,0.5765,1.153
0.2295,1.6544043,0.6126951,0.5766667,1.1533333
0.23,1.6539211,0.6135919,0.5768333,1.1536667
0.2305,1.6534389,0.6144878,0.577,1.154
0.231,1.6529576,0.615383,0.5771667,1.1543333
0.2315,1.6524773,0.6162772,0.5773333,1.1546667
0.232,1.651998,0.6171707,0.5775,1.155
0.2325,1.6515197,0.6180634,0.5776667,1.1553333
0.233,1.6510424,0.6189552,0.5778333,1.1556667
0.2335,1.650566,0.6198462,0.578,1.156
0.234,1.6500907,0.6207364,0.5781667,1.1563333
0.2345,1.6496163,0.6216257,0.5783333,1.1566667
0.235,1.6491428,0.6225143,0.5785,1.157
0.2355,1.6486704,0.623402,0.5786667,1.1573333
0.236,1.6481989,0.6242889,0.5788333,1.1576667
0.2365,1.6477284,0.625175,0.579,1.158
0.237,1.6472589,0.6260603,0.5791667,1.1583333
0.2375,1.6467903,0.6269448,0.5793333,1.1586667
0.238,1.6463227,0.6278285,0.5795,1.159
0.2385,1.6458561,0.6287113,0.5796667,1.1593333
0.239,1.6453905,0.6295933,0.5798333,1.1596667
0.2395,1.6449258,0.6304746,0.58,1.16
0.24,1.6444621,0.631355,0.5801667,1.1603333
0.2405,1.6439993,0.6322346,0.5803333,1.1606667
0.241,1.6435375,0.6331134,0.5805,1.161
0.2415,1.6430767,0.6339913,0.5806667,1.1613333
0.242,1.6426169,0.6348685,0.5808333,1.1616667
0.2425,1.642158,0.6357449,0.581,1.162
0.243,1.6417,0.6366204,0.5811667,1.1623333
0.2435,1.641243,0.6374952,0.5813333,1.1626667
0.244,1.640787,0.6383691,0.5815,1.163
0.2445,1.6403319,0.6392423,0.5816667,1.1633333
0.245,1.6398778,0.6401146,0.5818333,1.1636667
0.2455,1.6394247,0.6409862,0.582,1.164
0.246,1.6389725,0.6418569,0.5821667,1.1643333
0.2465,1.6385212,0.6427268,0.5823333,1.1646667
0.247,1.6380709,0.643596,0.5825,1.165
0.2475,1.6376216,0.6444643,0.5826667,1.1653333
0.248,1.6371732,0.6453318,0.5828333,1.1656667
0.2485,1.6367258,0.6461986,0.583,1.166
0.249,1.6362793,0.6470645,0.5831667,1.1663333
0.2495,1.6358337,0.6479296,0.5833333,1.1666667
0.25,1.6353891,0.648794,0.5835,1.167
0.2505,1.6349455,0.6496575,0.5836667,1.1673333
0.251,1.6345028,0.6505203,0.5838333,1.1676667
0.2515,1.634061,0.6513822,0.584,1.168
0.252,1.6336202,0.6522434,0.5841667,1.1683333
