ID,geneNames,fullName,EC_number,function
K11195,PTS-Fru1-EIIB; levE,"PTS system, fructose-specific IIB component [EC:2.7.1.202]",2.7.1.202,protein-Npi-phosphohistidine---D-fructose phosphotransferase
K11194,PTS-Fru1-EIIA; levD,"PTS system, fructose-specific IIA component [EC:2.7.1.202]",2.7.1.202,protein-Npi-phosphohistidine---D-fructose phosphotransferase
K02769,PTS-Fru-EIIB; fruA,"PTS system, fructose-specific IIB component [EC:2.7.1.202]",2.7.1.202,protein-Npi-phosphohistidine---D-fructose phosphotransferase
K02768,PTS-Fru-EIIA; fruB,"PTS system, fructose-specific IIA component [EC:2.7.1.202]",2.7.1.202,protein-Npi-phosphohistidine---D-fructose phosphotransferase
K02760,PTS-Cel-EIIB; celA; chbB,"PTS system, cellobiose-specific IIB component [EC:2.7.1.196 2.7.1.205]",2.7.1.205,protein-Npi-phosphohistidine---cellobiose phosphotransferase
K02759,PTS-Cel-EIIA; celC; chbA,"PTS system, cellobiose-specific IIA component [EC:2.7.1.196 2.7.1.205]",2.7.1.205,protein-Npi-phosphohistidine---cellobiose phosphotransferase
K11198,PTS-Mng-EIIA; mngA; hrsA,"PTS system, 2-O-A-mannosyl-D-glycerate-specific IIA component [EC:2.7.1.195]",2.7.1.195,protein-Npi-phosphohistidine---2-O-alpha-mannosyl-D-glycerate phosphotransferase
K11199,PTS-Mng-EIIB; mngA; hrsA,"PTS system, 2-O-A-mannosyl-D-glycerate-specific IIB component [EC:2.7.1.195]",2.7.1.195,protein-Npi-phosphohistidine---2-O-alpha-mannosyl-D-glycerate phosphotransferase
K08483,PTS-EI.PTSI; ptsI,"phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]",2.7.3.9,phosphoenolpyruvate---protein phosphotransferase
K08484,PTS-EI.PTSP; ptsP,"phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]",2.7.3.9,phosphoenolpyruvate---protein phosphotransferase
K02777,PTS-Glc-EIIA; crr,"PTS system, sugar-specific IIA component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02749,PTS-Glv-EIIB; glvB; malP; aglA,"PTS system, alpha-glucoside-specific IIB component [EC:2.7.1.208 2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02755,PTS-Bgl-EIIA; bglF; bglP,"PTS system, beta-glucoside-specific IIA component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02756,PTS-Bgl-EIIB; bglF; bglP,"PTS system, beta-glucoside-specific IIB component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02752,PTS-Asc-EIIB; ascF,"PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIB component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02763,PTS-Dgl-EIIA; gamP,"PTS system, D-glucosamine-specific IIA component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02764,PTS-Dgl-EIIB; gamP,"PTS system, D-glucosamine-specific IIB component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K10984,PTS-Gam-EIIB; agaB,"PTS system, galactosamine-specific IIB component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02744,PTS-Aga-EIIA; agaF,"PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02745,PTS-Aga-EIIB; agaV,"PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02806,PTS-Ntr-EIIA; ptsN,"PTS system, nitrogen regulatory IIA component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K19507,PTS-Gfr-EIIB; gfrB,"PTS system, fructoselysine/glucoselysine-specific IIB component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K19506,PTS-Gfr-EIIA; gfrA,"PTS system, fructoselysine/glucoselysine-specific IIA component [EC:2.7.1.-]",2.7.1.-,[EC:2.7.1.-] n/a
K02779,,,,
K02804,,,,
K02810,,,,
K02750,,,,
K02757,,,,
K11192,,,,
K02753,,,,
K02791,,,,
K02819,,,,
K02765,,,,
K02784,,,,
K02775,,,,
K03475,,,,
K02783,,,,
K02788,,,,
K02761,,,,
K10986,,,,
K10985,,,,
K02747,,,,
K02746,,,,
K02815,,,,
K02814,,,,
K02796,,,,
K02795,,,,
K02771,,,,
K11196,,,,
K02800,,,,
K11200,,,,
K02770,,,,
K08485,,,,
K11183,,,,
K17467,,,,
K17466,,,,
K19509,,,,
K19508,,,,
K20108,,,,
K20114,,,,
K20118,,,,
