locus_tag,geneName,product
XC_0132,,deoxycytidylate deaminase
XC_0133,IS1479,IS1479 transposase
XC_0136,RhsD,RhsD protein
XC_0137,IS1478,IS1478 transposase
XC_0139,,conserved hypothetical protein
XC_0140,,conserved hypothetical protein
XC_0141,,alpha-amylase
XC_0142,,trehalose synthase
XC_0143,,"1,4-alpha-glucan branching enzyme"
XC_0144,IS1480,IS1480 transposase
XC_0146,,conserved hypothetical protein
XC_0147,,conserved hypothetical protein
XC_0148,,conserved hypothetical protein
XC_0149,,conserved hypothetical protein
XC_0150,,L-fucose dehydrogenase
XC_0151,,conserved hypothetical protein
XC_0152,,carboxylesterase type B
XC_0153,,xylanase
XC_0154,,2-keto-4-pentenoate hydratase
XC_0155,,C4-dicarboxylate transport system
XC_0156,,C4-dicarboxylate membrane transport protein
XC_0157,,C4-dicarboxylate transport protein
XC_0158,,xylosidase/arabinosidase
XC_0159,,transcriptional regulator lacI family
XC_0160,,5-keto-4-deoxyuronate isomerase
XC_0161,,2-deoxy-D-gluconate 3-dehydrogenase
XC_0162,,sugar-phosphate isomerase
XC_0163,,rhamnogalacturonan acetylesterase
XC_0164,,conserved hypothetical protein
XC_0165,,phenylalanine hydroxylase
XC_0166,,transcriptional regulator asnC family
XC_0167,,ferripyoverdine receptor
XC_0168,,conserved hypothetical protein
XC_0169,,conserved hypothetical protein
XC_0170,,ABC transporter ATP-binding protein
XC_0171,,fatty acid desaturase
XC_0172,,conserved hypothetical protein
XC_0173,,ABC transporter ATP-binding protein
XC_0174,,ABC transporter amino acid permease
XC_0175,,conserved hypothetical protein
XC_0176,,conserved hypothetical protein
XC_0177,,conserved hypothetical protein
XC_0178,,conserved hypothetical protein
XC_0179,,indolepyruvate ferredoxin oxidoreductase chain alpha
XC_0180,,conserved hypothetical protein
XC_0181,,conserved hypothetical protein
XC_0182,,conserved hypothetical protein
XC_0183,,partition protein
XC_0184,,conserved hypothetical protein
XC_0185,,conserved hypothetical protein
XC_0186,,cardiolipin synthase
XC_0187,,conserved hypothetical protein
XC_0188,,acetyltransferase
XC_0189,,conserved hypothetical protein
XC_0190,,conserved hypothetical protein
XC_0191,,conserved hypothetical protein
XC_0192,,conserved hypothetical protein
XC_0193,,undecaprenol kinase
XC_0194,,glutamine synthetase
XC_0195,,nitrogen regulatory protein P-II
XC_0196,,ammonium transporter
XC_0197,,two-component system sensor protein
XC_0198,,two-component system regulatory protein
XC_0199,,hypothetical protein
XC_0200,,superoxide dismutase-like protein
XC_0201,,superoxide dismutase
XC_0202,,lactoylglutathione lyase
XC_0203,,conserved hypothetical protein
XC_0204,,acyl-CoA thiolase
XC_0205,,conserved hypothetical protein
XC_0206,,porphyrin biosynthesis protein
XC_0207,,conserved hypothetical protein
XC_0208,,uroporphyrinogen-III synthase
XC_0209,,glycosyltransferase
XC_0210,,conserved hypothetical protein
XC_0211,,conserved hypothetical protein
XC_0212,,conserved hypothetical protein
XC_0213,,protein-export protein
XC_0214,,glycerol-3-phosphate dehydrogenase
XC_0215,,conserved hypothetical protein
XC_0216,,pyruvate dehydrogenase
XC_0217,,conserved hypothetical protein
XC_0218,,MFS transporter
XC_0219,,tRNA/rRNA methyltransferase
XC_0220,,conserved hypothetical protein
XC_0221,,conserved hypothetical protein
XC_0222,,3-oxoacyl-[ACP] synthase III
XC_0223,,conserved hypothetical protein
XC_0224,,methyltransferase
XC_0225,,conserved hypothetical protein
XC_0226,,haloalkane dehalogenase
XC_0227,,ferredoxin
XC_0228,,AMP-ligase
XC_0229,,NAD(P)H steroid dehydrogenase
XC_0230,,conserved hypothetical protein
XC_0231,,"acetyltransferase, GNAT family"
XC_0232,,D-alanine-D-alanine ligase A
XC_0233,,conserved hypothetical protein
XC_0234,,ubiquinone biosynthesis protein
XC_0235,,pseudouridylate synthase
XC_0236,,conserved hypothetical protein
XC_0237,,peptidyl-tRNA hydrolase
XC_0238,,acyltransferase
XC_0239,,asparaginase
XC_0240,,peptidyl-dipeptidase
XC_0241,,conserved hypothetical protein
XC_0242,,conserved hypothetical protein
XC_0243,,transcriptional regulator tetR family
XC_0244,,conserved hypothetical protein
XC_0245,,transcriptional regulator araC family
XC_0246,,transcriptional regulator
XC_0247,,malate synthase
XC_0248,,isocitrate lyase
XC_0249,,conserved hypothetical protein
XC_0250,,conserved hypothetical protein
XC_0251,,conserved hypothetical protein
XC_0252,,conserved hypothetical protein
XC_0253,,dipeptidyl anminopeptidase
XC_0254,,biotin carboxylase
XC_0255,,acyl-CoA carboxyltransferase beta chain
XC_0256,,acyl-CoA dehydrogenase
XC_0257,,transcriptional regulator acrR family
XC_0258,,conserved hypothetical protein
XC_0259,,conserved hypothetical protein
XC_0260,,conserved hypothetical protein
XC_0261,,conserved hypothetical protein
XC_0262,,conserved hypothetical protein
XC_0263,,conserved hypothetical protein
XC_0264,,cytochrome C5
XC_0265,,nuclease
XC_0266,,conserved hypothetical protein
XC_0267,,nitrile hydratase activator
XC_0268,,conserved hypothetical protein
XC_0269,,integral membrane protein
XC_0270,,conserved hypothetical protein
XC_0271,ATPase,ATPase
XC_0272,,conserved hypothetical protein
XC_0273,,transcriptional regulator marR family
XC_0274,,organic hydroperoxide resistance protein
XC_0276,lipase,lipase
XC_0277,,conserved hypothetical protein
XC_0278,,conserved hypothetical protein
XC_0279,,oxidoreductase
XC_0280,,quinone oxidoreductase
XC_0281,,oxidoreductase
XC_0282,,conserved hypothetical protein
XC_0283,,pseudouridylate synthase
XC_0284,,conserved hypothetical protein
XC_0285,,ATP-dependent RNA helicase
XC_0286,,chemotaxis protein
XC_0287,,conserved hypothetical protein
XC_0288,,conserved hypothetical protein
XC_0289,,monoxygenase
XC_0290,,conserved hypothetical protein
XC_0291,,conserved hypothetical protein
XC_0292,,conserved hypothetical protein
XC_0293,,serine-pyruvate aminotransferase
XC_0294,,N-carbamyl-L-amino acid amidohydrolase
XC_0295,,transcriptional regulator lysR family
XC_0296,,oxidoreductase
XC_0297,,conserved hypothetical protein
XC_0298,,transcriptional regulator
XC_0299,,conserved hypothetical protein
XC_0300,,phospholipase
XC_0301,,gamma-glutamyltranspeptidase
XC_0302,,Glu-tRNAGln amidotransferase A subunit
XC_0303,,nucleoside hydrolase
XC_0304,,adenosine deaminase
XC_0305,,xanthine/uracil permease
XC_0306,,hypothetical protein
XC_0307,,vanillate O-demethylase oxidoreductase
XC_0308,,vanillate O-demethylase oxygenase subunit
XC_0309,,transcriptional regulator lysR family
XC_0310,,type V secretory pathway protein
XC_0311,,conserved hypothetical protein
XC_0312,,transcriptional regulator lysR family
XC_0313,,MFS transporter
XC_0314,,conserved hypothetical protein
XC_0315,,TonB-dependent receptor
XC_0316,,TonB-dependent receptor
XC_0318,,SIR2-like regulatory protein
XC_0319,,FMN oxidoreductase
XC_0320,,dehydrogenase
XC_0321,,conserved hypothetical protein
XC_0322,,formyltetrahydrofolate deformylase
XC_0323,,transcriptional regulator
XC_0324,,insect-type dehydrogenase
XC_0325,,conditioned medium factor
XC_0326,,"5,10-methylenetetrahydrofolate reductase"
XC_0327,,transcriptional regulator metE/metH family
XC_0328,,NADH-dependent FMN reductase
XC_0329,,conserved hypothetical protein
XC_0330,,5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase
XC_0331,,conserved hypothetical protein
XC_0332,,conserved hypothetical protein
XC_0333,,oxidoreductase
XC_0334,,conserved hypothetical protein
XC_0335,,conserved hypothetical protein
XC_0336,,chemotaxis protein
XC_0337,,conserved hypothetical protein
XC_0338,,conserved hypothetical protein
XC_0339,,conserved hypothetical protein
XC_0340,,conserved hypothetical protein
XC_0341,AttT,AttT protein
XC_0342,,conserved hypothetical protein
XC_0343,,conserved hypothetical protein
XC_0344,,conserved hypothetical protein
XC_0345,,xanthomonadin biosynthesis related protein 1
XC_0346,,conserved hypothetical protein
XC_0347,,conserved hypothetical protein
XC_0348,,xanthomonadin biosynthesis related protein 1
XC_0349,,xanthomonadin biosynthesis related protein
XC_0350,,conserved hypothetical protein
XC_0351,,conserved hypothetical protein
XC_0352,,xanthomonadin biosynthesis related protein 1
XC_0353,,xanthomonadin biosynthesis related protein
XC_0354,,conserved hypothetical protein
XC_0355,,site-specific recombinase
XC_0356,,dihydroxy-acid dehydratase
XC_0357,,proteinase inhibitor
XC_0358,,hypothetical protein
XC_0359,,conserved hypothetical protein
XC_0360,,transferase
XC_0361,,MFS transporter
XC_0362,,conserved hypothetical protein
XC_0363,,transcriptional regulator marR family
XC_0364,,conserved hypothetical protein
XC_0365,,3-alpha-hydroxysteroid dehydrogenase
XC_0366,,benzaldehyde dehydrogenase II
XC_0367,,PobR regulator
XC_0368,,P-hydroxybenzoate hydroxylase
XC_0369,,conserved hypothetical protein
XC_0370,,glycerol kinase
XC_0371,,glycerol uptake facilitator protein
XC_0372,,glycerol-3-phosphate dehydrogenase
XC_0373,,glycerol-3-phosphate regulon repressor
XC_0374,,phenoxybenzoate dioxygenase beta subunit
XC_0375,,vanillate O-demethylase oxygenase subunit
XC_0376,,glutaconate CoA transferase subunit A
XC_0377,,glutaconate CoA transferase subunit B
XC_0378,,beta-ketoadipyl CoA thiolase
XC_0379,,"protocatechuate 3,4-dioxygenase beta chain"
XC_0380,,"protocatechuate 3,4-dioxygenase alpha chain"
XC_0381,,"3-carboxy-cis,cis-muconate cycloisomerase"
XC_0382,,b-ketoadipate enol-lactone hydrolase
XC_0383,,4-Carboxymuconolactone decarboxylase
XC_0384,,hydrolase
XC_0385,,transcriptional regulator
XC_0386,,conserved hypothetical protein
XC_0387,lipase,lipase
XC_0388,,conserved hypothetical protein
XC_0389,,glucose inhibited division protein A
XC_0390,,conserved hypothetical protein
XC_0391,,threonine dehydratase
XC_0392,,conserved hypothetical protein
XC_0393,,conserved hypothetical protein
XC_0394,,aspartyl/asparaginyl beta-hydroxylase
XC_0395,,biotin synthesis protein
XC_0396,,oxidoreductase
XC_0397,,biotin biosynthesis protein
XC_0398,,conserved hypothetical protein
XC_0399,,8-amino-7-oxononanoate synthase
XC_0400,,biotin synthase
XC_0401,,competence protein F
XC_0402,,hydroxybenzoate octaprenyltransferase
XC_4333,,tRNA-Arg
XC_0403,,phage-related integrase
XC_0405,,TonB-dependent receptor
XC_0406,,conserved hypothetical protein
XC_0407,,superoxidase dismutase
XC_0408,,conserved hypothetical protein
XC_0409,,TonB-dependent receptor
XC_0410,IS1478,IS1478 transposase
XC_0411,,isopenicillin N epimerase
XC_0412,,similar to IS1404 transposase ORFA
XC_0413,,similar to IS1404 transposase ORFB
XC_0414,,conserved hypothetical protein
XC_0415,,conserved hypothetical protein
XC_0416,,phosphoglycerol transferase I
XC_0417,,ABC transporter substrate binding protein
XC_0418,,conserved hypothetical protein
XC_0419,,conserved hypothetical protein
XC_0420,,conserved hypothetical protein
XC_0421,,glycogen synthase
XC_0422,,"1,4-alpha-glucan branching enzyme"
XC_0423,,maltooligosyltrehalose trehalohydrolase
XC_0424,,4-alpha-glucanotransferase
XC_0425,,maltooligosyltrehalose synthase
XC_0426,,conserved hypothetical protein
XC_0427,,glycogen debranching enzyme
XC_0428,,conserved hypothetical protein
XC_0429,,3-oxoacyl-[ACP] reductase
XC_0430,,conserved hypothetical protein
XC_0431,VirK,VirK protein
XC_0432,,outer membrane protein
XC_0433,,transcriptional regulator tetR/acrR family
XC_0434,,component of multidrug efflux system
XC_0435,,cation efflux system protein
XC_0436,,oxidoreductase
XC_0437,,conserved hypothetical protein
XC_0438,,ATP-dependent RNA helicase
XC_0441,,dihydrolipoamide acyltransferase
XC_0442,,conserved hypothetical protein
XC_0443,,pyruvate dehydrogenase E1 beta subunit
XC_0444,,pyruvate dehydrogenase E1 alpha subunit
XC_0445,,nuclease
XC_0446,,"tryptophan 2,3-dioxygenase"
XC_0447,,di-tripeptide transporter
XC_0448,,conserved hypothetical protein
XC_0449,,transcriptional regulator marR/emrR family
XC_0450,,4-hydroxyphenylpyruvate dioxygenase
XC_0451,,conserved hypothetical protein
XC_0452,,"homogentisate 1,2-dioxygenase"
XC_0454,,conserved hypothetical protein
XC_0453,,conserved hypothetical protein
XC_0455,,conserved hypothetical protein
XC_0456,PhaF,PhaF protein
XC_0457,PhaE,PhaE protein
XC_0458,PhaD,PhaD protein
XC_0459,PhaC,PhaC protein
XC_0460,,NADH dehydrogenase subunit 5
XC_0461,,conserved hypothetical protein
XC_0462,,conserved hypothetical protein
XC_0464,,conserved hypothetical protein
XC_0465,,conserved hypothetical protein
XC_0466,,conserved hypothetical protein
XC_0467,,phosphoribosylaminoimidazole-succinocarboxamide synthase
XC_0468,,conserved hypothetical protein
XC_0470,,membrane protein
XC_0469,,D-ribulose-5-phosphate 3-epimerase
XC_0471,,N-acetyltransferase
XC_0472,,conserved hypothetical protein
XC_0473,,anthranilate synthase component I
XC_0474,,threonine aldolase
XC_0475,,conserved hypothetical protein
XC_0476,,type I restriction-modification system endonuclease
XC_0477,,putative restriction modification system specificity subunit
XC_0478,,anticodon nuclease
XC_0479,,DNA-binding protein
XC_0480,,type I site-specific deoxyribonuclease
XC_0481,,anthranilate synthase component II
XC_0482,,conserved hypothetical protein
XC_0483,,anthranilate synthase component II
XC_0484,,indole-3-glycerol phosphate synthase
XC_0485,,conserved hypothetical protein
XC_0486,,CAP-like protein
XC_0487,,S-adenosyl methionine decarboxylase proenzyme
XC_0488,SugE,SugE protein
XC_0489,,ubiquinone biosynthesis protein
XC_0490,L13,50S ribosomal protein L13
XC_0491,,30S ribosomal protein S9
XC_4334,,tRNA-Gln
XC_4335,,tRNA-Met
XC_0492,,(di)nucleoside polyphosphate hydrolase
XC_0493,,bacterioferritin-associated ferredoxin
XC_0494,,bacterioferritin
XC_0495,,two-component system sensor protein
XC_0496,,two-component system regulatory protein
XC_0497,,conserved hypothetical protein
XC_0498,,conserved hypothetical protein
XC_0499,,conserved hypothetical protein
XC_0500,,conserved hypothetical protein
XC_0501,,NADH pyrophosphatase
XC_0502,,transmembrane protein
XC_0503,,conserved hypothetical protein
XC_0504,,transmembrane protein
XC_0505,,2-acylglycerophosphoethanolamine acyltransferase
XC_0506,,transcriptional regulator lysR family
XC_0507,,MFS transporter
XC_0508,,conserved hypothetical protein
XC_0509,,phosphoribosylamine-glycine ligase
XC_0510,,purine biosynthesis protein
XC_0511,,CDP-alcohol phosphatidyltransferase
XC_0512,,conserved hypothetical protein
XC_0513,,conserved hypothetical protein
XC_0514,,conserved hypothetical protein
XC_0515,,conserved hypothetical protein
XC_0516,,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase-related protein
XC_0517,,acyltransferase
XC_0518,,phosphatidate cytidiltransferase
XC_0519,,ice nucleation protein
XC_0520,,DNA-binding protein
XC_0521,,conserved hypothetical protein
XC_0522,,transcriptional regulator pbsX family
XC_0523,,conserved hypothetical protein
XC_0524,,ribosomal protein L11 methyltransferase
XC_0525,,conserved hypothetical protein
XC_0526,,conserved hypothetical protein
XC_0527,,biotin carboxylase subunit of acetyl CoA carboxylase
XC_0528,,conserved hypothetical protein
XC_0529,,biotin carboxyl carrier protein of acetyl-CoA
XC_0530,,catabolic dehydroquinase
XC_0531,,c-type cytochrome biogenesis protein
XC_0532,,periplasmic divalent cation tolerance protein
XC_0533,,ribonuclease
XC_0534,,10kDa chaperonin
XC_0535,,60 kDa chaperonin
XC_0536,,helicase
XC_0537,,ATP-dependent DNA helicase
XC_0538,,conserved hypothetical protein
XC_0539,,conserved hypothetical protein
XC_0540,,conserved hypothetical protein
XC_0541,,conserved hypothetical protein
XC_0542,,conserved hypothetical protein
XC_0543,,conserved hypothetical protein
XC_0544,,conserved hypothetical protein
XC_0545,,IS1477 transposase ORFA
XC_0546,,IS1477 transposase ORFB
XC_0547,,conserved hypothetical protein
XC_0548,,"phospho-2-dehydro-3-deoxyheptonate aldolase, phe-sensitive"
XC_0549,,conserved hypothetical protein
XC_0550,,CoA tranferase
XC_0551,,conserved hypothetical protein
XC_0552,,conserved hypothetical protein
XC_0553,,gluconolactonase precursor
XC_0555,,conserved hypothetical protein
XC_0554,,hypothetical protein
XC_0556,,RNA polymerase sigma factor
XC_0557,,transmembrane sensor
XC_0558,,ferric pseudobactin M114 receptor protein
XC_0559,,conserved hypothetical protein
XC_0560,,conserved hypothetical protein
XC_0561,,conserved hypothetical protein
XC_0562,,glutamine synthetase adenylyltransferase
XC_0563,,conserved hypothetical protein
XC_0564,,conserved hypothetical protein
XC_0565,,conserved hypothetical protein
XC_0566,,conserved hypothetical protein
XC_0567,,conserved hypothetical protein
XC_0568,,nitroreductase
XC_0569,,conserved hypothetical protein
XC_0570,,iron utilization protein
XC_0571,,conserved hypothetical protein
XC_0572,,alpha subunit of malonate decarboxylase
XC_0573,,delta subunit of malonate decarboxylase
XC_0574,,beta subunit of malonate decarboxylase
XC_0575,,malonate decarboxylase gamma subunit
XC_0576,,malonate decarboxylase
XC_0577,CitG,CitG protein
XC_0578,,malonyl CoA-ACP transacylase
XC_0579,,dicarboxylate carrier protein
XC_0580,,transcriptional regulator mdcY family
XC_0581,VirP,VirP protein
XC_0582,,anti-sigma F factor antagonist
XC_0583,,conserved hypothetical protein
XC_0584,IcfG,IcfG protein
XC_0585,,conserved hypothetical protein
XC_0586,,conserved hypothetical protein
XC_0587,,"arabinogalactan endo-1,4-beta-galactosidase"
XC_0588,,pyruvate dehydrogenase
XC_0589,,RNA-directed DNA polymerase
XC_0590,IS1478,IS1478 transposase
XC_0591,,conserved hypothetical protein
XC_0592,,ThiJ/PfpI family protein
XC_0593,,conserved hypothetical protein
XC_0594,,hypothetical protein
XC_0595,,oxidoreductase
XC_0596,,conserved hypothetical protein
XC_0597,,conserved hypothetical protein
XC_0598,,conserved hypothetical protein
XC_0599,,conserved hypothetical protein
XC_0600,,putative transmembrane protein
XC_0601,,transcriptional regulator marR family
XC_0602,,aminopeptidase N
XC_0603,,conserved hypothetical protein
XC_0604,,conserved hypothetical protein
XC_0605,,conserved hypothetical protein
XC_0606,,conserved hypothetical protein
XC_0607,,conserved hypothetical protein
XC_0608,,conserved hypothetical protein
XC_0609,,inner membrane protein
XC_0610,,conserved hypothetical protein
XC_0611,,dipeptidyl peptidase IV
XC_0612,,conserved hypothetical protein
XC_0613,,conserved hypothetical protein
XC_0614,,conserved hypothetical protein
XC_0616,,conserved hypothetical protein
XC_0617,,conserved hypothetical protein
XC_0618,,conserved hypothetical protein
XC_0619,,conserved hypothetical protein
XC_0620,,conserved hypothetical protein
XC_0621,,conserved hypothetical protein
XC_0622,,conserved hypothetical protein
XC_0623,,cyclohexadienyl dehydratase
XC_0624,,conserved hypothetical protein
XC_0625,,cellulase
XC_0626,,"1,4-beta-cellobiosidase"
XC_0627,,D-serine/D-alanine/glycine transporter
XC_0628,,magnesium and cobalt transport protein
XC_0629,,conserved hypothetical protein
XC_0630,,conserved hypothetical protein
XC_0631,,periplasmic trehalase
XC_0632,,conserved hypothetical protein
XC_0633,,endonuclease
XC_0634,,conserved hypothetical protein
XC_0635,,histidine kinase/response regulator hybrid protein
XC_0636,,zinc protease
XC_0637,,histidine kinase/response regulator hybrid protein
XC_0638,,chemotaxis protein
XC_0639,,cellulase
XC_0640,,sulfate permease
XC_0641,,GGDEF family protein
XC_0642,,ferripyoverdine receptor
XC_0643,,aminopeptidase
XC_0644,,sulfur deprivation response regulator
XC_0645,,periplasmic glucan biosynthesis protein
XC_0646,,carboxylesterase
XC_0647,,two-component system sensor protein
XC_0648,,two-component system regulatory protein
XC_0649,,porphobilinogen deaminase
XC_0650,,conserved hypothetical protein
XC_0651,,conserved hypothetical protein
XC_0652,,outer membrane lipoprotein
XC_0653,,conserved hypothetical protein
XC_0654,,prolyl oligopeptidase
XC_0656,,conserved hypothetical protein
XC_0657,,conserved hypothetical protein
XC_0658,,aminotransferase
XC_0659,,protease II
XC_0660,,conserved hypothetical protein
XC_0661,,conserved hypothetical protein
XC_0662,,diaminopimelate epimerase
XC_0663,,conserved hypothetical protein
XC_0664,,site-specific recombinase
XC_0665,ISxac3,ISxac3 transposase
XC_0666,ISxac3,ISxac3 transposase
XC_0667,,ATP-dependent HslUV protease peptidase subunit HslV
XC_0668,,ATP-dependent HslUV protease ATP-binding subunit HslU
XC_0669,,conserved hypothetical protein
XC_0670,,cytosine deaminase
XC_0671,ElaA,ElaA protein
XC_0672,,multidrug resistance efflux pump
XC_0674,,MFS transporter
XC_0673,,ubiquinone/menaquinone transferase
XC_0675,,response regulator
XC_0676,,aminopeptidase
XC_0677,,conserved hypothetical protein
XC_0678,,conserved hypothetical protein
XC_0679,,methanol dehydrogenase heavy chain
XC_0680,ISxac3,ISxac3 transposase
XC_0681,ISxac3,ISxac3 transposase
XC_0682,,methanol dehydrogenase heavy chain
XC_0683,MoxJ,MoxJ protein
XC_0684,,conserved hypothetical protein
XC_0685,,surface antigen gene
XC_0686,,alcohol dehydrogenase class III
XC_0687,,TonB-dependent receptor
XC_0688,IS1480,IS1480 transposase
XC_0689,,transcriptional regulator
XC_0690,,sugar kinase
XC_0691,,rod shape-determining protein
XC_0692,,rod shape-determining protein
XC_0693,,rod shape-determining protein
XC_0694,,penicillin-binding protein 2
XC_0695,,rod shape-determining protein
XC_0696,NTPase,NTPase
XC_0697,IS1404,IS1404 transposase
XC_0698,IS1404,IS1404 transposase
XC_0700,,hypothetical protein
XC_0701,,conserved hypothetical protein
XC_0703,,hypothetical protein
XC_0702,IS1478,IS1478 transposase
XC_0704,,conserved hypothetical protein
XC_0705,,endopolygalacturonase
XC_0706,,membrane-bound lytic transglycosylase
XC_0707,,rare lipoprotein A
XC_0708,,penicillin-binding protein 6
XC_0709,,conserved hypothetical protein
XC_0710,,conserved hypothetical protein
XC_0711,,conserved hypothetical protein
XC_0712,,lipoate biosynthesis protein B
XC_0713,,lipoic acid synthetase
XC_0714,,tail-specific protease
XC_0715,,conserved hypothetical protein
XC_0716,,transcriptional regulator
XC_0717,,conserved hypothetical protein
XC_0718,,NMN adenylyltransferase
XC_0719,,pre-B cell enhancing factor related protein
XC_0720,,conserved hypothetical protein
XC_0721,,conserved hypothetical protein
XC_0722,,conserved hypothetical protein
XC_0723,,conserved hypothetical protein
XC_0724,,conserved hypothetical protein
XC_0725,,6-phosphogluconate dehydrogenase
XC_0726,,oxidoreductase
XC_0727,,conserved hypothetical protein
XC_0728,,two-component system sensor protein
XC_0729,,two-component system regulatory protein
XC_0730,,histidine kinase/response regulator hybrid protein
XC_0731,,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine
XC_0733,,pteridine reductase 1
XC_0732,,conserved hypothetical protein
XC_0734,,conserved hypothetical protein
XC_0735,,conserved hypothetical protein
XC_0736,,conserved hypothetical protein
XC_0737,,TonB-dependent receptor
XC_0738,,type II secretion system protein C
XC_0739,,type II secretion system protein D
XC_0740,,type II secretion system protein E
XC_0741,,type II secretion system protein F
XC_0742,,type II secretion system protein G
XC_0743,,type II secretion system protein H
XC_0744,,type II secretion system protein I
XC_0745,,type II secretion system protein J
XC_0746,,type II secretion system protein K
XC_0747,,type II secretion system protein L
XC_0748,,type II secretion system protein M
XC_0749,,type II secretion system protein N
XC_0750,,transcriptional regulator gntR family
XC_0751,,glucose/galactose transporter
