ID,sample1,sample2,sample3,treat1,treat2,treat3
gene_0143,1969134.192,1767464.736,2820598.718,5704187.602,2080516.068,3636124.079
gene_0144,2223436.851,2506668.872,3528809.209,4161984.034,2287055.587,3742419.88
gene_0145,3322712.413,4953201.907,922302.1913,3243275.167,4608960.587,2849110.212
gene_0146,1305589.564,2750514.352,3113724.779,4173770.952,2738396.646,5340598.509
gene_0147,2981485.728,3503923.872,3981774.256,4950833.498,1653349.161,2358519.339
gene_0148,4632501.459,4551813.446,4300997.911,2862709.805,3871630.927,2016762.825
gene_0149,2185391.011,1027537.774,1810504.083,3083099.459,1657962.563,1912263.63
gene_0150,60720906.79,56518897.98,34998991.13,60145772.43,52800929.83,69296060.44
gene_0151,887126.3063,3399049.639,1395615.408,6736323.536,1022514.591,2553686.509
gene_0152,4165447.315,2365723.444,4485974.534,4184198.893,2362626.261,2539565.054
gene_0153,2389554.1,2068810.397,5200395.801,5311323.601,2675727.933,4443669.226
gene_0154,3060572.26,5186248.845,5718161.752,3006388.453,2183044.336,1977217.294
gene_0155,3169974.93,4070712.777,2070833.311,3633881.642,2666045.552,4857558.703
gene_0156,2562534.505,2437312.825,5956774.852,6524608.922,3298914.599,2296650.665
gene_0157,4505388.236,5216858.962,4215084.142,2242489.812,4058316.636,2694637.921
gene_0158,5086528.719,4599673.414,1543848.762,1764832.704,1919141.958,5180931.219
gene_0159,1576600510,1561504954,1363199911,1550396422,1214200899,1538598862
gene_0160,1915394.323,5578477.503,3157891.122,2018357.077,3357974.863,3798793.87
gene_0161,2292292.952,1951159.112,3405605.749,1707625.286,2358568.384,2639036.731
gene_0162,3417713.421,6423997.942,2444283.17,3222189.696,4099339.37,2178071.675
gene_0163,3703787.763,1908952.799,3331937.712,3110575.299,2547392.791,2777797.499
gene_0164,5522308.291,2062038.731,2476017.362,3083847.514,2148145.077,3437837.685
gene_0165,4598143.309,1469557.115,4496621.436,2369333.744,1636542.911,6551891.34
gene_0166,2551191.915,3131755.167,5088256.612,2250197.185,3968438.453,2125719.784
gene_0167,2470976.741,2790108.896,1712366.398,3142736.75,2242862.893,3666037.214
gene_0168,4525168.24,2073662.966,1566268.37,3820341.035,2562800.95,2950217.729
gene_0169,1777798.027,4818090.293,2656729.659,7083249.844,1464016.112,3801427.906
gene_0170,2564826.845,4763432.121,5597495.374,3115797.407,4353034.429,3934993.986
gene_0171,7229628.077,1743941.24,1751245.606,2005749.49,1686066.491,2790650.457
gene_0172,2604527.068,2364821.729,2371831.351,3130149.211,2253428.119,2666174.913
gene_0173,5919401.975,2601640.156,5665021.497,1234187.365,2501063.056,3847020.269
gene_0174,18629943.98,14904038.81,10803009.96,9733586.115,14833955.39,12608034.05
gene_0175,4566381.613,2138043.833,5106275.687,1747413.971,3186165.994,6556979.71
gene_0176,10219986.82,2578463.156,2234607.47,3592308.947,17672955.62,9840703.329
gene_0177,2824452.876,1530721.085,3310895.395,4094511.758,1963124.174,36528014.46
gene_0178,3132515.028,2296013.987,3109648.32,3856204.15,3587282.669,4615546.345
gene_0179,6965908.056,3056459.458,5232793.874,6121102.092,4259905.512,4214412.211
gene_0180,2356656.402,2430008.619,2248560.077,4240256.183,2382013.238,5740440.43
gene_0181,2395956.027,3716749.431,6616101.789,1887898.799,1522425.288,6160175.404
gene_0182,4197474.122,3471120.455,2310237.913,1609922.713,2974220.133,3234003.927
gene_0183,5021058.141,4599896.597,2764371.347,2246114.433,1849982.253,2595282.22
gene_0184,3455229.24,2656784.904,1366230.998,4369237.202,2209532.927,4033413.819
gene_0185,1858194.387,2253240.691,4320389.643,2747008.607,1720587.701,1871962.365
gene_0186,7112868.199,4672651.467,7074564.942,2131739.914,2929879.703,3937422.236
gene_0187,3543466.551,4538298.272,5654742.896,4921988.99,5703555.023,2353359.022
gene_0188,5002334.149,2453398.235,4293462.023,1281915.734,3745845.59,3420818.192
gene_0189,2183044.336,2864099.137,3496717.949,7669919.472,3566234.152,1757727.504
gene_0190,5016222.809,1572784.96,3294344.501,2118556.245,4789653.966,2815324.911
gene_0191,5962103.543,2643283.984,3120920.117,2074726.88,3661796.026,5123435.153
gene_0192,2450627.877,4073930.675,2968453.329,3031583.229,3233152.216,4208719.703
gene_0193,2246534.832,1210112.714,1721601.728,2082694.785,2058168.973,6545717.912
gene_0194,1640040.487,4473585.007,5519973.843,2762532.487,2522984.653,1425523.113
gene_0195,4205103.852,2660064.874,6493433.069,1881367.165,2311775.706,5290416.956
gene_0196,3896669.115,1147720.564,8558283.266,1437788.461,8233303.627,8920480.549
gene_0197,4439451.469,1874637.218,7033737.189,2558346.067,3393540.97,2383251.874
gene_0198,2621752.378,3310344.656,2552076.244,5038175.685,2584690.309,1781980.353
gene_0199,1795917.939,4543428.674,3294458.677,2307245.356,2133513.783,3512848.676
gene_0200,5472656.972,789237.5106,4128281.734,1628937.703,1860785.075,8478514
gene_0201,1866766.433,3735060.031,1275109.754,1465559.388,2886000.262,3826993.447
gene_0202,2813959.239,3069325.032,4575220.994,1792386.084,2790031.539,3956189.221
gene_0203,6335425.121,2131592.158,2570450.858,5480324.919,5621719.342,2618864.526
gene_0204,2645758.591,3588401.775,1950848.075,988348.286,3358463.689,2715356.139
gene_0205,3240466.3,1372885.616,2846761.107,3950516.893,4215697.738,2148100.408
gene_0206,3020089.765,2217019.456,3179789.869,2172176.646,1864025.286,1439812.981
gene_0207,2356493.057,2532094.82,2510389.861,3114696.152,3500088.572,1336149.493
gene_0208,2602397.661,4541193.246,1985622.586,2567637.311,2737979.094,4469958.48
gene_0209,36642129.14,28461926.88,44973131.27,53742868.84,52479840.52,45198137.87
gene_0210,4320928.717,5165834.524,5229675.501,3058175.986,3382949.007,2304751.858
gene_0211,3298251.542,2359794.829,6064427.389,4193286.579,4185852.371,8229537.94
gene_0212,4036602.233,1344771.85,4900270.639,1759970.724,2828273.093,4137391.362
gene_0213,3932730.787,2058982.304,4131115.598,3657306.232,2771085.895,1290510.098
gene_0214,2737808.295,2127842.592,3071368.106,3820208.634,2778163.353,4273065.497
gene_0215,8349451.528,4881929.396,3735422.501,1855144.327,4694369.591,2437414.193
gene_0216,2945620.211,1660711.456,4296617.743,4019765.748,2310862.518,2647648.183
gene_0217,278269972.9,378778709.3,213239579.3,208759990.4,217709632.6,133690341.5
gene_0218,3391354.107,3872892.429,5515651.982,1838604.824,1279243.968,3764743.125
gene_0219,3764743.125,4397310.573,1696582.317,3406526.502,3134035.302,3788853.692
gene_0220,4070233.132,4398651.89,2796963.507,3702350.371,5454214.469,3003389.178
gene_0221,2293405.45,2165982.266,2529533.649,3338086.71,2396039.066,5773881.227
gene_0222,5523877.9,3360326.533,3899181.823,2210406.072,1865589.315,5471784.569
gene_0223,3462205.673,3664893.896,5108895.515,8177395.572,2781246.144,4983887.25
gene_0224,4320269.858,1957173.197,4469183.962,4517709.268,2706712.077,2529603.784
gene_0225,2240935.975,3645208.737,4007858.101,3859466.488,7196031.145,3253610.227
gene_0226,7935886.711,1971127.954,2790263.617,3489962.249,3516624.832,5738650.173
gene_0227,5332386.787,4116994.241,1774178.825,3195455.133,5573684.848,2516557.271
gene_0228,5423715.224,2502380.943,2548823.424,7261015.994,1598048.762,4824473.241
gene_0229,7775801.717,2502363.598,9782894.819,2881682.581,10227994.83,2657816.369
gene_0230,4148562.24,1966201.843,2068480.606,3748027.22,1676382.575,2376735.618
gene_0231,1782696.898,4830697.223,5429921.837,3532112.833,2625007.292,3688134.912
gene_0232,2622206.732,2115078.825,2351043.823,3170831.977,5039922.086,4002833.01
gene_0233,3125487.929,3249981.331,2424809.536,1975833.571,2055274.983,2256585.482
gene_0234,3660349.559,1282217.879,5428792.834,4491699.555,3610582.057,2043725.493
gene_0235,1541410.828,4625410.57,3915458.972,2776815.707,5017579.015,1475630.415
gene_0236,3471553.562,2062767.801,5213497.119,2996880.236,3386045.667,4931277.466
gene_0237,3978298.23,16166006.53,3925241.533,17829958.39,22038000.52,4141121.21
gene_0238,3812695.805,4497837.16,3389685.515,2966889.984,2693498.815,3272133.093
gene_0239,3226860.993,4954438.049,2543599.324,2919844.282,1808459.677,2647629.831
gene_0240,3127243.224,5342449.74,3320225.965,3610657.138,2895437.651,1712235.842
gene_0241,1823577.395,2462717.988,2479744.414,3765813.181,1696264.832,2234622.959
gene_0242,23245046.89,24937957.97,22546966.37,19271025.36,18879928.95,14874006.79
gene_0243,3661973.702,4224765.984,3421434.742,7237098.617,3469677.157,2425095.28
gene_0244,3679682.861,4010581.501,3963380.369,7310101.463,3128023.672,2857377.067
gene_0245,3689975.994,4603309.456,3734749.37,21552023.6,2977644.313,41517896.05
gene_0246,2589478.232,4865308.986,2679105.568,2150185.95,1812412.606,3567198.333
gene_0247,2721498.858,4435114.746,6851079.996,2389703.172,4861600.787,1910832.647
gene_0248,6932143.073,3218818.949,3911173.216,5730263.299,3418400.494,4293819.158
gene_0249,35475999.61,31154991.77,32037095,33519098.21,36373136.48,34622102.45
gene_0250,2250477.952,4892193.375,3658878.301,1642987.416,1732783.524,4807881.808
gene_0251,3660197.332,3040463.838,4469183.962,4885348.328,3369913.197,3077206.862
gene_0252,3476321.302,3806384.839,1924110.202,1666996.911,2014834.627,6411231.178
gene_0253,1743457.783,5521963.802,4720800.22,2413825.577,3105146.704,3915160.444
gene_0254,2095393.839,4386685.967,4188028.995,6379049.31,2707556.476,2237087.104
gene_0255,10729875.5,3033012.472,2658405.956,1709958.641,4187970.937,3472203.323
gene_0256,2523999.161,3142540.702,2603606.517,3197138.916,1977189.885,3378754.272
gene_0257,6025794.323,1189002.238,5292654.322,2561948.421,3490760.629,1661448.334
gene_0258,2252178.899,4150575.623,1955003.826,4717888.852,5035696.834,2692882.779
gene_0259,3398978.958,5065172.599,1189142.352,2792798.391,1588991.526,4336531.024
gene_0260,3961704.928,3093395.784,2040795.228,3432623.033,6348612.974,2117323.088
gene_0261,6114741.163,2457840.729,3062609.508,2368020.271,4932371.38,3206771.218
gene_0262,3946083.354,3517916.965,3125921.244,5418492.129,2081886.518,4902376.989
gene_0263,10462033.8,2732461.996,2561575.529,3282332.59,2931809.634,1970608.835
gene_0264,2043852.991,2359418.651,2365198.768,2461745.175,4218006.828,2308941.195
gene_0265,85629229.01,89212961.83,67277930.85,82031802.86,83140033.88,87284975.13
gene_0266,3514261.215,2402042.089,2157516.258,4272295.482,3712012.145,2797428.836
gene_0267,3200997.235,2409011.751,2000639.781,2177166.029,2062567.638,3557716.199
gene_0268,58299897.05,91093198.31,136540149.9,94864830.75,112179980.8,65871907.86
gene_0269,20876984.41,29684984.01,18664066.28,24548984.31,21962972.68,33941100.32
gene_0270,2534201.833,3931368.042,2332895.09,3465591.07,1661298.63,1127784.508
gene_0271,3657889.34,2961917.446,5572216.955,3070154.867,717828.6601,4125249.651
gene_0272,1826942.756,2597225.773,1423923.294,4075060.365,2533077.875,2420879.769
gene_0273,22321954.21,16705965.18,20196052.54,19522033.47,18571023.6,14998969
gene_0274,2127370.673,1120172.9,6197478.798,2163821.408,3945208.182,2709114.614
gene_0275,3222681.093,2310478.125,2679737.028,2718425.764,3441127.698,4344805.006
gene_0276,4098231.356,4067553.808,2965676.902,2343007.27,2454656.976,5532998.109
gene_0277,518310004.4,495929567.2,465840231.5,579430344.9,532601038.2,693019160.8
gene_0278,1967060.636,7315930.809,1971004.992,2547904.901,3908869.528,8391690.272
gene_0279,2893210.777,3407707.319,3569473.845,2512026.059,2943640.381,3802745.609
gene_0280,2600540.364,2711632.055,4004359.305,4285107.598,2103907.724,6912470.559
gene_0281,2297669.718,2849742.235,3883941.391,2595767.972,1758824.374,2950381.328
gene_0282,8206524.882,4441082.681,2393731.655,12163963.02,3765552.164,9301100.536
gene_0283,3871416.244,5582306.856,2304783.809,2038957.113,4007997.006,5037163.049
gene_0284,1654529.977,10642029.71,25884946.49,18121009.59,21646943.53,15622045.15
gene_0285,5293461.473,2525591.711,8910407.615,3186519.37,3374611.519,2834180.085
gene_0286,3606305.035,3073263.42,1597173.932,2536046.908,4108612.956,2551138.865
gene_0287,3168700.776,5571019.75,1874091.55,5366462.628,3835464.826,2763968.992
gene_0288,5408623.34,2212981.561,4279467.914,1918875.927,5564150.454,2776238.344
gene_0289,2777951.537,6445942.998,4149223.672,3343945.723,1574683.003,1333401.662
gene_0290,2326968.096,2978924.234,6295807.504,3090716.722,1980220.974,2677416.218
gene_0291,6216452.105,2336568.659,2033311.754,5148782.868,3713324.592,3531696.651
gene_0292,2521918.111,2064083.638,3007826.667,1806530.273,3025034.153,4248670.409
gene_0293,85104967.06,89310718.94,131790396.1,171999603.7,169759844.6,184829525.9
gene_0294,4188435.424,1956630.629,4778511.964,2872947.104,3281832.097,2534922.131
gene_0295,1884747.725,1857215.763,6711203.16,3105039.089,3782687.068,2562090.49
gene_0296,3175692.955,6127724.478,1846408.065,3575788.559,1044224.151,4780002.692
gene_0297,2852232.189,3046074.929,2847767.629,3013857.97,2155080.008,2851876.348
gene_0298,2601333.61,3774855.529,2046915.335,3863615.242,1982445.81,3136056.237
gene_0299,7006779.183,2604310.439,4008552.67,4152647.551,933965.6727,3330367.606
gene_0300,4641243.632,2080602.596,3208438.725,4186055.475,1881758.425,4533770.711
gene_0301,2394578.001,3742342.06,3116056.583,2079305.054,1773551.755,4853351.772
gene_0302,2897224.4,2215437.198,3009390.723,3515065.154,4036518.295,6868006.624
gene_0303,2032071.874,3481336.89,3860911.354,2338253.636,2680777.403,5232358.641
gene_0304,5611285.937,3933957.661,3014401.171,3889059.833,3703993.15,5169631.443
gene_0305,4751560.605,2616668.984,4351284.75,2956154.005,3935866.892,2547339.82
gene_0306,3175472.84,3910278.682,8117195.893,2139081.47,2635855.77,2243127.196
gene_0307,3612734.99,6483988.044,6250195.994,8807615.145,6982779.569,8218080.319
gene_0308,1225161.07,7688496.109,1762277.881,2919783.566,25745019.02,3641799.333
gene_0309,2649575.854,3686320.301,1386743.949,4390427.523,2843191.81,3980587.652
gene_0310,4215113.359,2351353.471,2740599.342,4945860.096,2483115.606,2383764.032
gene_0311,1450290.02,5026629.762,2357653.054,3842596.339,6058041.372,3153560.106
gene_0312,8279487.287,2225549.256,10930984.44,18261981.8,7716097.807,10422008.49
gene_0313,14140011.91,14054024.67,2019770.58,16095008.47,10033975.61,9973026.825
gene_0314,2297765.278,3875201.774,3571924.114,1462028.496,30804974.38,4631345.641
gene_0315,126300052.7,105760085,116439878.6,149109816.7,149900504.7,178799814.6
gene_0316,2288213.124,4581695.025,2465758.37,6323272.663,5082299.622,2656803.32
gene_0317,2747941.765,2690009.804,7133852.717,5638578.224,1946174.983,2009269.984
gene_0318,28867043.07,22149948.37,29556047.16,33471967.03,26345075.89,28548072.39
gene_0319,5387333.7,2728052.542,3020948.167,4541791.352,3031415.127,3568756.407
gene_0320,3623744.982,2175687.617,2647024.285,2940581.407,2412370.387,3717290.484
gene_0321,3290578.937,7644549.213,3581742.024,4089859.919,2448098.202,2529007.702
gene_0322,79825702.04,54268060.01,58456090.09,39549880.51,33053964.88,42407026.75
gene_0323,725972671.7,761981114.3,573190715.4,466738747.4,541580292.2,431549257.9
gene_0324,2877909.91,4094682.047,2585460.799,3756089.476,3132145.93,1556128.751
gene_0325,1942455.342,6041561.309,2993641.432,2836204.247,2249339.504,1088552.833
gene_0326,1438306.786,2310478.125,3614638.651,6087464.402,2030129.039,4722731.218
gene_0327,2531814.017,2835988.005,6403414.635,1484617.655,2686152.906,3766622.449
gene_0328,3429412.463,3071836.502,1102143.007,2827489.037,2029777.275,3496814.9
gene_0329,3287810494,3199590217,3169108703,2725303960,3339210740,2726796707
gene_0330,25013957.66,27910990.74,30497972.5,24006970.13,24726076.55,2248934.168
gene_0331,5317512.172,7981010.548,3964671.766,8817510.757,6878487.8,8517331.082
gene_0332,3744002.584,4749782.431,2605086.778,4808848.35,5379199.258,3016428.594
